선수,연봉(만원),WAR,WAR당 연봉,팀
지시완,5800,,,롯데 자이언츠
신윤후,5200,0.30,17392,롯데 자이언츠
손성빈,5000,0.24,21042,롯데 자이언츠
손호영,4500,2.83,1587,롯데 자이언츠
진승현,4300,0.02,177767,롯데 자이언츠
임준섭,4000,0.11,37866,롯데 자이언츠
장두성,4000,-0.22,-17905,롯데 자이언츠
최설우,4000,,,롯데 자이언츠
나승엽,4000,1.44,2783,롯데 자이언츠
정성종,3900,,,롯데 자이언츠
최이준,3800,-0.36,-10553,롯데 자이언츠
이민석,3800,0.10,36348,롯데 자이언츠
강태율,3600,-0.27,-13194,롯데 자이언츠
박진,3300,1.15,2860,롯데 자이언츠
서동욱,3300,-0.48,-6922,롯데 자이언츠
정대선,3200,0.04,89444,롯데 자이언츠
김강현,3200,0.52,6205,롯데 자이언츠
현도훈,3200,-0.13,-24338,롯데 자이언츠
박명현,3200,,,롯데 자이언츠
이진하,3200,,,롯데 자이언츠
이태연,3100,,,롯데 자이언츠
최항,3100,-0.18,-17554,롯데 자이언츠
윤성빈,3100,-0.06,-49968,롯데 자이언츠
김동혁,3100,0.21,14524,롯데 자이언츠
신병률,3100,,,롯데 자이언츠
이주찬,3100,-0.49,-6332,롯데 자이언츠
정우준,3100,0.04,78951,롯데 자이언츠
송재영,3100,-0.17,-18291,롯데 자이언츠
홍민기,3100,-0.01,-245954,롯데 자이언츠
안우진,3000,,,롯데 자이언츠
이선우,3000,-0.20,-14708,롯데 자이언츠
박성준,3000,,,롯데 자이언츠
강성우,3000,-0.01,-577736,롯데 자이언츠
박준우,3000,0.00,3037969,롯데 자이언츠
이호준,3000,0.12,25827,롯데 자이언츠
정현수,3000,0.89,3373,롯데 자이언츠
전미르,3000,0.45,6734,롯데 자이언츠
소한빈,3000,,,롯데 자이언츠
전하원,3000,,,롯데 자이언츠
유제모,3000,,,롯데 자이언츠
기민성,3000,,,롯데 자이언츠
김대현,3000,,,롯데 자이언츠
고경표,3000,,,롯데 자이언츠
강승구,3000,-0.08,-39274,롯데 자이언츠
백두산,3000,-0.02,-150583,롯데 자이언츠
배세종,3000,,,롯데 자이언츠
하혜성,3000,,,롯데 자이언츠
이병준,3000,,,롯데 자이언츠
최우인,3000,,,롯데 자이언츠
이인한,3000,0.12,24573,롯데 자이언츠
박민우,100000,5.55,18022,NC 다이노스
박건우,80000,2.94,27245,NC 다이노스
박세혁,70000,0.59,118283,NC 다이노스
데이비슨,56000,4.27,13108,NC 다이노스
카스타노,52000,1.83,28476,NC 다이노스
하트,50000,6.22,8035,NC 다이노스
손아섭,50000,1.03,48314,NC 다이노스
이용찬,40000,-1.02,-39294,NC 다이노스
김영규,22500,1.48,15219,NC 다이노스
이재학,20000,1.16,17183,NC 다이노스
신민혁,18000,2.76,6531,NC 다이노스
류진욱,16500,-0.13,-122398,NC 다이노스
김주원,16000,5.43,2945,NC 다이노스
권희동,15000,4.11,3647,NC 다이노스
임정호,13500,0.59,22735,NC 다이노스
송명기,13500,-0.16,-83813,NC 다이노스
서호철,12000,2.00,6001,NC 다이노스
김시훈,11000,1.91,5771,NC 다이노스
김휘집,11000,2.42,4548,NC 다이노스
요키시,10000,0.08,131961,NC 다이노스
김성욱,9500,-0.37,-25964,NC 다이노스
심창민,8500,,,NC 다이노스
최성영,8300,-0.03,-322111,NC 다이노스
도태훈,8000,0.48,16655,NC 다이노스
오영수,7200,0.23,30943,NC 다이노스
안중열,7100,0.33,21755,NC 다이노스
이용준,6700,0.04,185028,NC 다이노스
최정원,6600,0.82,8096,NC 다이노스
윤형준,6500,,,NC 다이노스
배재환,6300,-0.11,-55843,NC 다이노스
김재열,6000,1.98,3034,NC 다이노스
김진호,6000,0.00,11747269,NC 다이노스
김형준,5800,0.50,11489,NC 다이노스
천재환,5000,0.31,16080,NC 다이노스
이준호,4500,-0.68,-6645,NC 다이노스
한재환,4000,-0.08,-50935,NC 다이노스
김태현,4000,-0.13,-31557,NC 다이노스
한석현,3900,-0.47,-8230,NC 다이노스
김한별,3800,-0.23,-16588,NC 다이노스
채원후,3500,-0.03,-101895,NC 다이노스
송승환,3500,0.13,26594,NC 다이노스
한재승,3400,0.59,5789,NC 다이노스
전사민,3400,-0.30,-11353,NC 다이노스
전루건,3200,-0.14,-22406,NC 다이노스
박영빈,3200,-0.12,-27206,NC 다이노스
이우석,3200,,,NC 다이노스
소이현,3200,-0.06,-53577,NC 다이노스
김수윤,3200,-0.10,-31236,NC 다이노스
최보성,3200,,,NC 다이노스
문상인,3100,,,NC 다이노스
조현진,3100,,,NC 다이노스
박한결,3100,-0.31,-9935,NC 다이노스
박주찬,3100,,,NC 다이노스
김준원,3000,,,NC 다이노스
김재민,3000,,,NC 다이노스
김민균,3000,,,NC 다이노스
고승완,3000,,,NC 다이노스
조현민,3000,,,NC 다이노스
홍유원,3000,,,NC 다이노스
원종해,3000,,,NC 다이노스
김세훈,3000,-0.11,-27852,NC 다이노스
손주환,3000,-0.04,-73787,NC 다이노스
최우석,3000,0.12,25298,NC 다이노스
최우재,3000,,,NC 다이노스
임상현,3000,-0.02,-121956,NC 다이노스
김휘건,3000,,,NC 다이노스
박인우,3000,,,NC 다이노스
김태호,3000,,,NC 다이노스
김민규,3000,-0.08,-39480,NC 다이노스
서의태,3000,-0.06,-52157,NC 다이노스
안인산,3000,,,NC 다이노스
박시원,3000,-0.27,-11284,NC 다이노스
임형원,3000,,,NC 다이노스
박지한,3000,,,NC 다이노스
이현우,3000,,,NC 다이노스
박동수,3000,,,NC 다이노스
목지훈,3000,-0.21,-14190,NC 다이노스
신용석,3000,-0.10,-30908,NC 다이노스
신영우,3000,-0.13,-22821,NC 다이노스
박주현,3000,0.03,109982,NC 다이노스
신성호,3000,,,NC 다이노스
김택우,3000,,,NC 다이노스
서동욱,3000,,,NC 다이노스
김범준,3000,-0.15,-19963,NC 다이노스
후라도,120000,6.13,19581,키움 히어로즈
이형종,68000,0.66,103358,키움 히어로즈
김혜성,65000,6.72,9677,키움 히어로즈
최주환,65000,0.35,184816,키움 히어로즈
헤이수스,60000,4.65,12907,키움 히어로즈
도슨,55000,3.42,16102,키움 히어로즈
원종현,50000,0.09,563411,키움 히어로즈
이원석,40000,-0.47,-84662,키움 히어로즈
조상우,34000,0.65,52414,키움 히어로즈
이용규,20000,1.54,12962,키움 히어로즈
정찬헌,20000,-0.01,-2847960,키움 히어로즈
김재웅,19000,0.38,49496,키움 히어로즈
송성문,13000,6.87,1892,키움 히어로즈
김태진,11000,0.89,12361,키움 히어로즈
김성민,9000,0.48,18900,키움 히어로즈
하영민,8000,2.95,2711,키움 히어로즈
문성현,7500,-0.12,-64581,키움 히어로즈
임지열,7200,-0.74,-9765,키움 히어로즈
김선기,7000,0.10,67435,키움 히어로즈
임병욱,7000,0.02,412726,키움 히어로즈
이주형,6600,2.51,2634,키움 히어로즈
김동혁,6000,-0.52,-11522,키움 히어로즈
이명종,6000,-0.17,-36311,키움 히어로즈
김재현,5500,0.10,57006,키움 히어로즈
김웅빈,5000,-0.40,-12581,키움 히어로즈
변상권,4800,0.24,19811,키움 히어로즈
김수환,4700,-0.10,-48994,키움 히어로즈
박승주,4500,0.02,281711,키움 히어로즈
김주형,4500,-0.08,-58698,키움 히어로즈
윤석원,4300,-0.31,-14096,키움 히어로즈
신준우,4200,0.00,5235680,키움 히어로즈
장재영,4000,-0.41,-9657,키움 히어로즈
오석주,4000,-0.32,-12697,키움 히어로즈
박수종,4000,0.25,15819,키움 히어로즈
박찬혁,4000,,,키움 히어로즈
김동헌,4000,-0.12,-34516,키움 히어로즈
윤정현,4000,-0.01,-316216,키움 히어로즈
조영건,4000,-0.52,-7628,키움 히어로즈
김준형,3700,,,키움 히어로즈
박주홍,3600,-0.24,-14893,키움 히어로즈
김시앙,3600,-0.05,-76364,키움 히어로즈
주성원,3500,0.01,375377,키움 히어로즈
김인범,3300,0.68,4864,키움 히어로즈
오상원,3300,,,키움 히어로즈
김병휘,3300,-0.34,-9846,키움 히어로즈
김건희,3200,0.60,5377,키움 히어로즈
주승우,3200,0.74,4312,키움 히어로즈
이종민,3200,-0.15,-21098,키움 히어로즈
김동규,3100,-0.01,-234222,키움 히어로즈
조성훈,3100,,,키움 히어로즈
이승원,3100,-0.96,-3239,키움 히어로즈
송재선,3100,,,키움 히어로즈
양지율,3000,0.07,40694,키움 히어로즈
박승호,3000,,,키움 히어로즈
박범준,3000,-0.11,-28239,키움 히어로즈
박채울,3000,,,키움 히어로즈
김지성,3000,,,키움 히어로즈
송지후,3000,0.04,73695,키움 히어로즈
