선수,WAR,G_x,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,pid,연도,기존pid,G_y,GS,IP,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,수상횟수,1루수,2루수,3루수,우익수,유격수,좌익수,중견수,포수,샐러리캡,연봉,이후연봉
이동훈,-0.56,33,-0.43,-0.13,62,58,53,8,10,1,0,0,11,2,2,2,3,2,0,12,2,4,0,0.189,0.259,0.208,0.467,0.027,23.3,125269,2021,12526,26.0,15.0,150.0,-0.13,55.0,53.0,1.0,1.0,0.982,3.24,-0.37,-0.6,-0.34,0.0,0.0,0.0,0.0,0.0,-1.31,-7.255,-0.003,-1.313,-0.13,0.0,0,0,0,0,0,0,1,0,415241,3300.0,3300.0
노태형,-0.56,18,-0.47,-0.08,49,49,43,6,5,1,0,0,6,1,0,0,6,0,0,15,0,0,0,0.116,0.224,0.14,0.364,-0.005,-4.4,112699,2021,11269,12.0,10.0,75.0,-0.132,62.0,56.0,4.0,2.0,0.968,7.2,-1.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,-0.84,-10.08,-0.495,-1.335,-0.083,0.0,1,0,0,0,0,0,0,0,415241,3400.0,
이도윤,-0.57,56,-0.51,-0.06,68,67,63,5,11,0,0,0,11,2,1,2,4,0,0,18,1,1,0,0.175,0.224,0.175,0.399,-0.004,-3.2,114149,2021,11414,54.0,12.0,185.0,-0.035,72.0,22.0,46.0,4.0,0.944,3.308,-0.93,0.0,-0.27,0.77,0.0,0.0,0.0,0.0,-0.61,-1.627,0.261,-0.349,-0.061,0.0,0,0,0,0,1,0,0,0,415241,3200.0,3400.0
유로결,-0.88,34,-0.82,-0.07,112,110,98,11,14,5,0,1,22,7,2,1,8,2,0,39,2,2,2,0.143,0.218,0.224,0.442,0.011,8.9,141269,2021,14126,34.0,28.0,253.0,-0.067,78.0,77.0,1.0,0.0,1.0,2.775,-1.64,0.71,0.27,0.0,0.0,0.0,0.0,0.0,-0.67,-2.838,-0.009,-0.679,-0.066,0.0,0,0,0,1,0,0,0,0,415241,3200.0,3300.0
이원석,-0.99,43,-0.76,-0.23,130,126,114,12,20,1,1,1,26,9,4,2,8,2,0,43,1,4,2,0.175,0.238,0.228,0.466,0.021,17.0,131389,2021,13138,41.0,31.0,300.0,-0.229,74.0,72.0,1.0,1.0,0.986,2.19,-1.92,-0.69,0.3,0.0,0.0,0.0,0.0,0.0,-2.31,-8.113,-0.0,-2.31,-0.229,0.0,0,0,0,0,0,0,1,0,415241,3000.0,3300.0
임종찬,-1.32,42,-1.1,-0.22,146,144,131,9,20,5,0,1,28,8,0,1,12,1,0,49,2,2,0,0.153,0.229,0.214,0.443,0.014,11.8,147069,2021,14706,40.0,38.0,329.0,-0.366,71.0,70.0,0.0,1.0,98.6,1.91,-1.39,-0.81,-0.05,0.0,0.0,0.0,0.0,0.0,-2.25,-7.71,-1.44,-3.69,-0.223,0.0,0,0,0,1,0,0,0,0,415241,3600.0,
홍창기,6.92,144,7.02,-0.1,651,647,524,103,172,26,2,4,214,52,23,8,109,16,4,95,6,0,2,0.328,0.456,0.408,0.864,0.19,164.4,125466,2021,12546,155.0,132.0,1117.0,-0.125,253.0,247.0,4.0,2.0,0.992,2.022,-1.6,0.35,0.23,0.0,0.0,0.0,0.0,0.0,-1.04,-0.966,-0.222,-1.262,-0.103,1.0,0,0,0,1,0,0,0,0,949698,10000.0,30000.0
김현수,3.34,140,3.53,-0.19,595,592,506,70,144,23,1,17,220,96,3,0,77,3,5,42,7,0,9,0.285,0.376,0.435,0.811,0.153,132.2,101876,2021,10187,85.0,78.0,631.0,-0.486,133.0,131.0,2.0,0.0,1.0,1.897,-1.67,-0.76,0.57,0.0,0.0,0.0,0.0,0.0,-1.87,-3.168,-3.031,-4.901,-0.186,0.0,0,0,0,0,0,1,0,0,949698,100000.0,225000.0
오지환,3.18,134,2.48,0.7,532,528,464,62,118,19,2,8,165,57,12,6,54,5,0,82,11,4,5,0.254,0.335,0.356,0.691,0.109,94.6,104756,2021,10475,132.0,129.0,1060.2,1.738,547.0,175.0,359.0,13.0,97.6,4.53,7.69,0.0,-0.28,-0.34,0.0,0.0,0.0,0.0,7.07,7.6,10.46,17.53,0.701,0.0,0,0,0,0,1,0,0,0,949698,60000.0,60000.0
채은성,2.33,110,2.54,-0.21,448,446,387,59,107,20,0,16,175,82,4,2,38,16,2,80,9,0,7,0.276,0.359,0.452,0.811,0.148,128.9,112156,2021,11215,85.0,79.0,642.0,-0.543,152.0,147.0,4.0,1.0,0.993,2.117,-2.65,0.13,0.39,0.0,0.0,0.0,0.0,0.0,-2.14,-3.625,-3.33,-5.47,-0.212,0.0,1,0,0,0,0,0,0,0,949698,30000.0,240000.0
유강남,2.17,130,2.17,0.0,441,437,397,39,100,16,0,11,149,60,2,0,25,14,1,75,11,3,2,0.252,0.317,0.375,0.692,0.105,90.9,107536,2021,10753,129.0,117.0,961.0,1.024,897.0,829.0,65.0,3.0,99.7,8.37,-1.21,0.0,2.61,0.0,-0.42,0.59,-2.26,0.0,-0.01,-0.01,10.34,10.33,-0.001,0.0,0,0,0,0,0,0,0,1,949698,30000.0,160000.0
김민성,1.41,121,0.78,0.63,426,415,360,35,80,22,0,8,126,39,3,3,42,8,2,73,7,11,5,0.222,0.313,0.35,0.663,0.097,83.9,102386,2021,10238,122.0,107.0,861.0,0.63,242.0,56.0,179.0,7.0,0.971,2.456,5.49,0.0,0.65,0.08,0.0,0.0,0.0,0.0,6.35,7.495,0.001,6.351,0.63,0.0,0,0,1,0,0,0,0,0,949698,40000.0,18000.0
문보경,1.28,107,0.84,0.44,329,326,278,37,64,11,1,8,101,39,3,1,46,0,1,64,5,3,2,0.23,0.337,0.363,0.7,0.115,99.6,141376,2021,14137,116.0,79.0,664.0,0.245,536.0,429.0,102.0,5.0,0.991,7.197,4.17,0.0,0.52,-0.38,0.0,0.0,0.0,0.0,4.43,5.499,-1.956,2.474,0.439,0.0,0,0,1,0,0,0,0,0,949698,3000.0,17000.0
서건창,0.99,68,0.77,0.22,267,263,235,33,58,12,1,2,78,24,6,0,24,3,0,34,5,4,1,0.247,0.323,0.332,0.655,0.096,83.5,108556,2021,10855,62.0,58.0,463.2,0.465,237.0,115.0,121.0,1.0,99.6,4.58,1.93,0.0,0.09,0.23,0.0,0.0,0.0,0.0,2.25,2.25,2.44,4.69,0.223,0.0,0,1,0,0,0,0,0,0,949698,22500.0,20000.0
이재원,0.71,62,0.33,0.38,171,171,154,22,38,6,0,5,59,17,5,1,14,2,0,48,2,0,1,0.247,0.316,0.383,0.699,0.106,92.4,131046,2021,13104,57.0,41.0,366.0,0.296,87.0,84.0,3.0,0.0,1.0,2.139,3.1,0.24,0.44,0.0,0.0,0.0,0.0,0.0,3.78,9.549,-0.801,2.979,0.375,0.0,0,0,0,0,0,1,0,0,949698,3200.0,8500.0
라모스,0.6,51,0.6,0.0,205,205,185,14,45,7,1,8,78,25,0,0,18,2,0,43,2,0,0,0.243,0.317,0.422,0.739,0.119,103.5,145926,2021,14592,37.0,37.0,287.0,-0.293,314.0,286.0,24.0,4.0,98.7,9.72,1.63,0.0,-0.76,0.0,-0.83,0.0,0.0,0.0,0.04,0.13,-3.0,-2.96,0.004,0.0,1,0,0,0,0,0,0,0,949698,104000.0,
정주현,0.6,73,0.58,0.01,214,205,181,26,43,7,1,3,61,10,3,3,24,0,0,32,4,9,0,0.238,0.327,0.337,0.664,0.101,87.3,104806,2021,10480,72.0,67.0,505.0,0.224,310.0,110.0,188.0,12.0,96.1,5.31,0.28,0.0,-0.36,0.22,0.0,0.0,0.0,0.0,0.13,0.27,2.12,2.25,0.013,0.0,1,0,0,0,0,0,0,0,949698,14000.0,6500.0
이형종,0.51,90,0.96,-0.45,281,280,239,32,52,11,0,10,93,34,3,1,34,7,1,65,10,1,0,0.218,0.332,0.389,0.721,0.121,104.4,125166,2021,12516,45.0,35.0,306.0,-0.523,64.0,59.0,3.0,2.0,0.969,1.824,-4.23,0.36,-0.66,0.0,0.0,0.0,0.0,0.0,-4.53,-14.496,-0.746,-5.276,-0.449,0.0,0,0,0,0,0,1,0,0,949698,18000.0,12000.0
김용의,0.35,102,0.12,0.23,41,37,27,19,4,2,0,0,6,2,6,0,9,0,0,5,1,4,1,0.148,0.351,0.222,0.573,0.093,79.9,104666,2021,10466,93.0,3.0,172.0,0.169,172.0,155.0,16.0,1.0,0.994,8.948,2.12,0.0,0.15,0.0,0.0,0.0,0.0,0.0,2.32,3.592,-0.612,1.708,0.23,0.0,1,0,0,0,0,0,0,0,949698,20000.0,
문성주,0.12,31,-0.15,0.28,89,89,79,11,18,1,0,1,22,10,1,1,7,2,0,15,1,0,1,0.228,0.303,0.278,0.581,0.07,59.7,131126,2021,13112,34.0,20.0,181.0,0.243,49.0,48.0,0.0,1.0,0.98,2.387,3.56,-0.43,-0.32,0.0,0.0,0.0,0.0,0.0,2.81,11.901,-0.365,2.445,0.279,0.0,0,0,0,0,0,1,0,0,949698,3100.0,9500.0
한석현,0.06,16,0.16,-0.09,26,26,21,5,6,2,1,0,10,1,2,0,3,1,0,7,1,0,1,0.286,0.385,0.476,0.861,0.163,144.8,132506,2021,13250,12.0,7.0,58.0,-0.105,8.0,7.0,0.0,1.0,0.875,1.086,-0.01,-0.49,-0.44,0.0,0.0,0.0,0.0,0.0,-0.94,-11.28,-0.123,-1.063,-0.093,0.0,0,0,0,0,0,1,0,0,949698,3200.0,3900.0
이영빈,0.02,72,0.17,-0.15,169,167,148,21,36,9,0,2,51,16,6,3,15,3,0,51,1,2,1,0.243,0.323,0.345,0.668,0.1,85.4,147836,2021,14783,66.0,34.0,296.0,-0.184,240.0,176.0,57.0,7.0,0.971,7.084,-1.05,0.0,-0.17,-0.3,0.0,0.0,0.0,0.0,-1.51,-3.295,-0.348,-1.858,-0.15,0.0,1,0,0,0,0,0,0,0,949698,16000.0,
최민창,0.0,3,-0.05,0.05,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.179,-166.5,113516,2021,11351,4.0,0.0,6.0,0.054,1.0,1.0,0.0,0.0,1.0,1.5,0.52,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.54,19.44,0.0,0.54,0.054,0.0,0,0,0,0,0,1,0,0,949698,3100.0,3300.0
신민재,-0.03,32,-0.05,0.02,27,27,23,8,3,0,0,0,3,2,2,1,4,0,0,6,0,0,0,0.13,0.259,0.13,0.389,0.014,12.0,130566,2021,13056,23.0,4.0,64.0,0.025,28.0,13.0,14.0,1.0,0.964,3.797,1.22,-0.21,-0.42,-0.41,0.0,0.0,0.0,0.0,0.19,1.19,0.06,0.25,0.019,0.0,0,1,0,0,0,0,0,0,949698,5500.0,4800.0
장준원,-0.05,5,-0.08,0.03,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.179,-157.2,112146,2021,11214,5.0,0.0,9.0,0.029,6.0,3.0,2.0,1.0,0.833,5.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,8.352,0.0,0.29,0.029,0.0,0,0,1,0,0,0,0,0,949698,4500.0,5000.0
이주형,-0.07,14,-0.16,0.09,19,18,16,3,2,0,0,0,2,0,2,1,1,1,0,7,0,1,0,0.125,0.222,0.125,0.347,-0.011,-9.7,145916,2021,14591,6.0,3.0,26.0,0.074,25.0,24.0,1.0,0.0,1.0,8.654,0.85,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.87,20.88,-0.12,0.75,0.086,0.0,1,0,0,0,0,0,0,0,949698,3000.0,9300.0
이상호,-0.1,45,0.0,-0.1,68,66,65,5,20,2,0,0,22,12,2,1,1,0,0,10,2,2,0,0.308,0.318,0.338,0.656,0.088,77.2,111476,2021,11147,44.0,15.0,181.0,-0.081,98.0,48.0,48.0,2.0,0.98,4.773,-1.06,0.0,0.19,-0.44,0.0,0.0,0.0,0.0,-1.0,-3.273,0.18,-0.82,-0.099,0.0,0,1,0,0,0,0,0,0,949698,9000.0,7000.0
구본혁,-0.11,123,-0.32,0.21,45,44,38,10,5,2,0,0,7,3,0,0,3,1,0,7,0,1,2,0.132,0.205,0.184,0.389,-0.009,-7.6,141406,2021,14140,134.0,7.0,265.0,0.233,130.0,46.0,82.0,2.0,0.985,4.347,-0.27,0.0,0.34,1.59,0.0,0.0,0.0,0.0,2.14,2.3,0.205,2.345,0.212,0.0,0,1,0,0,0,0,0,0,949698,6300.0,
이성우,-0.12,36,-0.19,0.07,39,34,33,0,7,0,0,0,7,2,0,0,1,0,0,8,1,5,0,0.212,0.235,0.212,0.447,0.009,8.2,100046,2021,10004,34.0,11.0,112.2,0.15,107.0,101.0,5.0,1.0,99.1,8.47,-0.14,0.0,-0.13,0.0,0.14,-0.43,1.77,0.0,0.67,2.69,0.84,1.51,0.067,0.0,0,0,0,0,0,0,0,1,949698,8000.0,
김주성,-0.15,3,0.12,-0.27,7,7,6,1,1,0,0,1,4,1,0,0,1,0,0,3,0,0,0,0.167,0.286,0.667,0.953,0.175,159.5,125456,2021,12545,3.0,1.0,13.0,-0.268,3.0,1.0,0.0,2.0,0.333,0.692,-2.71,0.0,0.01,0.0,0.0,0.0,0.0,0.0,-2.7,-129.6,0.0,-2.7,-0.268,0.0,0,0,1,0,0,0,0,0,949698,3100.0,3400.0
김호은,-0.2,7,-0.24,0.04,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,-0.179,-151.4,125546,2021,12554,2.0,1.0,9.0,0.034,11.0,9.0,2.0,0.0,100.0,11.0,0.42,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.43,8.78,-0.08,0.35,0.042,0.0,1,0,0,0,0,0,0,0,949698,5000.0,
