선수,Team,Sort▼,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR▼,팀,pid,연봉(만원),연도,포지션구분,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid_new
박시영,투수,0.36,17,0,17,6,0,0,0,2,0,5,15.2,8,8,7.1,68,19,1,0,2,4,0,1,11,0,0,0,4.6,4.6,4.08,4.0,4.14,1.47,0.36,KT 위즈,10737,12000,2022,투수,,,,,,,,,,,,,,,,,,,,,
조현우,투수,0.25,19,0,19,3,0,0,0,0,0,2,12.0,6,8,5.2,57,14,3,1,0,4,4,0,5,1,0,0,4.5,6.0,3.9,3.72,4.81,1.5,0.25,KT 위즈,11316,9500,2022,투수,,,,,,,,,,,,,,,,,,,,,
김민,투수,0.21,6,0,6,0,0,0,0,0,0,2,7.2,2,2,2.5,28,4,0,0,1,2,1,0,8,0,0,0,2.35,2.35,2.93,3.01,3.94,0.78,0.21,KT 위즈,13167,5500,2022,투수,,,,,,,,,,,,,,,,,,,,,
이정현,투수,0.11,3,0,3,2,0,0,0,0,0,0,3.2,1,1,1.0,18,3,0,0,1,4,1,0,1,0,0,0,2.45,2.45,2.45,2.26,10.58,1.91,0.11,KT 위즈,12937,3500,2022,투수,,,,,,,,,,,,,,,,,,,,,
안영명,투수,0.07,4,0,4,2,0,0,0,0,0,0,3.1,1,1,1.35,13,3,1,0,0,0,0,0,1,1,0,0,2.7,2.7,3.65,3.49,3.03,0.9,0.07,KT 위즈,10600,8500,2022,투수,,,,,,,,,,,,,,,,,,,,,
지명성,투수,0.03,2,0,2,2,0,0,0,0,0,0,2.0,1,1,1.0,10,3,0,0,0,0,1,0,1,0,0,1,4.5,4.5,4.5,4.15,4.08,1.5,0.03,KT 위즈,14775,3200,2022,투수,,,,,,,,,,,,,,,,,,,,,
이상우,투수,0.01,2,0,2,0,0,0,0,0,0,0,3.1,1,1,2.55,14,3,1,0,0,2,0,0,1,0,0,0,2.7,2.7,6.89,6.35,4.89,1.5,0.01,KT 위즈,15090,3000,2022,투수,,,,,,,,,,,,,,,,,,,,,
김태오,투수,-0.02,5,0,5,1,0,0,0,0,0,0,4.1,2,2,3.9,22,9,0,0,0,0,0,0,5,0,0,0,4.15,4.15,8.1,7.47,0.9,2.08,-0.02,KT 위즈,12577,3400,2022,투수,,,,,,,,,,,,,,,,,,,,,
이창재,투수,-0.11,4,0,4,1,0,0,0,1,0,0,1.1,5,5,3.45,12,5,1,0,0,2,1,0,2,0,0,0,33.75,33.75,23.29,21.47,7.01,5.25,-0.11,KT 위즈,11320,6700,2022,투수,,,,,,,,,,,,,,,,,,,,,
전유수,투수,-0.22,8,0,8,8,0,0,0,0,0,0,11.0,10,10,12.75,54,17,6,0,1,5,0,0,2,0,0,0,8.18,8.18,10.43,10.04,5.82,2.0,-0.22,KT 위즈,10841,8000,2022,투수,,,,,,,,,,,,,,,,,,,,,
하준호,투수,-0.29,20,0,20,6,0,0,0,1,0,0,16.1,15,16,15.35,77,16,2,0,2,16,1,0,15,0,0,1,8.27,8.82,8.46,8.54,6.17,1.96,-0.29,KT 위즈,10304,5000,2022,투수,,,,,,,,,,,,,,,,,,,,,
