팀,선수,WAR,연봉등급,pid,연도
키움 히어로즈,양지율,0.07,E,12854,2024
키움 히어로즈,박승호,-,E,16134,2024
키움 히어로즈,박범준,-0.11,E,16133,2024
키움 히어로즈,박채울,-,E,16132,2024
키움 히어로즈,김지성,-,E,16131,2024
키움 히어로즈,송지후,0.04,E,16130,2024
키움 히어로즈,김주훈,-,E,16129,2024
키움 히어로즈,고영우,-0.59,E,16128,2024
키움 히어로즈,김연주,-0.13,E,16127,2024
키움 히어로즈,이우현,-,E,16126,2024
키움 히어로즈,손현기,-0.10,E,16125,2024
키움 히어로즈,이재상,-1.20,E,16124,2024
키움 히어로즈,김윤하,0.45,E,16123,2024
키움 히어로즈,전준표,-0.30,E,16122,2024
키움 히어로즈,심휘윤,-0.01,E,16135,2024
키움 히어로즈,원성준,-0.25,E,16136,2024
키움 히어로즈,노운현,-,E,15027,2024
키움 히어로즈,주승빈,-,E,15072,2024
키움 히어로즈,김동욱,0.11,E,14681,2024
키움 히어로즈,안겸,-,D,15482,2024
키움 히어로즈,변헌성,-,D,15481,2024
키움 히어로즈,이호열,-,D,15480,2024
키움 히어로즈,박성빈,-0.03,D,15479,2024
키움 히어로즈,우승원,-,D,15478,2024
키움 히어로즈,박준형,-0.25,E,14211,2024
키움 히어로즈,박윤성,0.04,C,15475,2024
키움 히어로즈,서유신,-,D,15483,2024
키움 히어로즈,이명기,-,E,14212,2024
키움 히어로즈,신효수,-,E,16137,2024
한화 이글스,류현진,2.77,A,10590,2025
한화 이글스,폰세,5.86,A,16313,2025
한화 이글스,플로리얼,1.96,B,16312,2025
한화 이글스,엄상백,-0.11,B,11318,2025
한화 이글스,와이스,3.42,B,16153,2025
한화 이글스,채은성,1.73,B,11215,2025
한화 이글스,안치홍,-1.17,B,10014,2025
한화 이글스,최재훈,2.62,B,10170,2025
한화 이글스,심우준,0.16,B,11334,2025
한화 이글스,노시환,1.97,B,14125,2025
한화 이글스,리베라토,1.18,C,16396,2025
한화 이글스,이태양,0.05,C,10609,2025
한화 이글스,주현상,-0.07,C,11415,2025
한화 이글스,박상원,1.16,C,12871,2025
한화 이글스,장시환,-,C,10453,2025
한화 이글스,장민재,-,C,10610,2025
한화 이글스,김태연,0.25,C,12585,2025
한화 이글스,김범수,0.74,C,11411,2025
한화 이글스,김민우,-,C,11410,2025
한화 이글스,이도윤,0.47,C,11414,2025
한화 이글스,문동주,2.30,C,15013,2025
한화 이글스,이재원,0.11,C,10082,2025
한화 이글스,한승혁,1.70,D,10812,2025
한화 이글스,이민우,-,D,13003,2025
한화 이글스,하주석,2.03,D,10913,2025
한화 이글스,문현빈,1.74,D,15422,2025
한화 이글스,황영묵,0.34,D,16110,2025
한화 이글스,윤대경,-,D,11110,2025
한화 이글스,최인호,0.15,D,14707,2025
한화 이글스,이진영,2.38,D,12539,2025
한화 이글스,김기중,0.31,D,14808,2025
한화 이글스,김서현,2.38,D,15421,2025
한화 이글스,김인환,-0.30,D,12589,2025
한화 이글스,김종수,0.38,D,11117,2025
한화 이글스,김규연,-,D,14871,2025
한화 이글스,이원석,1.23,D,13138,2025
한화 이글스,이상규,-0.23,E,13245,2025
한화 이글스,황준서,0.71,E,16107,2025
한화 이글스,박상언,-,E,12587,2025
한화 이글스,배민서,-,E,14158,2025
한화 이글스,조동욱,1.26,E,16108,2025
한화 이글스,권광민,-0.12,E,13676,2025
한화 이글스,윤산흠,-0.04,E,14196,2025
한화 이글스,임종찬,-0.12,E,14706,2025
한화 이글스,박정현,-0.02,E,14704,2025
한화 이글스,조한민,-,E,14210,2025
한화 이글스,이상혁,-0.36,E,15139,2025
한화 이글스,유로결,-0.31,E,14126,2025
한화 이글스,장지수,-,E,14178,2025
한화 이글스,이충호,-,E,11116,2025
한화 이글스,배동현,-,E,14809,2025
한화 이글스,허관회,-,E,14204,2025
한화 이글스,박성웅,-,E,13136,2025
한화 이글스,장규현,0.06,E,14811,2025
한화 이글스,김건,-,E,14209,2025
한화 이글스,김승일,-0.05,E,14711,2025
한화 이글스,송호정,-,E,14812,2025
한화 이글스,정민규,-,E,14813,2025
한화 이글스,한경빈,-,E,15633,2025
한화 이글스,허인서,0.10,E,15015,2025
한화 이글스,김도빈,-,E,16118,2025
