Name,Team,WAAwithPOS,G_x,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,WAR,G_y,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,연봉(만원)
최동환,24 P,,25,0,22.0,7,4,3,0,100.0,2.86,,,,,,,,,0.0,0.0,,,0.0,105356,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,13000
이종준,24 P,,26,0,26.0,3,1,2,0,100.0,1.04,,,,,,,,,0.0,0.0,,,0.0,146516,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3000
박명근,24 P,,30,0,25.1,2,0,2,0,100.0,0.71,,,,,,,,,0.0,0.0,,,0.0,154866,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6500
김진성,24 P,,70,0,70.1,10,4,5,1,90.0,1.15,,,,,,,,,0.0,0.0,,,0.0,111666,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,20000
임준형,24 P,,17,1,13.2,2,1,1,0,100.0,1.32,,,,,,,,,0.0,0.0,,,0.0,141426,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,4800
전준호,24 C,,3,0,5.0,5,4,1,0,100.0,9.0,0.33,,0.02,,,,-0.27,,0.16,7.49,,,0.014,128646,-0.01,3,-0.03,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.19,-134.5,3300
김영준,24 P,,14,0,15.1,3,1,2,0,100.0,1.76,,,,,,,,,0.0,0.0,,,0.0,131026,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3600
유강남,24 C,0.5,50,42,324.2,303,277,23,3,99.0,8.32,0.59,,-0.33,,,1.0,0.89,,1.88,5.2,3.6,5.48,0.171,107532,0.08,52,-0.08,0.16,155,153,136,11,26,3,0,5,44,20,0,0,9,7,0,25,4,2,1,0.191,0.275,0.324,0.599,0.071,50.3,100000
정보근,24 C,0.291,89,42,379.1,373,335,34,4,98.9,8.75,0.41,,-0.64,,0.03,0.39,-0.49,,-0.15,-0.25,3.34,3.18,-0.014,131542,-0.63,89,-0.61,-0.02,140,136,133,9,30,0,1,2,38,7,0,0,3,0,0,31,5,4,0,0.226,0.243,0.286,0.529,0.03,21.4,7500
손성빈,24 C,0.228,86,52,445.2,443,414,25,4,99.1,8.87,-1.0,,-0.4,,0.22,-1.43,1.43,,-1.61,-2.7,4.1,2.49,-0.147,147962,0.08,86,0.19,-0.11,171,170,152,24,30,6,2,6,58,21,0,0,13,3,0,38,3,1,2,0.197,0.271,0.382,0.653,0.082,58.7,5000
정대선,24 2B,0.093,2,0,4.0,5,2,3,0,100.0,11.25,0.62,,0.02,0.37,,,,,1.01,48.62,0.01,1.02,0.093,154432,0.04,3,-0.05,0.09,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-0.19,-142.1,3200
