Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid
배정대,21 CF,0.365,144,139,1189.1,318,308,7,3,99.1,2.38,2.41,1.55,-0.28,,,,,,3.68,3.68,0.0,3.68,0.365,112128
허도환,21 C,0.35,57,33,290.1,252,238,13,1,99.6,7.78,-0.17,,0.44,,-0.05,-0.08,0.8,,0.7,1.63,2.83,3.53,0.069,106848
이홍구,21 C,0.246,35,13,143.1,129,122,7,0,100.0,8.1,-0.12,,0.46,,,0.49,0.6,,1.26,4.89,1.22,2.48,0.125,110718
박경수,21 2B,0.094,97,60,522.0,305,121,181,3,99.0,5.21,-0.48,,0.66,-1.6,,,,,-1.42,-1.73,2.37,0.95,-0.141,104698
고영표,21 P,0.0,26,25,166.2,38,10,28,0,100.0,2.05,,,,,,,,,0.0,0.0,0.0,0.0,0.0,113088
김준태,21 C,-0.001,7,1,16.0,17,13,3,1,94.1,9.0,0.0,,-0.45,,,0.43,-0.22,,-0.17,-0.43,0.17,-0.01,-0.017,108358
김건형,21 RF,-0.147,11,11,85.0,10,9,1,0,100.0,1.06,-1.62,0.4,0.12,,,,,,-1.1,-14.34,-0.39,-1.49,-0.109,147798
알몬테,21 LF,-0.371,35,33,241.0,55,52,1,2,96.4,1.98,-1.67,-0.44,-0.28,,,,,,-2.4,-5.76,-1.34,-3.74,-0.238,147528
안영명,21 P,,35,0,35.1,8,1,7,0,100.0,2.04,,,,,,,,,0.0,0.0,,,0.0,106008
김민수,21 P,,55,1,58.0,15,6,7,2,86.7,2.02,,,,,,,,,0.0,0.0,,,0.0,113178
이대은,21 P,,31,0,31.0,6,4,2,0,100.0,1.74,,,,,,,,,0.0,0.0,,,0.0,119078
유원상,21 P,,11,0,13.1,2,0,2,0,100.0,1.35,,,,,,,,,0.0,0.0,,,0.0,106048
심재민,21 P,,28,2,46.2,6,2,4,0,100.0,1.16,,,,,,,,,0.0,0.0,,,0.0,113118
데스파이네,21 P,,33,33,188.2,46,9,36,1,97.8,2.15,,,,,,,,,0.0,,,,0.0,146028
하준호,21 P,,10,0,12.0,2,0,2,0,100.0,1.5,,,,,,,,,0.0,0.0,,,0.0,103048
이창재,21 P,,32,0,26.2,1,0,1,0,100.0,0.34,,,,,,,,,0.0,0.0,,,0.0,113208
조현우,21 P,,48,0,31.0,17,4,11,2,88.2,4.35,,,,,,,,,0.0,0.0,,,0.0,113168
김재윤,21 P,,65,0,67.0,10,1,9,0,100.0,1.34,,,,,,,,,0.0,0.0,,,0.0,114898
박시영,21 P,,48,0,45.0,7,2,4,1,85.7,1.2,,,,,,,,,0.0,0.0,,,0.0,107378
강민호,21 C,1.11,119,110,934.0,856,800,49,7,99.2,8.18,0.14,,-0.47,,0.14,-1.2,2.4,,0.28,0.33,10.92,11.2,0.028,102323
김도환,21 C,0.119,25,13,113.2,92,88,3,1,98.9,7.21,0.27,,-0.13,,,-0.21,0.29,,0.12,0.71,1.08,1.2,0.012,141153
김상수,21 2B,0.061,130,125,1039.0,612,241,359,12,98.0,5.2,-1.7,,-1.18,-1.42,,,,,-4.3,-4.69,4.91,0.61,-0.426,103203
이성곤,21 1B,0.048,2,1,5.0,8,7,1,0,100.0,14.4,0.52,,0.0,,,,,,0.53,1.23,-0.04,0.49,0.052,112063
김민수,21 C,0.031,46,19,201.1,192,176,13,3,98.4,8.45,-0.26,,-0.85,,-0.04,1.42,-2.82,,-1.71,-5.22,2.02,0.31,-0.169,112663
김응민,21 C,0.015,1,1,7.0,4,4,0,0,100.0,5.14,0.0,,0.02,,,0.0,0.12,,0.11,15.25,0.05,0.15,0.01,108903
권정웅,21 C,0.004,2,1,3.0,2,2,0,0,100.0,6.0,,,0.01,,,,0.01,,0.02,1.4,0.02,0.04,0.002,125293
이학주,21 SS,-0.026,64,47,401.2,223,81,131,11,95.1,4.75,-2.27,,-1.35,-0.01,,,,,-3.63,-7.91,3.36,-0.27,-0.36,141143
구자욱,21 RF,-0.064,130,130,1085.0,259,247,9,3,98.8,2.12,3.89,1.18,0.0,,,,,,5.07,5.25,-5.71,-0.64,0.503,108923
김동엽,21 LF,-0.235,36,25,193.2,41,39,1,1,97.6,1.86,-0.94,-0.6,0.18,,,,,,-1.37,-2.85,-1.0,-2.37,-0.135,125483
피렐라,21 LF,-0.332,38,37,295.1,63,61,2,0,100.0,1.92,-2.73,0.72,0.27,,,,,,-1.74,-1.79,-1.61,-3.35,-0.172,147573
오재일,21 1B,-0.552,117,113,936.0,918,864,52,2,99.8,8.81,3.34,,0.78,,-0.36,,,,3.75,4.5,-9.32,-5.57,0.372,104003
최채흥,21 P,,26,20,122.1,32,9,23,0,100.0,2.35,,,,,,,,,0.0,,,,0.0,131563
이재익,21 P,,11,0,10.0,1,0,1,0,100.0,0.9,,,,,,,,,0.0,0.0,,,0.0,132443
문용익,21 P,,22,0,22.0,4,2,2,0,100.0,1.64,,,,,,,,,0.0,0.0,,,0.0,128853
오승환,21 P,,64,0,62.0,7,1,5,1,85.7,0.87,,,,,,,,,0.0,0.0,,,0.0,103673
이태훈,21 1B,,1,0,1.0,0,0,0,0,0.0,0.0,,,0.0,,,,,,0.0,0.04,,,0.0,131603
노성호,21 P,,16,0,19.0,2,1,1,0,100.0,0.95,,,,,,,,,0.0,0.0,,,0.0,111443
안주형,21 2B,,1,0,1.0,1,0,1,0,100.0,9.0,0.16,,0.0,,,,,,0.17,23.82,,,0.016,129883
