선수_x,팀_x,pid,포지션
안중열,NC 다이노스,113295,포수
박한결,NC 다이노스,154515,좌익수
데이비슨,NC 다이노스,160665,1루수
김범준,NC 다이노스,142225,좌익수
김기연,두산 베어스,125491,포수
양의지,두산 베어스,101651,포수
정수빈,두산 베어스,101951,중견수
허경민,두산 베어스,101841,3루수
임종성,두산 베어스,160691,3루수
안승한,두산 베어스,113281,포수
장승현,두산 베어스,110971,포수
장규빈,두산 베어스,145701,포수
류현준,두산 베어스,160761,포수
여동건,두산 베어스,160681,2루수
권휘,두산 베어스,136651,투수
박민준,두산 베어스,155151,포수
윤준호,두산 베어스,155121,포수
김재호,두산 베어스,101741,유격수
김재환,두산 베어스,106431,지명타자
라모스,두산 베어스,150001,우익수
양석환,두산 베어스,112131,1루수
오명진,두산 베어스,147371,2루수
김민혁,두산 베어스,129701,지명타자
김혜성,키움 히어로즈,129057,2루수
김재현,키움 히어로즈,108707,포수
김건희,키움 히어로즈,154727,포수
김시앙,키움 히어로즈,148517,포수
이형종,키움 히어로즈,125167,우익수
송지후,키움 히어로즈,161307,2루수
박성빈,키움 히어로즈,154797,포수
박준형,키움 히어로즈,142117,포수
김동헌,키움 히어로즈,154737,포수
이원석,키움 히어로즈,101807,지명타자
이재상,키움 히어로즈,161247,유격수
최주환,키움 히어로즈,101827,1루수
이영빈,LG 트윈스,147836,1루수
이유찬,두산 베어스,128941,3루수
김태진,키움 히어로즈,112447,유격수
오태곤,SSG 랜더스,102494,1루수
권광민,한화 이글스,136769,좌익수
김민수,LG 트윈스,129316,3루수
전민재,두산 베어스,130731,유격수
박계범,두산 베어스,111981,2루수
홍종표,KIA 타이거즈,146120,2루수
도태훈,NC 다이노스,125605,1루수
김선빈,KIA 타이거즈,100080,2루수
김규성,KIA 타이거즈,125400,3루수
이주찬,롯데 자이언츠,148192,3루수
김재혁,삼성 라이온즈,150363,1루수
김호진,삼성 라이온즈,158683,3루수
신윤후,롯데 자이언츠,141692,우익수
이성규,삼성 라이온즈,125623,우익수
천성호,KT 위즈,146068,2루수
강한울,삼성 라이온즈,112553,3루수
정훈,롯데 자이언츠,102532,1루수
박정우,KIA 타이거즈,128690,중견수
고승민,롯데 자이언츠,141602,2루수
김병휘,키움 히어로즈,145777,유격수
박주홍,키움 히어로즈,145807,좌익수
페라자,한화 이글스,161219,좌익수
고영우,키움 히어로즈,161287,3루수
이용규,키움 히어로즈,100357,중견수
원성준,키움 히어로즈,161367,지명타자
이주형,키움 히어로즈,145917,우익수
송성문,키움 히어로즈,113767,3루수
구본혁,LG 트윈스,141406,유격수
정은원,한화 이글스,131379,좌익수
문현빈,한화 이글스,154229,2루수
김주형,키움 히어로즈,142147,유격수
임병욱,키움 히어로즈,112267,중견수
장진혁,한화 이글스,125839,중견수
하주석,한화 이글스,109139,유격수
최원영,LG 트윈스,150846,좌익수
박수종,키움 히어로즈,151327,중견수
안익훈,LG 트윈스,113476,좌익수
김현종,LG 트윈스,160136,중견수
제러드,두산 베어스,161581,우익수
김태연,한화 이글스,125859,우익수
문성주,LG 트윈스,131126,좌익수
권희동,NC 다이노스,111725,좌익수
전다민,두산 베어스,160721,좌익수
김태근,두산 베어스,141751,좌익수
한석현,NC 다이노스,132505,우익수
김한별,NC 다이노스,147165,유격수
홍성호,두산 베어스,126061,1루수
김수윤,NC 다이노스,129035,1루수
김대한,두산 베어스,141701,우익수
최정원,NC 다이노스,142215,중견수
최항,롯데 자이언츠,108102,2루수
