선수,연봉(만원),WAR,WAR당 연봉,팀,pid
한동희,11000,2.87,3839,롯데 자이언츠,13145
정훈,10000,3.11,3217,롯데 자이언츠,10253
강윤구,10000,-0.25,-39506,롯데 자이언츠,10423
서준원,8500,-0.30,-28187,롯데 자이언츠,14159
오현택,7500,-0.13,-58530,롯데 자이언츠,10210
진명호,7500,0.20,37698,롯데 자이언츠,10301
김건국,6000,0.03,203822,롯데 자이언츠,12944
이병규,5500,0.05,109079,롯데 자이언츠,10477
송승준,5000,-,-,롯데 자이언츠,10285
김대우,5000,0.15,33749,롯데 자이언츠,10271
이인복,4800,1.24,3869,롯데 자이언츠,11232
정성종,4800,-0.08,-56981,롯데 자이언츠,13147
안중열,4700,1.86,2527,롯데 자이언츠,11329
김유영,4500,-0.17,-26803,롯데 자이언츠,11229
나균안,4300,0.05,83303,롯데 자이언츠,12930
최준용,4200,2.12,1985,롯데 자이언츠,14624
이승헌,4200,0.73,5756,롯데 자이언츠,13146
김재유,4200,0.39,10763,롯데 자이언츠,11483
정보근,3700,-0.14,-26948,롯데 자이언츠,13154
강로한,3700,-0.10,-37820,롯데 자이언츠,11389
강동호,3500,0.00,7950408,롯데 자이언츠,12927
지시완,3500,1.36,2570,롯데 자이언츠,11413
최영환,3500,0.24,14571,롯데 자이언츠,11276
추재현,3400,1.18,2877,롯데 자이언츠,13094
신용수,3400,-0.64,-5272,롯데 자이언츠,14169
한승혁,3400,-0.14,-23911,롯데 자이언츠,12590
박선우,3300,0.08,38900,롯데 자이언츠,12569
박명현,3200,-,-,롯데 자이언츠,14622
배성근,3200,-0.51,-6260,롯데 자이언츠,13279
정태승,3200,-,-,롯데 자이언츠,10833
강태율,3200,-0.26,-12249,롯데 자이언츠,11388
김민수,3200,0.32,9879,롯데 자이언츠,12931
박영완,3200,-,-,롯데 자이언츠,14164
윤성빈,3100,0.04,70846,롯데 자이언츠,12928
김주현,3100,0.06,49705,롯데 자이언츠,12570
홍민기,3100,0.00,-1864550,롯데 자이언츠,14625
엄태호,3100,-,-,롯데 자이언츠,14640
최민재,3100,-0.60,-5178,롯데 자이언츠,13004
김진욱,3000,0.26,11385,롯데 자이언츠,14792
김창훈,3000,-0.17,-17467,롯데 자이언츠,14793
송재영,3000,-0.30,-10033,롯데 자이언츠,14794
최우인,3000,-,-,롯데 자이언츠,14818
이병준,3000,-,-,롯데 자이언츠,14817
우강훈,3000,-,-,롯데 자이언츠,14816
김정주,3000,-,-,롯데 자이언츠,14815
정우준,3000,-0.02,-168216,롯데 자이언츠,14795
권동현,3000,-,-,롯데 자이언츠,14814
손성빈,3000,0.11,27012,롯데 자이언츠,14796
나승엽,3000,-0.22,-13824,롯데 자이언츠,14797
장두성,3000,-0.35,-8515,롯데 자이언츠,13155
김강현,3000,-,-,롯데 자이언츠,12699
나원탁,3000,-0.02,-186596,롯데 자이언츠,12935
김도규,3000,0.22,13754,롯데 자이언츠,13148
김동우,3000,-0.07,-43393,롯데 자이언츠,13149
이호연,3000,0.09,33496,롯데 자이언츠,13151
홍지훈,3000,-,-,롯데 자이언츠,12879
이강준,3000,-0.16,-18737,롯데 자이언츠,14601
박재민,3000,-0.03,-103211,롯데 자이언츠,14623
김동규,3000,-,-,롯데 자이언츠,14165
정대혁,2700,-,-,롯데 자이언츠,14995
이주찬,2700,-0.16,-17086,롯데 자이언츠,14819
최종은,2700,-0.01,-252424,롯데 자이언츠,14820
브룩스,100000,2.31,43373,KIA 타이거즈,14610
최형우,90000,1.51,59710,KIA 타이거즈,10344
터커,70000,0.35,202824,KIA 타이거즈,14224
김선빈,45000,2.70,16667,KIA 타이거즈,10008
멩덴,42500,3.48,12196,KIA 타이거즈,14755
나지완,40000,-1.15,-34670,KIA 타이거즈,10030
박준표,16000,-0.17,-96538,KIA 타이거즈,11070
전상현,14000,0.37,37373,KIA 타이거즈,12537
최원준,13000,3.60,3607,KIA 타이거즈,12534
장현식,10500,2.43,4317,KIA 타이거즈,11164
유민상,10500,0.04,265634,KIA 타이거즈,10895
나주환,10000,-0.26,-38710,KIA 타이거즈,10092
박찬호,10000,1.87,5341,KIA 타이거즈,11261
류지혁,10000,2.01,4985,KIA 타이거즈,10894
김윤동,10000,-,-,KIA 타이거즈,10821
임기영,10000,3.27,3057,KIA 타이거즈,10909
홍상삼,9000,-0.13,-69711,KIA 타이거즈,10230
강경학,8700,0.06,149914,KIA 타이거즈,10676
김태진,8500,0.50,16907,KIA 타이거즈,11244
김호령,8500,0.86,9855,KIA 타이거즈,11298
한승택,8500,1.25,6790,KIA 타이거즈,11119
김민식,8500,1.66,5126,KIA 타이거즈,10707
심동섭,8000,-,-,KIA 타이거즈,10056
정해영,7000,2.56,2735,KIA 타이거즈,14608
이창진,7000,0.66,10661,KIA 타이거즈,11233
이민우,6000,-0.54,-11084,KIA 타이거즈,13003
장영석,6000,-,-,KIA 타이거즈,10404
다카하시,6000,0.49,12336,KIA 타이거즈,14994
이준영,6000,-0.01,-926422,KIA 타이거즈,11303
고영창,5200,-0.13,-40971,KIA 타이거즈,11068
하준영,5000,-,-,KIA 타이거즈,13115
박진태,5000,0.00,-8178929,KIA 타이거즈,12913
한승혁,5000,0.29,17424,KIA 타이거즈,10812
황윤호,4500,-0.33,-13818,KIA 타이거즈,11363
김규성,4500,-0.08,-54760,KIA 타이거즈,12540
황대인,4300,-0.92,-4664,KIA 타이거즈,11306
이우성,4100,0.49,8304,KIA 타이거즈,11099
김기훈,4000,-,-,KIA 타이거즈,14176
문선재,4000,-,-,KIA 타이거즈,10468
변시원,4000,-0.02,-201698,KIA 타이거즈,10882
최정용,3800,0.04,86453,KIA 타이거즈,11407
이진영,3600,0.29,12584,KIA 타이거즈,12539
이준형,3500,-,-,KIA 타이거즈,10903
김현수,3500,-0.43,-8092,KIA 타이거즈,14162
김명찬,3500,-,-,KIA 타이거즈,11297
최정민,3500,0.19,18165,KIA 타이거즈,10808
황인준,3400,-,-,KIA 타이거즈,13180
오선우,3400,-0.39,-8710,KIA 타이거즈,14181
김영환,3300,-,-,KIA 타이거즈,11332
차명진,3300,-0.07,-46976,KIA 타이거즈,11263
홍종표,3300,-,-,KIA 타이거즈,14612
김재열,3200,0.25,12924,KIA 타이거즈,14747
양승철,3200,-,-,KIA 타이거즈,14180
남재현,3200,-0.12,-25887,KIA 타이거즈,12535
김현준,3100,0.12,25591,KIA 타이거즈,12533
이동건,3100,-,-,KIA 타이거즈,14887
서덕원,3100,-0.33,-9522,KIA 타이거즈,12538
한준수,3100,-,-,KIA 타이거즈,13113
백현종,3000,-,-,KIA 타이거즈,14673
장민기,3000,0.15,20265,KIA 타이거즈,14789
이인한,3000,-,-,KIA 타이거즈,14690
이의리,3000,2.80,1073,KIA 타이거즈,14788
박대명,3000,-,-,KIA 타이거즈,14821
권혁경,3000,-0.26,-11752,KIA 타이거즈,14790
김원경,3000,-,-,KIA 타이거즈,14791
이승재,3000,-0.28,-10908,KIA 타이거즈,14787
박건우,3000,0.13,23193,KIA 타이거즈,14786
김선우,3000,-,-,KIA 타이거즈,14822
이영재,3000,-,-,KIA 타이거즈,14826
김연준,3000,-,-,KIA 타이거즈,14825
장시현,3000,-,-,KIA 타이거즈,14824
이준범,3000,-,-,KIA 타이거즈,14823
이정훈,3000,0.05,56769,KIA 타이거즈,12916
김석환,3000,-0.27,-11257,KIA 타이거즈,12917
김유신,3000,-0.27,-11020,KIA 타이거즈,13114
오정환,3000,-0.21,-14439,KIA 타이거즈,13117
백미카엘,3000,-,-,KIA 타이거즈,13120
윤중현,3000,1.42,2107,KIA 타이거즈,13122
송후섭,3000,-,-,KIA 타이거즈,12867
박정우,3000,0.19,15555,KIA 타이거즈,12869
최승주,3000,-,-,KIA 타이거즈,12870
오규석,3000,-,-,KIA 타이거즈,14655
장재혁,3000,-,-,KIA 타이거즈,14657
최용준,3000,-0.13,-23149,KIA 타이거즈,14658
박민,3000,-0.28,-10641,KIA 타이거즈,14611
김양수,3000,-,-,KIA 타이거즈,14645
장지수,3000,0.25,12226,KIA 타이거즈,14178
홍원빈,3000,-,-,KIA 타이거즈,14177
황재균,80000,2.93,27268,KT 위즈,10407
알몬테,52500,0.01,4404621,KT 위즈,14752
유한준,50000,1.70,29355,KT 위즈,10627
데스파이네,50000,5.24,9537,KT 위즈,14602
쿠에바스,50000,2.52,19836,KT 위즈,13942
박경수,40000,0.48,83355,KT 위즈,10469
강백호,31000,7.26,4270,KT 위즈,13168
호잉,30000,1.43,20911,KT 위즈,13069
주권,25000,1.22,20441,KT 위즈,11323
장성우,21000,2.56,8199,KT 위즈,10235
이보근,20000,-0.41,-48829,KT 위즈,10448
배제성,17000,3.55,4789,KT 위즈,11394
김재윤,17000,2.25,7562,KT 위즈,11489
심우준,15500,3.54,4378,KT 위즈,11334
배정대,14000,3.07,4557,KT 위즈,11212
소형준,14000,2.10,6674,KT 위즈,14600
조용호,13000,-0.62,-21056,KT 위즈,12943
고영표,12000,5.65,2126,KT 위즈,11308
전유수,10500,0.02,436443,KT 위즈,10841
신본기,9200,0.61,15201,KT 위즈,10840
박승욱,8000,-0.20,-40842,KT 위즈,10804
유원상,8000,-0.03,-270437,KT 위즈,10604
허도환,7500,0.55,13653,KT 위즈,10684
조현우,7500,1.05,7135,KT 위즈,11316
안영명,7000,0.66,10608,KT 위즈,10600
김민수,7000,0.89,7891,KT 위즈,11317
이홍구,7000,-0.47,-15012,KT 위즈,11071
박시영,6800,1.05,6497,KT 위즈,10737
김민혁,6500,1.35,4813,KT 위즈,11339
김준태,6500,0.91,7111,KT 위즈,10835
심재민,6300,1.13,5570,KT 위즈,11311
오윤석,6000,1.87,3204,KT 위즈,11397
하준호,6000,-0.07,-90517,KT 위즈,10304
문상철,6000,0.11,52310,KT 위즈,11333
송민섭,5700,1.20,4752,KT 위즈,11342
강민국,5500,0.00,162112294,KT 위즈,11243
이대은,5000,0.52,9692,KT 위즈,11907
엄상백,5000,1.34,3725,KT 위즈,11318
이창재,4700,0.59,8019,KT 위즈,11320
천성호,4000,0.00,876090,KT 위즈,14606
조병욱,4000,-,-,KT 위즈,12939
류희운,3800,-,-,KT 위즈,12655
김태훈,3700,-0.36,-10188,KT 위즈,11336
안승한,3700,-,-,KT 위즈,11328
김병희,3500,0.66,5313,KT 위즈,11330
홍현빈,3400,-0.09,-38301,KT 위즈,12941
이종혁,3400,-,-,KT 위즈,12938
정주후,3300,-,-,KT 위즈,11337
강민성,3300,-,-,KT 위즈,14191
이정현,3300,-0.09,-37334,KT 위즈,12937
문상인,3200,-,-,KT 위즈,13227
김성훈,3200,-,-,KT 위즈,14189
이상동,3200,-0.10,-32172,KT 위즈,14109
안현준,3200,-,-,KT 위즈,11312
김만수,3100,-,-,KT 위즈,12646
문상준,3000,-,-,KT 위즈,14720
김영현,3000,-,-,KT 위즈,14869
최성민,3000,-,-,KT 위즈,14870
김성균,3000,-,-,KT 위즈,14723
정주원,3000,-,-,KT 위즈,14882
윤세훈,3000,-,-,KT 위즈,14881
김민서,3000,-,-,KT 위즈,14884
지명성,3000,0.09,32914,KT 위즈,14775
한차현,3000,-0.08,-35600,KT 위즈,14776
권동진,3000,0.40,7466,KT 위즈,14777
유준규,3000,-,-,KT 위즈,14778
신범준,3000,-,-,KT 위즈,14774
김건형,3000,-0.20,-15160,KT 위즈,14779
한승지,3000,-,-,KT 위즈,12573
조한욱,3000,-,-,KT 위즈,11366
김도현,3000,-,-,KT 위즈,10764
강현우,3000,-,-,KT 위즈,14603
윤준혁,3000,-,-,KT 위즈,14605
박민석,3000,-,-,KT 위즈,14110
이선우,3000,-,-,KT 위즈,14111
고명성,3000,-0.01,-342511,KT 위즈,13171
조대현,3000,-,-,KT 위즈,13177
박준호,3000,-,-,KT 위즈,14190
김대현,2700,-,-,KT 위즈,14883
박규민,2700,-,-,KT 위즈,11235
전진영,2700,-,-,KT 위즈,14885
최태성,2700,-,-,KT 위즈,14727
윤종휘,2700,-,-,KT 위즈,14726
고영찬,2700,-,-,KT 위즈,14719
백선기,2700,-,-,KT 위즈,13174
김종성,2700,-,-,KT 위즈,13002
오승환,110000,2.54,43275,삼성 라이온즈,10367
뷰캐넌,90000,5.69,15830,삼성 라이온즈,14617
오재일,60000,2.88,20798,삼성 라이온즈,10400
라이블리,50000,1.02,49072,삼성 라이온즈,14232
피렐라,50000,3.10,16134,삼성 라이온즈,14757
강민호,50000,3.91,12799,삼성 라이온즈,10232
몽고메리,45000,0.79,57309,삼성 라이온즈,14898
박해민,38000,4.19,9068,삼성 라이온즈,11190
구자욱,36000,5.56,6477,삼성 라이온즈,10892
이원석,30000,1.01,29794,삼성 라이온즈,10180
심창민,28000,0.30,94233,삼성 라이온즈,10720
백정현,25500,6.15,4143,삼성 라이온즈,10363
김상수,25000,0.28,88426,삼성 라이온즈,10320
김동엽,21000,-0.42,-50491,삼성 라이온즈,12548
우규민,20000,0.77,26002,삼성 라이온즈,10523
장필준,16500,-0.48,-34096,삼성 라이온즈,11404
최채흥,16000,2.51,6373,삼성 라이온즈,13156
김헌곤,16000,1.08,14881,삼성 라이온즈,10640
김대우,15500,-0.03,-502873,삼성 라이온즈,10685
이승현,15000,-0.16,-96720,삼성 라이온즈,10527
원태인,13000,6.03,2156,삼성 라이온즈,14113
최지광,12000,0.46,25869,삼성 라이온즈,12934
강한울,12000,-0.44,-27294,삼성 라이온즈,11255
오선진,10000,-0.49,-20404,삼성 라이온즈,10557
임현준,10000,0.01,812836,삼성 라이온즈,10637
김윤수,8000,-0.08,-102338,삼성 라이온즈,13162
최영진,7500,0.16,47565,삼성 라이온즈,10934
노성호,7000,0.38,18663,삼성 라이온즈,11144
이성규,7000,-,-,삼성 라이온즈,12562
김지찬,7000,1.23,5676,삼성 라이온즈,14618
이학주,7000,-0.44,-15861,삼성 라이온즈,14114
김호재,6000,-0.04,-139267,삼성 라이온즈,13240
박승규,5700,1.03,5508,삼성 라이온즈,14122
김도환,5200,-0.13,-39353,삼성 라이온즈,14115
송준석,5000,0.03,162333,삼성 라이온즈,11200
양창섭,5000,-0.02,-248623,삼성 라이온즈,13157
김재현,5000,-,-,삼성 라이온즈,11289
김응민,4900,-0.05,-99061,삼성 라이온즈,10890
김민수,4700,0.24,19522,삼성 라이온즈,11266
백승민,4700,-0.09,-50118,삼성 라이온즈,13241
홍정우,4500,0.13,35579,삼성 라이온즈,13242
허윤동,4500,-0.14,-32802,삼성 라이온즈,14613
최충연,4500,-,-,삼성 라이온즈,12530
장지훈,4200,-,-,삼성 라이온즈,12933
이상민,4000,0.15,25893,삼성 라이온즈,11169
임대한,4000,-,-,삼성 라이온즈,12558
권정웅,4000,-0.01,-510583,삼성 라이온즈,12529
최선호,3800,-,-,삼성 라이온즈,11406
이승민,3700,-0.11,-32478,삼성 라이온즈,14616
안주형,3300,0.01,448486,삼성 라이온즈,12988
김성표,3300,0.24,13815,삼성 라이온즈,11109
양우현,3300,-,-,삼성 라이온즈,14116
김성윤,3300,-0.56,-5857,삼성 라이온즈,12936
이재익,3200,0.01,392430,삼성 라이온즈,13244
한연욱,3200,-,-,삼성 라이온즈,14664
이수민,3100,-,-,삼성 라이온즈,11196
구준범,3100,-0.10,-32135,삼성 라이온즈,12645
김준우,3100,-,-,삼성 라이온즈,14119
황동재,3100,-,-,삼성 라이온즈,14615
김경민,3100,-,-,삼성 라이온즈,14694
홍원표,3100,-,-,삼성 라이온즈,14614
박주혁,3100,-,-,삼성 라이온즈,14668
김동진,3000,-,-,삼성 라이온즈,14863
이창용,3000,-,-,삼성 라이온즈,14866
김현준,3000,-0.10,-30003,삼성 라이온즈,14867
이기용,3000,-,-,삼성 라이온즈,14868
김세민,3000,-,-,삼성 라이온즈,14865
홍승원,3000,-,-,삼성 라이온즈,14864
주한울,3000,-,-,삼성 라이온즈,14802
오현석,3000,-,-,삼성 라이온즈,14801
이승현,3000,0.47,6382,삼성 라이온즈,14798
이재희,3000,0.49,6130,삼성 라이온즈,14799
홍무원,3000,-,-,삼성 라이온즈,14800
문용익,3000,0.25,11944,삼성 라이온즈,12885
김태수,3000,-,-,삼성 라이온즈,12886
김결의,3000,-,-,삼성 라이온즈,12642
박세웅,3000,-0.07,-41118,삼성 라이온즈,12651
이태훈,3000,-0.04,-75927,삼성 라이온즈,13160
이현동,3000,-,-,삼성 라이온즈,10879
조경원,3000,-,-,삼성 라이온즈,14666
이해승,3000,-,-,삼성 라이온즈,14121
봉민호,3000,-,-,삼성 라이온즈,13190
추신수,270000,3.99,67698,SSG 랜더스,14888
이재원,130000,1.38,94363,SSG 랜더스,10082
최정,120000,7.04,17034,SSG 랜더스,10106
로맥,90000,1.46,61539,SSG 랜더스,12991
폰트,85000,4.09,20787,SSG 랜더스,14759
최주환,65000,2.52,25774,SSG 랜더스,10182
르위키,55000,0.47,117589,SSG 랜더스,14758
박종훈,32000,2.09,15276,SSG 랜더스,10131
정의윤,30000,-0.77,-38932,SSG 랜더스,10655
문승원,25700,1.74,14777,SSG 랜더스,10783
김성현,25000,2.01,12455,SSG 랜더스,10636
가빌리오,24600,1.01,24293,SSG 랜더스,14896
김강민,20000,1.39,14354,SSG 랜더스,10108
한유섬,18000,3.88,4643,SSG 랜더스,10815
서진용,17000,1.27,13407,SSG 랜더스,10784
김태훈,16000,0.94,17004,SSG 랜더스,10133
신재영,14000,0.03,492192,SSG 랜더스,11149
고종욱,11000,-0.65,-16857,SSG 랜더스,10659
박민호,10000,0.65,15346,SSG 랜더스,11236
이태양,10000,0.74,13512,SSG 랜더스,10609
오태곤,9500,0.99,9590,SSG 랜더스,10249
김세현,8000,-0.08,-98379,SSG 랜더스,10431
최지훈,8000,2.84,2818,SSG 랜더스,14587
최항,7500,0.16,47312,SSG 랜더스,10810
하재훈,7000,0.43,16161,SSG 랜더스,14147
이흥련,7000,0.16,42489,SSG 랜더스,11108
정영일,6500,-0.02,-301665,SSG 랜더스,12527
