선수_x,팀_x,pid
김호진,삼성 라이온즈,158683
신윤후,롯데 자이언츠,141692
이성규,삼성 라이온즈,125623
천성호,KT 위즈,146068
강한울,삼성 라이온즈,112553
정훈,롯데 자이언츠,102532
박정우,KIA 타이거즈,128690
고승민,롯데 자이언츠,141602
김병휘,키움 히어로즈,145777
박주홍,키움 히어로즈,145807
페라자,한화 이글스,161219
고영우,키움 히어로즈,161287
이용규,키움 히어로즈,100357
원성준,키움 히어로즈,161367
이주형,키움 히어로즈,145917
송성문,키움 히어로즈,113767
구본혁,LG 트윈스,141406
정은원,한화 이글스,131379
문현빈,한화 이글스,154229
김주형,키움 히어로즈,142147
임병욱,키움 히어로즈,112267
장진혁,한화 이글스,125839
하주석,한화 이글스,109139
최원영,LG 트윈스,150846
박수종,키움 히어로즈,151327
안익훈,LG 트윈스,113476
김현종,LG 트윈스,160136
제러드,두산 베어스,161581
김태연,한화 이글스,125859
문성주,LG 트윈스,131126
권희동,NC 다이노스,111725
전다민,두산 베어스,160721
김태근,두산 베어스,141751
한석현,NC 다이노스,132505
김한별,NC 다이노스,147165
홍성호,두산 베어스,126061
김수윤,NC 다이노스,129035
김대한,두산 베어스,141701
최정원,NC 다이노스,142215
최항,롯데 자이언츠,108102
조수행,두산 베어스,125241
이상혁,한화 이글스,151399
이원석,한화 이글스,131389
천재환,NC 다이노스,132615
김성욱,NC 다이노스,111535
유로결,한화 이글스,141269
오선진,롯데 자이언츠,105572
김휘집,NC 다이노스,147855
정준재,SSG 랜더스,160424
김찬형,SSG 랜더스,126224
정현승,SSG 랜더스,160434
박민석,KT 위즈,141108
최경모,SSG 랜더스,141514
송민섭,KT 위즈,113428
하재훈,SSG 랜더스,141474
최민창,SSG 랜더스,113514
안상현,SSG 랜더스,126134
황영묵,한화 이글스,161109
황성빈,롯데 자이언츠,146422
이진영,한화 이글스,125399
박승욱,롯데 자이언츠,108042
이도윤,한화 이글스,114149
장두성,롯데 자이언츠,131552
노진혁,롯데 자이언츠,111652
손호영,롯데 자이언츠,145902
안주형,삼성 라이온즈,129883
김성윤,삼성 라이온즈,129363
김헌곤,삼성 라이온즈,106403
양도근,삼성 라이온즈,158753
김재상,삼성 라이온즈,154993
윤정빈,삼성 라이온즈,131613
최상민,SSG 랜더스,131954
김성현,SSG 랜더스,106364
김영웅,삼성 라이온즈,150353
전병우,삼성 라이온즈,114223
김현준,삼성 라이온즈,148673
김민혁,KT 위즈,113398
오윤석,KT 위즈,113978
신본기,KT 위즈,108408
정준영,KT 위즈,155198
황재균,KT 위즈,104078
로하스,KT 위즈,129958
최원준,KIA 타이거즈,125340
홍현빈,KT 위즈,129418
안치영,KT 위즈,130068
이호연,KT 위즈,131518
김병준,KT 위즈,150978
문상철,KT 위즈,113338
이창진,KIA 타이거즈,112330
김동혁,롯데 자이언츠,156452
윤도현,KIA 타이거즈,150580
소크라테스,KIA 타이거즈,149960
박민,KIA 타이거즈,146110
레이예스,롯데 자이언츠,161062
이우성,KIA 타이거즈,110990
카디네스,삼성 라이온즈,161563
류지혁,삼성 라이온즈,108943
장재영,키움 히어로즈,147847
도슨,키움 히어로즈,156527
임지열,키움 히어로즈,112257
최승민,LG 트윈스,141876
김주성,LG 트윈스,125456
주성원,키움 히어로즈,141337
변상권,키움 히어로즈,132237
맥키넌,삼성 라이온즈,158623
김수인,LG 트윈스,146756
김민석,롯데 자이언츠,152532
김민성,롯데 자이언츠,102382
이호준,롯데 자이언츠,160912
