Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid
57,황성빈,24 CF,-0.171,123,85,749.0,155,146,5,4,0.974,1.814,-0.35,-0.19,-0.72,0.0,0.0,,0.0,0.0,-1.25,-1.463,-0.619,-1.869,-0.114,146422
8,이진영,24 CF,0.146,46,21,203.0,60,59,0,1,0.983,2.616,1.99,-0.26,-0.05,0.0,0.0,,0.0,0.0,1.68,5.259,-0.085,1.595,0.153,125399
17,박승욱,24 SS,-0.335,155,112,1010.0,481,166,292,23,0.952,4.081,-9.41,0.0,-2.97,2.75,0.0,,0.0,0.0,-9.19,-8.538,5.524,-3.666,-0.84,108042
2,이도윤,24 SS,0.491,135,97,879.0,405,163,227,15,0.963,3.993,-1.5,0.0,-0.0,1.27,0.0,,0.0,0.0,-0.22,-0.235,5.593,5.373,-0.02,114149
10,장두성,24 CF,0.011,53,3,105.0,30,29,0,1,0.967,2.486,0.65,-0.2,-0.28,0.0,0.0,,0.0,0.0,0.17,0.462,-0.045,0.125,0.016,131552
54,노진혁,24 SS,-0.112,59,31,284.0,139,67,64,8,0.942,4.151,-0.03,0.0,-1.82,-0.07,0.0,,0.0,0.0,-1.92,-4.686,0.69,-1.23,-0.175,111652
56,손호영,24 3B,-0.598,105,93,787.0,262,90,159,13,0.95,2.848,-4.54,0.0,-1.13,-0.86,0.0,,0.0,0.0,-6.67,-9.147,0.121,-6.549,-0.609,145902
65,안주형,24 2B,-0.181,89,42,420.0,228,94,131,3,0.987,4.821,-3.78,0.0,1.19,-0.57,0.0,,0.0,0.0,-3.16,-5.113,1.175,-1.985,-0.289,129883
23,김성윤,24 CF,0.035,36,17,176.0,51,49,2,0,1.0,2.608,1.03,-0.96,0.42,0.0,0.0,,0.0,0.0,0.49,1.96,-0.105,0.385,0.045,129363
31,김헌곤,24 LF,0.076,118,66,621.0,166,165,0,1,0.994,2.391,0.87,0.46,0.79,0.0,0.0,,0.0,0.0,2.12,2.587,-1.292,0.828,0.194,106403
48,양도근,24 2B,0.064,18,7,77.0,38,18,20,0,1.0,4.442,-0.67,0.0,0.55,0.66,0.0,,0.0,0.0,0.53,4.24,0.171,0.701,0.048,158753
19,김재상,24 2B,0.128,35,24,209.0,104,36,66,2,0.981,4.392,0.63,0.0,0.27,-0.26,0.0,,0.0,0.0,0.62,2.551,0.777,1.397,0.057,154993
14,윤정빈,24 RF,0.299,63,35,348.0,97,95,2,0,1.0,2.509,2.9,0.38,1.05,0.0,0.0,,0.0,0.0,4.34,9.92,-1.071,3.269,0.397,131613
33,최상민,24 RF,0.131,38,1,63.0,25,23,2,0,1.0,3.571,0.13,1.17,0.16,0.0,0.0,,0.0,0.0,1.45,5.495,-0.021,1.429,0.132,131954
45,김성현,24 2B,-0.405,78,39,390.0,178,64,108,6,0.966,3.969,-4.03,0.0,-0.24,-0.83,0.0,,0.0,0.0,-5.04,-9.305,0.609,-4.431,-0.46,106364
15,김영웅,24 3B,0.82,132,114,979.0,356,141,200,15,0.958,3.135,7.06,0.0,0.27,1.29,0.0,,0.0,0.0,8.13,8.869,0.844,8.974,0.743,150353
5,전병우,24 3B,0.404,53,34,292.0,102,47,52,3,0.971,3.051,3.18,0.0,0.46,0.96,0.0,,0.0,0.0,4.43,12.036,-0.005,4.425,0.405,114223
6,김현준,24 RF,0.212,82,42,399.0,125,120,4,1,0.992,2.797,1.27,1.07,0.49,0.0,0.0,,0.0,0.0,2.84,4.987,-0.52,2.32,0.259,148673
36,김민혁,24 LF,-0.079,104,87,692.0,165,161,1,3,0.982,2.107,3.5,-1.43,-0.55,0.0,0.0,,0.0,0.0,1.51,2.091,-2.378,-0.868,0.138,113398
3,오윤석,24 2B,0.409,77,48,454.0,226,81,142,3,0.987,4.421,1.4,0.0,1.25,0.23,0.0,,0.0,0.0,2.95,5.517,1.527,4.477,0.27,113978
5,신본기,24 SS,0.057,95,33,369.0,179,62,110,7,0.961,4.195,-1.55,0.0,-0.61,1.71,0.0,,0.0,0.0,-0.46,-0.697,1.08,0.62,-0.042,108408
7,정준영,24 RF,0.305,43,21,196.0,53,51,0,2,0.962,2.342,4.12,0.13,-0.45,0.0,0.0,,0.0,0.0,3.81,12.759,-0.467,3.343,0.348,155198
61,황재균,24 3B,-0.238,140,128,1091.0,273,86,173,14,0.949,2.137,-2.93,0.0,0.46,-0.16,0.0,,0.0,0.0,-2.6,-2.674,0.0,-2.6,-0.238,104078
11,로하스,24 LF,-0.096,171,135,1142.0,287,279,6,2,0.993,2.246,1.6,-1.07,1.4,0.0,0.0,,0.0,0.0,1.92,1.617,-2.967,-1.047,0.175,129958
26,최원준,24 RF,-0.305,190,111,1024.0,242,233,5,4,0.983,2.092,-3.73,0.74,0.5,0.0,0.0,,0.0,0.0,-2.49,-1.887,-0.844,-3.334,-0.228,125340
57,홍현빈,24 RF,-0.22,32,3,70.0,18,17,0,1,0.944,2.186,-2.24,0.23,-0.34,0.0,0.0,,0.0,0.0,-2.36,-10.62,-0.046,-2.406,-0.216,129418
17,안치영,24 CF,0.048,30,13,125.0,26,26,0,0,1.0,1.872,0.32,-0.06,0.28,0.0,0.0,,0.0,0.0,0.56,2.688,-0.037,0.523,0.051,130068
9,이호연,24 3B,-0.037,22,8,77.0,27,12,15,0,1.0,3.156,-1.07,0.0,0.5,0.11,0.0,,0.0,0.0,-0.46,-3.011,0.058,-0.402,-0.042,131518
10,김병준,24 CF,0.007,31,4,68.0,24,22,2,0,1.0,3.176,0.89,-0.95,0.16,0.0,0.0,,0.0,0.0,0.1,0.465,-0.019,0.081,0.009,150978
8,문상철,24 1B,0.169,90,78,641.0,620,564,50,6,0.99,8.621,8.24,0.11,0.16,0.0,0.0,,0.0,0.0,8.19,13.104,-6.336,1.854,0.748,113338
39,이창진,24 LF,-0.362,95,56,489.0,118,117,0,1,0.992,2.153,-2.17,-1.02,0.39,0.0,0.0,,0.0,0.0,-2.8,-4.244,-1.165,-3.965,-0.256,112330
29,김동혁,24 CF,0.009,29,0,58.0,23,21,0,2,0.913,3.259,1.21,-0.23,-0.87,0.0,0.0,,0.0,0.0,0.1,0.497,-0.005,0.095,0.009,156452
13,윤도현,24 2B,0.186,7,6,53.0,19,8,11,0,1.0,3.226,1.3,0.0,0.37,0.28,0.0,,0.0,0.0,1.95,40.114,0.084,2.034,0.178,150580
48,소크라테스,24 LF,-0.361,171,134,1133.0,276,265,6,5,0.982,2.153,-0.24,-0.26,-0.85,0.0,0.0,,0.0,0.0,-1.35,-1.137,-2.604,-3.954,-0.123,149960
10,박민,24 SS,-0.058,17,8,72.0,39,10,23,6,0.846,4.125,0.66,0.0,-2.46,0.96,0.0,,0.0,0.0,-0.84,-7.115,0.209,-0.631,-0.077,146110
61,레이예스,24 RF,-0.823,131,125,1012.0,213,207,2,4,0.981,1.859,-6.28,-0.17,0.39,0.0,0.0,,0.0,0.0,-6.06,-6.661,-2.945,-9.005,-0.554,161062
49,이우성,24 1B,-0.923,120,106,865.0,695,651,36,8,0.988,7.148,-4.32,-0.31,-0.17,0.0,0.0,,0.0,0.0,-5.1,-6.12,-5.006,-10.106,-0.466,110990
58,카디네스,24 RF,-0.188,7,5,34.0,9,9,0,0,1.0,2.382,-1.73,-0.31,0.1,0.0,0.0,,0.0,0.0,-1.93,-39.703,-0.123,-2.053,-0.176,161563
34,류지혁,24 2B,-0.113,115,85,685.0,306,158,141,7,0.977,3.928,-2.78,0.0,1.23,-1.2,0.0,,0.0,0.0,-2.65,-3.318,1.416,-1.234,-0.242,108943
21,장재영,24 RF,-0.102,37,35,283.0,69,66,3,0,1.0,2.194,-1.37,-0.06,0.74,0.0,0.0,,0.0,0.0,-0.7,-2.724,-0.422,-1.122,-0.064,147847
39,도슨,24 LF,-0.114,88,79,680.0,192,190,0,2,0.99,2.515,1.2,-0.5,-0.05,0.0,0.0,,0.0,0.0,0.64,1.047,-1.883,-1.243,0.058,156527
53,임지열,24 RF,-0.296,17,14,105.0,19,19,0,0,1.0,1.629,-3.3,0.04,0.24,0.0,0.0,,0.0,0.0,-3.0,-25.412,-0.245,-3.245,-0.274,112257
6,최승민,24 LF,0.191,29,1,54.0,20,18,2,0,1.0,3.333,1.22,0.85,0.09,0.0,0.0,,0.0,0.0,2.17,10.775,-0.083,2.087,0.198,141876
9,김주성,24 3B,0.061,10,3,28.0,10,2,7,1,0.9,2.893,1.19,0.0,-0.28,-0.28,0.0,,0.0,0.0,0.62,8.928,0.05,0.67,0.057,125456
6,김휘집,24 SS,0.245,53,46,391.0,174,53,115,6,0.966,3.867,-1.86,0.0,0.35,1.63,0.0,,0.0,0.0,0.12,0.326,2.557,2.677,0.011,147857
17,주성원,24 RF,0.064,20,13,114.0,39,36,1,2,0.949,2.921,1.22,0.52,-0.7,0.0,0.0,,0.0,0.0,1.04,7.488,-0.342,0.698,0.095,141337
19,변상권,24 LF,0.285,46,37,329.0,95,94,0,1,0.989,2.571,5.5,-1.26,-0.03,0.0,0.0,,0.0,0.0,4.21,13.179,-1.087,3.123,0.385,132237
46,맥키넌,24 1B,-0.187,56,53,460.0,380,338,37,5,0.987,7.337,2.15,0.0,-0.16,0.0,0.0,,0.0,0.0,1.77,4.551,-3.821,-2.051,0.162,158623
37,김수인,24 2B,-0.101,3,0,6.0,5,1,3,1,0.8,6.0,-0.99,0.0,-0.47,0.33,0.0,,0.0,0.0,-1.12,-53.76,0.013,-1.107,-0.102,146756
22,김민석,24 LF,-0.033,25,16,152.0,46,45,1,0,1.0,2.724,0.36,-0.4,0.2,0.0,0.0,,0.0,0.0,0.15,0.864,-0.51,-0.36,0.014,152532
37,김민성,24 3B,0.043,32,21,174.0,49,14,33,2,0.959,2.431,-0.59,0.0,0.18,0.51,0.0,,0.0,0.0,0.46,2.07,0.006,0.466,0.042,102382
12,이호준,24 SS,0.017,8,1,20.0,9,1,8,0,1.0,4.05,0.49,0.0,0.15,-0.5,0.0,,0.0,0.0,0.14,2.52,0.045,0.185,0.013,160912
49,한유섬,24 RF,-1.017,104,99,813.0,172,165,0,7,0.959,1.827,-6.0,-0.06,-1.08,0.0,0.0,,0.0,0.0,-7.14,-9.886,-3.993,-11.133,-0.652,108154
47,고명준,24 1B,-0.348,93,87,668.0,631,584,42,5,0.992,8.434,1.77,0.0,0.8,0.0,0.0,,0.0,0.0,2.62,4.057,-6.43,-3.81,0.239,148074
3,윤동희,24 CF,0.171,149,135,1151.0,318,310,4,4,0.987,2.455,1.4,0.65,0.81,0.0,0.0,,0.0,0.0,2.87,2.774,-1.003,1.867,0.262,150482
18,최정,24 3B,0.013,122,116,955.0,239,57,169,13,0.946,2.13,-1.0,0.0,0.03,0.95,0.0,,0.0,0.0,0.14,0.165,0.0,0.14,0.013,101064
40,에레디아,24 LF,-0.113,119,116,989.0,225,214,8,3,0.987,2.02,3.59,-0.08,0.14,0.0,0.0,,0.0,0.0,3.65,4.417,-4.886,-1.236,0.333,155304
36,최준우,24 2B,-0.082,14,6,53.0,29,11,16,2,0.931,4.585,-0.39,0.0,-0.68,0.0,0.0,,0.0,0.0,-1.06,-10.903,0.157,-0.903,-0.097,131284
26,박지환,24 2B,-0.28,63,50,444.0,256,115,133,8,0.969,5.027,-4.36,0.0,-1.3,0.92,0.0,,0.0,0.0,-4.74,-10.834,1.68,-3.06,-0.433,160384
10,강진성,24 1B,0.1,3,1,12.0,8,7,1,0,1.0,6.0,1.11,0.0,0.04,0.0,0.0,,0.0,0.0,1.15,55.2,-0.06,1.09,0.105,111484
