선수,연봉(만원),팀,pid,연도,팀연봉순위,전체연봉순위,계약금(만원),계약금(만원)분할,연봉 총수령액(만원)
나지완,40000,KIA 타이거즈,10030,2021,6,71,0,0,40000
남재현,3200,KIA 타이거즈,12535,2021,63,544,0,0,3200
남지민,3000,한화 이글스,14619,2021,66,618,0,0,3000
남태혁,3000,SSG 랜더스,12521,2021,45,618,0,0,3000
남호,3300,두산 베어스,14139,2021,51,521,0,0,3300
노경은,20000,롯데 자이언츠,10203,2021,11,119,0,0,20000
노성호,7000,삼성 라이온즈,11144,2021,35,305,0,0,7000
노수광,17300,한화 이글스,11268,2021,10,142,0,0,17300
노시환,6000,한화 이글스,14125,2021,30,348,0,0,6000
노시훈,3000,NC 다이노스,14649,2021,55,618,0,0,3000
노진혁,23000,NC 다이노스,11165,2021,13,109,0,0,23000
노태형,3400,한화 이글스,11269,2021,45,509,0,0,3400
다카하시,7800,KIA 타이거즈,14994,2021,31,293,0,0,7800
데스파이네,104000,KT 위즈,14602,2021,1,20,0,0,104000
도태훈,3200,NC 다이노스,12560,2021,49,544,0,0,3200
라모스,104000,LG 트윈스,14592,2021,2,20,0,0,104000
라이블리,65000,삼성 라이온즈,14232,2021,6,46,0,0,65000
로맥,117000,SSG 랜더스,12991,2021,5,18,0,0,117000
로켓,96590,두산 베어스,14750,2021,3,27,0,0,96590
루친스키,208000,NC 다이노스,13932,2021,1,2,0,0,208000
류원석,3300,LG 트윈스,13251,2021,56,521,0,0,3300
류지혁,10000,KIA 타이거즈,10894,2021,16,218,0,0,10000
류진욱,3000,NC 다이노스,11355,2021,55,618,0,0,3000
류효승,3000,SSG 랜더스,14586,2021,45,618,0,0,3000
류희운,3800,KT 위즈,12655,2021,53,472,0,0,3800
르위키,84500,SSG 랜더스,14758,2021,7,34,0,0,84500
마차도,84500,롯데 자이언츠,14629,2021,3,34,0,0,84500
멩덴,94250,KIA 타이거즈,14755,2021,4,29,0,0,94250
모창민,30000,NC 다이노스,10093,2021,8,85,0,0,30000
몽고메리,71500,삼성 라이온즈,14898,2021,5,42,0,0,71500
문경찬,11500,NC 다이노스,11299,2021,23,195,0,0,11500
문대원,3100,두산 베어스,12848,2021,55,573,0,0,3100
문동욱,3600,한화 이글스,11230,2021,42,486,0,0,3600
문보경,3000,LG 트윈스,14137,2021,69,618,0,0,3000
문상인,3200,KT 위즈,13227,2021,62,544,0,0,3200
문상준,3000,KT 위즈,14720,2021,67,618,0,0,3000
문상철,6000,KT 위즈,11333,2021,41,348,0,0,6000
문선재,4000,KIA 타이거즈,10468,2021,49,455,0,0,4000
문성주,3100,LG 트윈스,13112,2021,60,573,0,0,3100
문성현,4500,키움 히어로즈,10437,2021,41,429,0,0,4500
문승원,25700,SSG 랜더스,10783,2021,12,103,0,0,25700
문승진,6000,한화 이글스,14874,2021,30,348,0,0,6000
문용익,3000,삼성 라이온즈,12885,2021,74,618,0,0,3000
문찬종,3000,키움 히어로즈,14578,2021,54,618,0,0,3000
미란다,91000,두산 베어스,14751,2021,4,31,0,0,91000
민병헌,50000,롯데 자이언츠,10188,2021,5,57,0,0,50000
박건우,16000,KIA 타이거즈,14786,2021,8,152,0,0,16000
박건우,48000,두산 베어스,10189,2021,8,65,0,0,48000
박경수,40000,KT 위즈,10469,2021,7,71,0,0,40000
박계범,7000,두산 베어스,11198,2021,29,305,0,0,7000
박관진,3000,키움 히어로즈,14693,2021,54,618,0,0,3000
박규민,2700,KT 위즈,11235,2021,79,809,0,0,2700
박대명,6000,KIA 타이거즈,14821,2021,35,348,0,0,6000
박대온,3000,NC 다이노스,11246,2021,55,618,0,0,3000
박동원,23000,키움 히어로즈,10387,2021,14,109,0,0,23000
박동혁,3000,키움 히어로즈,14700,2021,54,618,0,0,3000
박명현,3200,롯데 자이언츠,14622,2021,52,544,0,0,3200
박민,3000,KIA 타이거즈,14611,2021,70,618,0,0,3000
박민석,3000,KT 위즈,14110,2021,67,618,0,0,3000
박민우,63000,NC 다이노스,11137,2021,6,48,0,0,63000
박민호,6000,LG 트윈스,14845,2021,40,348,0,0,6000
박민호,10000,SSG 랜더스,11236,2021,22,218,0,0,10000
박병호,150000,키움 히어로즈,10470,2021,1,7,0,0,150000
박상언,3200,한화 이글스,12587,2021,56,544,0,0,3200
박석민,70000,NC 다이노스,10322,2021,5,44,0,0,70000
박선우,3300,롯데 자이언츠,12569,2021,51,521,0,0,3300
박성모,3000,두산 베어스,13076,2021,64,618,0,0,3000
박성우,2700,키움 히어로즈,14852,2021,81,809,0,0,2700
박성재,6000,두산 베어스,14838,2021,34,348,0,0,6000
박성한,3000,SSG 랜더스,12922,2021,45,618,0,0,3000
박세웅,16500,롯데 자이언츠,11310,2021,14,149,0,0,16500
박세웅,3000,삼성 라이온즈,12651,2021,74,618,0,0,3000
박세혁,26000,두산 베어스,10891,2021,11,101,0,0,26000
박소준,3500,두산 베어스,11491,2021,46,491,0,0,3500
박승규,5700,삼성 라이온즈,14122,2021,44,387,0,0,5700
박승욱,8000,KT 위즈,10804,2021,27,271,0,0,8000
박승주,3000,키움 히어로즈,12989,2021,54,618,0,0,3000
박시영,6800,KT 위즈,10737,2021,37,338,0,0,6800
박시원,3000,NC 다이노스,14597,2021,55,618,0,0,3000
박시후,3000,SSG 랜더스,14687,2021,45,618,0,0,3000
박영완,3200,롯데 자이언츠,14164,2021,52,544,0,0,3200
박웅,3000,두산 베어스,14731,2021,64,618,0,0,3000
박재민,3000,롯데 자이언츠,14623,2021,63,618,0,0,3000
박재욱,3100,LG 트윈스,12512,2021,60,573,0,0,3100
박정빈,8000,SSG 랜더스,14862,2021,27,271,0,0,8000
박정수,4500,두산 베어스,11300,2021,40,429,0,0,4500
박정우,3000,KIA 타이거즈,12869,2021,70,618,0,0,3000
박정음,4300,키움 히어로즈,10866,2021,44,444,0,0,4300
박정현,3400,한화 이글스,14704,2021,45,509,0,0,3400
박제범,6000,SSG 랜더스,14859,2021,36,348,0,0,6000
박종훈,32000,SSG 랜더스,10131,2021,10,83,0,0,32000
