,Unnamed: 0,선수,팀,G,GS,IP,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,연도,기존pid,포지션,연봉(만원),팀연봉순위,전체연봉순위,계약금(만원)분할,연봉 총수령액(만원)
36,36,진해수,LG 트윈스,48,0,44.1,,13.0,4.0,9.0,0.0,100.0,2.64,,,,,,,,,0.0,0.0,,,0.0,100756,2021,10075,투수,25000.0,12.0,105.0,0.0,25000.0
37,37,이우찬,LG 트윈스,15,5,34.0,,5.0,1.0,4.0,0.0,100.0,1.32,,,,,,,,,0.0,0.0,,,0.0,107496,2021,10749,투수,5000.0,45.0,401.0,0.0,5000.0
38,38,이찬혁,LG 트윈스,1,0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,129096,2021,12909,투수,3100.0,60.0,573.0,0.0,3100.0
39,39,류원석,LG 트윈스,5,0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,132516,2021,13251,투수,3300.0,56.0,521.0,0.0,3300.0
40,40,김대유,LG 트윈스,64,0,50.2,,12.0,2.0,8.0,2.0,83.3,1.78,,,,,,,,,0.0,,,,0.0,107066,2021,10706,투수,4000.0,51.0,455.0,0.0,4000.0
41,41,이정용,LG 트윈스,66,0,69.2,,12.0,3.0,8.0,1.0,91.7,1.42,,,,,,,,,0.0,0.0,,,0.0,141346,2021,14134,투수,5000.0,45.0,401.0,0.0,5000.0
42,42,마차도,롯데 자이언츠,133,127,1076.2,1.818,583.0,235.0,337.0,11.0,98.1,4.78,3.38,,1.24,3.03,,,,,7.66,8.23,10.68,18.34,0.759,146292,2021,14629,유격수,84500.0,3.0,34.0,0.0,84500.0
43,43,안중열,롯데 자이언츠,56,41,364.2,0.709,324.0,292.0,31.0,1.0,99.7,7.97,-0.15,,0.68,,-0.04,1.92,1.46,,3.43,8.53,3.72,7.15,0.341,113292,2021,11329,포수,4700.0,37.0,425.0,0.0,4700.0
44,44,지시완,롯데 자이언츠,72,52,448.1,0.406,436.0,395.0,40.0,1.0,99.8,8.73,0.44,,0.95,,-0.04,0.02,-2.41,,-0.32,-0.63,4.42,4.1,-0.031,114132,2021,11413,포수,3500.0,45.0,491.0,0.0,3500.0
45,45,김준태,KT 위즈,45,31,286.0,0.203,273.0,254.0,18.0,1.0,99.6,8.56,-0.14,,0.43,,-0.27,-1.77,1.11,,-0.97,-2.42,3.02,2.05,-0.097,108352,2021,10835,포수,6500.0,38.0,340.0,0.0,6500.0
46,46,김주현,롯데 자이언츠,2,1,11.0,0.133,12.0,11.0,1.0,0.0,100.0,9.82,1.43,,0.01,,,,,,1.44,25.86,-0.1,1.34,0.142,125702,2021,12570,1루수,3100.0,58.0,573.0,0.0,3100.0
47,47,최종은,롯데 자이언츠,1,0,1.0,0.02,1.0,0.0,1.0,0.0,100.0,9.0,0.19,,0.0,,,,,,0.19,27.71,0.01,0.2,0.019,148202,2021,14820,2루수,2700.0,73.0,809.0,0.0,2700.0
48,48,손성빈,롯데 자이언츠,12,3,37.2,-0.013,36.0,33.0,3.0,0.0,100.0,8.6,0.0,,0.12,,,-0.12,-0.76,,-0.54,-3.86,0.41,-0.13,-0.053,147962,2021,14796,포수,18000.0,12.0,132.0,0.0,18000.0
49,49,정보근,롯데 자이언츠,11,7,54.0,-0.075,48.0,41.0,6.0,1.0,97.9,7.83,-0.12,,-0.32,,-0.04,0.0,-1.07,,-1.23,-16.13,0.48,-0.75,-0.122,131542,2021,13154,포수,3700.0,43.0,478.0,0.0,3700.0
50,50,이병규,롯데 자이언츠,3,2,17.0,-0.128,17.0,17.0,0.0,0.0,100.0,9.0,-1.11,,0.01,,,,,,-1.09,-5.44,-0.2,-1.29,-0.109,104772,2021,10477,1루수,5500.0,31.0,390.0,0.0,5500.0
51,51,안치홍,롯데 자이언츠,110,108,908.2,-0.141,476.0,176.0,290.0,10.0,97.9,4.62,-5.57,,0.15,-0.69,,,,,-6.12,-7.4,4.69,-1.43,-0.607,100142,2021,10014,2루수,29000.0,10.0,94.0,0.0,29000.0
52,52,민병헌,롯데 자이언츠,12,11,88.1,-0.37,17.0,17.0,0.0,0.0,100.0,1.73,-2.93,-0.9,0.09,,,,,,-3.73,-38.38,0.0,-3.73,-0.37,101882,2021,10188,중견수,50000.0,5.0,57.0,0.0,50000.0
53,53,손아섭,롯데 자이언츠,134,131,1118.0,-0.93,232.0,222.0,5.0,5.0,97.8,1.83,-2.39,-0.11,-0.95,,,,,,-3.45,-3.57,-5.93,-9.38,-0.342,102612,2021,10261,우익수,50000.0,5.0,57.0,0.0,50000.0
54,54,전준우,롯데 자이언츠,116,116,969.0,-1.023,239.0,233.0,6.0,0.0,100.0,2.22,-4.96,-1.06,0.88,,,,,,-5.14,-5.14,-5.18,-10.32,-0.509,102662,2021,10266,좌익수,50000.0,5.0,57.0,0.0,50000.0
55,55,이인복,롯데 자이언츠,25,8,61.1,,12.0,5.0,7.0,0.0,100.0,1.76,,,,,,,,,0.0,0.0,,,0.0,112322,2021,11232,투수,4800.0,35.0,423.0,0.0,4800.0
56,56,한승혁,롯데 자이언츠,7,0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,0.0,125902,2021,12590,투수,3400.0,48.0,509.0,0.0,3400.0
57,57,강윤구,롯데 자이언츠,20,0,14.0,,3.0,0.0,2.0,1.0,66.7,1.29,,,,,,,,,0.0,0.0,,,0.0,104232,2021,10423,투수,10000.0,19.0,218.0,0.0,10000.0
58,58,박세웅,롯데 자이언츠,28,28,163.0,,39.0,12.0,26.0,1.0,97.4,2.1,,,,,,,,,0.0,,,,0.0,113102,2021,11310,투수,16500.0,14.0,149.0,0.0,16500.0
59,59,나균안,롯데 자이언츠,23,7,46.1,,8.0,0.0,8.0,0.0,100.0,1.55,,,,,,,,,0.0,0.0,,,0.0,129302,2021,12930,투수,4300.0,39.0,444.0,0.0,4300.0
60,60,오현택,롯데 자이언츠,20,0,16.1,,4.0,2.0,2.0,0.0,100.0,2.2,,,,,,,,,0.0,0.0,,,0.0,102102,2021,10210,투수,7500.0,24.0,295.0,0.0,7500.0
61,61,김유영,롯데 자이언츠,26,0,18.2,,2.0,0.0,2.0,0.0,100.0,0.96,,,,,,,,,0.0,0.0,,,0.0,112292,2021,11229,투수,4500.0,38.0,429.0,0.0,4500.0
62,62,나원탁,롯데 자이언츠,2,0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,129352,2021,12935,투수,3000.0,63.0,618.0,0.0,3000.0
63,63,송재영,롯데 자이언츠,19,0,14.2,,2.0,1.0,1.0,0.0,100.0,1.23,,,,,,,,,0.0,0.0,,,0.0,147942,2021,14794,투수,9000.0,21.0,249.0,0.0,9000.0
64,64,김원중,롯데 자이언츠,61,0,62.2,,8.0,2.0,5.0,1.0,87.5,1.01,,,,,,,,,0.0,0.0,,,0.0,108252,2021,10825,투수,17000.0,13.0,143.0,0.0,17000.0
65,65,박찬호,KIA 타이거즈,128,126,1100.1,1.095,549.0,204.0,321.0,24.0,95.6,4.29,1.51,,-0.72,0.61,,,,,1.4,1.54,9.64,11.04,0.139,112610,2021,11261,유격수,10000.0,16.0,218.0,0.0,10000.0
66,66,한승택,KIA 타이거즈,82,68,589.0,0.867,547.0,489.0,53.0,5.0,99.1,8.28,1.02,,-0.59,,0.12,0.57,2.75,,3.04,5.33,5.71,8.75,0.301,111190,2021,11119,포수,8500.0,25.0,265.0,0.0,8500.0
67,67,김민식,KIA 타이거즈,86,67,606.0,0.437,517.0,470.0,42.0,5.0,99.0,7.6,-0.7,,0.46,,-0.02,-0.08,-2.64,,-2.19,-3.15,6.6,4.41,-0.217,107070,2021,10707,포수,8500.0,25.0,265.0,0.0,8500.0
68,68,김호령,KIA 타이거즈,61,44,394.0,0.328,126.0,124.0,2.0,0.0,100.0,2.88,1.83,1.07,0.4,,,,,,3.3,7.67,0.0,3.3,0.328,112980,2021,11298,중견수,8500.0,25.0,265.0,0.0,8500.0
69,69,박민,KIA 타이거즈,14,11,94.2,0.058,39.0,13.0,24.0,2.0,94.9,3.52,0.75,,0.15,-1.02,,,,,-0.12,-0.94,0.7,0.58,-0.012,146110,2021,14611,유격수,3000.0,70.0,618.0,0.0,3000.0
70,70,최형우,KIA 타이거즈,2,1,10.0,0.056,4.0,4.0,0.0,0.0,100.0,3.6,0.62,,0.01,,,,,,0.63,0.87,-0.06,0.57,0.062,103440,2021,10344,좌익수,90000.0,3.0,10.0,43333.0,133333.0
71,71,백용환,한화 이글스,1,0,3.0,-0.004,1.0,1.0,0.0,0.0,100.0,3.0,,,0.0,,,,,,0.0,0.01,-0.04,-0.04,0.0,100030,2021,10003,1루수,4000.0,38.0,455.0,0.0,4000.0
72,72,권혁경,KIA 타이거즈,5,5,41.0,-0.023,23.0,22.0,1.0,0.0,100.0,5.05,0.0,,0.13,,,-0.4,-0.55,,-0.66,-19.03,0.43,-0.23,-0.066,147900,2021,14790,포수,10000.0,16.0,218.0,0.0,10000.0
73,73,이정훈,KIA 타이거즈,4,4,33.0,-0.029,28.0,24.0,2.0,2.0,92.9,7.09,-0.06,,-0.89,,,-0.09,0.44,,-0.73,-2.55,0.43,-0.29,-0.072,129160,2021,12916,포수,3000.0,70.0,618.0,0.0,3000.0
