선수,연봉(만원),WAR,WAR당 연봉,팀,pid
김원중,50000,2.65,18866,롯데 자이언츠,10825
구승민,45000,0.24,188098,롯데 자이언츠,11291
정훈,30000,1.18,25494,롯데 자이언츠,10253
한현희,30000,1.66,18041,롯데 자이언츠,10863
김민성,20000,0.13,150016,롯데 자이언츠,10238
나균안,17000,-0.30,-56322,롯데 자이언츠,12930
최준용,16300,0.13,121606,롯데 자이언츠,14624
한동희,16200,-0.57,-28421,롯데 자이언츠,13145
김상수,16000,1.22,13126,롯데 자이언츠,10427
진해수,15000,0.02,609489,롯데 자이언츠,10075
박승욱,13500,-0.10,-135107,롯데 자이언츠,10804
이인복,10000,-0.10,-101025,롯데 자이언츠,11232
오선진,10000,0.18,54627,롯데 자이언츠,10557
심재민,9400,-,-,롯데 자이언츠,11311
이학주,9200,-0.19,-48785,롯데 자이언츠,14114
윤동희,9000,3.72,2419,롯데 자이언츠,15048
박진형,8600,0.21,40344,롯데 자이언츠,11425
김민석,8500,-0.32,-26589,롯데 자이언츠,15253
고승민,8000,3.49,2294,롯데 자이언츠,14160
김도규,8000,-0.01,-706658,롯데 자이언츠,13148
신정락,8000,-,-,롯데 자이언츠,10516
황성빈,7600,2.15,3532,롯데 자이언츠,14642
정보근,7500,-0.54,-13918,롯데 자이언츠,13154
이정훈,6000,0.49,12178,롯데 자이언츠,12916
김진욱,6000,2.38,2524,롯데 자이언츠,14792
지시완,5800,-,-,롯데 자이언츠,11413
신윤후,5200,0.30,17392,롯데 자이언츠,14169
손성빈,5000,0.24,21042,롯데 자이언츠,14796
손호영,4500,2.83,1587,롯데 자이언츠,14590
진승현,4300,0.02,177767,롯데 자이언츠,15047
임준섭,4000,0.11,37866,롯데 자이언츠,10795
장두성,4000,-0.22,-17905,롯데 자이언츠,13155
최설우,4000,-,-,롯데 자이언츠,11276
나승엽,4000,1.44,2783,롯데 자이언츠,14797
정성종,3900,-,-,롯데 자이언츠,13147
최이준,3800,-0.36,-10553,롯데 자이언츠,13169
이민석,3800,0.10,36348,롯데 자이언츠,15045
강태율,3600,-0.27,-13194,롯데 자이언츠,11388
박진,3300,1.15,2860,롯데 자이언츠,14163
서동욱,3300,-0.48,-6922,롯데 자이언츠,15624
정대선,3200,0.04,89444,롯데 자이언츠,15443
김강현,3200,0.52,6205,롯데 자이언츠,12699
현도훈,3200,-0.13,-24338,롯데 자이언츠,13271
박명현,3200,-,-,롯데 자이언츠,14622
이진하,3200,-,-,롯데 자이언츠,15441
이태연,3100,-,-,롯데 자이언츠,15444
최항,3100,-0.18,-17554,롯데 자이언츠,10810
윤성빈,3100,-0.06,-49968,롯데 자이언츠,12928
김동혁,3100,0.21,14524,롯데 자이언츠,15645
신병률,3100,-,-,롯데 자이언츠,13173
이주찬,3100,-0.49,-6332,롯데 자이언츠,14819
정우준,3100,0.04,78951,롯데 자이언츠,14795
송재영,3100,-0.17,-18291,롯데 자이언츠,14794
홍민기,3100,-0.01,-245954,롯데 자이언츠,14625
안우진,3000,-,-,롯데 자이언츠,16096
이선우,3000,-0.20,-14708,롯데 자이언츠,16095
박성준,3000,-,-,롯데 자이언츠,16094
강성우,3000,-0.01,-577736,롯데 자이언츠,16093
박준우,3000,0.00,3037969,롯데 자이언츠,16092
이호준,3000,0.12,25827,롯데 자이언츠,16091
정현수,3000,0.89,3373,롯데 자이언츠,16090
전미르,3000,0.45,6734,롯데 자이언츠,16089
소한빈,3000,-,-,롯데 자이언츠,16097
전하원,3000,-,-,롯데 자이언츠,16098
유제모,3000,-,-,롯데 자이언츠,16099
기민성,3000,-,-,롯데 자이언츠,16105
김대현,3000,-,-,롯데 자이언츠,16104
고경표,3000,-,-,롯데 자이언츠,16103
강승구,3000,-0.08,-39274,롯데 자이언츠,16102
백두산,3000,-0.02,-150583,롯데 자이언츠,16101
배세종,3000,-,-,롯데 자이언츠,16100
하혜성,3000,-,-,롯데 자이언츠,15050
이병준,3000,-,-,롯데 자이언츠,14817
최우인,3000,-,-,롯데 자이언츠,14818
이인한,3000,0.12,24573,롯데 자이언츠,14690
최형우,100000,2.09,47887,KIA 타이거즈,10344
나성범,80000,1.84,43391,KIA 타이거즈,11162
김태군,70000,1.00,70094,KIA 타이거즈,10459
김선빈,60000,2.11,28379,KIA 타이거즈,10008
크로우,60000,1.28,47041,KIA 타이거즈,16087
소크라테스,50000,4.06,12324,KIA 타이거즈,14996
양현종,50000,4.99,10026,KIA 타이거즈,10058
네일,35000,5.02,6975,KIA 타이거즈,16088
박찬호,30000,4.03,7451,KIA 타이거즈,11261
알드레드,30000,1.45,20711,KIA 타이거즈,16151
라우어,30000,0.88,33923,KIA 타이거즈,16161
임기영,25000,-0.20,-125138,KIA 타이거즈,10909
최원준,22000,2.35,9351,KIA 타이거즈,12534
정해영,20000,2.35,8510,KIA 타이거즈,14608
전상현,17000,1.49,11445,KIA 타이거즈,12537
이의리,17000,0.09,183155,KIA 타이거즈,14788
장현식,16000,1.69,9468,KIA 타이거즈,11164
고종욱,15000,0.09,165595,KIA 타이거즈,10659
이준영,14000,0.38,36780,KIA 타이거즈,11303
이우성,13000,-0.10,-128006,KIA 타이거즈,11099
이창진,12000,0.64,18738,KIA 타이거즈,11233
김대유,11000,-0.35,-31834,KIA 타이거즈,10706
최지민,10000,0.38,25990,KIA 타이거즈,15057
김도영,10000,8.52,1174,KIA 타이거즈,15056
김호령,9000,-0.07,-126775,KIA 타이거즈,11298
윤영철,9000,2.11,4261,KIA 타이거즈,15432
박준표,8000,-0.04,-194862,KIA 타이거즈,11070
황대인,8000,-0.02,-349722,KIA 타이거즈,11306
이형범,7000,-0.19,-36107,KIA 타이거즈,11159
한승택,6500,-0.10,-64995,KIA 타이거즈,11119
윤중현,6500,-0.35,-18821,KIA 타이거즈,13122
변우혁,6000,0.64,9336,KIA 타이거즈,14124
김규성,5500,-0.18,-30087,KIA 타이거즈,12540
서건창,5000,1.61,3106,KIA 타이거즈,10855
한준수,5000,1.80,2774,KIA 타이거즈,13113
스타우트,4500,0.33,13448,KIA 타이거즈,16163
김현수,4500,-0.12,-38109,KIA 타이거즈,14162
주효상,4400,-,-,KIA 타이거즈,12567
최정용,4300,-0.18,-23881,KIA 타이거즈,11407
김유신,4200,-,-,KIA 타이거즈,13114
김승현,4100,0.12,34777,KIA 타이거즈,12637
김기훈,4000,0.05,75404,KIA 타이거즈,14176
예진원,4000,-0.53,-7559,KIA 타이거즈,13093
김건국,4000,-0.20,-19538,KIA 타이거즈,12944
김석환,4000,-,-,KIA 타이거즈,12917
박정우,3800,0.42,8953,KIA 타이거즈,12869
유승철,3600,0.12,31245,KIA 타이거즈,12914
홍종표,3500,0.26,13612,KIA 타이거즈,14612
황동하,3500,2.12,1652,KIA 타이거즈,15063
장민기,3500,-,-,KIA 타이거즈,14789
박민,3500,-0.03,-103627,KIA 타이거즈,14611
김도현,3500,1.18,2957,KIA 타이거즈,14128
김사윤,3400,-0.10,-32496,KIA 타이거즈,11364
오선우,3300,-0.03,-95565,KIA 타이거즈,14181
곽도규,3300,1.27,2592,KIA 타이거즈,15435
임석진,3200,-,-,KIA 타이거즈,12612
권혁경,3200,-,-,KIA 타이거즈,14790
최수빈,3100,-,-,KIA 타이거즈,12618
고명성,3100,-,-,KIA 타이거즈,13171
정해원,3100,-,-,KIA 타이거즈,15433
박건우,3100,-,-,KIA 타이거즈,14786
유지성,3100,-0.02,-128033,KIA 타이거즈,14607
김태윤,3000,-,-,KIA 타이거즈,16079
이상준,3000,-,-,KIA 타이거즈,16078
조대현,3000,-,-,KIA 타이거즈,16077
박시온,3000,-,-,KIA 타이거즈,16157
장재혁,3000,0.06,50100,KIA 타이거즈,14657
김두현,3000,-0.21,-13982,KIA 타이거즈,16086
성영탁,3000,-,-,KIA 타이거즈,16085
강민제,3000,-,-,KIA 타이거즈,16084
김민재,3000,-0.06,-46670,KIA 타이거즈,16083
김민주,3000,-0.04,-82061,KIA 타이거즈,16082
최지웅,3000,-,-,KIA 타이거즈,16081
오규석,3000,-,-,KIA 타이거즈,14655
강동훈,3000,-,-,KIA 타이거즈,16080
박상준,3000,-,-,KIA 타이거즈,15125
홍원빈,3000,-,-,KIA 타이거즈,14177
김재현,3000,-,-,KIA 타이거즈,15440
김도월,3000,-,-,KIA 타이거즈,15439
이도현,3000,-,-,KIA 타이거즈,15437
이송찬,3000,-,-,KIA 타이거즈,15436
김원경,3000,-,-,KIA 타이거즈,14791
오정환,3000,-,-,KIA 타이거즈,13117
이성주,3000,-,-,KIA 타이거즈,15061
김찬민,3000,-,-,KIA 타이거즈,15060
윤도현,3000,0.51,5916,KIA 타이거즈,15058
장시현,3000,-,-,KIA 타이거즈,14824
이영재,3000,-,-,KIA 타이거즈,14826
강이준,3000,-,-,KIA 타이거즈,12866
김민수,3000,-,-,KIA 타이거즈,14183
이준범,-,-,-,KIA 타이거즈,14823
고영표,200000,1.89,105830,KT 위즈,11308
황재균,100000,-0.19,-536924,KT 위즈,10407
쿠에바스,100000,4.93,20280,KT 위즈,13942
벤자민,90000,3.07,29362,KT 위즈,15143
로하스,50000,7.26,6889,KT 위즈,12995
장성우,50000,3.51,14254,KT 위즈,10235
오재일,50000,-0.84,-59474,KT 위즈,10400
배정대,32000,0.77,41600,KT 위즈,11212
김상수,30000,1.95,15374,KT 위즈,10320
심우준,29000,0.90,32170,KT 위즈,11334
강백호,29000,2.75,10546,KT 위즈,13168
엄상백,25000,3.95,6335,KT 위즈,11318
김민혁,24000,2.70,8893,KT 위즈,11339
우규민,22000,1.34,16466,KT 위즈,10523
소형준,22000,0.31,70608,KT 위즈,14600
주권,20000,-0.17,-118929,KT 위즈,11323
박경수,20000,0.08,260169,KT 위즈,10469
박영현,16000,2.43,6581,KT 위즈,15089
김민수,16000,0.51,31184,KT 위즈,11317
조용호,15000,-0.42,-35436,KT 위즈,12943
오윤석,14000,1.57,8907,KT 위즈,11397
신본기,13000,0.83,15636,KT 위즈,10840
손동현,12000,0.13,88905,KT 위즈,14108
문상철,11000,3.43,3206,KT 위즈,11333
김준태,10000,0.19,52689,KT 위즈,10835
박시영,9000,0.29,30622,KT 위즈,10737
이호연,8500,-0.65,-13160,KT 위즈,13151
송민섭,6500,-0.27,-24314,KT 위즈,11342
문용익,6300,-0.34,-18391,KT 위즈,12885
이상동,6000,-0.03,-179748,KT 위즈,14109
조이현,6000,0.51,11721,KT 위즈,11284
장준원,5300,-0.03,-171447,KT 위즈,11214
이채호,5300,-0.11,-50284,KT 위즈,13130
강현우,5000,0.38,13279,KT 위즈,14603
안치영,5000,-0.07,-71312,KT 위즈,13006
김민,5000,1.84,2712,KT 위즈,13167
권동진,4600,-0.07,-64146,KT 위즈,14777
천성호,4500,0.08,54946,KT 위즈,14606
홍현빈,4500,-0.16,-29019,KT 위즈,12941
하준호,4500,0.00,-1497604,KT 위즈,10304
정준영,4200,0.41,10337,KT 위즈,15519
김영현,4100,0.00,2704271,KT 위즈,14869
이선우,4000,0.15,26897,KT 위즈,14111
강민성,3600,0.01,427911,KT 위즈,14191
강건,3500,-0.13,-27776,KT 위즈,15527
김태오,3500,-,-,KT 위즈,12577
이정현,3500,-,-,KT 위즈,12937
박세진,3500,-0.05,-71550,KT 위즈,12572
전용주,3200,-0.09,-35628,KT 위즈,14106
양승혁,3200,-,-,KT 위즈,13233
류현인,3100,-,-,KT 위즈,15523
박민석,3100,-0.42,-7327,KT 위즈,14110
조대현,3100,0.49,6355,KT 위즈,13177
김정운,3100,-,-,KT 위즈,15518
김병준,3100,0.27,11466,KT 위즈,15097
한차현,3100,-0.25,-12239,KT 위즈,14776
김지민,3000,-,-,KT 위즈,16037
이승현,3000,-,-,KT 위즈,16034
박태완,3000,-,-,KT 위즈,16033
박정현,3000,-,-,KT 위즈,16032
신호준,3000,-,-,KT 위즈,16031
최윤서,3000,-,-,KT 위즈,16030
김민성,3000,-,-,KT 위즈,16029
육청명,3000,0.63,4742,KT 위즈,16028
원상현,3000,0.04,70898,KT 위즈,16027
김민석,3000,-,-,KT 위즈,16035
이승언,3000,-,-,KT 위즈,16036
윤준혁,3000,-0.24,-12470,KT 위즈,14605
이현민,3000,-,-,KT 위즈,16159
한민우,3000,-,-,KT 위즈,16144
최용준,3000,-,-,KT 위즈,14658
이태규,3000,-,-,KT 위즈,14179
박시윤,3000,-,-,KT 위즈,13170
안현민,3000,-0.10,-29490,KT 위즈,15092
김건형,3000,-0.21,-14433,KT 위즈,14779
이근혁,3000,-,-,KT 위즈,15254
김규대,3000,-,-,KT 위즈,14884
최성민,3000,-,-,KT 위즈,14870
윤강찬,3000,-,-,KT 위즈,13172
김주완,3000,-,-,KT 위즈,14833
최정태,3000,-,-,KT 위즈,15619
이종혁,3000,-,-,KT 위즈,12938
이준명,3000,-,-,KT 위즈,15526
정진호,3000,-,-,KT 위즈,15525
황의준,3000,-,-,KT 위즈,15524
이준희,3000,-,-,KT 위즈,15522
김건웅,3000,-,-,KT 위즈,15521
성재헌,3000,-0.07,-45935,KT 위즈,14667
조용근,3000,-,-,KT 위즈,14670
신범준,3000,-,-,KT 위즈,14774
김철호,3000,-,-,KT 위즈,13083
김성균,3000,-,-,KT 위즈,14723
구자욱,200000,6.19,32316,삼성 라이온즈,10892
맥키넌,90000,1.16,77659,삼성 라이온즈,15862
코너,80000,4.85,16504,삼성 라이온즈,15860
박병호,70000,0.25,283380,삼성 라이온즈,10470
레예스,50000,4.16,12032,삼성 라이온즈,15861
원태인,43000,4.90,8780,삼성 라이온즈,14113
강민호,40000,3.50,11445,삼성 라이온즈,10232
오승환,40000,-0.40,-101083,삼성 라이온즈,10367
백정현,40000,0.72,55812,삼성 라이온즈,10363
김재윤,40000,0.70,56762,삼성 라이온즈,11489
카디네스,32700,0.00,11890996,삼성 라이온즈,16156
임창민,20000,1.51,13278,삼성 라이온즈,10452
류지혁,20000,0.34,58607,삼성 라이온즈,10894
이승현,17000,0.62,27425,삼성 라이온즈,10527
김태훈,17000,0.81,20971,삼성 라이온즈,10871
김지찬,16000,4.59,3485,삼성 라이온즈,14618
최채흥,15000,-0.07,-217492,삼성 라이온즈,13156
이재현,14000,4.27,3282,삼성 라이온즈,15034
김현준,14000,0.04,396434,삼성 라이온즈,14867
최지광,14000,1.35,10404,삼성 라이온즈,12934
김대우,10000,0.09,116914,삼성 라이온즈,10685
김성윤,10000,0.09,114787,삼성 라이온즈,12936
강한울,10000,-0.32,-30994,삼성 라이온즈,11255
최성훈,10000,0.03,294346,삼성 라이온즈,10851
양현,9000,-0.03,-268540,삼성 라이온즈,10730
이재익,8200,-0.32,-25416,삼성 라이온즈,13244
김동엽,8000,-0.23,-34732,삼성 라이온즈,12548
김윤수,7000,-0.14,-50854,삼성 라이온즈,13162
장필준,7000,-0.01,-580359,삼성 라이온즈,11404
이승현,7000,2.22,3154,삼성 라이온즈,14798
김재성,7000,-0.23,-30485,삼성 라이온즈,11344
이상민,6500,0.72,8977,삼성 라이온즈,11169
전병우,6000,0.46,13079,삼성 라이온즈,11422
홍정우,6000,-0.03,-173429,삼성 라이온즈,13242
김헌곤,6000,1.59,3781,삼성 라이온즈,10640
이성규,6000,1.86,3233,삼성 라이온즈,12562
안주형,5200,-0.61,-8499,삼성 라이온즈,12988
송은범,5000,0.34,14521,삼성 라이온즈,10137
디아즈,5000,0.80,6268,삼성 라이온즈,16162
김도환,5000,-0.11,-47156,삼성 라이온즈,14115
최충연,4700,-,-,삼성 라이온즈,12530
김민수,4600,0.08,55703,삼성 라이온즈,11266
김동진,4500,-0.15,-29034,삼성 라이온즈,14863
이민호,4500,-,-,삼성 라이온즈,11151
이승민,4100,-0.46,-8960,삼성 라이온즈,14616
황동재,4100,0.92,4471,삼성 라이온즈,14615
김태훈,4100,-0.02,-247030,삼성 라이온즈,11336
최하늘,4100,0.05,77956,삼성 라이온즈,13152
공민규,4100,-0.22,-18498,삼성 라이온즈,13164
이병헌,4000,0.18,22023,삼성 라이온즈,14117
김영웅,3800,3.23,1177,삼성 라이온즈,15035
김시현,3700,-,-,삼성 라이온즈,12932
양우현,3700,-0.13,-28450,삼성 라이온즈,14116
윤정빈,3700,1.74,2126,삼성 라이온즈,13161
류승민,3500,0.13,27229,삼성 라이온즈,15503
홍무원,3500,-,-,삼성 라이온즈,14800
홍승원,3500,-,-,삼성 라이온즈,14864
김서준,3400,-,-,삼성 라이온즈,15039
김태우,3300,-,-,삼성 라이온즈,13158
오현석,3300,-,-,삼성 라이온즈,14801
장재혁,3300,-,-,삼성 라이온즈,15043
한연욱,3300,-,-,삼성 라이온즈,14664
홍원표,3300,0.03,130454,삼성 라이온즈,14614
이호성,3200,-0.17,-18415,삼성 라이온즈,15496
김재상,3200,0.01,628099,삼성 라이온즈,15499
정진수,3200,-,-,삼성 라이온즈,14698
박권후,3100,-,-,삼성 라이온즈,15497
김민호,3100,-,-,삼성 라이온즈,15504
박장민,3100,-,-,삼성 라이온즈,15506
김동현,3000,-,-,삼성 라이온즈,15874
양도근,3000,0.02,188861,삼성 라이온즈,15875
김대호,3000,-0.10,-30999,삼성 라이온즈,15882
유병선,3000,-,-,삼성 라이온즈,15873
주한울,3000,-,-,삼성 라이온즈,14802
이창용,3000,-0.19,-16055,삼성 라이온즈,14866
김재혁,3000,-0.22,-13581,삼성 라이온즈,15036
김세민,3000,-,-,삼성 라이온즈,14865
김재형,3000,-,-,삼성 라이온즈,15872
이재호,3000,-,-,삼성 라이온즈,15871
이현준,3000,-,-,삼성 라이온즈,15870
신경민,3000,-,-,삼성 라이온즈,15869
김호진,3000,-0.26,-11618,삼성 라이온즈,15868
김성경,3000,-,-,삼성 라이온즈,15867
정민성,3000,-,-,삼성 라이온즈,15866
박준용,3000,-,-,삼성 라이온즈,15865
육선엽,3000,0.06,53207,삼성 라이온즈,15864
박진우,3000,-,-,삼성 라이온즈,15507
박시원,3000,-,-,삼성 라이온즈,15505
서현원,3000,-,-,삼성 라이온즈,15498
에레디아,115000,4.89,23509,SSG 랜더스,15530
박종훈,110000,0.29,373407,SSG 랜더스,10131
최정,100000,4.68,21383,SSG 랜더스,10106
김광현,100000,3.91,25582,SSG 랜더스,10126
한유섬,90000,-0.20,-439861,SSG 랜더스,10815
엘리아스,65000,4.36,14904,SSG 랜더스,15644
더거,65000,-0.52,-124987,SSG 랜더스,16141
앤더슨,57000,4.13,13786,SSG 랜더스,16146
서진용,45000,-0.12,-374931,SSG 랜더스,10784
노경은,35000,3.10,11275,SSG 랜더스,10203
박성한,30000,4.02,7462,SSG 랜더스,12922
최지훈,25000,2.05,12167,SSG 랜더스,14587
오태곤,25000,1.43,17510,SSG 랜더스,10249
김택형,20500,-0.03,-795943,SSG 랜더스,11373
김성현,20000,-0.69,-29017,SSG 랜더스,10636
이지영,20000,2.01,9951,SSG 랜더스,10312
문승원,18000,1.07,16888,SSG 랜더스,10783
고효준,15300,-0.05,-304187,SSG 랜더스,10124
김민식,15000,-0.16,-93228,SSG 랜더스,10707
최민준,14400,-0.35,-41178,SSG 랜더스,13126
오원석,14000,3.03,4622,SSG 랜더스,14581
장지훈,13000,-0.07,-194203,SSG 랜더스,14804
하재훈,10000,-1.59,-6309,SSG 랜더스,14147
강진성,8500,-0.04,-196132,SSG 랜더스,11148
전의산,8000,-1.38,-5800,SSG 랜더스,14699
이로운,7400,0.36,20420,SSG 랜더스,15461
조형우,6300,-0.13,-46892,SSG 랜더스,14806
이건욱,6100,-0.39,-15776,SSG 랜더스,11242
박민호,6000,0.17,34772,SSG 랜더스,11236
김찬형,5000,-0.26,-18964,SSG 랜더스,12622
