선수,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,TBF,H,2B,3B,HR,BB,HP,SO,BK,WP,ERA,FIP,WHIP,WAR,팀,pid,연도,연봉(만원),신인여부,국적,선발투수,연봉등급
이의리,28,28,0,0,0,0,11,7,0,0,131.2,58,64,598,103,18,0,4,93,8,156,0,10,3.96,3.63,1.49,3.29,KIA 타이거즈,14788,2024,17000,False,내국인,1,B
윤영철,25,24,1,0,0,0,8,7,0,0,122.2,55,59,528,124,27,3,10,48,1,74,1,4,4.04,4.55,1.4,2.85,KIA 타이거즈,15432,2024,41000,True,내국인,1,A
임기영,64,0,64,9,0,0,4,4,3,16,82.0,27,29,324,56,8,3,6,19,6,57,0,1,2.96,3.93,0.91,2.35,KIA 타이거즈,10909,2024,25000,False,내국인,0,B
전상현,64,0,64,8,0,0,8,3,1,13,58.2,14,20,250,50,8,0,1,26,1,50,0,3,2.15,3.3,1.3,1.89,KIA 타이거즈,12537,2024,17000,False,내국인,0,B
정해영,52,0,52,40,0,0,3,4,23,1,49.1,16,18,218,53,9,1,3,20,1,30,0,0,2.92,4.25,1.48,1.48,KIA 타이거즈,14608,2024,20000,False,내국인,0,B
이준영,64,0,64,4,0,0,1,0,0,10,33.2,12,12,149,26,3,1,0,23,2,30,0,1,3.21,3.74,1.46,0.97,KIA 타이거즈,11303,2024,14000,False,내국인,0,B
최지민,58,0,58,15,0,0,6,3,3,12,59.1,14,17,244,45,4,2,4,26,4,44,0,5,2.12,4.31,1.2,0.91,KIA 타이거즈,15057,2024,10000,False,내국인,0,B
장현식,56,0,56,17,0,0,2,2,3,5,51.0,23,26,226,58,8,0,6,26,1,44,0,1,4.06,4.67,1.65,0.63,KIA 타이거즈,11164,2024,16000,False,내국인,0,B
윤중현,31,0,31,10,0,0,2,1,0,0,28.0,12,13,115,29,3,0,2,10,1,8,0,0,3.86,5.09,1.39,0.49,KIA 타이거즈,13122,2024,6500,False,내국인,0,C
김승현,10,0,10,5,0,0,0,0,0,0,12.2,6,6,57,11,2,0,1,10,1,7,0,1,4.26,6.1,1.66,0.19,KIA 타이거즈,12637,2024,4100,False,내국인,0,D
박준표,33,0,33,3,0,0,1,0,0,3,28.0,14,16,118,28,3,1,3,9,0,13,0,1,4.5,4.96,1.32,0.14,KIA 타이거즈,11070,2024,8000,False,내국인,0,C
김대유,41,0,41,4,0,0,0,2,0,4,24.2,14,15,110,26,1,1,2,8,6,20,0,0,5.11,4.42,1.38,0.1,KIA 타이거즈,10706,2024,11000,False,내국인,0,B
유승철,1,0,1,1,0,0,0,0,0,0,1.0,0,0,4,0,0,0,0,1,0,0,0,0,0.0,6.95,1.0,0.04,KIA 타이거즈,12914,2024,3600,False,내국인,0,D
김건국,6,5,1,1,0,0,0,1,0,0,16.0,12,12,70,18,6,1,0,4,1,9,0,0,6.75,3.41,1.38,0.0,KIA 타이거즈,12944,2024,4000,False,내국인,0,D
황동하,13,6,7,1,0,0,0,3,0,0,31.1,23,25,149,35,6,3,5,21,1,19,0,1,6.61,6.41,1.79,-0.06,KIA 타이거즈,15063,2024,3500,False,내국인,1,D
곽도규,14,0,14,2,0,0,0,0,0,0,11.2,11,11,61,14,2,0,0,10,2,14,0,1,8.49,4.04,2.06,-0.18,KIA 타이거즈,15435,2024,9300,True,내국인,0,C
김유신,27,0,27,9,0,0,0,1,0,2,30.1,19,19,141,34,8,0,2,19,3,12,0,0,5.64,5.89,1.75,-0.21,KIA 타이거즈,13114,2024,4200,False,내국인,0,D
김기훈,29,0,29,12,0,0,2,0,0,0,31.1,16,22,156,28,6,1,0,37,2,26,1,5,4.6,5.53,2.07,-0.26,KIA 타이거즈,14176,2024,4000,False,내국인,0,D
고영표,28,27,1,1,0,0,12,7,0,0,174.2,54,57,706,181,27,5,7,19,9,114,0,6,2.78,3.19,1.15,6.77,KT 위즈,11308,2024,200000,False,내국인,1,A
쿠에바스,18,18,0,0,0,0,12,0,0,0,114.1,33,33,460,95,10,2,4,24,2,100,0,5,2.6,2.78,1.04,5.19,KT 위즈,13942,2024,100000,False,외국인,1,A
벤자민,29,29,0,0,0,0,15,6,0,0,160.0,63,79,684,149,23,1,12,45,3,157,0,11,3.54,3.14,1.21,3.66,KT 위즈,15143,2024,90000,False,외국인,1,A
엄상백,20,19,1,0,0,0,7,6,0,0,111.2,45,46,454,100,16,4,6,29,2,89,0,1,3.63,3.36,1.16,3.48,KT 위즈,11318,2024,25000,False,내국인,1,B
