Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,포지션
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,
5,신민재,25 2B,1.42,83,2.24,-0.82,301,296,258,44,79,7,2,1,93,29,12,6,35,2,0,30,2,5,1,0.306,0.392,0.36,0.752,0.142,125.4,1.42,2루수
6,양도근,25 2B,1.35,75,0.95,0.4,132,125,106,18,31,3,0,0,34,7,4,1,17,1,0,22,3,7,1,0.292,0.392,0.321,0.713,0.133,108.6,1.35,2루수
7,김상수,25 2B,1.27,66,1.36,-0.09,256,254,215,26,55,8,0,3,72,29,3,0,36,1,1,24,2,1,3,0.256,0.361,0.335,0.696,0.122,102.1,1.27,2루수
8,김선빈,25 2B,0.93,36,1.17,-0.24,133,132,111,11,33,10,0,0,43,17,2,0,19,1,0,12,3,1,1,0.297,0.402,0.387,0.789,0.157,136.5,0.93,2루수
9,천성호,25 2B,0.87,47,0.32,0.55,137,135,116,16,25,8,1,0,35,11,3,1,14,5,0,24,1,2,0,0.216,0.326,0.302,0.628,0.098,82.1,0.87,2루수
10,한태양,25 2B,0.77,60,0.77,0.0,96,94,85,23,26,9,1,0,37,7,2,2,9,0,0,26,2,2,0,0.306,0.372,0.435,0.807,0.152,128.0,0.77,2루수
11,김규성,25 2B,0.62,83,0.36,0.26,157,154,139,22,35,4,0,1,42,12,4,2,13,2,0,38,1,3,0,0.252,0.325,0.302,0.627,0.091,77.2,0.62,2루수
12,정준재,25 2B,0.61,84,0.89,-0.28,283,278,243,37,55,7,2,0,66,17,26,3,34,1,0,65,4,5,0,0.226,0.324,0.272,0.596,0.088,74.6,0.61,2루수
13,윤도현,25 2B,0.25,19,0.61,-0.36,73,73,68,11,19,3,0,4,34,9,1,0,4,1,0,15,0,0,0,0.279,0.329,0.5,0.829,0.146,124.5,0.25,2루수
14,이승현,25 2B,0.16,4,0.12,0.03,1,1,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1.0,1.0,3.0,4.0,1.35,1322.5,0.16,2루수
15,홍종표,25 2B,0.15,44,-0.2,0.34,64,60,52,10,10,0,0,0,10,1,1,1,7,0,0,14,1,4,1,0.192,0.283,0.192,0.475,0.045,38.2,0.15,2루수
16,박민,25 2B,0.12,27,0.12,0.0,49,48,44,7,10,3,0,1,16,4,1,0,3,1,0,16,0,1,0,0.227,0.292,0.364,0.656,0.091,79.9,0.12,2루수
17,이도윤,25 2B,0.11,69,-0.13,0.24,172,167,158,18,37,6,3,0,49,26,1,0,6,2,0,33,3,5,1,0.234,0.269,0.31,0.579,0.061,49.4,0.11,2루수
18,오윤석,25 2B,0.09,55,0.13,-0.03,128,121,109,22,28,7,0,0,35,13,0,0,8,3,0,30,2,7,1,0.257,0.322,0.321,0.643,0.092,75.8,0.09,2루수
19,황영묵,25 2B,0.07,81,0.4,-0.33,213,212,191,27,47,12,0,1,62,12,1,3,18,2,0,28,3,1,1,0.246,0.316,0.325,0.641,0.092,75.6,0.07,2루수
20,김병휘,25 2B,0.03,4,0.06,-0.02,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0.195,190.8,0.03,2루수
21,김태윤,25 2B,0.03,5,0.04,-0.01,2,2,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.575,563.1,0.03,2루수
22,최정용,25 2B,0.02,4,-0.09,0.11,6,6,6,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0.167,0.167,0.167,0.334,-0.039,-33.9,0.02,2루수
23,전태현,25 2B,0.01,59,0.21,-0.2,172,169,149,18,36,5,0,0,41,7,2,0,19,0,0,46,2,3,1,0.242,0.325,0.275,0.6,0.086,77.9,0.01,2루수
24,서건창,25 2B,-0.01,10,-0.09,0.08,26,24,22,1,3,1,0,1,7,2,1,0,2,0,0,5,1,2,0,0.136,0.208,0.318,0.526,0.043,35.4,-0.01,2루수
25,이태경,25 2B,-0.02,1,-0.02,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.166,-130.5,-0.02,2루수
26,박계범,25 2B,-0.04,50,0.18,-0.22,100,96,87,11,21,4,2,0,29,11,0,1,8,1,0,25,3,4,0,0.241,0.313,0.333,0.646,0.096,85.7,-0.04,2루수
27,여동건,25 2B,-0.05,11,-0.31,0.27,15,15,15,4,1,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0.067,0.067,0.067,0.134,-0.115,-106.6,-0.05,2루수
28,심재훈,25 2B,-0.08,23,-0.08,0.0,34,33,29,7,5,0,0,0,5,1,3,1,4,0,0,10,0,1,0,0.172,0.273,0.172,0.445,0.037,28.7,-0.08,2루수
29,권혁빈,25 2B,-0.14,4,-0.14,0.0,5,5,5,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0.0,-0.166,-150.1,-0.14,2루수
30,김준상,25 2B,-0.16,9,-0.04,-0.12,17,16,15,1,3,1,0,0,4,0,0,0,0,1,0,8,0,1,0,0.2,0.25,0.267,0.517,0.037,33.8,-0.16,2루수
31,서유신,25 2B,-0.19,6,-0.14,-0.06,8,8,7,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0.0,0.125,0.0,0.125,-0.076,-74.3,-0.19,2루수
32,안주형,25 2B,-0.29,6,-0.12,-0.17,15,15,14,1,3,0,0,0,3,0,0,1,1,0,0,4,1,0,0,0.214,0.267,0.214,0.481,0.034,27.0,-0.29,2루수
33,강민성,25 2B,-0.47,20,-0.33,-0.14,28,28,23,0,1,0,0,0,1,1,0,0,4,0,0,10,1,0,1,0.043,0.179,0.043,0.222,-0.036,-29.9,-0.47,2루수
34,송지후,25 2B,-0.57,24,-0.71,0.15,69,69,64,3,9,1,0,1,13,4,0,1,2,2,0,15,2,0,1,0.141,0.188,0.203,0.391,-0.008,-7.9,-0.57,2루수
1,송성문,25 3B,4.23,93,3.7,0.52,411,410,364,55,105,21,1,14,170,51,13,1,44,1,2,62,6,0,2,0.288,0.365,0.467,0.832,0.156,141.9,4.23,3루수
2,문보경,25 3B,3.19,90,3.76,-0.57,388,387,322,58,92,14,1,15,153,67,2,0,58,3,2,57,9,0,5,0.286,0.394,0.475,0.869,0.175,153.7,3.19,3루수
3,노시환,25 3B,1.85,91,1.91,-0.06,393,388,340,63,81,14,1,19,154,63,10,4,44,7,8,88,11,0,2,0.238,0.336,0.453,0.789,0.133,108.5,1.85,3루수
4,김도영,25 3B,1.48,27,1.19,0.29,111,110,100,19,33,9,0,7,63,26,3,0,9,0,1,18,3,0,2,0.33,0.378,0.63,1.008,0.201,172.7,1.48,3루수
5,강승호,25 3B,0.96,76,0.26,0.7,263,263,239,31,52,14,2,3,79,26,9,1,16,7,0,78,6,0,1,0.218,0.285,0.331,0.616,0.079,69.3,0.96,3루수
6,황재균,25 3B,0.89,61,0.84,0.06,236,234,211,26,60,9,0,2,75,21,2,1,21,2,1,45,1,1,1,0.284,0.353,0.355,0.708,0.116,99.4,0.89,3루수
7,김휘집,25 3B,0.82,86,0.9,-0.07,306,305,271,36,60,10,1,10,102,27,3,0,23,11,0,63,3,1,0,0.221,0.308,0.376,0.684,0.106,89.8,0.82,3루수
8,김영웅,25 3B,0.76,73,0.28,0.48,284,283,256,35,61,12,1,9,102,32,4,2,25,1,2,86,3,0,2,0.238,0.306,0.398,0.704,0.106,85.3,0.76,3루수
9,전병우,25 3B,0.62,43,0.51,0.11,72,72,55,10,14,1,0,1,18,6,0,0,16,1,0,21,1,0,0,0.255,0.431,0.327,0.758,0.169,132.5,0.62,3루수
