팀,선수,연봉 총수령액(만원),연봉등급,pid,연도,팀연봉순위,전체연봉순위
두산 베어스,김인태,6500,C,11098,2021,33,340
LG 트윈스,김재성,3100,D,11344,2021,60,573
KIA 타이거즈,김재열,3200,D,14747,2021,63,544
키움 히어로즈,김재웅,5200,C,12858,2021,40,398
롯데 자이언츠,김재유,4200,D,11483,2021,40,449
KT 위즈,김재윤,17000,B,11489,2021,14,143
NC 다이노스,김재중,6000,C,14830,2021,39,348
삼성 라이온즈,김재현,5000,C,11289,2021,46,401
키움 히어로즈,김재현,7000,C,10870,2021,31,305
두산 베어스,김재호,90000,A,10174,2021,5,32
두산 베어스,김재환,76000,A,10643,2021,7,41
SSG 랜더스,김정빈,4000,D,11364,2021,41,455
키움 히어로즈,김정인,3200,D,11531,2021,52,544
롯데 자이언츠,김정주,6000,C,14815,2021,27,348
NC 다이노스,김정호,7000,C,14829,2021,36,305
키움 히어로즈,김정후,3200,D,13184,2021,52,544
KT 위즈,김종성,2700,D,13002,2021,79,809
한화 이글스,김종수,6100,C,11117,2021,29,347
LG 트윈스,김주성,3100,D,12545,2021,60,573
SSG 랜더스,김주온,2700,D,13057,2021,80,809
두산 베어스,김주완,6000,C,14833,2021,34,348
NC 다이노스,김주원,18000,B,14765,2021,17,132
롯데 자이언츠,김주현,3100,D,12570,2021,58,573
키움 히어로즈,김주형,3700,D,14214,2021,48,478
NC 다이노스,김준상,8000,C,14827,2021,33,271
NC 다이노스,김준완,6000,C,11182,2021,39,348
삼성 라이온즈,김준우,3100,D,14119,2021,67,573
KT 위즈,김준태,6500,C,10835,2021,38,340
키움 히어로즈,김준형,11000,B,14848,2021,20,197
한화 이글스,김지수,3100,D,12662,2021,61,573
LG 트윈스,김지용,11000,B,10747,2021,26,197
LG 트윈스,김지용,7000,C,14843,2021,36,305
삼성 라이온즈,김지찬,7000,C,14618,2021,35,305
NC 다이노스,김진성,20000,B,11166,2021,14,119
LG 트윈스,김진수,13000,B,14781,2021,24,174
한화 이글스,김진영,7900,C,12926,2021,23,291
NC 다이노스,김진우,6000,C,14831,2021,39,348
롯데 자이언츠,김진욱,40000,B,14792,2021,8,71
한화 이글스,김진욱,3900,D,13144,2021,40,471
NC 다이노스,김진호,3000,D,12897,2021,55,618
SSG 랜더스,김찬형,5800,C,12622,2021,38,385
SSG 랜더스,김찬호,3000,D,12614,2021,45,618
SSG 랜더스,김창평,3000,D,14146,2021,45,618
롯데 자이언츠,김창훈,11000,B,14793,2021,17,197
NC 다이노스,김철호,3000,D,13083,2021,55,618
NC 다이노스,김태경,3000,D,14593,2021,55,618
NC 다이노스,김태군,20000,B,10459,2021,14,119
삼성 라이온즈,김태수,3000,D,12886,2021,74,618
한화 이글스,김태연,3200,D,12585,2021,56,544
한화 이글스,김태욱,3000,D,12923,2021,66,618
KIA 타이거즈,김태진,8500,C,11244,2021,25,265
NC 다이노스,김태현,3000,D,12898,2021,55,618
LG 트윈스,김태형,3100,D,12863,2021,60,573
KT 위즈,김태훈,3700,D,11336,2021,54,478
SSG 랜더스,김태훈,16000,B,10133,2021,17,152
키움 히어로즈,김태훈,10000,B,10871,2021,22,218
SSG 랜더스,김택형,3000,D,11373,2021,45,618
SSG 랜더스,김표승,3000,D,13189,2021,45,618
삼성 라이온즈,김헌곤,16000,B,10640,2021,20,152
한화 이글스,김현민,3100,D,14209,2021,61,573
KIA 타이거즈,김현수,3500,D,14162,2021,54,491
LG 트윈스,김현수,100000,A,10187,2021,3,24
키움 히어로즈,김현우,8000,C,14856,2021,28,271
KIA 타이거즈,김현준,3100,D,12533,2021,66,573
삼성 라이온즈,김현준,6000,C,14867,2021,41,348
LG 트윈스,김형욱,9000,C,14844,2021,32,249
키움 히어로즈,김혜성,17000,B,12905,2021,17,143
KIA 타이거즈,김호령,8500,C,11298,2021,25,265
LG 트윈스,김호은,5000,C,12554,2021,45,401
삼성 라이온즈,김호재,6000,C,13240,2021,41,348
키움 히어로즈,김휘집,13000,B,14785,2021,18,174
롯데 자이언츠,나균안,4300,D,12930,2021,39,444
NC 다이노스,나성범,78000,A,11162,2021,4,38
롯데 자이언츠,나승엽,53000,A,14797,2021,4,52
롯데 자이언츠,나원탁,3000,D,12935,2021,63,618
KIA 타이거즈,나주환,10000,B,10092,2021,16,218
KIA 타이거즈,나지완,40000,B,10030,2021,6,71
KIA 타이거즈,남재현,3200,D,12535,2021,63,544
한화 이글스,남지민,3000,D,14619,2021,66,618
SSG 랜더스,남태혁,3000,D,12521,2021,45,618
두산 베어스,남호,3300,D,14139,2021,51,521
롯데 자이언츠,노경은,20000,B,10203,2021,11,119
삼성 라이온즈,노성호,7000,C,11144,2021,35,305
한화 이글스,노수광,17300,B,11268,2021,10,142
한화 이글스,노시환,6000,C,14125,2021,30,348
NC 다이노스,노시훈,3000,D,14649,2021,55,618
NC 다이노스,노진혁,23000,B,11165,2021,13,109
한화 이글스,노태형,3400,D,11269,2021,45,509
KIA 타이거즈,다카하시,7800,C,14994,2021,31,293
KT 위즈,데스파이네,104000,A,14602,2021,1,20
NC 다이노스,도태훈,3200,D,12560,2021,49,544
LG 트윈스,라모스,104000,A,14592,2021,2,20
삼성 라이온즈,라이블리,65000,A,14232,2021,6,46
SSG 랜더스,로맥,117000,A,12991,2021,5,18
두산 베어스,로켓,96590,A,14750,2021,3,27
NC 다이노스,루친스키,208000,A,13932,2021,1,2
LG 트윈스,류원석,3300,D,13251,2021,56,521
KIA 타이거즈,류지혁,10000,B,10894,2021,16,218
NC 다이노스,류진욱,3000,D,11355,2021,55,618
