선수,연도,기존pid,연봉,이후연봉,예측연봉,포지션,연봉순서,개선순서,2024FA,외국인
신용석,2024,15452,13000.0,3000.0,6292.3,포수,144,282,False,False
김한별,2024,14716,3800.0,3800.0,4019.52,유격수,321,399,False,False
한재환,2024,14659,4000.0,3000.0,3392.04,1루수,316,449,False,False
박영빈,2024,14661,3200.0,3100.0,4340.54,중견수,374,381,False,False
김세훈,2024,16058,3000.0,3000.0,3453.95,유격수,457,441,False,False
김범준,2024,14222,3000.0,3000.0,3114.15,좌익수,451,473,False,False
김수윤,2024,12903,3200.0,3200.0,3295.67,3루수,376,460,False,False
박한결,2024,15451,18100.0,3500.0,8106.2,좌익수,108,227,False,False
박시원,2024,14597,3000.0,12000.0,9104.87,중견수,445,215,False,False
김성욱,2024,11153,9500.0,10000.0,13186.932,중견수,177,161,True,False
한석현,2024,13250,3900.0,3700.0,5853.22,우익수,317,300,False,False
강승호,2024,11087,25500.0,37000.0,35159.562,2루수,75,64,False,False
정수빈,2024,10195,86666.0,86666.0,84498.43,중견수,29,25,False,False
양석환,2024,11213,30000.0,30000.0,32245.864,1루수,70,73,False,False
박준영,2024,12522,7000.0,8500.0,8969.3,유격수,218,216,False,False
김기연,2024,12549,4000.0,11000.0,9465.5,포수,302,210,False,False
이유찬,2024,12894,8500.0,10500.0,10809.4,2루수,191,188,False,False
조수행,2024,12524,9500.0,20000.0,18849.24,좌익수,178,114,False,False
전다민,2024,16072,3000.0,3500.0,3742.95,좌익수,452,415,False,False
김민혁,2024,12970,3800.0,3420.0,3780.96,1루수,323,410,False,False
류현준,2024,16076,3000.0,3100.0,4896.86,포수,402,348,False,False
홍성호,2024,12606,3300.0,3300.0,3423.48,우익수,359,444,False,False
오명진,2024,14737,3100.0,3100.0,6771.57,2루수,398,266,False,False
임종성,2024,16069,3000.0,3100.0,3205.1,3루수,464,465,False,False
장규빈,2024,14570,3000.0,3100.0,3153.65,포수,403,470,False,False
여동건,2024,16068,3000.0,3300.0,3561.75,2루수,472,432,False,False
장승현,2024,11097,6000.0,4800.0,5083.3,포수,236,337,False,False
박민준,2024,15515,7000.0,3100.0,4231.8,포수,211,388,False,False
전민재,2024,13073,3400.0,7500.0,7496.7,유격수,349,243,False,False
박계범,2024,11198,8500.0,6800.0,6779.2,유격수,189,265,False,False
김인태,2024,11098,9000.0,7200.0,7488.1,우익수,186,246,False,False
김대한,2024,14170,3700.0,4200.0,4202.5,우익수,325,390,False,False
김태근,2024,14175,3400.0,4500.0,4228.17,좌익수,348,389,False,False
송성문,2024,11376,13000.0,30000.0,34460.694,3루수,149,66,False,False
이주형,2024,14591,6600.0,11000.0,12186.378,우익수,226,173,False,False
이용규,2024,10035,20000.0,20000.0,20212.98,좌익수,101,108,True,False
이형종,2024,12516,68000.0,60000.0,52676.848,우익수,35,39,False,False
김건희,2024,15472,25200.0,5200.0,21958.054,포수,76,99,False,False
박수종,2024,15132,4000.0,4500.0,5031.3,중견수,311,341,False,False
박성빈,2024,15479,8000.0,3000.0,4401.9,포수,195,379,False,False
최주환,2024,10182,65000.0,30000.0,38297.014,1루수,36,57,False,False
김태진,2024,11244,11000.0,9000.0,10305.5,유격수,161,198,False,False
송지후,2024,16130,3000.0,3000.0,3204.35,2루수,473,466,False,False
김재현,2024,10870,5500.0,10000.0,10305.5,포수,252,199,False,False
김동헌,2024,15473,4000.0,3800.0,3857.17,포수,303,404,False,False
주성원,2024,14133,3500.0,3800.0,3841.99,우익수,340,406,False,False
임병욱,2024,11226,7000.0,6000.0,6087.8,우익수,220,288,False,False
김병휘,2024,14577,3300.0,3500.0,3615.62,유격수,357,425,False,False
변상권,2024,13223,4800.0,5500.0,5984.6,좌익수,278,295,False,False
원성준,2024,16136,3000.0,4000.0,5451.42,중견수,446,321,False,False
박주홍,2024,14580,3600.0,3700.0,3743.3,좌익수,331,414,False,False
장재영,2024,14784,4000.0,4600.0,4687.15,우익수,313,356,False,False
김웅빈,2024,12503,5000.0,4000.0,4675.96,3루수,273,358,False,False
고영우,2024,16128,3000.0,4500.0,6789.05,3루수,465,264,False,False
이원석,2024,10180,40000.0,30000.0,27218.83,1루수,56,84,False,False
이승원,2024,15476,10100.0,3200.0,8420.2,유격수,165,220,False,False
임지열,2024,11225,7200.0,5800.0,5796.8,1루수,208,303,False,False
이재상,2024,16124,3000.0,3200.0,3420.82,유격수,458,445,False,False
류현진,2024,10590,250000.0,200000.0,114752.866,투수,3,19,False,False
주현상,2024,11415,11000.0,25000.0,25514.8,투수,156,89,False,False
문동주,2024,15013,10000.0,10000.0,14083.39,투수,167,149,False,False
황준서,2024,16107,3000.0,4500.0,7495.82,투수,404,245,False,False
박상원,2024,12871,19500.0,22000.0,26996.404,투수,105,85,False,False
이민우,2024,13003,5600.0,9400.0,10861.81,투수,251,187,False,False
한승혁,2024,10812,4900.0,9400.0,10628.85,투수,275,192,False,False
장민재,2024,10610,15000.0,15000.0,12162.76,투수,130,174,False,False
김서현,2024,15421,53300.0,5600.0,43887.55,투수,39,46,False,False
김민우,2024,11410,16700.0,13000.0,22902.856,투수,118,92,False,False
이상규,2024,13245,4400.0,4800.0,5349.92,투수,287,327,False,False
김기중,2024,14808,4400.0,6000.0,5837.06,투수,288,302,False,False
장시환,2024,10453,25000.0,20000.0,15593.1,투수,77,134,False,False
김승일,2024,14711,3000.0,3200.0,3608.5,투수,405,426,False,False
김범수,2024,11411,19300.0,14300.0,13993.8,투수,107,152,False,False
김규연,2024,14871,4100.0,5300.0,9191.14,투수,294,213,False,False
조동욱,2024,16108,3000.0,4000.0,5065.38,투수,406,339,False,False
배민서,2024,14158,5100.0,4100.0,4465.2,투수,261,373,False,False
김도빈,2024,16118,3000.0,3100.0,5795.3,투수,407,304,False,False
이충호,2024,11116,3400.0,3400.0,3637.7,투수,343,423,False,False
장지수,2024,14178,3200.0,3400.0,5133.94,투수,362,335,False,False
윤대경,2024,11110,11000.0,7000.0,9475.9,투수,157,209,False,False
이태양,2024,10609,70000.0,47000.0,68030.226,투수,33,31,False,False
임찬규,2024,10652,20000.0,20000.0,31266.96,투수,94,76,False,False
손주영,2024,12908,4300.0,17200.0,15852.22,투수,289,132,False,False
최원태,2024,11379,40000.0,20000.0,43995.932,투수,50,45,True,False
김진성,2024,11166,35000.0,33000.0,38822.664,투수,57,55,False,False
유영찬,2024,14669,8500.0,21000.0,15063.93,투수,188,142,False,False
김유영,2024,11229,6700.0,10500.0,10689.16,투수,224,191,False,False
이종준,2024,14651,3000.0,4200.0,7451.56,투수,408,248,False,False
함덕주,2024,11094,20000.0,20000.0,15478.5,투수,95,136,False,False
우강훈,2024,14816,3100.0,3600.0,4735.8,투수,379,354,False,False
임준형,2024,14142,4800.0,5500.0,5366.9,투수,276,325,False,False
진우영,2024,16015,3000.0,3400.0,5127.1,투수,409,336,False,False
김대현,2024,12532,5700.0,7500.0,7719.36,투수,250,238,False,False
이지강,2024,14143,6800.0,8300.0,8286.15,투수,223,226,False,False
정우영,2024,14136,32000.0,18000.0,28756.566,투수,63,80,False,False
김진수,2024,14781,3200.0,3600.0,4024.8,투수,363,398,False,False
성동현,2024,13103,3200.0,3400.0,3594.3,투수,364,429,False,False
최동환,2024,10535,13000.0,11000.0,10349.4,투수,145,196,False,False
김영준,2024,13102,3600.0,4200.0,4766.4,투수,327,351,False,False
박명근,2024,15486,17500.0,6000.0,13468.0,투수,112,159,False,False
정지헌,2024,16017,3000.0,3500.0,4557.8,투수,410,365,False,False
백승현,2024,13009,9200.0,7000.0,9992.6,투수,180,203,False,False
이우찬,2024,10749,12500.0,10000.0,10522.4,투수,150,194,False,False
박세웅,2024,11310,135000.0,135000.0,105333.0,투수,15,22,False,False
김원중,2024,10825,50000.0,110000.0,57013.682,투수,41,37,True,False
김진욱,2024,14792,6000.0,10000.0,10343.47,투수,237,197,False,False
한현희,2024,10863,40000.0,110000.0,37200.062,투수,51,58,False,False
박진,2024,14163,3300.0,6000.0,7848.52,투수,352,234,False,False
김상수,2024,10427,16000.0,24000.0,17970.32,투수,122,120,False,False
정현수,2024,16090,3000.0,4000.0,6701.64,투수,411,268,False,False
김강현,2024,12699,3200.0,4000.0,5019.62,투수,365,343,False,False
박진형,2024,11425,8600.0,5600.0,6677.8,투수,187,269,False,False
구승민,2024,11291,45000.0,30000.0,33668.832,투수,46,69,True,False
최준용,2024,14624,16300.0,11000.0,13014.7,투수,121,166,False,False
이민석,2024,15045,3800.0,4000.0,4605.4,투수,318,362,False,False
