Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,팀,pid
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,,
10,김현수,24 LF,1.06,137,1.49,-0.43,583,582,517,61,152,36,2,8,216,69,6,1,47,9,1,76,10,1,9,0.294,0.357,0.418,0.775,0.136,104.7,1.06,LG 트윈스,10187
11,최원영,24 LF,0.17,57,0.17,0.0,41,41,37,18,10,2,0,1,15,5,6,4,1,3,0,7,0,0,0,0.27,0.341,0.405,0.746,0.134,102.6,0.17,LG 트윈스,15084
12,이주헌,24 C,0.13,3,0.22,-0.09,6,6,6,0,4,2,0,0,6,3,0,0,0,0,0,2,0,0,0,0.667,0.667,1.0,1.667,0.487,367.5,0.13,LG 트윈스,15081
13,김주성,24 SS,0.12,12,0.07,0.05,9,9,6,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0.167,0.444,0.167,0.611,0.145,110.3,0.12,LG 트윈스,12545
14,김현종,24 CF,0.06,17,-0.03,0.09,16,16,15,8,3,1,0,0,4,2,0,0,0,1,0,4,0,0,0,0.2,0.25,0.267,0.517,0.042,31.9,0.06,LG 트윈스,16013
15,김대원,24 DH,0.04,19,0.06,-0.02,4,4,4,5,2,0,0,0,2,0,2,1,0,0,0,1,0,0,0,0.5,0.5,0.5,1.0,0.229,174.5,0.04,LG 트윈스,16016
16,김유영,24 P,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,11229
16,임준형,24 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,14142
16,진우영,24 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,16015
16,유영찬,24 P,0.0,7,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,14669
