선수,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,팀,pid,연도
한현희,투수,0.79,38,18,20,3,0,0,6,12,0,3,104.0,63,69,65.6,476,123,20,4,11,44,11,1,74,3,0,6,5.45,5.97,5.68,5.53,4.97,1.61,롯데 자이언츠,10863,2021
김도규,투수,0.31,36,0,36,14,0,0,0,3,1,1,29.2,15,16,17.2,132,29,5,0,1,13,1,0,26,3,0,6,4.55,4.85,5.22,4.96,3.52,1.42,롯데 자이언츠,13148,2021
석상호,투수,0.24,5,0,5,2,0,0,0,0,0,0,5.1,0,0,0.0,22,4,1,0,0,2,0,0,6,1,0,1,0.0,0.0,0.0,0.0,2.2,1.13,롯데 자이언츠,15445,2021
정성종,투수,0.21,12,3,9,2,0,0,0,1,0,1,22.0,13,14,13.5,98,21,5,0,1,15,1,1,10,0,0,1,5.32,5.73,5.52,5.16,5.37,1.64,롯데 자이언츠,13147,2021
이진하,투수,0.2,9,0,9,1,0,0,0,0,0,0,8.0,3,3,2.5,31,4,3,0,0,3,1,0,2,1,0,1,3.38,3.38,2.81,2.88,4.77,0.88,롯데 자이언츠,15441,2021
김창훈,투수,0.09,3,0,3,1,0,0,0,0,0,0,4.1,1,1,1.7,17,5,0,1,0,1,0,0,1,0,0,0,2.08,2.08,3.53,3.32,3.99,1.38,롯데 자이언츠,14793,2021
이민석,투수,0.08,1,0,1,0,0,0,0,0,0,0,1.1,0,0,0.0,5,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,4.3,0.75,롯데 자이언츠,15045,2021
김강현,투수,0.08,2,0,2,1,0,0,0,0,0,0,3.0,1,1,1.0,13,1,0,0,0,2,1,0,0,0,0,0,3.0,3.0,3.0,2.79,6.95,1.0,롯데 자이언츠,12699,2021
박영완,투수,0.04,1,0,1,1,0,0,0,0,0,0,1.0,0,0,0.0,3,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,4.45,1.0,롯데 자이언츠,14164,2021
최이준,투수,0.04,28,0,28,9,0,0,1,0,0,1,29.0,22,22,20.15,143,37,11,3,1,21,0,1,20,0,0,4,6.83,6.83,6.25,6.1,4.78,2.0,롯데 자이언츠,13169,2021
