선수,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,팀,pid,연도
김유성,투수,-0.33,7,0,7,5,0,0,0,0,0,0,6.1,7,7,8.2,38,6,0,0,2,12,0,0,6,1,0,3,9.95,9.95,11.65,12.48,11.11,2.84,두산 베어스,15509,2021
이형범,투수,-1.02,23,0,23,4,0,0,1,0,0,1,27.2,20,23,28.8,134,40,10,0,2,12,3,0,13,2,0,2,6.51,7.48,9.37,9.96,4.79,1.88,두산 베어스,11159,2021
안우진,투수,6.61,24,24,0,0,0,0,9,7,0,0,150.2,40,44,41.25,608,121,25,1,5,38,1,1,164,5,0,8,2.39,2.63,2.46,2.5,2.33,1.06,키움 히어로즈,13091,2021
후라도,투수,6.61,30,30,0,0,0,0,11,8,0,0,183.2,54,64,62.95,763,164,19,0,7,41,9,0,147,15,0,5,2.65,3.14,3.08,3.13,3.15,1.12,키움 히어로즈,15531,2021
최원태,투수,3.45,17,17,0,0,0,0,6,4,0,0,102.1,37,38,38.0,422,90,11,0,7,29,5,0,78,4,0,5,3.25,3.34,3.34,3.31,3.79,1.16,키움 히어로즈,11379,2021
김재웅,투수,1.34,67,0,67,11,0,0,2,3,6,18,59.2,28,29,26.25,250,56,11,0,2,24,0,1,46,2,0,0,4.22,4.37,3.96,4.03,3.52,1.34,키움 히어로즈,12858,2021
임창민,투수,1.28,51,0,51,33,0,0,2,2,26,1,46.2,13,16,19.5,209,51,6,0,3,17,2,3,40,3,0,0,2.51,3.09,3.76,3.84,3.6,1.46,키움 히어로즈,10452,2021
정찬헌,투수,0.95,14,14,0,1,1,0,2,8,0,0,72.0,38,40,39.5,295,71,12,3,4,13,2,1,35,3,0,0,4.75,5.0,4.94,5.15,3.9,1.17,키움 히어로즈,10533,2021
김성진,투수,0.87,55,0,55,16,0,0,3,3,0,7,47.0,19,19,21.35,208,44,7,0,5,25,1,2,38,1,0,0,3.64,3.64,4.09,4.23,4.74,1.47,키움 히어로즈,14849,2021
요키시,투수,0.83,12,12,0,0,0,0,5,3,0,0,65.2,32,37,37.0,286,82,14,1,3,14,3,1,51,6,0,1,4.39,5.07,5.07,5.22,3.25,1.46,키움 히어로즈,13940,2021
장재영,투수,0.57,23,17,6,0,0,0,1,5,0,0,71.2,44,46,43.25,339,63,15,0,4,66,8,0,67,6,2,8,5.53,5.78,5.43,5.63,5.38,1.8,키움 히어로즈,14784,2021
조영건,투수,0.39,6,0,6,0,0,0,0,0,0,1,7.2,0,0,0.5,27,5,1,0,0,2,0,0,7,0,0,0,0.0,0.0,0.59,0.54,2.38,0.91,키움 히어로즈,14132,2021
이명종,투수,0.15,45,2,43,7,0,0,5,5,0,1,57.0,33,34,35.55,260,66,13,0,5,24,6,0,26,1,0,0,5.21,5.37,5.61,5.67,5.38,1.58,키움 히어로즈,15073,2021
윤정현,투수,0.14,5,0,5,2,0,0,0,0,0,0,6.0,1,2,2.0,26,5,0,0,0,6,0,0,2,0,0,1,1.5,3.0,3.0,2.98,6.12,1.83,키움 히어로즈,14131,2021
이승호,투수,0.1,4,1,3,0,0,0,0,0,0,1,5.0,3,3,3.0,24,5,3,0,1,4,0,0,1,0,0,0,5.4,5.4,5.4,5.14,8.21,1.8,키움 히어로즈,12865,2021
김준형,투수,0.05,8,0,8,3,0,0,0,0,0,0,7.2,6,6,5.15,36,4,3,0,0,6,3,0,5,0,0,0,7.04,7.04,6.05,5.82,5.86,1.3,키움 히어로즈,14848,2021
홍성민,투수,-0.03,2,0,2,2,0,0,0,0,0,0,2.0,2,2,2.0,12,5,0,1,1,1,0,0,1,0,0,1,9.0,9.0,9.0,9.83,10.1,3.0,키움 히어로즈,10814,2021
양지율,투수,-0.04,1,0,1,0,0,0,0,0,0,0,0.2,1,1,1.0,6,1,0,0,0,3,0,0,2,0,0,0,13.5,13.5,13.5,14.08,10.3,6.0,키움 히어로즈,12854,2021
박승주,투수,-0.06,18,0,18,6,0,0,0,3,0,0,18.0,7,11,12.2,91,19,3,2,2,13,2,0,15,3,0,5,3.5,5.5,6.1,6.31,5.67,1.78,키움 히어로즈,12989,2021
문성현,투수,-0.06,32,0,32,7,0,0,2,2,0,2,28.1,14,16,18.25,134,26,3,0,2,20,2,2,21,2,0,2,4.45,5.08,5.8,5.93,5.02,1.62,키움 히어로즈,10437,2021
오상원,투수,-0.07,11,1,10,7,0,0,0,0,0,0,15.0,11,11,11.5,74,18,5,1,0,9,3,0,7,1,0,0,6.6,6.6,6.9,7.15,5.16,1.8,키움 히어로즈,15474,2021
김태훈,투수,-0.1,8,0,8,2,0,0,1,0,0,3,7.2,5,6,5.65,38,9,1,1,1,6,0,1,4,1,0,0,5.87,7.04,6.63,6.75,6.12,1.96,키움 히어로즈,10871,2021
김건희,투수,-0.14,3,0,3,2,0,0,0,0,0,0,2.0,5,5,3.95,14,6,0,0,2,2,0,0,0,0,0,0,22.5,22.5,17.78,18.97,18.85,4.0,키움 히어로즈,15472,2021
맥키니,투수,-0.16,12,12,0,0,0,0,1,9,0,0,59.1,43,46,44.8,268,61,14,1,10,36,1,0,39,2,1,3,6.52,6.98,6.8,7.0,6.14,1.63,키움 히어로즈,15646,2021
주승우,투수,-0.21,11,2,9,1,0,0,0,1,0,0,16.0,17,18,14.75,90,20,7,0,1,21,2,0,8,0,0,3,9.56,10.13,8.3,8.61,7.8,2.56,키움 히어로즈,15067,2021
원종현,투수,-0.24,20,0,20,1,0,0,1,1,0,6,18.2,12,16,13.75,87,24,8,1,3,5,1,1,17,2,0,2,5.79,7.71,6.63,6.71,4.32,1.55,키움 히어로즈,11161,2021
윤석원,투수,-0.25,21,0,21,3,0,0,2,0,0,2,24.0,12,17,19.25,110,29,5,0,2,8,0,1,8,3,0,1,4.5,6.38,7.22,7.5,4.91,1.54,키움 히어로즈,15071,2021
이영준,투수,-0.29,2,0,2,0,0,0,0,1,0,0,1.2,4,4,3.5,10,4,0,0,0,1,0,0,0,0,0,1,21.6,21.6,18.9,19.71,5.71,3.0,키움 히어로즈,12997,2021
이종민,투수,-0.29,11,2,9,4,0,0,0,1,0,0,13.2,11,13,13.7,72,22,7,0,0,6,1,0,10,3,0,0,7.24,8.56,9.02,9.63,3.61,2.05,키움 히어로즈,14576,2021
김동규,투수,-0.47,3,1,2,0,0,0,0,1,0,0,4.0,10,10,10.0,25,6,0,0,1,9,1,0,1,0,0,4,22.5,22.5,22.5,24.02,13.95,3.75,키움 히어로즈,15485,2021
김동혁,투수,-0.51,35,2,33,11,0,0,1,7,0,6,39.1,32,34,32.3,192,51,9,3,1,18,6,0,24,3,2,0,7.32,7.78,7.39,7.64,4.52,1.75,키움 히어로즈,14674,2021
변시원,투수,-0.6,4,0,4,0,0,0,0,0,0,0,2.1,11,11,8.25,19,6,2,0,1,4,2,0,2,0,0,0,42.43,42.43,31.82,32.41,14.78,4.29,키움 히어로즈,10882,2021
하영민,투수,-0.7,57,0,57,7,0,0,3,1,0,5,52.1,27,36,38.4,247,67,8,4,4,25,1,3,51,6,0,6,4.64,6.19,6.6,6.81,3.86,1.76,키움 히어로즈,11222,2021
양현,투수,-0.74,54,0,54,12,0,0,0,5,0,8,57.0,32,38,43.65,262,83,9,2,5,21,0,1,16,6,1,0,5.05,6.0,6.89,7.07,5.28,1.82,키움 히어로즈,10730,2021
김선기,투수,-0.8,17,7,10,6,0,0,1,3,1,0,43.2,29,37,37.85,200,56,16,2,2,15,1,0,29,4,1,0,5.98,7.63,7.8,7.94,3.87,1.63,키움 히어로즈,13092,2021
류현진,투수,4.44,28,28,0,0,0,0,10,8,0,0,158.1,68,78,76.95,679,182,22,1,12,33,3,0,135,10,0,1,3.87,4.43,4.37,4.41,3.67,1.36,한화 이글스,10590,2022
주현상,투수,3.13,65,0,65,51,0,0,8,4,23,2,71.1,21,22,24.75,267,52,8,2,9,8,1,0,64,0,0,1,2.65,2.78,3.12,3.09,3.85,0.84,한화 이글스,11415,2022
와이스,투수,2.92,16,16,0,0,0,0,5,5,0,0,91.2,38,43,41.95,384,77,13,5,8,29,3,0,98,7,0,6,3.73,4.22,4.12,4.06,3.65,1.16,한화 이글스,16153,2022
문동주,투수,1.77,21,21,0,0,0,0,7,7,0,0,111.1,64,71,69.6,502,148,25,3,14,38,4,1,96,4,1,8,5.17,5.74,5.63,5.61,4.71,1.67,한화 이글스,15013,2022
바리아,투수,1.69,20,19,1,0,0,0,6,7,0,0,92.2,53,58,56.6,405,114,20,1,10,18,0,0,83,7,0,6,5.15,5.63,5.5,5.39,3.85,1.42,한화 이글스,16150,2022
산체스,투수,1.48,11,11,0,0,0,0,2,3,0,0,53.1,25,28,25.8,245,60,9,1,2,21,10,1,56,4,1,2,4.22,4.73,4.35,4.43,3.82,1.52,한화 이글스,15643,2022
황준서,투수,1.24,36,11,25,6,0,0,2,8,0,1,72.0,43,44,44.05,341,80,16,0,9,51,5,0,70,1,1,3,5.38,5.5,5.51,5.42,5.67,1.82,한화 이글스,16107,2022
박상원,투수,1.11,65,0,65,9,0,0,3,3,2,16,66.2,34,38,38.25,278,57,18,0,2,22,7,0,65,3,0,8,4.59,5.13,5.16,5.12,3.47,1.19,한화 이글스,12871,2022
이민우,투수,0.99,64,0,64,7,0,0,2,1,1,10,55.0,23,25,31.35,235,56,10,2,5,23,1,0,49,2,0,1,3.76,4.09,5.13,4.97,4.41,1.44,한화 이글스,13003,2022
한승혁,투수,0.94,70,0,70,4,0,0,5,5,0,19,62.2,35,39,37.1,289,63,7,1,2,38,6,2,64,2,0,6,5.03,5.6,5.33,5.27,4.2,1.61,한화 이글스,10812,2022
장민재,투수,0.74,26,0,26,9,0,0,1,1,0,0,29.0,10,10,12.75,138,46,7,0,2,7,1,0,17,0,0,5,3.1,3.1,3.96,3.88,4.41,1.83,한화 이글스,10610,2022
김서현,투수,0.71,37,0,37,5,0,0,1,2,0,10,38.1,16,20,20.15,178,31,6,2,0,32,4,0,43,2,0,3,3.76,4.7,4.73,4.93,4.31,1.64,한화 이글스,15421,2022
김민우,투수,0.62,3,3,0,0,0,0,1,0,0,0,12.1,3,3,3.0,49,7,0,0,2,6,0,0,13,1,0,0,2.19,2.19,2.19,2.44,5.0,1.05,한화 이글스,11410,2022
이상규,투수,0.48,21,3,18,4,0,0,1,4,0,0,32.0,20,20,18.95,149,39,7,1,5,15,1,1,27,0,0,1,5.63,5.63,5.33,5.29,5.4,1.69,한화 이글스,13245,2022
김기중,투수,0.33,27,11,16,4,0,0,5,4,0,0,59.0,43,44,42.6,286,83,12,1,8,27,6,0,39,2,0,2,6.56,6.71,6.5,6.56,5.89,1.86,한화 이글스,14808,2022
장시환,투수,0.28,30,0,30,2,0,0,2,2,0,2,33.1,19,27,22.05,156,34,6,1,3,22,1,0,28,5,0,0,5.13,7.29,5.95,5.96,5.31,1.68,한화 이글스,10453,2022
페냐,투수,0.26,9,9,0,0,0,0,3,5,0,0,37.1,26,28,27.3,171,41,6,0,6,20,0,0,29,1,0,1,6.27,6.75,6.58,6.62,5.83,1.63,한화 이글스,15146,2022
김승일,투수,0.12,3,0,3,1,0,0,0,0,0,0,3.0,1,1,0.3,13,4,1,0,0,0,1,0,2,0,0,1,3.0,3.0,0.9,0.9,3.57,1.33,한화 이글스,14711,2022
남지민,투수,0.12,2,0,2,1,0,0,0,0,0,0,4.0,0,0,1.2,17,2,1,0,0,2,1,0,3,0,0,1,0.0,0.0,2.7,2.7,4.65,1.0,한화 이글스,14619,2022
김범수,투수,0.08,39,0,39,6,0,0,0,0,0,4,34.0,20,20,25.1,157,33,2,0,11,20,5,1,38,2,0,3,5.29,5.29,6.64,6.53,7.44,1.56,한화 이글스,11411,2022
김규연,투수,0.01,58,1,57,12,0,0,1,0,0,4,59.0,46,50,46.95,270,66,10,1,6,28,4,1,40,3,0,3,7.02,7.63,7.16,7.05,5.4,1.59,한화 이글스,14871,2022
조동욱,투수,0.0,21,8,13,6,0,0,1,2,0,0,41.0,29,34,35.9,198,57,10,0,5,14,6,0,32,3,1,1,6.37,7.46,7.88,7.68,5.21,1.73,한화 이글스,16108,2022
배민서,투수,-0.08,1,0,1,0,0,0,0,0,0,0,1.2,3,3,3.0,11,4,1,0,0,3,0,0,1,0,0,0,16.2,16.2,16.2,16.17,8.28,4.2,한화 이글스,14158,2022
김도빈,투수,-0.11,1,1,0,0,0,0,0,1,0,0,0.1,2,2,2.0,5,1,0,0,0,3,0,0,1,0,0,0,54.0,54.0,54.0,54.0,24.6,12.0,한화 이글스,16118,2022
이충호,투수,-0.12,3,0,3,0,0,0,0,0,0,0,2.1,1,1,3.05,13,4,1,0,0,3,0,0,3,0,0,0,3.86,3.86,11.76,11.02,4.97,3.0,한화 이글스,11116,2022
장지수,투수,-0.14,13,0,13,7,0,0,0,0,0,0,14.0,17,18,14.75,75,23,5,2,0,10,2,2,11,1,0,2,10.93,11.57,9.48,9.15,4.45,2.36,한화 이글스,14178,2022
윤대경,투수,-0.26,7,0,7,1,0,0,0,0,0,0,7.2,9,9,10.2,40,10,3,0,1,6,1,1,7,0,0,0,10.57,10.57,11.97,11.77,6.3,2.09,한화 이글스,11110,2022
이태양,투수,-0.5,10,1,9,3,0,0,0,2,0,0,9.1,12,13,14.2,48,17,3,0,4,2,0,0,2,1,0,0,11.57,12.54,13.69,13.89,9.43,2.04,한화 이글스,10609,2022
한승주,투수,-0.95,18,0,18,6,0,0,0,2,0,0,22.0,28,31,30.15,120,45,6,1,2,10,3,0,14,2,0,1,11.45,12.68,12.33,12.5,5.52,2.5,한화 이글스,14621,2022
정우람,투수,,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,4.2,99.99,한화 이글스,10156,2022
임찬규,투수,4.46,25,24,1,0,0,0,10,6,0,1,134.0,57,58,56.1,577,144,29,1,12,42,5,1,136,0,0,1,3.83,3.9,3.77,3.94,3.79,1.39,LG 트윈스,10652,2022
엔스,투수,4.33,30,30,0,0,0,0,13,6,0,0,167.2,78,84,83.65,714,169,29,3,16,50,6,0,157,9,0,4,4.19,4.51,4.49,4.64,4.03,1.31,LG 트윈스,16023,2022
손주영,투수,4.31,28,27,1,0,0,0,9,10,0,1,144.2,61,71,65.3,637,157,16,0,11,54,10,0,112,9,0,6,3.79,4.42,4.06,4.26,4.54,1.46,LG 트윈스,12908,2022
최원태,투수,3.3,24,23,1,0,0,0,9,7,0,0,126.2,60,66,62.2,554,126,20,1,10,57,5,0,103,6,0,5,4.26,4.69,4.42,4.58,4.62,1.44,LG 트윈스,11379,2022
켈리,투수,2.2,19,19,0,2,2,1,5,8,0,0,113.2,57,65,65.0,495,131,18,1,13,25,6,0,69,4,0,9,4.51,5.15,5.15,5.28,4.89,1.37,LG 트윈스,13934,2022
에르난데스,투수,1.59,11,9,2,1,0,0,3,2,1,1,47.0,21,21,19.45,195,41,6,1,5,16,2,0,55,1,0,1,4.02,4.02,3.72,3.92,3.73,1.21,LG 트윈스,16160,2022
김진성,투수,1.23,71,0,71,6,0,0,3,3,1,27,70.1,31,34,38.35,294,62,11,1,11,23,7,3,61,4,0,2,3.97,4.35,4.91,5.13,5.17,1.21,LG 트윈스,11166,2022
유영찬,투수,1.06,62,0,62,50,0,0,7,5,26,1,63.2,21,24,35.5,286,61,15,0,2,30,3,3,77,3,2,5,2.97,3.39,5.02,5.22,3.06,1.43,LG 트윈스,14669,2022
김유영,투수,0.84,53,2,51,6,0,0,1,2,1,6,47.2,20,27,25.7,212,50,7,0,2,16,4,0,42,8,1,3,3.78,5.1,4.85,4.99,3.8,1.38,LG 트윈스,11229,2022
이상영,투수,0.53,8,3,5,0,0,0,0,1,0,1,16.1,6,6,7.05,75,15,0,0,1,8,4,0,8,0,0,2,3.31,3.31,3.88,4.2,5.98,1.41,LG 트윈스,14135,2022
이종준,투수,0.52,27,0,27,13,0,0,1,2,0,1,26.0,12,13,12.65,119,26,5,0,4,16,0,0,28,1,0,1,4.15,4.5,4.38,4.5,5.25,1.62,LG 트윈스,14651,2022
함덕주,투수,0.32,15,0,15,1,0,0,0,1,0,3,11.2,7,7,4.95,54,13,0,1,2,7,1,0,8,0,0,0,5.4,5.4,3.82,4.02,6.65,1.71,LG 트윈스,11094,2022
우강훈,투수,0.27,13,0,13,5,0,0,1,0,0,0,11.2,3,5,5.2,54,11,1,0,0,6,5,0,10,0,0,2,2.31,3.86,4.01,4.11,4.98,1.46,LG 트윈스,14816,2022
임준형,투수,0.19,18,1,17,3,0,0,0,0,0,0,13.2,10,10,7.95,62,16,4,0,2,4,3,0,13,0,0,0,6.59,6.59,5.24,5.48,5.15,1.46,LG 트윈스,14142,2022
진우영,투수,0.12,6,0,6,6,0,0,0,0,0,0,7.2,4,4,4.0,35,8,3,0,1,4,0,0,6,0,0,2,4.7,4.7,4.7,4.89,5.41,1.57,LG 트윈스,16015,2022
김대현,투수,0.11,37,0,37,8,0,0,2,0,1,1,35.0,21,21,25.0,155,33,6,1,6,18,2,0,30,0,0,5,5.4,5.4,6.43,6.56,5.87,1.46,LG 트윈스,12532,2022
윤호솔,투수,0.11,7,0,7,2,0,0,0,0,0,0,4.1,2,2,1.65,24,4,0,0,0,8,0,0,5,0,0,0,4.15,4.15,3.43,3.44,7.04,2.77,LG 트윈스,11170,2022
이지강,투수,0.11,46,2,44,6,0,0,2,3,1,1,53.2,27,35,38.75,250,61,9,0,5,26,2,0,39,5,0,5,4.53,5.87,6.5,6.69,5.11,1.62,LG 트윈스,14143,2022
정우영,투수,0.09,27,0,27,2,0,0,2,1,0,3,22.2,12,15,15.0,108,31,6,0,0,11,6,0,17,1,0,3,4.76,5.96,5.96,6.38,4.65,1.85,LG 트윈스,14136,2022
김진수,투수,0.09,7,0,7,3,0,0,0,1,0,0,13.1,10,10,9.15,58,17,2,0,3,4,0,0,6,0,0,0,6.75,6.75,6.18,6.15,6.68,1.58,LG 트윈스,14781,2022
성동현,투수,0.08,2,0,2,1,0,0,0,0,0,0,2.0,0,0,0.0,8,0,0,0,0,3,0,0,1,0,0,0,0.0,0.0,0.0,0.0,7.6,1.5,LG 트윈스,13103,2022
강효종,투수,-0.1,1,1,0,0,0,0,0,0,0,0,1.1,3,3,3.0,9,2,0,0,1,3,0,0,2,0,0,0,20.25,20.25,20.25,18.46,16.35,3.75,LG 트윈스,14780,2022
김윤식,투수,-0.11,1,1,0,0,0,0,0,0,0,0,3.0,4,4,4.0,17,7,2,0,0,1,0,0,1,1,0,0,12.0,12.0,12.0,12.94,4.4,2.67,LG 트윈스,14588,2022
최동환,투수,-0.23,26,0,26,7,0,0,0,1,0,2,22.0,17,18,19.7,105,35,6,0,4,9,0,0,14,1,0,0,6.95,7.36,8.06,8.52,6.04,2.0,LG 트윈스,10535,2022
이믿음,투수,-0.27,1,1,0,0,0,0,0,1,0,0,4.0,7,7,7.0,27,11,2,0,0,4,0,0,2,0,0,0,15.75,15.75,15.75,16.98,6.05,3.75,LG 트윈스,14847,2022
김영준,투수,-0.33,14,0,14,5,0,0,1,1,0,0,15.1,14,17,16.65,76,21,3,0,2,9,0,1,11,3,0,2,8.22,9.98,9.77,10.23,5.58,1.96,LG 트윈스,13102,2022
박명근,투수,-0.34,33,0,33,3,0,0,2,2,1,8,25.1,18,20,20.65,120,29,4,0,6,12,3,0,13,3,0,0,6.39,7.11,7.34,7.79,7.57,1.62,LG 트윈스,15486,2022
정지헌,투수,-0.41,17,0,17,4,0,0,0,0,0,1,12.1,16,18,15.65,69,19,2,0,2,11,3,0,11,2,0,3,11.68,13.14,11.42,11.87,7.42,2.43,LG 트윈스,16017,2022
백승현,투수,-0.5,36,0,36,7,0,0,2,1,2,1,26.2,27,28,25.6,135,33,7,0,3,22,2,2,14,0,0,1,9.11,9.45,8.64,8.92,6.9,2.06,LG 트윈스,13009,2022
이우찬,투수,-0.73,42,1,41,3,0,0,3,2,0,6,33.2,33,35,33.15,172,42,6,1,2,30,1,0,31,4,1,6,8.82,9.36,8.86,8.94,5.46,2.14,LG 트윈스,10749,2022
윌커슨,투수,6.81,32,32,0,1,1,1,12,8,0,0,196.2,84,90,88.8,816,210,37,3,18,27,2,0,167,13,0,3,3.84,4.12,4.06,3.91,3.62,1.21,롯데 자이언츠,12295,2022
반즈,투수,6.43,25,25,0,0,0,0,9,6,0,0,150.2,56,59,55.9,624,140,17,4,18,46,5,0,171,8,0,6,3.35,3.52,3.34,3.18,3.83,1.23,롯데 자이언츠,15011,2022
박세웅,투수,4.06,30,30,0,0,0,0,6,11,0,0,173.1,92,103,97.65,759,188,33,0,13,56,11,0,124,12,0,10,4.78,5.35,5.07,4.97,4.5,1.41,롯데 자이언츠,11310,2022
김원중,투수,2.44,56,0,56,42,0,0,3,6,25,0,63.1,25,27,28.5,277,59,8,0,4,31,1,7,68,2,0,5,3.55,3.84,4.05,3.85,3.64,1.42,롯데 자이언츠,10825,2022
김진욱,투수,2.02,19,18,1,0,0,0,4,3,0,0,84.2,50,54,49.85,388,89,21,3,13,44,3,0,87,6,0,5,5.31,5.74,5.3,5.04,5.18,1.57,롯데 자이언츠,14792,2022
한현희,투수,1.58,57,5,52,5,0,0,5,3,0,8,76.1,44,45,44.45,342,92,18,1,7,24,10,1,70,3,0,4,5.19,5.31,5.24,4.97,4.38,1.52,롯데 자이언츠,10863,2022
박진,투수,1.12,38,3,35,11,0,0,2,4,1,0,49.1,24,28,27.65,214,60,9,1,4,11,2,0,35,0,0,4,4.38,5.11,5.04,4.72,4.21,1.44,롯데 자이언츠,14163,2022
김상수,투수,1.12,74,0,74,10,0,0,8,4,2,17,73.2,34,40,45.4,322,71,11,1,5,26,5,2,56,6,1,6,4.15,4.89,5.55,5.38,4.33,1.32,롯데 자이언츠,10427,2022
정현수,투수,0.83,18,4,14,0,0,0,1,1,0,1,23.2,12,12,10.75,104,20,7,0,0,12,2,0,25,1,0,0,4.56,4.56,4.09,3.85,3.39,1.35,롯데 자이언츠,16090,2022
김강현,투수,0.53,26,0,26,10,0,0,0,0,0,0,25.1,10,13,13.7,123,28,4,0,2,18,2,1,24,3,0,3,3.55,4.62,4.87,4.54,5.1,1.82,롯데 자이언츠,12699,2022
전미르,투수,0.42,36,0,36,6,0,0,1,5,1,5,33.2,22,28,22.5,155,33,10,0,4,21,1,2,34,4,0,3,5.88,7.49,6.01,5.62,5.02,1.6,롯데 자이언츠,16089,2022
박진형,투수,0.21,7,0,7,0,0,0,0,0,0,0,6.1,3,3,2.65,24,6,1,0,0,1,1,0,4,0,0,1,4.26,4.26,3.77,3.76,3.6,1.11,롯데 자이언츠,11425,2022
구승민,투수,0.19,66,0,66,7,0,0,5,3,0,13,57.2,31,37,42.7,279,68,10,0,6,35,6,1,62,5,0,7,4.84,5.77,6.66,6.44,4.9,1.79,롯데 자이언츠,11291,2022
최준용,투수,0.17,27,0,27,4,0,0,1,2,0,3,21.2,13,13,15.55,105,28,2,1,2,14,1,1,12,1,0,1,5.4,5.4,6.46,6.02,5.92,1.94,롯데 자이언츠,14624,2022
이민석,투수,0.07,18,5,13,5,0,0,0,2,0,1,31.0,25,27,25.6,153,38,5,3,3,25,2,0,20,1,0,1,7.26,7.84,7.43,7.14,6.44,2.03,롯데 자이언츠,15045,2022
임준섭,투수,0.06,24,0,24,2,0,0,0,0,0,2,11.1,10,11,8.95,56,12,2,1,0,11,3,0,3,0,0,0,7.94,8.74,7.11,6.62,7.37,2.03,롯데 자이언츠,10795,2022
진승현,투수,0.03,7,0,7,3,0,0,0,1,0,0,6.1,6,6,5.0,32,7,3,0,0,5,0,0,5,2,0,0,8.53,8.53,7.11,6.48,4.67,1.89,롯데 자이언츠,15047,2022
정우준,투수,0.03,8,0,8,5,0,0,0,0,0,0,8.1,4,4,6.6,40,10,2,0,2,7,0,0,5,0,0,0,4.32,4.32,7.13,6.76,8.16,2.04,롯데 자이언츠,14795,2022
박준우,투수,-0.01,2,0,2,2,0,0,0,0,0,0,2.0,2,2,2.0,10,3,1,0,0,1,0,0,1,0,0,0,9.0,9.0,9.0,9.03,4.5,2.0,롯데 자이언츠,16092,2022
우강훈,투수,-0.01,1,0,1,0,0,0,0,0,0,0,0.0,1,1,0.65,3,0,0,0,0,2,1,0,0,0,0,0,99.99,99.99,23.0,21.79,9304.2,99.99,롯데 자이언츠,14816,2022
김도규,투수,-0.03,5,0,5,3,0,0,0,1,0,0,4.0,4,4,3.3,25,5,1,0,0,6,2,1,5,0,1,0,9.0,9.0,7.43,8.06,7.27,2.75,롯데 자이언츠,13148,2022
홍민기,투수,-0.06,3,1,2,0,0,0,0,0,0,0,3.2,5,7,5.15,24,8,3,0,0,1,2,0,2,2,0,3,12.27,17.18,12.64,11.95,5.37,2.45,롯데 자이언츠,14625,2022
진해수,투수,-0.17,54,0,54,3,0,0,2,1,0,5,27.2,19,21,23.55,128,36,3,0,5,10,3,1,22,0,0,2,6.18,6.83,7.66,7.29,5.82,1.66,롯데 자이언츠,10075,2022
윤성빈,투수,-0.21,1,1,0,0,0,0,0,1,0,0,1.0,5,5,4.3,9,4,1,0,1,2,0,0,1,0,0,0,45.0,45.0,38.7,36.04,19.8,6.0,롯데 자이언츠,12928,2022
현도훈,투수,-0.3,8,0,8,5,0,0,0,1,0,0,10.0,10,11,12.05,50,15,3,1,2,6,0,0,8,2,0,1,9.0,9.9,10.85,9.99,6.44,2.1,롯데 자이언츠,13271,2022
이인복,투수,-0.31,8,6,2,1,0,0,0,3,0,0,33.0,35,35,36.05,159,49,14,0,10,13,3,0,20,1,0,4,9.55,9.55,9.83,9.35,7.79,1.88,롯데 자이언츠,11232,2022
송재영,투수,-0.36,19,0,19,4,0,0,0,1,1,3,8.1,10,10,10.4,40,9,3,0,2,5,1,0,9,0,1,1,10.8,10.8,11.23,10.38,6.59,1.68,롯데 자이언츠,14794,2022
나균안,투수,-0.64,26,14,12,4,0,0,4,7,0,0,73.0,69,73,73.5,380,114,19,0,15,47,5,0,74,2,0,10,8.51,9.0,9.06,8.73,6.32,2.21,롯데 자이언츠,12930,2022
최이준,투수,-0.7,23,0,23,11,0,0,3,0,0,0,24.2,20,22,27.85,126,40,6,1,3,16,1,1,17,1,0,1,7.3,8.03,10.16,9.76,6.06,2.27,롯데 자이언츠,13169,2022
양현종,투수,5.01,29,29,0,3,3,0,11,5,0,0,171.1,78,86,83.1,727,174,37,6,21,41,6,0,129,11,0,2,4.1,4.52,4.37,4.37,4.63,1.25,KIA 타이거즈,10058,2022
네일,투수,4.9,26,26,0,0,0,0,12,5,0,0,149.1,42,69,67.3,642,154,27,1,11,35,9,0,138,17,1,3,2.53,4.16,4.06,4.04,3.68,1.27,KIA 타이거즈,16088,2022
정해영,투수,2.44,53,0,53,44,0,0,2,3,31,1,50.2,14,14,16.9,210,47,5,1,8,16,1,2,50,1,0,0,2.49,2.49,3.0,2.98,4.59,1.24,KIA 타이거즈,14608,2022
윤영철,투수,2.18,18,18,0,0,0,0,7,4,0,0,81.2,38,44,42.65,362,82,14,1,8,43,1,0,58,7,0,1,4.19,4.85,4.7,4.61,5.26,1.53,KIA 타이거즈,15432,2022
황동하,투수,2.13,25,21,4,4,0,0,5,7,0,0,103.1,51,64,59.55,464,109,18,0,13,44,8,0,81,7,0,5,4.44,5.57,5.19,5.19,5.3,1.48,KIA 타이거즈,15063,2022
장현식,투수,1.94,75,0,75,6,0,0,5,4,0,16,75.1,33,41,37.4,331,75,16,0,8,34,2,2,75,5,0,4,3.94,4.9,4.47,4.43,4.37,1.45,KIA 타이거즈,11164,2022
