Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid
38,오선우,23 1B,-0.156,29,4,82.2,93,89,3,1,98.9,10.02,-1.22,,0.15,,0.06,,,,-1.0,-4.38,-0.52,-1.52,-0.102,141810
39,황대인,23 1B,-0.157,54,50,389.1,391,355,33,3,99.2,8.97,2.69,,-0.28,,-0.33,,,,2.08,4.99,-3.62,-1.54,0.212,113060
41,고종욱,23 LF,-0.259,45,35,248.1,59,54,3,2,96.6,2.07,-0.63,-0.52,-0.05,,,,,,-1.2,-1.51,-1.34,-2.54,-0.122,106590
44,최형우,23 LF,-0.442,15,14,107.0,19,18,0,1,94.7,1.51,-3.2,-0.26,-0.31,,,,,,-3.76,-4.47,-0.57,-4.33,-0.383,103440
45,나성범,23 RF,-0.531,50,49,410.2,93,88,4,1,98.9,2.02,-4.09,0.27,0.79,,,,,,-3.03,-7.53,-2.17,-5.2,-0.309,111620
48,정해영,23 P,,52,0,49.1,11,3,7,1,90.9,1.82,,,,,,,,,0.0,0.0,,,0.0,146080
48,윤중현,23 P,,30,0,28.0,5,2,3,0,100.0,1.61,,,,,,,,,0.0,0.0,,,0.0,131220
48,황동하,23 P,,12,6,31.1,8,3,5,0,100.0,2.3,,,,,,,,,0.0,0.0,,,0.0,150630
48,박준표,23 P,,33,0,28.0,5,0,5,0,100.0,1.61,,,,,,,,,0.0,0.0,,,0.0,110700
48,김기훈,23 P,,27,0,31.1,2,0,2,0,100.0,0.57,,,,,,,,,0.0,0.0,,,0.0,141760
1,장성우,23 C,1.178,116,104,886.0,768,719,43,6,99.2,7.74,0.72,,-0.19,,0.01,-0.06,1.28,,1.37,1.51,10.18,11.55,0.14,102358
2,김상수,23 SS,0.613,129,123,1020.1,441,176,259,6,98.6,3.84,-3.58,,0.92,-1.5,,,,,-4.17,-4.65,10.18,6.01,-0.425,103208
19,김병준,23 CF,0.103,1,1,5.0,3,3,0,0,100.0,5.4,0.66,0.34,0.01,,,,,,1.01,48.41,0.0,1.01,0.103,150978
22,박경수,23 2B,0.087,101,52,503.0,301,118,179,4,98.7,5.31,-2.08,,0.86,0.03,,,,,-1.19,-1.6,2.04,0.85,-0.121,104698
38,배정대,23 CF,0.011,97,93,800.0,253,246,6,1,99.6,2.84,-2.66,1.75,1.02,,,,,,0.11,0.16,0.0,0.11,0.011,112128
41,문상인,23 C,-0.018,1,0,3.0,2,2,0,0,100.0,6.0,0.0,,0.01,,,,-0.3,,-0.2,-29.5,0.02,-0.18,-0.021,132278
44,박병호,23 1B,-0.03,92,89,730.1,735,669,61,5,99.3,9.0,6.2,,1.32,,-0.16,,,,7.37,8.03,-7.66,-0.29,0.751,104708
53,김준태,23 C,-0.082,35,16,162.2,123,108,11,4,96.7,6.58,0.26,,-1.56,,-0.01,0.48,-2.36,,-2.48,-5.18,1.68,-0.8,-0.253,108358
68,하준호,23 P,,12,0,13.0,2,0,2,0,100.0,1.38,,,,,,,,,0.0,0.0,,,0.0,103048
68,김민,23 P,,16,4,29.0,6,3,3,0,100.0,1.86,,,,,,,,,0.0,0.0,,,0.0,131678
68,김영현,23 P,,31,0,33.0,9,1,6,2,77.8,1.91,,,,,,,,,0.0,0.0,,,0.0,148698
68,이채호,23 P,,21,0,24.2,4,3,0,1,75.0,1.09,,,,,,,,,0.0,0.0,,,0.0,131308
68,이상동,23 P,,36,0,40.2,6,2,4,0,100.0,1.33,,,,,,,,,0.0,0.0,,,0.0,141098
68,김재윤,23 P,,59,0,65.2,13,5,7,1,92.3,1.64,,,,,,,,,0.0,0.0,,,0.0,114898
68,이선우,23 P,,22,4,37.1,6,1,5,0,100.0,1.45,,,,,,,,,0.0,0.0,,,0.0,141118
68,박영현,23 P,,67,0,75.1,12,5,7,0,100.0,1.43,,,,,,,,,0.0,0.0,,,0.0,150898
1,이재현,23 SS,1.301,140,135,1156.1,583,222,341,20,96.6,4.38,1.82,,0.74,-0.44,,,,,2.11,2.13,10.64,12.75,0.216,150343
2,강민호,23 C,0.646,101,94,786.2,631,579,49,3,99.5,7.18,-0.6,,0.55,,-0.56,-1.84,-0.71,,-2.95,-3.4,9.29,6.34,-0.301,102323
3,김태군,23 C,0.408,24,20,181.0,139,128,11,0,100.0,6.91,-0.28,,0.47,,-0.01,0.44,1.95,,1.98,2.51,2.02,4.0,0.202,104593
30,김도환,23 C,0.034,8,3,31.0,25,24,1,0,100.0,7.26,-0.09,,0.08,,,-0.1,0.38,,0.16,2.58,0.17,0.33,0.016,141153
36,이병헌,23 C,0.012,21,9,85.1,66,63,3,0,100.0,6.96,-0.09,,0.22,,,0.56,-1.84,,-0.61,-3.79,0.72,0.11,-0.062,141173
37,이상민,23 P,0.0,23,0,18.0,3,1,2,0,100.0,1.5,,,,,,,,,0.0,0.0,0.0,0.0,0.0,111693
40,김민수,23 C,-0.012,2,0,3.0,3,3,0,0,100.0,9.0,0.0,,0.01,,,-0.19,0.06,,-0.14,-10.18,0.02,-0.12,-0.014,112663
46,오재일,23 1B,-0.077,88,80,700.0,717,656,53,8,98.9,9.12,4.85,,0.28,,0.64,,,,5.77,7.84,-6.52,-0.75,0.588,104003
62,김지찬,23 2B,-0.16,91,85,696.1,410,170,224,16,96.1,5.09,-3.87,,0.39,-1.53,,,,,-5.0,-7.28,3.43,-1.57,-0.51,146183
65,이태훈,23 1B,-0.167,7,3,22.2,18,17,0,1,94.4,6.75,-1.02,,-0.45,,,,,,-1.48,-17.72,-0.16,-1.64,-0.151,131603
68,김동엽,23 LF,-0.271,8,6,44.0,11,10,0,1,90.9,2.05,-1.48,-0.51,-0.42,,,,,,-2.41,-5.02,-0.25,-2.66,-0.246,125483
73,이승현,23 P,,45,0,43.1,7,2,5,0,100.0,1.45,,,,,,,,,0.0,0.0,,,0.0,147983
73,오승환,23 P,,58,1,62.2,16,4,12,0,100.0,2.3,,,,,,,,,0.0,0.0,,,0.0,103673
73,이승현,23 P,,60,0,60.0,8,4,4,0,100.0,1.2,,,,,,,,,0.0,0.0,,,0.0,105273
73,김대우,23 P,,44,5,64.0,13,3,8,2,84.6,1.55,,,,,,,,,0.0,0.0,,,0.0,106853
73,이재익,23 P,,49,0,41.0,9,3,5,1,88.9,1.76,,,,,,,,,0.0,0.0,,,0.0,132443
73,김태훈,23 P,,63,0,55.2,17,4,13,0,100.0,2.75,,,,,,,,,0.0,0.0,,,0.0,108713
73,김서준,23 P,,8,1,7.2,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,150393
1,박성한,23 SS,1.447,128,124,1090.1,605,218,368,19,96.9,4.84,5.62,,-0.9,-1.1,,,,,3.62,4.08,10.56,14.18,0.37,129224
2,김민식,23 C,1.249,121,87,786.2,664,601,62,1,99.8,7.59,0.99,,1.54,,0.11,1.9,0.39,,4.81,5.67,7.44,12.25,0.49,107074
6,조형우,23 C,0.254,55,38,312.2,293,258,30,5,98.3,8.29,0.19,,-1.17,,-0.01,0.62,-0.14,,-0.47,-1.08,2.95,2.49,-0.047,148064
14,이재원,23 C,0.059,27,15,134.0,118,105,12,1,99.2,7.86,0.3,,-0.15,,-0.01,-1.54,1.2,,-0.55,-2.94,1.13,0.58,-0.056,100824
21,김건웅,23 1B,0.006,1,1,9.0,6,6,0,0,100.0,6.0,0.1,,0.02,,,,,,0.11,16.46,-0.06,0.05,0.012,154654
