Name,Team,WAAwithPOS,G_x,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,WAR,G_y,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,id,2023,2024,2024_예측
서건창,23 2B,-0.351,35,25,237.0,123,53,61,9,92.7,4.33,-1.4,0.0,-1.83,-1.32,0.0,0.0,0.0,0.0,-4.55,-14.89,1.11,-3.44,-0.464,108556,-0.9,44,-0.44,-0.46,126,123,110,14,22,5,2,0,31,12,3,3,10,0,0,14,5,3,3,0.2,0.26,0.282,0.542,0.053,46.1,10855,20000.0,5000.0,8023.0
김기연,23 C,-0.367,27,11,96.1,96,85,7,4,95.8,8.6,-0.05,0.0,-1.73,0.0,0.0,-1.23,-2.12,0.0,-4.49,-23.09,0.89,-3.6,-0.458,125496,-0.67,28,-0.21,-0.46,40,39,34,3,4,0,0,0,4,2,1,0,5,0,0,10,0,1,0,0.118,0.231,0.118,0.349,-0.002,-1.6,12549,3500.0,4000.0,4264.0
손성빈,23 C,0.407,44,20,201.2,180,166,13,1,99.4,7.99,1.05,0.0,0.03,0.0,-0.01,1.54,-0.74,0.0,2.09,6.7,1.9,3.99,0.213,147962,0.29,45,0.08,0.21,80,78,76,13,20,3,0,1,26,15,0,0,2,0,0,10,3,2,0,0.263,0.282,0.342,0.624,0.076,63.7,14796,3100.0,5000.0,5001.0
정보근,23 C,0.185,51,23,228.2,216,191,24,1,99.5,8.46,-0.52,0.0,0.59,0.0,0.0,1.15,-2.42,0.0,-0.47,-1.22,2.28,1.81,-0.048,131542,1.33,55,1.37,-0.05,101,97,81,11,27,6,1,1,38,13,1,0,14,1,0,13,1,4,1,0.333,0.433,0.469,0.902,0.193,158.9,13154,5900.0,7500.0,8896.0
지시완,23 C,0.148,2,2,15.0,15,10,5,0,100.0,9.0,0.38,0.0,0.04,0.0,0.0,0.4,0.71,0.0,1.31,31.49,0.14,1.46,0.134,114132,0.0,6,-0.14,0.13,10,8,8,0,1,0,0,0,1,0,0,0,0,0,0,5,0,2,0,0.125,0.125,0.125,0.25,-0.07,-57.2,11413,7600.0,5800.0,5723.0
정대선,23 2B,-0.136,18,11,101.0,40,14,26,0,100.0,3.56,-1.36,0.0,0.27,-0.68,0.0,0.0,0.0,0.0,-1.77,-13.4,0.43,-1.34,-0.18,154432,-0.54,19,-0.36,-0.18,47,46,40,5,6,1,0,0,7,6,0,0,2,2,0,8,0,1,2,0.15,0.217,0.175,0.392,0.002,2.0,15443,3000.0,10200.0,4765.0
김민석,23 CF,-0.629,125,107,933.2,247,243,3,1,99.6,2.37,-7.19,-0.17,1.19,0.0,0.0,0.0,0.0,0.0,-6.17,-6.89,0.0,-6.17,-0.629,152532,0.1,129,0.73,-0.63,454,441,400,53,102,24,0,3,135,39,16,3,31,6,1,112,6,12,5,0.255,0.314,0.338,0.652,0.095,78.1,15253,3000.0,33500.0,27197.0
정훈,23 1B,-0.896,65,47,410.1,372,344,23,5,98.7,8.05,-5.25,0.0,0.74,0.0,-0.25,0.0,0.0,0.0,-4.76,-8.58,-4.02,-8.78,-0.486,102532,0.75,80,1.24,-0.49,233,228,201,40,56,14,0,6,88,31,2,0,26,0,1,39,4,4,2,0.279,0.358,0.438,0.796,0.145,118.8,10253,30000.0,30000.0,27356.0
김호령,23 CF,0.552,68,22,288.1,98,97,0,1,99.0,3.03,5.75,-0.22,-0.13,0.0,0.0,0.0,0.0,0.0,5.41,10.25,0.0,5.41,0.552,112980,0.19,76,-0.36,0.55,107,104,95,16,17,7,0,0,24,6,1,0,8,1,0,38,1,3,0,0.179,0.25,0.253,0.503,0.043,37.8,11298,7000.0,9000.0,7942.0
한준수,23 C,0.418,45,22,208.2,166,151,15,0,100.0,7.16,-0.2,0.0,0.54,0.0,-0.23,0.71,1.68,0.0,1.99,5.97,2.11,4.1,0.203,131130,0.52,48,0.32,0.2,94,93,86,9,22,4,0,2,32,12,0,0,7,0,0,26,2,1,0,0.256,0.312,0.372,0.684,0.104,89.2,13113,3100.0,5000.0,6209.0
신범수,23 C,0.28,35,26,238.0,201,191,10,0,100.0,7.6,0.68,0.0,0.61,0.0,0.39,-1.02,-0.37,0.0,0.41,1.65,2.33,2.74,0.042,125410,-0.21,36,-0.25,0.04,100,98,88,7,15,3,0,2,24,10,0,0,7,2,0,19,3,2,1,0.17,0.245,0.273,0.518,0.042,37.4,12541,3600.0,5000.0,4866.0
한승택,23 C,0.141,48,32,273.1,243,223,18,2,99.2,7.94,-1.0,0.0,0.21,0.0,0.0,-0.83,0.8,0.0,-1.06,-3.12,2.45,1.39,-0.108,111190,-0.58,49,-0.48,-0.11,104,98,85,6,11,2,0,0,13,3,0,0,11,2,0,32,1,6,0,0.129,0.245,0.153,0.398,0.017,15.0,11119,8000.0,6500.0,6775.0
