Name_x,포지션,fid_G,fid_GS,fid_IP,PO,Ass,E,RF9,수비 관련 득점 기여도.8,수비 관련 득점 기여도.9,팀,pid,pit_G,pit_GS,GR,GF,CG,SHO,W,L,S,HD,pit_IP,ER,R_x,rRA,TBF,H_x,2B_x,3B_x,HR_x,BB_x,HP_x,IB_x,SO_x,ROE,BK,WP,ERA,FIP,WHIP,연봉(만원),WAR,WAR당 연봉
서진용,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,SSG 랜더스,10784.0,51,0,51,3,0,0,0,1,0,6,47.0,29,34,40.85,211,52,11,1,5,26,0,2,38,3,0,4,5.55,5.09,1.66,45000,-0.12,-374931
임준섭,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,롯데 자이언츠,10795.0,24,0,24,2,0,0,0,0,0,2,11.1,10,11,8.95,56,12,2,1,0,11,3,0,3,0,0,0,7.94,7.37,2.03,4000,0.11,37866
한승혁,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,한화 이글스,10812.0,70,0,70,4,0,0,5,5,0,19,62.2,35,39,37.1,289,63,7,1,2,38,6,2,64,2,0,6,5.03,4.2,1.61,4900,0.96,5130
김원중,투수,54,0,63.1,3,6,1,1.28,0.0,0.0,롯데 자이언츠,10825.0,56,0,56,42,0,0,3,6,25,0,63.1,25,27,28.5,277,59,8,0,4,31,1,7,68,2,0,5,3.55,3.64,1.42,50000,2.65,18866
최성훈,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,삼성 라이온즈,10851.0,28,0,28,0,0,0,0,1,0,3,13.0,10,10,9.3,61,14,1,0,1,9,1,1,10,0,0,2,6.92,5.34,1.77,10000,0.03,294346
한현희,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,롯데 자이언츠,10863.0,57,5,52,5,0,0,5,3,0,8,76.1,44,45,44.45,342,92,18,1,7,24,10,1,70,3,0,4,5.19,4.38,1.52,30000,1.66,18041
김태훈,투수,56,0,52.1,5,7,1,2.06,0.0,0.0,삼성 라이온즈,10871.0,56,0,56,8,0,0,3,2,0,23,52.1,23,24,25.55,225,49,8,1,6,19,4,1,37,2,1,2,3.96,5.16,1.3,17000,0.81,20971
임기영,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KIA 타이거즈,10909.0,37,3,34,3,0,0,6,2,0,2,45.2,32,35,37.2,218,61,12,0,8,17,1,1,36,4,1,1,6.31,5.47,1.71,25000,-0.20,-125138
박준표,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KIA 타이거즈,11070.0,8,0,8,2,0,0,0,0,0,1,6.0,4,4,5.2,29,10,2,0,0,3,1,0,4,0,0,0,6.0,4.6,2.17,8000,-0.04,-194862
함덕주,투수,14,0,11.2,0,3,0,2.31,0.0,0.0,LG 트윈스,11094.0,15,0,15,1,0,0,0,1,0,3,11.2,7,7,4.95,54,13,0,1,2,7,1,0,8,0,0,0,5.4,6.65,1.71,20000,0.26,78097
윤대경,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,한화 이글스,11110.0,7,0,7,1,0,0,0,0,0,0,7.2,9,9,10.2,40,10,3,0,1,6,1,1,7,0,0,0,10.57,6.3,2.09,11000,-0.13,-85456
이충호,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,한화 이글스,11116.0,3,0,3,0,0,0,0,0,0,0,2.1,1,1,3.05,13,4,1,0,0,3,0,0,3,0,0,0,3.86,4.97,3.0,3400,-0.05,-68741
조상우,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,키움 히어로즈,11126.0,44,0,44,7,0,0,0,1,6,9,39.2,14,17,18.85,171,40,6,0,2,20,0,1,36,0,0,1,3.18,4.02,1.51,34000,0.65,52414
이형범,투수,14,0,15.0,4,1,0,3.0,0.0,0.0,KIA 타이거즈,11159.0,16,0,16,5,0,0,0,1,0,2,15.0,13,17,15.8,83,26,4,0,2,7,5,1,9,2,0,0,7.8,6.77,2.2,7000,-0.19,-36107
원종현,투수,4,0,3.2,0,0,0,0.0,0.0,0.0,키움 히어로즈,11161.0,4,0,4,0,0,0,0,0,0,0,3.2,2,2,2.0,18,4,1,0,0,3,0,0,4,0,0,2,4.91,4.01,1.91,50000,0.09,563411
