선수,포지션,Sort▼,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR,팀,기존pid,연봉(만원),연도,포지션구분,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,WAR▼,oWAR,dWAR,PA,ePA,AB,TB,RBI,SB,CS,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,연봉등급,신인여부,국적,선발투수
김윤식,투수,0.61,35,3.0,32.0,0.0,0.0,0.0,7.0,4.0,0.0,1.0,66.2,33.0,37.0,37.55,301.0,65.0,9.0,2.0,3.0,36.0,6.0,2.0,56.0,3.0,2.0,0.0,4.46,5.0,5.07,5.35,4.11,1.52,0.61,LG 트윈스,14588,5000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
최성훈,투수,0.57,46,0.0,46.0,11.0,0.0,0.0,1.0,1.0,0.0,3.0,40.2,11.0,14.0,19.8,179.0,40.0,7.0,1.0,2.0,19.0,1.0,1.0,33.0,4.0,0.0,0.0,2.43,3.1,4.38,4.71,3.85,1.45,0.57,LG 트윈스,10851,7200,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
배재준,투수,0.38,15,6.0,9.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,32.2,15.0,17.0,19.05,151.0,42.0,10.0,0.0,1.0,13.0,3.0,0.0,23.0,4.0,0.0,1.0,4.13,4.68,5.25,5.31,3.89,1.68,0.38,LG 트윈스,12697,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
차우찬,투수,0.33,5,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,22.1,13.0,14.0,12.45,99.0,16.0,3.0,0.0,2.0,13.0,3.0,0.0,12.0,2.0,0.0,0.0,5.24,5.64,5.02,5.1,5.71,1.3,0.33,LG 트윈스,10381,30000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
함덕주,투수,0.32,16,3.0,13.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,21.0,10.0,11.0,10.0,98.0,20.0,2.0,1.0,2.0,13.0,3.0,1.0,18.0,2.0,0.0,2.0,4.29,4.71,4.29,4.75,5.12,1.57,0.32,LG 트윈스,11094,16500,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
채지선,투수,0.2,14,0.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,6.0,8.0,9.2,87.0,15.0,5.0,0.0,0.0,20.0,0.0,0.0,18.0,2.0,2.0,2.0,3.12,4.15,4.78,5.06,4.75,2.02,0.2,LG 트윈스,11387,3500,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김지용,투수,0.17,3,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,16.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.75,0.17,LG 트윈스,10747,7000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
류원석,투수,0.12,6,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,4.0,2.45,28.0,1.0,1.0,0.0,0.0,9.0,1.0,0.0,8.0,1.0,0.0,0.0,6.0,6.0,3.68,3.86,5.6,1.67,0.12,LG 트윈스,13251,3300,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김진수,투수,0.04,3,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.0,1.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.86,3.86,3.86,4.42,1.62,0.86,0.04,LG 트윈스,14781,3000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고효준,투수,-0.01,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.0,1.0,1.5,10.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.86,3.86,5.79,6.63,2.7,1.29,-0.01,LG 트윈스,10124,5000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
최동환,투수,-0.03,8,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,6.0,6.0,3.95,28.0,6.0,1.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,9.53,9.53,6.27,6.94,6.17,1.76,-0.03,LG 트윈스,10535,12000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김태형,투수,-0.04,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.45,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,27.0,27.0,13.05,12.36,10.57,2.0,-0.04,LG 트윈스,12863,3100,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오석주,투수,-0.04,9,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,6.0,6.0,6.5,38.0,9.0,1.0,0.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,6.48,6.48,7.02,7.55,3.9,1.8,-0.04,LG 트윈스,12860,3100,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이상규,투수,-0.06,7,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,5.65,29.0,8.0,2.0,0.0,1.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,9.0,9.0,8.48,8.73,5.63,1.67,-0.06,LG 트윈스,13245,4000,2021,투수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
