선수,포지션,Sort▼,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR,팀,기존pid,연봉(만원),연도,포지션구분,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,WAR▼,oWAR,dWAR,PA,ePA,AB,TB,RBI,SB,CS,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,연봉등급,신인여부,국적,선발투수
이승진,투수,,34,0.0,,,,,,,,,31.1,,,,,,,,,,,,,,,,,,,,,,-0.24,두산 베어스,12678,11000,2022,타자,,3.0,2.0,1.0,0.0,100.0,0.86,,,,,,,,,0.0,0.0,,,0.0,126781.0,,,,,,,,,,,,,,,,,,,,,,,
정철원,투수,,58,0.0,,,,,,,,,72.2,,,,,,,,,,,,,,,,,,,,,,1.69,두산 베어스,13071,3000,2022,타자,,22.0,4.0,18.0,0.0,100.0,2.72,,,,,,,,,0.0,0.0,,,0.0,130711.0,,,,,,,,,,,,,,,,,,,,,,,
김지용,투수,,17,0.0,,,,,,,,,19.1,,,,,,,,,,,,,,,,,,,,,,-0.11,두산 베어스,10747,6000,2022,타자,,3.0,1.0,2.0,0.0,100.0,1.4,,,,,,,,,0.0,0.0,,,0.0,107471.0,,,,,,,,,,,,,,,,,,,,,,,
이지영,포수,,137,102.0,,,,,,,,,994.2,,,,,,,,,,,,,,,,,,,,,,1.59,키움 히어로즈,10312,30000,2022,타자,1.125,906.0,818.0,77.0,11.0,98.8,8.1,-0.22,,-1.32,,0.21,0.01,2.44,,0.38,0.4,10.54,10.92,0.039,103127.0,,,,,,,,,,,,,,,,,,,,,,,
이정후,중견수,,134,132.0,,,,,,,,,1155.1,,,,,,,,,,,,,,,,,,,,,,8.88,키움 히어로즈,12906,75000,2022,타자,0.203,313.0,304.0,7.0,2.0,99.4,2.42,-0.24,1.57,0.64,,,,,,1.97,2.0,0.0,1.97,0.203,129067.0,,,,,,,,,,,,,,,,,,,,,,,
김웅빈,1루수,,11,9.0,,,,,,,,,77.2,,,,,,,,,,,,,,,,,,,,,,0.74,키움 히어로즈,12503,7000,2022,타자,0.164,79.0,70.0,8.0,1.0,98.7,9.04,2.46,,0.06,,-0.19,,,,2.33,7.45,-0.74,1.59,0.24,125037.0,,,,,,,,,,,,,,,,,,,,,,,
박동원,포수,,7,6.0,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,4.59,KIA 타이거즈,10387,31000,2022,타자,0.084,42.0,38.0,3.0,1.0,97.6,7.69,-0.08,,-0.34,,0.09,0.0,0.85,,0.27,0.31,0.55,0.82,0.027,103877.0,,,,,,,,,,,,,,,,,,,,,,,
임지열,좌익수,,22,18.0,,,,,,,,,155.0,,,,,,,,,,,,,,,,,,,,,,0.58,키움 히어로즈,11225,3200,2022,타자,0.044,41.0,39.0,2.0,0.0,100.0,2.38,0.8,0.19,0.23,,,,,,1.22,4.4,-0.8,0.42,0.126,112257.0,,,,,,,,,,,,,,,,,,,,,,,
김재현,포수,,56,31.0,,,,,,,,,217.1,,,,,,,,,,,,,,,,,,,,,,-0.4,키움 히어로즈,10870,6500,2022,타자,-0.01,171.0,149.0,18.0,4.0,97.7,6.92,0.65,,-0.79,,0.09,0.06,-3.02,,-2.11,-5.43,2.02,-0.09,-0.218,108707.0,,,,,,,,,,,,,,,,,,,,,,,
김시앙,포수,,12,5.0,,,,,,,,,36.1,,,,,,,,,,,,,,,,,,,,,,-0.23,키움 히어로즈,14851,3000,2022,타자,-0.04,34.0,32.0,1.0,1.0,97.1,8.17,-0.07,,-0.37,,,-0.06,-0.27,,-0.7,-7.71,0.31,-0.38,-0.072,148517.0,,,,,,,,,,,,,,,,,,,,,,,
김수환,1루수,,44,42.0,,,,,,,,,297.0,,,,,,,,,,,,,,,,,,,,,,-0.08,키움 히어로즈,13096,3400,2022,타자,-0.446,305.0,275.0,27.0,3.0,99.0,9.15,-1.7,,0.22,,-0.01,,,,-1.49,-3.75,-2.84,-4.33,-0.153,130967.0,,,,,,,,,,,,,,,,,,,,,,,
푸이그,우익수,,96,96.0,,,,,,,,,842.2,,,,,,,,,,,,,,,,,,,,,,3.53,키움 히어로즈,15004,70000,2022,타자,-1.043,164.0,150.0,8.0,6.0,96.3,1.69,-5.57,1.06,-1.41,,,,,,-5.92,-6.76,-4.2,-10.12,-0.61,150047.0,,,,,,,,,,,,,,,,,,,,,,,
박승주,투수,,26,0.0,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,0.32,키움 히어로즈,12989,3200,2022,타자,,2.0,0.0,2.0,0.0,100.0,0.72,,,,,,,,,0.0,0.0,,,0.0,129897.0,,,,,,,,,,,,,,,,,,,,,,,
애플러,투수,,33,25.0,,,,,,,,,140.1,,,,,,,,,,,,,,,,,,,,,,2.41,키움 히어로즈,15005,27500,2022,타자,,26.0,9.0,13.0,4.0,84.6,1.41,,,,,,,,,0.0,0.0,,,0.0,150057.0,,,,,,,,,,,,,,,,,,,,,,,
하영민,투수,,41,0.0,,,,,,,,,39.1,,,,,,,,,,,,,,,,,,,,,,-0.55,키움 히어로즈,11222,4000,2022,타자,,12.0,4.0,6.0,2.0,83.3,2.29,,,,,,,,,0.0,0.0,,,0.0,112227.0,,,,,,,,,,,,,,,,,,,,,,,
박주성,투수,,10,0.0,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,-0.16,키움 히어로즈,14130,4000,2022,타자,,4.0,1.0,3.0,0.0,100.0,2.77,,,,,,,,,0.0,0.0,,,0.0,141307.0,,,,,,,,,,,,,,,,,,,,,,,
안우진,투수,,30,30.0,,,,,,,,,196.0,,,,,,,,,,,,,,,,,,,,,,8.55,키움 히어로즈,13091,15000,2022,타자,,31.0,3.0,26.0,2.0,93.5,1.33,,,,,,,,,0.0,,,,0.0,130917.0,,,,,,,,,,,,,,,,,,,,,,,
김성진,투수,,23,0.0,,,,,,,,,21.2,,,,,,,,,,,,,,,,,,,,,,-0.55,키움 히어로즈,14849,5000,2022,타자,,4.0,2.0,2.0,0.0,100.0,1.66,,,,,,,,,0.0,0.0,,,0.0,148497.0,,,,,,,,,,,,,,,,,,,,,,,
노운현,투수,,5,0.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,-0.11,키움 히어로즈,15027,3000,2022,타자,,1.0,1.0,0.0,0.0,100.0,2.25,,,,,,,,,0.0,0.0,,,0.0,150277.0,,,,,,,,,,,,,,,,,,,,,,,
김태훈,투수,,43,0.0,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,0.44,키움 히어로즈,10871,19000,2022,타자,,7.0,0.0,7.0,0.0,100.0,1.47,,,,,,,,,0.0,0.0,,,0.0,108717.0,,,,,,,,,,,,,,,,,,,,,,,
김태진,1루수,,76,60.0,,,,,,,,,517.0,,,,,,,,,,,,,,,,,,,,,,0.22,키움 히어로즈,11244,10000,2022,타자,0.036,392.0,293.0,94.0,5.0,0.987,6.737,0.75,-0.45,0.03,0.96,0.0,,0.0,0.0,1.49,2.823,-1.137,0.353,0.154,112447.0,,,,,,,,,,,,,,,,,,,,,,,
오태곤,좌익수,,148,63.0,,,,,,,,,673.0,,,,,,,,,,,,,,,,,,,,,,1.18,SSG 랜더스,10249,10500,2022,타자,0.424,268.0,243.0,24.0,1.0,0.996,3.571,4.75,0.29,0.44,0.0,0.0,,0.0,0.0,5.61,5.458,-1.495,4.115,0.578,102494.0,,,,,,,,,,,,,,,,,,,,,,,
김태연,3루수,,100,86.0,,,,,,,,,719.0,,,,,,,,,,,,,,,,,,,,,,1.56,한화 이글스,12585,5600,2022,타자,0.168,285.0,117.0,154.0,14.0,0.951,3.392,1.5,0.17,-0.21,0.46,0.0,,0.0,0.0,1.55,2.232,0.081,1.631,0.16,125859.0,,,,,,,,,,,,,,,,,,,,,,,
박정현,유격수,,84,53.0,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,1.46,한화 이글스,14704,3500,2022,타자,0.94,307.0,172.0,127.0,8.0,0.974,5.382,6.56,0.0,0.14,1.48,0.0,,0.0,0.0,8.46,14.503,0.658,9.118,0.872,147049.0,,,,,,,,,,,,,,,,,,,,,,,
이영빈,유격수,,45,11.0,,,,,,,,,145.0,,,,,,,,,,,,,,,,,,,,,,0.13,LG 트윈스,14783,5500,2022,타자,0.164,97.0,49.0,46.0,2.0,0.979,5.897,0.86,0.0,0.19,0.1,0.0,,0.0,0.0,1.3,4.16,0.293,1.593,0.134,147836.0,,,,,,,,,,,,,,,,,,,,,,,
홍성호,우익수,,11,3.0,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,-0.35,두산 베어스,12606,3000,2022,타자,-0.095,4.0,4.0,0.0,0.0,1.0,1.2,-0.68,-0.23,0.05,0.0,0.0,,0.0,0.0,-0.87,-11.389,-0.055,-0.925,-0.09,126061.0,,,,,,,,,,,,,,,,,,,,,,,
이도윤,3루수,,69,27.0,,,,,,,,,307.0,,,,,,,,,,,,,,,,,,,,,,-0.36,한화 이글스,11414,3400,2022,타자,0.09,132.0,45.0,81.0,6.0,0.955,3.694,1.66,0.0,0.38,-1.76,0.0,,0.0,0.0,0.49,1.023,0.38,0.87,0.051,114149.0,,,,,,,,,,,,,,,,,,,,,,,
이상호,2루수,,62,11.0,,,,,,,,,188.0,,,,,,,,,,,,,,,,,,,,,,-0.13,LG 트윈스,11147,8500,2022,타자,-0.18,120.0,57.0,59.0,4.0,0.967,5.553,-0.97,0.0,-0.76,-0.21,0.0,,0.0,0.0,-1.94,-4.506,0.197,-1.743,-0.2,111476.0,,,,,,,,,,,,,,,,,,,,,,,
손호영,2루수,,38,22.0,,,,,,,,,193.0,,,,,,,,,,,,,,,,,,,,,,0.34,LG 트윈스,14590,3500,2022,타자,-0.262,110.0,46.0,59.0,5.0,0.955,4.896,-2.51,0.0,-0.24,-0.21,0.0,,0.0,0.0,-2.96,-11.217,0.421,-2.539,-0.305,145906.0,,,,,,,,,,,,,,,,,,,,,,,
윤정빈,우익수,,12,0.0,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,0.0,삼성 라이온즈,13161,3000,2022,타자,0.218,9.0,9.0,0.0,0.0,1.0,4.05,1.76,0.35,0.02,0.0,0.0,,0.0,0.0,2.13,25.56,-0.018,2.112,0.22,131613.0,,,,,,,,,,,,,,,,,,,,,,,
김민수,3루수,,61,40.0,,,,,,,,,337.0,,,,,,,,,,,,,,,,,,,,,,0.33,롯데 자이언츠,12931,5300,2022,타자,0.145,220.0,138.0,77.0,5.0,0.977,5.742,0.7,0.0,-0.15,0.66,0.0,,0.0,0.0,1.46,3.447,-0.058,1.402,0.151,129312.0,,,,,,,,,,,,,,,,,,,,,,,
렉스,우익수,,70,52.0,,,,,,,,,449.0,,,,,,,,,,,,,,,,,,,,,,2.94,롯데 자이언츠,15152,31370,2022,타자,-0.022,110.0,106.0,2.0,2.0,0.982,2.165,1.8,-1.24,-0.27,0.0,0.0,,0.0,0.0,0.3,0.617,-0.511,-0.211,0.031,151522.0,,,,,,,,,,,,,,,,,,,,,,,
안상현,2루수,,33,9.0,,,,,,,,,107.0,,,,,,,,,,,,,,,,,,,,,,0.21,SSG 랜더스,12613,3200,2022,타자,0.198,65.0,21.0,43.0,1.0,0.985,5.383,2.07,0.0,0.12,-0.63,0.0,,0.0,0.0,1.56,6.807,0.364,1.924,0.161,126134.0,,,,,,,,,,,,,,,,,,,,,,,
김규성,2루수,,65,10.0,,,,,,,,,172.0,,,,,,,,,,,,,,,,,,,,,,-0.27,KIA 타이거즈,12540,4300,2022,타자,-0.197,92.0,58.0,32.0,2.0,0.978,4.709,-1.62,0.0,0.18,-0.63,0.0,,0.0,0.0,-1.97,-4.364,0.058,-1.912,-0.203,125400.0,,,,,,,,,,,,,,,,,,,,,,,
이호연,1루수,,94,45.0,,,,,,,,,483.0,,,,,,,,,,,,,,,,,,,,,,-0.15,롯데 자이언츠,13151,3000,2022,타자,-0.197,275.0,172.0,99.0,4.0,0.985,5.05,-1.21,0.0,0.47,-0.28,0.0,,0.0,0.0,-1.5,-2.298,-0.413,-1.913,-0.155,131512.0,,,,,,,,,,,,,,,,,,,,,,,
장준원,2루수,,40,13.0,,,,,,,,,151.0,,,,,,,,,,,,,,,,,,,,,,0.14,KT 위즈,11214,3800,2022,타자,-0.019,67.0,26.0,41.0,0.0,1.0,3.993,-1.02,0.0,0.19,0.41,0.0,,0.0,0.0,-0.43,-1.548,0.248,-0.182,-0.044,112148.0,,,,,,,,,,,,,,,,,,,,,,,
김재혁,좌익수,,14,9.0,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,0.33,삼성 라이온즈,15036,3000,2022,타자,-0.056,17.0,15.0,2.0,0.0,1.0,1.866,-0.67,0.12,0.13,0.0,0.0,,0.0,0.0,-0.42,-4.32,-0.121,-0.541,-0.043,150363.0,,,,,,,,,,,,,,,,,,,,,,,
이유찬,유격수,,14,8.0,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,-0.2,두산 베어스,12894,6000,2022,타자,-0.08,29.0,9.0,17.0,3.0,0.897,3.441,-0.86,0.0,0.08,-0.3,0.0,,0.0,0.0,-0.95,-9.771,0.17,-0.78,-0.098,128941.0,,,,,,,,,,,,,,,,,,,,,,,
김호재,3루수,,23,4.0,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,-0.42,삼성 라이온즈,13240,7000,2022,타자,-0.159,38.0,19.0,17.0,2.0,0.947,4.836,-0.89,0.0,-0.42,-0.24,0.0,,0.0,0.0,-1.55,-9.704,0.003,-1.547,-0.16,132403.0,,,,,,,,,,,,,,,,,,,,,,,
오윤석,2루수,,127,86.0,,,,,,,,,753.0,,,,,,,,,,,,,,,,,,,,,,1.78,KT 위즈,11397,9000,2022,타자,0.728,510.0,264.0,236.0,10.0,0.98,5.976,5.3,0.0,-0.15,0.31,0.0,,0.0,0.0,5.6,6.35,1.463,7.063,0.577,113978.0,,,,,,,,,,,,,,,,,,,,,,,
안재석,유격수,,93,69.0,,,,,,,,,577.0,,,,,,,,,,,,,,,,,,,,,,1.24,두산 베어스,14771,5800,2022,타자,0.841,336.0,130.0,191.0,15.0,0.955,5.007,5.24,0.0,-0.57,0.29,0.0,,0.0,0.0,4.96,7.68,3.195,8.155,0.511,147711.0,,,,,,,,,,,,,,,,,,,,,,,
한석현,중견수,,6,1.0,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,-0.1,LG 트윈스,13250,3900,2022,타자,0.047,7.0,7.0,0.0,0.0,1.0,2.333,0.28,0.16,0.04,0.0,0.0,,0.0,0.0,0.48,11.52,-0.02,0.46,0.049,132506.0,,,,,,,,,,,,,,,,,,,,,,,
가르시아,2루수,,41,38.0,,,,,,,,,330.0,,,,,,,,,,,,,,,,,,,,,,0.29,LG 트윈스,15150,18000,2022,타자,-0.201,161.0,60.0,95.0,6.0,0.963,4.227,-2.37,0.0,-0.11,-0.29,0.0,,0.0,0.0,-3.14,-11.028,1.19,-1.95,-0.324,151506.0,,,,,,,,,,,,,,,,,,,,,,,
안익훈,우익수,,14,0.0,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,-0.04,LG 트윈스,11347,5500,2022,타자,-0.023,7.0,7.0,0.0,0.0,1.0,2.52,-0.28,0.04,0.04,0.0,0.0,,0.0,0.0,-0.22,-2.263,-0.007,-0.227,-0.023,113476.0,,,,,,,,,,,,,,,,,,,,,,,
홍창기,우익수,,125,101.0,,,,,,,,,898.0,,,,,,,,,,,,,,,,,,,,,,4.0,LG 트윈스,12546,32000,2022,타자,0.372,196.0,189.0,6.0,1.0,0.995,1.954,5.34,0.87,1.08,0.0,0.0,,0.0,0.0,7.29,8.398,-3.682,3.608,0.752,125466.0,,,,,,,,,,,,,,,,,,,,,,,
김대한,우익수,,56,24.0,,,,,,,,,273.0,,,,,,,,,,,,,,,,,,,,,,0.6,두산 베어스,14170,3000,2022,타자,-0.093,66.0,65.0,1.0,0.0,1.0,2.176,0.45,-1.16,0.46,0.0,0.0,,0.0,0.0,-0.24,-0.617,-0.661,-0.901,-0.025,141701.0,,,,,,,,,,,,,,,,,,,,,,,
강승호,2루수,,148,113.0,,,,,,,,,1005.0,,,,,,,,,,,,,,,,,,,,,,3.56,두산 베어스,11087,11500,2022,타자,0.854,580.0,256.0,310.0,14.0,0.976,5.069,4.21,0.0,0.66,-0.34,0.0,,0.0,0.0,4.53,4.408,3.749,8.279,0.467,110871.0,,,,,,,,,,,,,,,,,,,,,,,
송찬의,2루수,,30,18.0,,,,,,,,,163.0,,,,,,,,,,,,,,,,,,,,,,0.52,LG 트윈스,13109,3000,2022,타자,0.137,110.0,66.0,40.0,4.0,0.964,5.853,0.91,-0.17,0.2,0.22,0.0,,0.0,0.0,1.17,5.616,0.155,1.325,0.121,131096.0,,,,,,,,,,,,,,,,,,,,,,,
전민재,유격수,,27,11.0,,,,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,0.22,두산 베어스,13073,3200,2022,타자,0.239,59.0,24.0,33.0,2.0,0.966,4.664,0.93,0.0,0.17,0.84,0.0,,0.0,0.0,1.94,10.347,0.382,2.322,0.2,130731.0,,,,,,,,,,,,,,,,,,,,,,,
박계범,3루수,,78,45.0,,,,,,,,,394.0,,,,,,,,,,,,,,,,,,,,,,0.34,두산 베어스,11198,14500,2022,타자,0.184,157.0,52.0,97.0,8.0,0.949,3.404,2.06,0.0,-0.5,-0.31,0.0,,0.0,0.0,1.35,2.492,0.439,1.789,0.139,111981.0,,,,,,,,,,,,,,,,,,,,,,,
문성주,우익수,,61,49.0,,,,,,,,,456.0,,,,,,,,,,,,,,,,,,,,,,3.62,LG 트윈스,13112,4200,2022,타자,0.587,129.0,125.0,4.0,0.0,1.0,2.546,5.78,0.27,0.75,0.0,0.0,,0.0,0.0,6.8,16.052,-1.11,5.69,0.701,131126.0,,,,,,,,,,,,,,,,,,,,,,,
최경모,3루수,,98,15.0,,,,,,,,,249.0,,,,,,,,,,,,,,,,,,,,,,0.5,SSG 랜더스,14151,3000,2022,타자,0.374,103.0,36.0,63.0,4.0,0.961,3.578,3.77,0.0,-0.23,0.03,0.0,,0.0,0.0,3.56,5.231,0.071,3.631,0.367,141514.0,,,,,,,,,,,,,,,,,,,,,,,
최지훈,중견수,,180,138.0,,,,,,,,,1239.0,,,,,,,,,,,,,,,,,,,,,,6.49,SSG 랜더스,14587,15000,2022,타자,1.27,336.0,324.0,11.0,1.0,0.997,2.433,8.87,1.93,1.8,0.0,0.0,,0.0,0.0,12.59,10.072,-0.27,12.32,1.298,145874.0,,,,,,,,,,,,,,,,,,,,,,,
김헌곤,중견수,,88,62.0,,,,,,,,,545.0,,,,,,,,,,,,,,,,,,,,,,-2.35,삼성 라이온즈,10640,18000,2022,타자,-0.624,132.0,128.0,4.0,0.0,1.0,2.18,-7.6,1.09,0.85,0.0,0.0,,0.0,0.0,-5.65,-9.245,-0.401,-6.051,-0.582,106403.0,,,,,,,,,,,,,,,,,,,,,,,
마티니,좌익수,,142,120.0,,,,,,,,,1006.0,,,,,,,,,,,,,,,,,,,,,,2.32,NC 다이노스,15008,44000,2022,타자,-1.25,498.0,461.0,25.0,12.0,0.976,4.348,-7.72,-0.48,-0.69,0.0,0.0,,0.0,0.0,-9.2,-9.33,-2.929,-12.129,-0.948,150085.0,,,,,,,,,,,,,,,,,,,,,,,
최승민,중견수,,33,6.0,,,,,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,-0.44,NC 다이노스,14187,3300,2022,타자,-0.335,19.0,18.0,0.0,1.0,0.947,1.723,-2.78,-0.12,-0.35,0.0,0.0,,0.0,0.0,-3.25,-14.182,-0.001,-3.251,-0.335,141875.0,,,,,,,,,,,,,,,,,,,,,,,
이재원,좌익수,,53,36.0,,,,,,,,,310.0,,,,,,,,,,,,,,,,,,,,,,1.62,LG 트윈스,13104,5200,2022,타자,-0.276,67.0,64.0,2.0,1.0,0.985,1.916,-1.72,-0.29,0.01,0.0,0.0,,0.0,0.0,-2.0,-5.434,-0.677,-2.677,-0.206,131046.0,,,,,,,,,,,,,,,,,,,,,,,
최민창,좌익수,,5,0.0,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,-0.06,LG 트윈스,11351,3200,2022,타자,-0.032,2.0,2.0,0.0,0.0,1.0,1.385,0.03,-0.34,0.02,0.0,0.0,,0.0,0.0,-0.29,-8.352,-0.02,-0.31,-0.03,113516.0,,,,,,,,,,,,,,,,,,,,,,,
조수행,좌익수,,111,22.0,,,,,,,,,355.0,,,,,,,,,,,,,,,,,,,,,,-0.31,두산 베어스,12524,8500,2022,타자,-0.338,86.0,84.0,2.0,0.0,1.0,2.18,-2.83,-0.65,0.56,0.0,0.0,,0.0,0.0,-2.91,-3.775,-0.366,-3.276,-0.3,125241.0,,,,,,,,,,,,,,,,,,,,,,,
송성문,3루수,,140,137.0,,,,,,,,,1220.0,,,,,,,,,,,,,,,,,,,,,,2.71,키움 히어로즈,11376,7500,2022,타자,0.442,357.0,91.0,251.0,15.0,0.958,2.523,6.01,0.0,-0.4,-0.9,0.0,,0.0,0.0,4.29,4.413,0.0,4.29,0.442,113767.0,,,,,,,,,,,,,,,,,,,,,,,
권민석,1루수,,13,0.0,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,-0.06,두산 베어스,13079,3300,2022,타자,-0.01,12.0,11.0,1.0,0.0,1.0,5.143,-0.51,0.0,0.02,0.39,0.0,,0.0,0.0,-0.1,-1.108,0.0,-0.1,-0.01,130791.0,,,,,,,,,,,,,,,,,,,,,,,
이원석,중견수,,18,8.0,,,,,,,,,86.0,,,,,,,,,,,,,,,,,,,,,,-0.46,한화 이글스,13138,3300,2022,타자,-0.112,22.0,21.0,0.0,1.0,0.955,2.198,1.03,-1.74,-0.36,0.0,0.0,,0.0,0.0,-1.07,-8.56,-0.018,-1.088,-0.11,131389.0,,,,,,,,,,,,,,,,,,,,,,,
강진성,1루수,,33,20.0,,,,,,,,,178.0,,,,,,,,,,,,,,,,,,,,,,-0.16,두산 베어스,11148,13000,2022,타자,-0.085,136.0,129.0,7.0,0.0,1.0,6.876,-0.57,0.22,0.18,0.0,0.0,,0.0,0.0,-0.02,-0.087,-0.807,-0.827,-0.002,111481.0,,,,,,,,,,,,,,,,,,,,,,,
서예일,2루수,,36,1.0,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,-0.32,두산 베어스,12523,3300,2022,타자,-0.15,37.0,10.0,24.0,3.0,0.919,3.825,-1.86,0.0,0.09,0.24,0.0,,0.0,0.0,-1.53,-6.12,0.072,-1.457,-0.158,125231.0,,,,,,,,,,,,,,,,,,,,,,,
신성현,좌익수,,12,7.0,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,-0.05,두산 베어스,11492,4000,2022,타자,0.155,17.0,14.0,1.0,2.0,0.882,2.755,0.73,0.81,0.07,0.0,0.0,,0.0,0.0,1.61,19.32,-0.108,1.502,0.166,114921.0,,,,,,,,,,,,,,,,,,,,,,,
김인태,우익수,,77,66.0,,,,,,,,,490.0,,,,,,,,,,,,,,,,,,,,,,1.88,두산 베어스,11098,14000,2022,타자,0.092,111.0,108.0,1.0,2.0,0.982,2.002,3.05,-0.6,-0.15,0.0,0.0,,0.0,0.0,2.29,4.283,-1.395,0.895,0.236,110981.0,,,,,,,,,,,,,,,,,,,,,,,
안권수,우익수,,80,57.0,,,,,,,,,511.0,,,,,,,,,,,,,,,,,,,,,,1.11,두산 베어스,14571,4800,2022,타자,-0.235,130.0,118.0,5.0,7.0,0.946,2.166,1.69,-0.71,-2.05,0.0,0.0,,0.0,0.0,-1.07,-1.926,-1.213,-2.283,-0.11,145711.0,,,,,,,,,,,,,,,,,,,,,,,
김민혁,1루수,,21,13.0,,,,,,,,,126.0,,,,,,,,,,,,,,,,,,,,,,0.03,두산 베어스,12970,3200,2022,타자,-0.357,115.0,106.0,7.0,2.0,0.983,8.071,-1.64,0.0,0.11,0.0,-0.1,,-1.38,0.0,-2.61,-17.897,-0.855,-3.465,-0.269,129701.0,,,,,,,,,,,,,,,,,,,,,,,
송승환,좌익수,,9,6.0,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,-0.3,두산 베어스,14172,3000,2022,타자,-0.332,16.0,16.0,0.0,0.0,1.0,2.4,-3.0,-0.13,0.09,0.0,0.0,,0.0,0.0,-3.04,-48.64,-0.182,-3.222,-0.313,141721.0,,,,,,,,,,,,,,,,,,,,,,,
신민재,중견수,,8,0.0,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,0.06,LG 트윈스,13056,5000,2022,타자,0.078,5.0,5.0,0.0,0.0,1.0,3.462,0.81,-0.06,0.02,0.0,0.0,,0.0,0.0,0.76,13.68,0.0,0.76,0.078,130566.0,,,,,,,,,,,,,,,,,,,,,,,
터크먼,중견수,,144,135.0,,,,,,,,,1163.0,,,,,,,,,,,,,,,,,,,,,,4.05,한화 이글스,15012,70000,2022,타자,-0.089,386.0,372.0,9.0,5.0,0.987,2.948,-1.94,1.87,-0.78,0.0,0.0,,0.0,0.0,-0.85,-0.85,-0.013,-0.863,-0.088,150129.0,,,,,,,,,,,,,,,,,,,,,,,
장진혁,우익수,,40,31.0,,,,,,,,,275.0,,,,,,,,,,,,,,,,,,,,,,0.61,한화 이글스,12583,5800,2022,타자,0.203,71.0,64.0,3.0,4.0,0.944,2.193,2.92,0.55,-0.49,0.0,0.0,,0.0,0.0,2.99,10.764,-1.022,1.968,0.308,125839.0,,,,,,,,,,,,,,,,,,,,,,,
김주형,유격수,,52,34.0,,,,,,,,,313.0,,,,,,,,,,,,,,,,,,,,,,-0.12,키움 히어로즈,14214,4500,2022,타자,-0.172,164.0,50.0,103.0,11.0,0.933,4.399,-3.41,0.0,0.02,-0.24,0.0,,0.0,0.0,-3.63,-10.052,1.961,-1.669,-0.374,142147.0,,,,,,,,,,,,,,,,,,,,,,,
박찬혁,좌익수,,27,22.0,,,,,,,,,167.0,,,,,,,,,,,,,,,,,,,,,,-0.71,키움 히어로즈,15068,3000,2022,타자,-0.45,71.0,64.0,4.0,3.0,0.958,3.665,-3.77,0.0,-0.25,0.0,0.0,,0.0,0.0,-4.02,-21.44,-0.343,-4.363,-0.414,150687.0,,,,,,,,,,,,,,,,,,,,,,,
예진원,좌익수,,16,1.0,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,0.06,키움 히어로즈,13093,4000,2022,타자,0.1,8.0,8.0,0.0,0.0,1.0,2.4,0.79,0.18,0.05,0.0,0.0,,0.0,0.0,1.01,9.09,-0.041,0.969,0.104,130937.0,,,,,,,,,,,,,,,,,,,,,,,
박준태,우익수,,54,14.0,,,,,,,,,206.0,,,,,,,,,,,,,,,,,,,,,,-0.24,키움 히어로즈,11260,5000,2022,타자,-0.163,43.0,43.0,0.0,0.0,1.0,1.879,-1.86,0.23,0.33,0.0,0.0,,0.0,0.0,-1.31,-3.493,-0.269,-1.579,-0.135,112607.0,,,,,,,,,,,,,,,,,,,,,,,
신본기,유격수,,82,28.0,,,,,,,,,335.0,,,,,,,,,,,,,,,,,,,,,,-0.31,KT 위즈,10840,11500,2022,타자,0.141,140.0,53.0,86.0,1.0,0.993,3.734,1.91,0.0,-0.04,-1.12,0.0,,0.0,0.0,0.75,1.317,0.619,1.369,0.077,108408.0,,,,,,,,,,,,,,,,,,,,,,,
