Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼
6,한두솔,24 P,,64,0,59.1,8,2,5,1,87.5,1.06,,,,,,,,,0.0,0.0,,,0.0,
6,임준형,24 P,,17,1,13.2,2,1,1,0,100.0,1.32,,,,,,,,,0.0,0.0,,,0.0,
6,김동욱,24 P,,37,0,36.0,5,2,3,0,100.0,1.25,,,,,,,,,0.0,0.0,,,0.0,
6,황동하,24 P,,25,21,103.1,18,5,13,0,100.0,1.57,,,,,,,,,0.0,0.0,,,0.0,
6,박명근,24 P,,30,0,25.1,2,0,2,0,100.0,0.71,,,,,,,,,0.0,0.0,,,0.0,
6,문성현,24 P,,39,0,38.1,3,2,1,0,100.0,0.7,,,,,,,,,0.0,0.0,,,0.0,
6,김유영,24 P,,52,2,47.2,9,0,6,3,66.7,1.13,,,,,,,,,0.0,0.0,,,0.0,
6,김대현,24 P,,35,0,35.0,1,0,1,0,100.0,0.26,,,,,,,,,0.0,0.0,,,0.0,
6,양지율,24 P,,20,0,18.2,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,
6,김민규,24 P,,12,4,25.0,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,
6,이교훈,24 P,,32,0,35.1,7,5,2,0,100.0,1.78,,,,,,,,,0.0,0.0,,,0.0,
6,김동주,24 P,,14,9,50.0,5,2,3,0,100.0,0.9,,,,,,,,,0.0,0.0,,,0.0,
6,이병헌,24 P,,76,0,65.1,16,2,13,1,93.8,2.07,,,,,,,,,0.0,0.0,,,0.0,
6,진우영,24 P,,6,0,7.2,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,
6,김윤하,24 P,,18,12,79.0,12,2,9,1,91.7,1.25,,,,,,,,,0.0,0.0,,,0.0,
6,장민재,24 P,,26,0,29.0,2,1,1,0,100.0,0.62,,,,,,,,,0.0,0.0,,,0.0,
6,함덕주,24 P,,14,0,11.2,3,0,3,0,100.0,2.31,,,,,,,,,0.0,0.0,,,0.0,
6,주권,24 P,,48,1,58.0,18,5,12,1,94.4,2.64,,,,,,,,,0.0,0.0,,,0.0,
6,박세진,24 P,,6,0,5.1,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,
6,김영준,24 P,,14,0,15.1,3,1,2,0,100.0,1.76,,,,,,,,,0.0,0.0,,,0.0,
6,윤정현,24 P,,2,0,3.0,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,
6,성재헌,24 P,,29,1,32.0,10,1,8,1,90.0,2.53,,,,,,,,,0.0,0.0,,,0.0,
6,김영현,24 P,,8,0,7.1,2,0,1,1,50.0,1.23,,,,,,,,,0.0,0.0,,,0.0,
6,곽도규,24 P,,67,0,55.2,13,3,7,3,76.9,1.62,,,,,,,,,0.0,0.0,,,0.0,
