Name_x,포지션,fid_G,fid_GS,fid_IP,PO,Ass,E,RF9,수비 관련 득점 기여도.8,수비 관련 득점 기여도.9,팀,bat_G,PA,ePA,AB,R_y,H_y,2B_y,3B_y,HR_y,RBI,SB,CS,BB_y,HP_y,IB_y,SO_y,GDP,SH,SF,연봉(만원),WAR,WAR당 연봉
이우성,우익수,25,22,162.0,34,0,2,1.89,-1.63,-2.1,KIA 타이거즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,-0.10,-128006
김성욱,우익수,24,8,80.0,15,0,0,1.69,-1.79,-1.99,NC 다이노스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9500,-0.37,-25964
나성범,우익수,67,67,505.0,91,5,1,1.71,-1.4,-1.98,KIA 타이거즈,102,424,422,374,51,109,17,1,21,80,0,0,38,4,1,98,8,0,7,80000,1.84,43391
권희동,우익수,7,5,42.1,11,0,0,2.34,-1.58,-1.85,NC 다이노스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,4.11,3647
채은성,우익수,23,22,181.0,40,0,0,1.99,0.47,0.54,한화 이글스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1.40,71340
임지열,우익수,9,9,66.0,10,0,0,1.36,-1.94,-12.73,키움 히어로즈,22,57,57,49,4,5,0,0,1,5,0,0,7,0,0,16,2,0,1,7200,-0.74,-9765
임병욱,우익수,12,8,74.0,16,0,0,1.95,1.74,5.97,키움 히어로즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0.02,412726
이창진,우익수,38,22,175.0,31,0,1,1.59,-2.33,-3.26,KIA 타이거즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0.64,18738
김태진,우익수,2,0,6.0,0,0,0,0.0,-0.42,-0.74,키움 히어로즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,0.89,12361
김태훈,우익수,4,2,20.0,6,0,0,2.7,1.87,22.45,삼성 라이온즈,12,21,21,20,2,4,1,0,0,1,0,0,0,1,0,3,1,0,0,4100,-0.02,-247030
김민혁,우익수,8,4,34.0,5,0,0,1.32,0.46,0.58,KT 위즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,2.70,8893
송민섭,우익수,24,0,42.1,7,0,1,1.49,-2.96,-11.83,KT 위즈,36,20,19,14,8,3,0,0,0,1,0,1,3,2,0,6,0,1,0,6500,-0.27,-24314
안익훈,우익수,4,1,14.0,5,0,0,3.21,0.94,3.67,LG 트윈스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5500,0.01,689157
최민창,우익수,3,0,4.0,1,0,0,2.25,-0.23,-4.64,SSG 랜더스,7,3,3,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3000,-0.03,-105694
이형종,우익수,29,26,218.2,59,0,1,2.43,0.98,4.03,키움 히어로즈,35,126,125,102,19,22,3,0,4,19,1,0,22,1,1,27,1,1,0,68000,0.66,103358
조수행,우익수,43,30,274.1,71,1,0,2.36,3.9,4.32,두산 베어스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9500,1.83,5194
최원준,우익수,96,29,399.0,69,3,0,1.62,1.27,1.34,KIA 타이거즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000,2.35,9351
이진영,우익수,13,5,55.0,12,0,1,1.96,-0.29,-1.0,한화 이글스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,0.03,205441
홍창기,우익수,127,120,1037.0,257,7,10,2.29,6.46,6.69,LG 트윈스,139,637,635,524,96,176,18,3,5,73,10,11,96,12,3,93,8,1,4,51000,6.29,8112
