Name,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR,pid,연도,수상횟수,연봉,샐러리캡,이후연봉
손정욱,15,0,15,1,0,0,1,0,0,0,12.1,9,9,12.45,61,17,2,3,1,7,0,0,8,0,0,1,6.57,6.57,9.09,8.7,4.87,1.95,-0.35,11142,2021,0.0,4400.0,1001734,4000.0
김진성,42,0,42,6,0,0,2,4,1,9,37.2,30,34,34.0,174,43,10,0,7,18,1,3,37,2,0,2,7.17,8.12,8.12,7.94,5.0,1.62,-0.97,11166,2021,0.0,20000.0,1001734,10000.0
미란다,28,28,0,1,1,1,14,5,0,0,173.2,45,49,48.3,709,135,21,1,11,63,1,0,225,3,1,7,2.33,2.54,2.5,2.73,2.42,1.14,7.49,14751,2021,4.0,91000.0,814760,247000.0
최원준,29,29,0,0,0,0,12,4,0,0,158.1,58,65,62.25,673,160,31,4,15,37,10,1,113,5,0,0,3.3,3.69,3.54,3.75,4.01,1.24,4.89,12852,2021,0.0,16000.0,814760,34000.0
홍건희,65,0,65,11,0,0,6,6,3,17,74.1,23,23,27.1,303,65,11,0,3,27,0,0,82,0,1,7,2.78,2.78,3.28,3.36,2.62,1.24,2.67,10696,2021,0.0,11000.0,814760,25000.0
곽빈,21,21,0,0,0,0,4,7,0,0,98.2,45,50,46.2,455,78,17,3,7,79,12,0,96,2,1,6,4.1,4.56,4.21,4.32,5.04,1.59,2.42,13061,2021,0.0,3000.0,814760,6500.0
김강률,50,0,50,43,0,0,3,0,21,3,51.2,12,15,17.9,230,54,7,2,2,25,1,4,41,3,0,4,2.09,2.61,3.12,3.32,3.68,1.53,1.97,10690,2021,0.0,11000.0,814760,22500.0
이승진,47,0,47,9,0,0,1,4,2,13,48.1,21,24,19.4,210,41,3,0,3,31,2,2,28,2,2,2,3.91,4.47,3.61,3.76,5.11,1.49,1.3,12678,2021,0.0,10000.0,814760,11000.0
이현승,38,0,38,1,0,0,5,1,0,7,23.1,5,6,6.65,90,16,2,0,1,6,0,1,20,3,0,0,1.93,2.31,2.57,2.84,2.8,0.94,0.93,10221,2021,0.0,7000.0,814760,10000.0
김명신,58,1,57,11,0,0,3,2,0,2,67.0,32,37,40.3,289,72,14,3,6,14,6,1,43,7,0,1,4.3,4.97,5.41,5.79,4.15,1.28,0.36,12847,2021,0.0,4500.0,814760,10000.0
윤명준,45,0,45,14,0,0,1,0,0,1,45.2,24,28,26.45,208,53,6,0,3,20,4,2,26,3,1,1,4.73,5.52,5.21,5.58,4.69,1.6,0.35,10885,2021,0.0,15600.0,814760,14000.0
권휘,24,0,24,7,0,0,0,0,0,1,20.1,6,6,9.25,92,16,3,0,0,14,2,0,15,2,0,3,2.66,2.66,4.09,4.58,4.36,1.48,0.33,13665,2021,0.0,3200.0,814760,3700.0
이영하,35,11,24,4,0,0,5,6,1,2,78.2,55,58,56.95,364,81,18,0,9,57,1,0,53,3,0,7,6.29,6.64,6.52,6.78,5.73,1.75,0.33,12568,2021,0.0,19000.0,814760,16000.0
박치국,23,0,23,3,0,0,2,1,0,8,22.0,10,11,12.45,95,21,5,0,2,11,1,3,20,1,0,1,4.09,4.5,5.09,5.14,3.99,1.45,0.24,12850,2021,0.0,16000.0,814760,14500.0
최세창,1,0,1,1,0,0,0,0,0,0,1.1,0,0,0.0,5,1,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.09,1.5,0.06,14574,2021,0.0,3100.0,814760,3100.0
박웅,10,0,10,6,0,0,0,0,0,0,11.2,7,7,7.85,49,12,1,1,0,4,3,0,7,0,0,0,5.4,5.4,6.06,6.48,4.13,1.37,0.05,14731,2021,0.0,3000.0,814760,3300.0
김도윤,1,0,1,0,0,0,0,0,0,0,1.0,0,0,0.0,3,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-1.23,0.0,0.04,14768,2021,0.0,9000.0,814760,9100.0
최승용,15,2,13,1,0,0,0,0,0,2,18.1,8,10,12.45,83,20,3,1,3,10,1,0,16,3,0,0,3.93,4.91,6.11,6.31,5.39,1.64,0.03,14770,2021,0.0,11000.0,814760,11500.0
문대원,2,0,2,1,0,0,0,0,0,0,1.1,1,1,1.35,9,2,0,0,1,2,0,0,1,1,0,0,6.75,6.75,9.11,9.12,15.47,3.0,-0.02,12848,2021,0.0,3100.0,814760,3200.0
남호,5,0,5,1,0,0,0,1,0,0,2.2,3,3,2.0,13,3,1,0,0,3,0,0,2,0,0,0,10.13,10.13,6.75,7.58,5.38,2.25,-0.03,14139,2021,0.0,3300.0,814760,3500.0
박소준,22,5,17,4,0,0,0,4,0,0,59.2,38,42,41.8,274,69,10,1,3,29,3,0,33,1,0,3,5.73,6.34,6.31,6.69,4.65,1.64,-0.04,11491,2021,0.0,3500.0,814760,4500.0
유재유,4,0,4,2,0,0,0,0,0,0,3.1,4,4,5.2,19,4,0,0,2,5,0,0,1,0,0,1,10.8,10.8,14.04,13.44,14.81,2.7,-0.16,12544,2021,0.0,3200.0,814760,3200.0
이형범,4,0,4,2,0,0,0,0,0,0,2.2,0,2,3.35,16,2,0,0,0,5,1,0,2,1,0,0,0.0,6.75,11.31,11.29,8.87,2.63,-0.18,11159,2021,0.0,9000.0,814760,8100.0
현도훈,5,2,3,0,0,0,0,0,0,0,8.2,12,12,10.3,46,9,1,0,1,13,0,0,9,0,0,1,12.46,12.46,10.7,11.24,7.19,2.54,-0.25,13271,2021,0.0,3000.0,814760,3200.0
이교훈,11,0,11,4,0,0,0,0,0,0,8.1,10,10,10.55,43,13,3,0,2,3,1,0,8,1,0,0,10.8,10.8,11.39,12.43,5.71,1.92,-0.3,14173,2021,0.0,3100.0,814760,3300.0
장원준,32,0,32,2,0,0,0,1,1,4,18.2,14,15,14.25,95,20,3,0,1,18,2,0,8,1,0,1,6.75,7.23,6.87,7.66,6.65,2.04,-0.32,10299,2021,0.0,8000.0,814760,5000.0
박정수,9,2,7,5,0,0,0,3,0,0,14.1,18,20,19.5,74,22,5,0,3,6,2,0,15,2,0,2,11.3,12.56,12.24,12.54,5.37,1.95,-0.58,11300,2021,0.0,4500.0,814760,5000.0
