G_x,GS,IP,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,연도,기존pid_x,WAR,G_y,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,수상횟수,현재 연봉,이후 연봉,예측연봉
19,2,47.0,-0.145,52.0,43.0,7.0,2.0,96.2,9.57,0.34,0.0,-0.83,0.0,0.0,0.34,-2.5,0.0,-1.9,-13.65,0.31,-1.58,-0.173,111190,2024,11119,-0.07,20,0.11,-0.17,15,15,11,2,3,0,0,0,3,2,0,0,4,0,0,1,0,0,0,0.273,0.467,0.273,0.74,0.171,128.3,0.0,6500.0,6500.0,6111.149570699029
16,15,117.0,-0.351,16.0,14.0,0.0,2.0,87.5,1.08,-2.74,0.43,-0.87,0.0,0.0,0.0,0.0,0.0,-3.18,-3.95,-0.66,-3.84,-0.291,103440,2024,10344,1.54,116,1.83,-0.29,487,486,425,67,119,23,2,22,212,109,1,1,52,5,4,86,5,0,5,0.28,0.361,0.499,0.86,0.161,119.0,1.0,100000.0,100000.0,85432.96116558443
114,105,856.1,1.046,838.0,780.0,56.0,2.0,99.8,8.79,-0.84,0.0,2.09,0.0,0.32,-3.44,3.83,0.0,0.82,0.9,10.63,11.45,0.075,102358,2024,10235,3.23,131,3.13,0.1,489,486,418,53,112,19,0,19,188,81,5,0,60,1,1,86,8,2,8,0.268,0.355,0.45,0.805,0.144,104.2,0.0,95000.0,95000.0,86543.46669155844
26,12,120.0,0.392,111.0,100.0,11.0,0.0,100.0,8.33,-0.15,0.0,0.43,0.0,0.05,2.57,0.44,0.0,3.21,17.79,1.08,4.29,0.293,131778,2024,13177,0.46,26,0.17,0.29,45,40,36,2,11,2,0,0,13,3,0,0,3,0,0,12,1,5,1,0.306,0.35,0.361,0.711,0.113,81.4,0.0,3100.0,4300.0,5011.079066444578
1,0,2.0,0.037,2.0,2.0,0.0,0.0,100.0,9.0,0.42,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.43,61.21,-0.02,0.41,0.039,141918,2024,14191,0.01,1,-0.03,0.04,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.19,-127.9,0.0,3600.0,3700.0,3618.059136393363
17,5,81.0,-0.038,76.0,71.0,3.0,2.0,97.4,8.22,-0.24,0.0,-0.71,0.0,0.0,0.35,-0.9,0.0,-1.23,-9.84,0.82,-0.41,-0.112,146038,2024,14603,0.34,18,0.46,-0.12,36,34,26,4,8,1,0,1,12,8,0,0,8,0,0,10,0,2,0,0.308,0.471,0.462,0.933,0.216,161.1,0.0,5000.0,5000.0,6151.85653370569
12,9,66.0,-0.045,22.0,22.0,0.0,0.0,100.0,3.0,-0.7,0.26,0.2,0.0,0.0,0.0,0.0,0.0,-0.25,-2.72,-0.25,-0.5,-0.022,147798,2024,14779,-0.38,13,-0.35,-0.03,25,25,24,2,3,1,0,0,4,1,0,0,1,0,0,8,0,0,0,0.125,0.16,0.167,0.327,-0.046,-34.1,0.0,3000.0,3300.0,3634.1271156896737
13,6,52.0,-0.097,14.0,13.0,1.0,0.0,100.0,2.42,-1.35,0.46,0.06,0.0,0.0,0.0,0.0,0.0,-0.82,-7.41,-0.24,-1.06,-0.075,150928,2024,15092,-0.07,16,0.01,-0.08,29,29,25,5,5,0,1,1,10,2,0,0,2,1,0,10,0,0,1,0.2,0.276,0.4,0.676,0.091,67.3,0.0,3000.0,3300.0,3703.6936970546785
113,110,958.0,-0.559,276.0,266.0,3.0,7.0,97.5,2.53,-5.7,1.1,-1.52,0.0,0.0,0.0,0.0,0.0,-6.12,-7.8,0.0,-6.12,-0.559,112128,2024,11212,0.88,113,1.41,-0.52,473,464,404,49,111,25,1,7,159,59,9,7,50,4,1,114,5,8,7,0.275,0.355,0.394,0.749,0.129,94.1,0.0,32000.0,34000.0,36882.86185576933
55,43,406.1,-0.783,360.0,339.0,18.0,3.0,99.2,7.91,-4.5,0.0,0.5,0.0,-0.42,0.0,0.0,0.0,-4.41,-6.05,-4.16,-8.57,-0.403,104008,2024,10400,-0.45,83,-0.01,-0.43,272,272,232,27,57,13,0,8,94,37,0,0,30,2,0,70,3,0,8,0.246,0.327,0.405,0.732,0.116,84.3,0.0,50000.0,15000.0,54329.4302798313
