Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
Rank,Name,Team,WAR,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,김성윤,24 LF,,1,1,8.0,3,3,0,0,100.0,3.38,-1.63,-0.31,0.01,,,,,,-1.93,-8.67,-0.03,-1.96,-0.176,-0.179
0,김성윤,24 CF,,24,9,105.1,33,32,1,0,100.0,2.82,0.60,0.11,0.22,,,,,,0.93,4.20,0.00,0.93,0.085,0.085
0,김성윤,24 RF,,11,7,63.1,15,14,1,0,100.0,2.13,2.06,-0.76,0.19,,,,,,1.49,6.72,-0.34,1.15,0.136,0.105
0,김태진,24 LF,,8,3,35.0,11,11,0,0,100.0,2.83,1.54,0.10,0.04,,,,,,1.68,2.98,-0.16,1.52,0.153,0.138
0,김태진,24 RF,,2,0,6.0,0,0,0,0,0.0,0.00,-0.33,-0.11,0.02,,,,,,-0.42,-0.74,-0.03,-0.45,-0.038,-0.041
0,김태훈,24 LF,,3,0,11.2,0,0,0,0,0.0,0.00,-0.96,0.11,0.01,,,,,,-0.84,-10.11,-0.05,-0.89,-0.077,-0.082
0,김태훈,24 RF,,4,2,20.0,6,6,0,0,100.0,2.70,1.60,0.21,0.06,,,,,,1.87,22.45,-0.09,1.78,0.171,0.163
0,김창평,24 RF,,1,1,4.0,3,3,0,0,100.0,6.75,0.46,,0.01,,,,,,0.47,11.34,-0.02,0.45,0.043,0.041
0,카디네스,24 RF,,5,4,33.2,9,9,0,0,100.0,2.41,-0.85,-0.31,0.10,,,,,,-1.05,-21.67,-0.17,-1.22,-0.096,-0.112
0,카디네스,24 LF,,1,1,1.0,0,0,0,0,0.0,0.00,,,0.00,,,,,,0.00,0.02,-0.01,-0.01,0.000,-0.001
0,카디네스,24 CF,,1,0,0.0,0,0,0,0,0.0,,-0.88,,0.00,,,,,,-0.88,-18.07,,,-0.080,
0,오선우,24 RF,,2,1,11.0,3,2,0,1,66.7,1.64,-0.80,-0.01,-0.47,,,,,,-1.28,-61.31,-0.05,-1.33,-0.117,-0.121
0,최민창,24 RF,,3,0,4.0,1,1,0,0,100.0,2.25,-0.54,0.30,0.01,,,,,,-0.23,-4.64,-0.01,-0.24,-0.021,-0.022
0,최민창,24 LF,,2,0,3.0,0,0,0,0,0.0,0.00,0.00,,0.00,,,,,,0.00,0.04,,,0.000,
0,최민창,24 CF,,1,0,1.0,1,1,0,0,100.0,9.00,0.15,0.03,0.00,,,,,,0.18,3.79,,,0.017,
0,안현민,24 LF,,13,6,52.0,14,13,1,0,100.0,2.42,-1.35,0.46,0.06,,,,,,-0.82,-7.41,-0.24,-1.06,-0.075,-0.097
0,최승민,24 RF,,8,1,17.0,6,5,1,0,100.0,3.18,-1.11,0.77,0.05,,,,,,-0.29,-0.73,-0.04,-0.33,-0.027,-0.030
0,최승민,24 LF,,21,0,37.0,14,13,1,0,100.0,3.41,2.33,0.08,0.04,,,,,,2.46,6.21,-0.10,2.36,0.224,0.215
0,박영빈,24 CF,,2,0,2.0,0,0,0,0,0.0,0.00,-1.18,,0.00,,,,,,-1.17,-8.88,0.00,-1.17,-0.107,-0.107
0,박영빈,24 LF,,9,0,16.0,1,1,0,0,100.0,0.56,-1.35,0.03,0.02,,,,,,-1.30,-9.83,-0.06,-1.36,-0.118,-0.124
0,장두성,24 RF,,19,0,30.1,7,6,0,1,85.7,1.78,0.45,-0.08,-0.41,,,,,,-0.04,-0.08,-0.08,-0.12,-0.003,-0.011
0,장두성,24 LF,,11,1,25.0,6,6,0,0,100.0,2.16,-0.77,-0.23,0.03,,,,,,-0.97,-1.96,-0.08,-1.05,-0.088,-0.096
0,장두성,24 CF,,23,2,50.1,17,17,0,0,100.0,3.04,0.97,0.11,0.10,,,,,,1.18,2.40,0.00,1.18,0.108,0.108
0,송찬의,24 LF,,3,2,17.0,4,4,0,0,100.0,2.12,0.24,-0.34,0.02,,,,,,-0.08,-1.17,-0.06,-0.14,-0.007,-0.013
0,주성원,24 RF,,16,11,93.0,34,31,1,2,94.1,3.10,1.61,0.42,-0.72,,,,,,1.31,6.99,-0.40,0.91,0.120,0.083
0,주성원,24 LF,,4,2,21.2,5,5,0,0,100.0,2.08,-0.39,0.10,0.02,,,,,,-0.27,-1.42,-0.11,-0.38,-0.024,-0.034
0,김범준,24 LF,,2,0,3.0,0,0,0,0,0.0,0.00,-0.03,,0.00,,,,,,-0.03,-0.78,,,-0.002,
0,이진영,24 RF,,13,5,55.0,13,12,0,1,92.3,1.96,0.52,-0.47,-0.34,,,,,,-0.29,-1.00,-0.26,-0.55,-0.027,-0.051
0,이진영,24 LF,,6,1,17.2,1,1,0,0,100.0,0.51,-0.49,0.57,0.02,,,,,,0.10,0.33,-0.09,0.01,0.009,0.001
0,이진영,24 CF,,27,15,131.0,46,46,0,0,100.0,3.16,1.96,-0.36,0.27,,,,,,1.87,6.40,0.00,1.87,0.170,0.170
0,강진성,24 LF,,1,0,3.0,1,1,0,0,100.0,3.00,0.45,,0.00,,,,,,0.45,4.08,-0.02,0.43,0.041,0.040
0,임병욱,24 LF,,1,1,9.0,1,1,0,0,100.0,1.00,-0.68,,0.01,,,,,,-0.67,-2.29,-0.04,-0.71,-0.061,-0.065
0,임병욱,24 CF,,20,13,107.0,26,25,0,1,96.2,2.10,-1.30,-0.31,-0.28,,,,,,-1.88,-6.46,0.00,-1.88,-0.172,-0.172
0,임병욱,24 RF,,12,8,74.0,16,16,0,0,100.0,1.95,1.61,-0.09,0.22,,,,,,1.74,5.97,-0.31,1.43,0.159,0.131
0,홍현빈,24 RF,,15,1,29.0,9,8,0,1,88.9,2.48,-1.76,0.06,-0.41,,,,,,-2.12,-10.91,-0.08,-2.20,-0.194,-0.201
0,홍현빈,24 LF,,9,0,17.2,5,5,0,0,100.0,2.55,1.02,0.05,0.02,,,,,,1.09,5.59,-0.03,1.06,0.099,0.097
0,홍현빈,24 CF,,8,2,24.0,4,4,0,0,100.0,1.50,-1.50,0.12,0.05,,,,,,-1.33,-6.86,0.00,-1.33,-0.122,-0.122
0,송민섭,24 LF,,2,0,2.1,1,1,0,0,100.0,3.86,0.48,,0.00,,,,,,0.49,1.95,,,0.044,
0,송민섭,24 CF,,10,0,24.0,3,3,0,0,100.0,1.13,-0.25,-0.11,0.05,,,,,,-0.32,-1.27,0.00,-0.32,-0.029,-0.029
0,송민섭,24 RF,,24,0,42.1,8,7,0,1,87.5,1.49,-2.38,-0.20,-0.37,,,,,,-2.96,-11.83,-0.10,-3.06,-0.270,-0.279
0,이영빈,24 LF,,1,1,5.0,1,1,0,0,100.0,1.80,0.83,0.10,0.01,,,,,,0.94,4.38,-0.03,0.91,0.086,0.083
0,이영빈,24 CF,,1,0,1.0,2,2,0,0,100.0,18.00,0.87,,0.00,,,,,,0.87,4.06,,,0.080,
0,이영빈,24 RF,,4,3,26.0,4,4,0,0,100.0,1.38,-0.91,-0.39,0.08,,,,,,-1.22,-5.69,-0.13,-1.35,-0.112,-0.124
0,함창건,24 LF,,4,3,21.0,5,5,0,0,100.0,2.14,0.11,-0.05,0.02,,,,,,0.08,0.77,-0.07,0.01,0.007,0.001
0,함창건,24 RF,,2,0,2.0,0,0,0,0,0.0,0.00,,,0.01,,,,,,0.01,0.06,,,0.001,
0,변상권,24 LF,,37,32,278.0,77,76,0,1,98.7,2.46,2.99,-0.71,-0.19,,,,,,2.09,3.91,-1.30,0.79,0.191,0.072
0,변상권,24 RF,,9,5,51.2,18,18,0,0,100.0,3.14,2.51,-0.55,0.16,,,,,,2.12,3.96,-0.21,1.91,0.193,0.174
0,이선우,24 CF,,2,0,2.2,2,1,0,1,50.0,3.38,-1.01,0.01,-0.50,,,,,,-1.49,-30.66,,,-0.132,
0,이선우,24 LF,,1,0,1.0,0,0,0,0,0.0,0.00,-0.66,,0.00,,,,,,-0.65,-13.47,,,-0.058,
0,이상혁,24 RF,,8,0,12.0,2,2,0,0,100.0,1.50,-0.20,0.01,0.04,,,,,,-0.15,-0.50,-0.01,-0.16,-0.014,-0.014
0,이상혁,24 LF,,4,0,7.0,1,1,0,0,100.0,1.29,-0.11,,0.01,,,,,,-0.10,-0.33,-0.02,-0.12,-0.009,-0.011
0,이상혁,24 CF,,6,1,22.0,7,7,0,0,100.0,2.86,-0.33,-0.72,0.05,,,,,,-1.01,-3.38,0.00,-1.01,-0.092,-0.092
0,이원석,24 RF,,14,2,40.0,8,7,1,0,100.0,1.80,-0.64,-0.37,0.12,,,,,,-0.88,-1.46,-0.16,-1.04,-0.081,-0.095
0,이원석,24 LF,,21,4,77.2,12,11,0,1,91.7,1.27,-1.36,0.07,-0.41,,,,,,-1.70,-2.82,-0.31,-2.01,-0.156,-0.184
0,이원석,24 CF,,40,22,219.0,62,62,0,0,100.0,2.55,2.90,-0.38,0.46,,,,,,2.97,4.92,0.00,2.97,0.272,0.272
0,이명기,24 CF,,1,0,1.0,0,0,0,0,0.0,0.00,,,0.00,,,,,,0.00,0.07,,,0.000,
0,이명기,24 LF,,1,0,1.0,0,0,0,0,0.0,0.00,,,0.00,,,,,,0.00,0.04,,,0.000,
0,안치영,24 CF,,14,12,91.0,22,22,0,0,100.0,2.18,0.87,-0.36,0.19,,,,,,0.70,3.25,0.00,0.70,0.064,0.064
0,안치영,24 RF,,13,1,30.0,3,3,0,0,100.0,0.90,-0.72,0.30,0.09,,,,,,-0.32,-1.50,-0.08,-0.40,-0.029,-0.037
0,안치영,24 LF,,3,0,4.0,1,1,0,0,100.0,2.25,0.17,,0.00,,,,,,0.18,0.83,-0.02,0.16,0.016,0.015
0,원성준,24 RF,,7,4,41.0,8,7,1,0,100.0,1.76,-0.99,0.87,0.12,,,,,,0.00,0.00,-0.19,-0.19,0.000,-0.017
0,원성준,24 LF,,7,1,20.0,8,7,1,0,100.0,3.60,1.06,0.85,0.02,,,,,,1.93,5.45,-0.08,1.85,0.176,0.169
0,원성준,24 CF,,10,9,65.0,20,19,0,1,95.0,2.63,-2.18,-0.57,-0.37,,,,,,-3.11,-8.79,0.00,-3.11,-0.285,-0.285
0,김호령,24 CF,,61,9,177.0,64,62,0,2,96.9,3.15,3.13,-0.14,-0.64,,,,,,2.36,5.30,0.00,2.36,0.215,0.215
0,한유섬,24 LF,,3,2,11.0,2,1,0,1,50.0,0.82,-1.33,-0.12,-0.49,,,,,,-1.94,-2.12,-0.05,-1.99,-0.177,-0.182
0,한유섬,24 RF,,101,97,802.2,170,164,0,6,96.5,1.84,-4.67,0.06,-0.59,,,,,,-5.20,-5.67,-4.11,-9.31,-0.475,-0.850
0,임종찬,24 CF,,16,15,105.0,25,23,2,0,100.0,2.14,-1.92,-0.16,0.22,,,,,,-1.86,-11.17,0.00,-1.86,-0.170,-0.170
0,임종찬,24 RF,,13,1,33.0,6,6,0,0,100.0,1.64,1.28,0.12,0.10,,,,,,1.49,8.96,-0.11,1.38,0.136,0.126
0,정현승,24 RF,,12,3,40.0,5,5,0,0,100.0,1.13,0.28,-0.11,0.12,,,,,,0.29,1.80,-0.12,0.17,0.026,0.015
