Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,팀,pid
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,,
15,신민재,22 CF,0.02,14,-0.06,0.08,3,3,3,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.16,-140.8,0.02,LG 트윈스,13056
16,이영빈,22 2B,0.02,60,-0.11,0.13,83,83,76,16,14,3,0,1,20,5,0,0,7,0,0,25,3,0,0,0.184,0.253,0.263,0.516,0.046,41.1,0.02,LG 트윈스,14783
17,박재욱,22 C,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,12512
18,허준혁,22 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,15083
18,플럿코,22 P,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,15003
18,함덕주,22 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,11094
18,정우영,22 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,14136
18,송은범,22 P,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,10137
18,최동환,22 P,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,10535
18,백승현,22 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,13009
18,진해수,22 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,10075
18,송승기,22 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,14846
18,박용택,22 DH,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,10485
18,최성훈,22 P,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,10851
