선수,WAR,G_x,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,pid,연도,기존pid,G_y,GS,IP,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,수상횟수,1루수,2루수,3루수,우익수,유격수,좌익수,중견수,포수,샐러리캡,연봉,이후연봉,예측연봉
유로결,0.01,23,-0.23,0.24,39,39,36,6,8,1,0,0,9,4,0,1,3,0,0,11,4,0,0,0.222,0.282,0.25,0.532,0.047,34.4,141269,2024,14126,20.0,6.0,81.0,0.246,16.0,16.0,0.0,0.0,1.0,1.778,1.95,0.7,0.17,0.0,0.0,0.0,0.0,0.0,2.82,20.304,-0.128,2.692,0.258,0.0,0,0,0,1,0,0,0,0,1071046,3300.0,3500.0,3725.37
한경빈,-0.01,1,-0.02,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.19,-151.2,156339,2024,15633,1.0,0.0,2.0,0.015,2.0,1.0,1.0,0.0,100.0,9.0,-0.13,0.0,0.02,0.25,0.0,0.0,0.0,0.0,0.14,20.42,0.02,0.16,0.013,0.0,0,0,0,0,1,0,0,0,1071046,3000.0,3100.0,3383.17
장규현,-0.14,9,-0.1,-0.04,7,7,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.143,0.0,0.143,-0.086,-63.4,148119,2024,14811,9.0,0.0,16.0,-0.028,10.0,8.0,1.0,1.0,90.0,5.06,0.0,0.0,-0.44,0.0,0.0,-0.11,0.13,0.0,-0.47,-7.54,0.17,-0.3,-0.043,0.0,0,0,0,0,0,0,0,1,1071046,3200.0,3300.0,3337.95
이진영,-0.15,42,-0.3,0.15,103,103,93,20,19,6,0,1,28,13,0,1,8,2,0,27,3,0,0,0.204,0.282,0.301,0.583,0.067,50.9,125399,2024,12539,46.0,21.0,203.0,0.146,60.0,59.0,0.0,1.0,0.983,2.616,1.99,-0.26,-0.05,0.0,0.0,0.0,0.0,0.0,1.68,5.259,-0.085,1.595,0.153,0.0,0,0,0,1,0,0,0,0,1071046,7000.0,6200.0,6219.3
이상혁,-0.21,43,-0.09,-0.12,15,15,13,13,2,0,0,0,2,0,5,2,2,0,0,5,0,0,0,0.154,0.267,0.154,0.421,0.019,13.9,151399,2024,15139,18.0,1.0,41.0,-0.116,10.0,10.0,0.0,0.0,1.0,2.195,-0.64,-0.71,0.1,0.0,0.0,0.0,0.0,0.0,-1.26,-10.08,-0.009,-1.269,-0.115,0.0,0,0,0,1,0,0,0,0,1071046,3100.0,3500.0,3456.4
이원석,-0.21,87,-0.24,0.03,154,152,133,26,31,4,1,0,37,13,8,2,16,2,0,32,3,2,1,0.233,0.322,0.278,0.6,0.082,61.5,131389,2024,13138,75.0,28.0,336.0,0.025,82.0,80.0,1.0,1.0,0.988,2.17,0.9,-0.68,0.17,0.0,0.0,0.0,0.0,0.0,0.39,0.749,-0.117,0.273,0.036,0.0,0,0,0,0,0,0,1,0,1071046,3600.0,5000.0,5379.05
임종찬,-0.24,24,-0.2,-0.03,64,64,57,10,9,3,2,0,16,7,0,1,6,1,0,19,2,0,0,0.158,0.25,0.281,0.531,0.048,35.5,147069,2024,14706,29.0,16.0,138.0,-0.038,31.0,29.0,2.0,0.0,1.0,2.022,-0.64,-0.04,0.32,0.0,0.0,0.0,0.0,0.0,-0.37,-1.837,-0.049,-0.419,-0.034,0.0,0,0,0,1,0,0,0,0,1071046,3400.0,3700.0,3903.4
이재원,-0.29,72,-0.24,-0.05,152,150,134,10,32,4,0,1,39,16,0,0,7,4,1,21,4,2,5,0.239,0.287,0.291,0.578,0.059,44.0,100829,2024,10082,71.0,40.0,354.0,0.277,332.0,304.0,27.0,1.0,99.7,8.42,-0.33,0.0,0.78,0.0,-0.17,0.17,-1.33,0.0,-0.49,-0.99,3.53,3.04,-0.045,0.0,0,0,0,0,0,0,0,1,1071046,5000.0,10000.0,8470.7
김인환,-0.99,51,-0.58,-0.41,143,143,131,11,31,2,0,1,36,7,0,0,10,2,0,32,5,0,0,0.237,0.301,0.275,0.576,0.066,48.1,125899,2024,12589,41.0,30.0,236.0,-0.517,95.0,89.0,4.0,2.0,0.979,3.547,-4.91,0.5,-0.49,0.0,0.0,0.0,0.0,0.0,-4.84,-16.999,-0.818,-5.658,-0.442,0.0,1,0,0,0,0,0,0,0,1071046,6900.0,5500.0,6020.1
오스틴,5.06,140,4.9,0.17,604,600,527,99,168,32,3,32,302,132,12,8,61,3,6,82,9,0,13,0.319,0.384,0.573,0.957,0.192,147.8,155326,2024,15532,106.0,105.0,863.0,-0.7,810.0,728.0,74.0,8.0,99.0,8.36,1.3,0.0,0.25,0.0,-0.01,0.0,0.0,0.0,1.54,1.58,-9.2,-7.66,0.141,1.0,1,0,0,0,0,0,0,0,1385616,80000.0,168000.0,75647.608
홍창기,5.06,139,4.48,0.59,637,635,524,96,176,18,3,5,215,73,10,11,96,12,3,93,8,1,4,0.336,0.447,0.41,0.857,0.185,142.3,125466,2024,12546,139.0,129.0,1098.0,0.019,288.0,271.0,7.0,10.0,0.965,2.279,6.39,0.73,-1.76,0.0,0.0,0.0,0.0,0.0,5.37,5.563,-5.162,0.208,0.491,0.0,0,0,0,1,0,0,0,0,1385616,51000.0,65000.0,62335.82
박동원,4.4,130,3.43,0.96,498,495,434,58,118,22,0,20,200,80,1,0,55,0,2,112,14,2,7,0.272,0.349,0.461,0.81,0.144,111.0,103876,2024,10387,124.0,109.0,944.2,1.975,890.0,809.0,77.0,4.0,99.6,8.44,1.14,0.0,1.4,0.0,0.07,2.15,8.55,0.0,10.75,11.91,10.87,21.62,0.982,0.0,0,0,0,0,0,0,0,1,1385616,300000.0,170000.0,79320.482
문보경,4.32,144,4.47,-0.15,602,597,519,80,156,35,3,22,263,101,7,6,65,2,3,112,14,3,13,0.301,0.372,0.507,0.879,0.169,130.4,141376,2024,14137,181.0,132.0,1155.0,-0.125,450.0,235.0,202.0,13.0,0.971,3.405,-1.31,0.0,1.06,-0.63,0.0,0.0,0.0,0.0,-0.94,-0.748,-0.431,-1.371,-0.086,0.0,0,0,1,0,0,0,0,0,1385616,30000.0,41000.0,43672.564
오지환,3.0,108,2.67,0.33,428,426,370,67,94,24,2,10,152,59,17,4,51,4,0,106,8,2,1,0.254,0.35,0.411,0.761,0.136,104.5,104756,2024,10475,107.0,97.0,858.0,1.027,400.0,150.0,238.0,12.0,97.0,4.07,1.33,0.0,1.59,-0.02,0.0,0.0,0.0,0.0,2.9,3.86,8.34,11.24,0.265,0.0,0,0,0,0,1,0,0,0,1385616,30000.0,30000.0,31365.57
신민재,2.64,128,3.11,-0.47,474,459,387,78,115,11,6,0,138,40,32,11,64,5,1,47,7,15,3,0.297,0.401,0.357,0.758,0.148,114.2,130566,2024,13056,125.0,113.0,987.0,0.024,567.0,257.0,299.0,11.0,0.981,5.07,-3.68,0.0,0.43,-1.05,0.0,0.0,0.0,0.0,-4.3,-4.954,4.563,0.263,-0.393,0.0,0,1,0,0,0,0,0,0,1385616,11500.0,20000.0,22475.932
문성주,2.41,96,1.85,0.56,361,360,305,47,96,16,2,0,116,48,13,7,49,3,0,38,4,1,3,0.315,0.411,0.38,0.791,0.158,120.8,131126,2024,13112,88.0,68.0,584.0,0.402,152.0,146.0,5.0,1.0,0.993,2.327,4.97,0.82,0.42,0.0,0.0,0.0,0.0,0.0,6.22,10.178,-1.822,4.398,0.568,0.0,0,0,0,0,0,1,0,0,1385616,20000.0,18000.0,19934.382
박해민,2.03,144,1.44,0.59,553,548,482,72,127,16,6,6,173,56,43,13,46,11,0,101,3,5,9,0.263,0.336,0.359,0.695,0.112,86.1,111906,2024,11190,143.0,128.0,1127.0,0.614,286.0,283.0,2.0,1.0,99.7,2.28,4.18,0.71,1.84,0.0,0.0,0.0,0.0,0.0,6.72,6.72,0.0,6.72,0.614,0.0,0,0,0,0,0,0,1,0,1385616,140000.0,140000.0,76211.68
구본혁,1.29,133,0.73,0.56,389,385,339,48,87,14,2,2,111,43,8,4,38,4,0,51,7,4,4,0.257,0.335,0.327,0.662,0.101,77.6,141406,2024,14140,154.0,93.0,883.0,0.647,400.0,145.0,245.0,10.0,0.975,3.975,3.13,0.0,1.56,0.97,0.0,0.0,0.0,0.0,5.6,5.236,1.487,7.087,0.512,0.0,0,1,0,0,0,0,0,0,1385616,7000.0,13500.0,13806.95
김현수,1.06,137,1.49,-0.43,583,582,517,61,152,36,2,8,216,69,6,1,47,9,1,76,10,1,9,0.294,0.357,0.418,0.775,0.136,104.7,101876,2024,10187,91.0,80.0,617.0,-0.703,127.0,123.0,4.0,0.0,1.0,1.853,-4.09,-1.32,0.74,0.0,0.0,0.0,0.0,0.0,-4.66,-7.374,-3.037,-7.697,-0.426,0.0,0,0,0,0,0,1,0,0,1385616,225000.0,175000.0,77513.438
최원영,0.17,57,0.17,0.0,41,41,37,18,10,2,0,1,15,5,6,4,1,3,0,7,0,0,0,0.27,0.341,0.405,0.746,0.134,102.6,150846,2024,15084,50.0,8.0,132.0,-0.006,30.0,28.0,0.0,2.0,0.933,1.909,1.43,-0.68,-0.74,0.0,0.0,0.0,0.0,0.0,0.02,0.058,-0.08,-0.06,0.002,0.0,0,0,0,0,0,1,0,0,1385616,3000.0,4000.0,4320.37
이주헌,0.13,3,0.22,-0.09,6,6,6,0,4,2,0,0,6,3,0,0,0,0,0,2,0,0,0,0.667,0.667,1.0,1.667,0.487,367.5,150816,2024,15081,3.0,1.0,14.0,-0.077,20.0,20.0,0.0,0.0,100.0,12.86,0.0,0.0,0.05,0.0,0.0,-0.42,-0.88,0.0,-0.99,-47.48,0.14,-0.85,-0.09,0.0,0,0,0,0,0,0,0,1,1385616,3000.0,3300.0,3402.74
김주성,0.12,12,0.07,0.05,9,9,6,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0.167,0.444,0.167,0.611,0.145,110.3,125456,2024,12545,10.0,3.0,28.0,0.061,10.0,2.0,7.0,1.0,0.9,2.893,1.19,0.0,-0.28,-0.28,0.0,0.0,0.0,0.0,0.62,8.928,0.05,0.67,0.057,0.0,0,0,1,0,0,0,0,0,1385616,3500.0,3500.0,3598.49
김현종,0.06,17,-0.03,0.09,16,16,15,8,3,1,0,0,4,2,0,0,0,1,0,4,0,0,0,0.2,0.25,0.267,0.517,0.042,31.9,160136,2024,16013,11.0,0.0,25.0,0.092,5.0,5.0,0.0,0.0,1.0,1.8,0.87,0.09,0.06,0.0,0.0,0.0,0.0,0.0,1.02,13.353,-0.008,1.012,0.093,0.0,0,0,0,0,0,0,1,0,1385616,3000.0,3200.0,3297.35
안익훈,-0.02,37,-0.42,0.4,56,54,49,8,9,1,0,0,10,3,2,0,4,0,0,13,2,2,1,0.184,0.241,0.204,0.445,0.01,7.8,113476,2024,11347,33.0,9.0,130.0,0.38,35.0,35.0,0.0,0.0,1.0,2.423,4.13,0.07,0.19,0.0,0.0,0.0,0.0,0.0,4.38,19.113,-0.224,4.156,0.4,0.0,0,0,0,0,0,0,1,0,1385616,5500.0,5200.0,5216.6
김성진,-0.07,14,0.01,-0.07,16,16,15,1,4,0,0,1,7,2,0,0,1,0,0,4,1,0,0,0.267,0.313,0.467,0.78,0.123,94.7,141416,2024,14141,9.0,2.0,15.0,-0.078,9.0,9.0,0.0,0.0,1.0,5.4,-0.84,0.0,0.08,0.0,0.0,0.0,0.0,0.0,-0.76,-12.16,-0.089,-0.849,-0.069,0.0,1,0,0,0,0,0,0,0,1385616,3100.0,3300.0,3313.27
최승민,-0.09,57,-0.29,0.2,16,15,13,20,1,0,0,0,1,1,11,7,2,0,0,3,0,1,0,0.077,0.2,0.077,0.277,-0.037,-28.6,141876,2024,14187,29.0,1.0,54.0,0.191,20.0,18.0,2.0,0.0,1.0,3.333,1.22,0.85,0.09,0.0,0.0,0.0,0.0,0.0,2.17,10.775,-0.083,2.087,0.198,0.0,0,0,0,0,0,1,0,0,1385616,4000.0,4300.0,4661.4
송찬의,-0.13,10,-0.12,-0.01,21,20,15,2,1,0,0,0,1,1,1,0,3,1,0,6,0,1,1,0.067,0.25,0.067,0.317,0.003,2.3,131096,2024,13109,3.0,2.0,17.0,-0.013,4.0,4.0,0.0,0.0,100.0,2.12,0.24,-0.34,0.02,0.0,0.0,0.0,0.0,0.0,-0.08,-1.17,-0.06,-0.14,-0.007,0.0,0,1,0,0,0,0,0,0,1385616,3600.0,3500.0,3750.02
김수인,-0.13,4,-0.08,-0.06,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-0.19,-136.0,146756,2024,14675,3.0,0.0,6.0,-0.101,5.0,1.0,3.0,1.0,0.8,6.0,-0.99,0.0,-0.47,0.33,0.0,0.0,0.0,0.0,-1.12,-53.76,0.013,-1.107,-0.102,0.0,0,1,0,0,0,0,0,0,1385616,3000.0,3100.0,3460.9
이영빈,-0.18,31,-0.13,-0.05,71,69,63,11,14,2,0,2,22,12,0,1,4,0,0,20,0,2,2,0.222,0.261,0.349,0.61,0.059,45.5,147836,2024,14783,29.0,15.0,138.0,-0.041,91.0,73.0,17.0,1.0,0.989,5.87,0.65,-0.29,0.22,-0.17,0.0,0.0,0.0,0.0,-0.25,-1.241,-0.194,-0.444,-0.023,0.0,1,0,0,0,0,0,0,0,1385616,5500.0,6000.0,5517.4
함창건,-0.19,15,-0.2,0.01,17,16,14,3,2,0,0,0,2,0,0,0,2,0,0,3,1,1,0,0.143,0.25,0.143,0.393,0.006,4.4,146806,2024,14680,6.0,3.0,23.0,0.004,5.0,5.0,0.0,0.0,1.0,1.957,0.11,-0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.09,2.16,-0.047,0.043,0.008,0.0,0,0,0,0,0,1,0,0,1385616,3000.0,3200.0,3172.15
김성우,-0.26,4,-0.12,-0.14,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,-0.19,-139.9,150856,2024,15085,4.0,2.0,16.0,-0.13,8.0,7.0,1.0,0.0,100.0,4.5,-0.09,0.0,0.06,0.0,0.05,-0.3,-1.75,0.0,-1.52,-54.61,0.1,-1.42,-0.139,0.0,0,0,0,0,0,0,0,1,1385616,3100.0,3100.0,3284.94
김민수,-0.33,19,-0.22,-0.11,22,22,20,1,3,0,0,0,3,0,0,0,1,1,0,4,1,0,0,0.15,0.227,0.15,0.377,-0.004,-3.4,129316,2024,12931,20.0,4.0,57.0,-0.14,35.0,21.0,12.0,2.0,0.943,5.211,-2.07,0.0,-0.62,1.1,0.0,0.0,0.0,0.0,-1.52,-10.944,-0.012,-1.532,-0.139,0.0,0,0,1,0,0,0,0,0,1385616,6000.0,6000.0,5637.3
김범석,-0.33,70,-0.25,-0.08,180,179,162,14,39,4,0,6,61,24,0,0,14,2,2,49,4,0,2,0.241,0.306,0.377,0.683,0.095,71.7,154846,2024,15484,39.0,21.0,178.0,-0.163,179.0,162.0,14.0,3.0,0.983,8.899,0.45,0.0,-0.69,0.0,-0.26,0.0,-1.26,0.0,-1.14,-4.209,-0.647,-1.787,-0.104,0.0,1,0,0,0,0,0,0,0,1385616,28300.0,4700.0,15080.266
레이예스,3.4,144,3.98,-0.58,632,631,574,88,202,40,3,15,293,111,5,0,46,1,2,82,16,0,11,0.352,0.394,0.51,0.904,0.179,127.5,161062,2024,16106,131.0,125.0,1012.0,-0.823,213.0,207.0,2.0,4.0,0.981,1.859,-6.28,-0.17,0.39,0.0,0.0,0.0,0.0,0.0,-6.06,-6.661,-2.945,-9.005,-0.554,0.0,0,0,0,1,0,0,0,0,1115018,91000.0,112000.0,78514.59
윤동희,3.13,141,2.9,0.23,613,610,532,97,156,35,4,14,241,85,7,8,67,7,1,114,10,2,5,0.293,0.376,0.453,0.829,0.159,113.1,150482,2024,15048,149.0,135.0,1151.0,0.171,318.0,310.0,4.0,4.0,0.987,2.455,1.4,0.65,0.81,0.0,0.0,0.0,0.0,0.0,2.87,2.774,-1.003,1.867,0.262,0.0,0,0,0,0,0,0,1,0,1115018,9000.0,20000.0,21783.346
고승민,3.08,120,2.96,0.12,532,531,481,79,148,27,6,14,229,87,5,4,41,1,0,78,10,1,8,0.308,0.358,0.476,0.834,0.152,107.9,141602,2024,14160,129.0,114.0,970.0,0.421,534.0,243.0,278.0,13.0,0.976,4.834,2.37,0.3,-1.2,-0.43,0.0,0.0,0.0,0.0,1.05,1.172,3.562,4.612,0.096,0.0,0,1,0,0,0,0,0,0,1115018,8000.0,18500.0,18505.322
손호영,2.4,100,2.96,-0.57,428,425,396,70,126,26,4,18,214,78,7,4,17,9,2,65,5,1,5,0.318,0.356,0.54,0.896,0.17,121.7,145902,2024,14590,105.0,93.0,787.0,-0.598,262.0,90.0,159.0,13.0,0.95,2.848,-4.54,0.0,-1.13,-0.86,0.0,0.0,0.0,0.0,-6.67,-9.147,0.121,-6.549,-0.609,0.0,0,0,1,0,0,0,0,0,1115018,4500.0,12500.0,17875.214
황성빈,2.33,125,2.46,-0.13,406,400,366,94,117,15,8,4,160,26,51,10,31,2,0,56,3,6,1,0.32,0.375,0.437,0.812,0.153,109.0,146422,2024,14642,123.0,85.0,749.0,-0.171,155.0,146.0,5.0,4.0,0.974,1.814,-0.35,-0.19,-0.72,0.0,0.0,0.0,0.0,0.0,-1.25,-1.463,-0.619,-1.869,-0.114,0.0,0,0,0,0,0,0,1,0,1115018,7600.0,15500.0,15888.302
나승엽,2.22,121,2.83,-0.61,489,486,407,59,127,35,4,7,191,66,1,0,69,4,1,83,4,2,7,0.312,0.411,0.469,0.88,0.182,129.7,147972,2024,14797,113.0,111.0,937.1,-1.582,891.0,813.0,67.0,11.0,98.8,8.45,-6.9,0.0,-0.89,0.0,-0.1,0.0,0.0,0.0,-7.89,-9.39,-9.42,-17.31,-0.721,0.0,1,0,0,0,0,0,0,0,1115018,4000.0,12000.0,22207.884
전준우,1.8,109,2.15,-0.36,483,482,423,57,124,26,2,17,205,82,3,1,49,5,0,84,11,1,5,0.293,0.369,0.485,0.854,0.163,115.7,102662,2024,10266,47.0,47.0,381.1,-0.54,90.0,87.0,2.0,1.0,98.9,2.1,-4.1,0.3,-0.07,0.0,0.0,0.0,0.0,0.0,-3.87,-5.11,-2.04,-5.91,-0.353,0.0,0,0,0,0,0,1,0,0,1115018,130000.0,40000.0,74434.292
박승욱,1.01,139,1.65,-0.64,468,463,405,57,106,19,1,7,148,53,4,5,47,10,3,120,7,3,3,0.262,0.351,0.365,0.716,0.121,86.4,108042,2024,10804,155.0,112.0,1010.0,-0.335,481.0,166.0,292.0,23.0,0.952,4.081,-9.41,0.0,-2.97,2.75,0.0,0.0,0.0,0.0,-9.19,-8.538,5.524,-3.666,-0.84,0.0,0,0,0,0,1,0,0,0,1115018,13500.0,17000.0,18521.28
정훈,0.76,109,0.76,0.0,325,324,285,31,76,20,0,9,123,47,1,1,35,0,0,63,3,1,4,0.267,0.343,0.432,0.775,0.133,94.9,102532,2024,10253,54.0,40.0,347.0,-0.142,305.0,265.0,37.0,3.0,0.99,7.833,0.31,0.0,0.34,-0.45,0.0,0.0,0.0,0.0,0.23,0.613,-1.781,-1.551,0.021,0.0,1,0,0,0,0,0,0,0,1115018,46666.0,20000.0,27690.24
오선진,0.16,26,0.04,0.12,29,24,20,0,4,1,0,0,5,0,0,0,2,2,0,8,0,5,0,0.2,0.333,0.25,0.583,0.095,67.4,105572,2024,10557,27.0,3.0,74.0,0.144,20.0,3.0,17.0,0.0,1.0,2.432,0.69,0.0,0.5,0.35,0.0,0.0,0.0,0.0,1.54,8.213,0.034,1.574,0.141,0.0,0,0,1,0,0,0,0,0,1115018,10000.0,4000.0,5623.4
김동혁,0.16,39,0.15,0.01,17,17,15,8,3,0,1,0,5,1,3,1,2,0,0,5,0,0,0,0.2,0.294,0.333,0.627,0.086,60.6,156452,2024,15645,29.0,0.0,58.0,0.009,23.0,21.0,0.0,2.0,0.913,3.259,1.21,-0.23,-0.87,0.0,0.0,0.0,0.0,0.0,0.1,0.497,-0.005,0.095,0.009,0.0,0,0,0,0,0,0,1,0,1115018,3100.0,3300.0,3423.76
이정훈,0.14,65,0.19,-0.06,116,114,100,10,30,8,0,0,38,18,0,0,13,0,1,21,4,1,2,0.3,0.374,0.38,0.754,0.133,94.9,129162,2024,12916,2.0,0.0,3.0,-0.055,1.0,1.0,0.0,0.0,1.0,3.0,-0.37,0.1,0.0,0.0,0.0,0.0,-0.49,0.0,-0.6,-43.2,-0.005,-0.605,-0.055,0.0,0,0,0,0,0,1,0,0,1115018,6000.0,6500.0,8295.0
신윤후,0.12,39,-0.29,0.41,35,34,31,5,5,0,0,0,5,1,0,0,1,2,0,8,1,1,0,0.161,0.235,0.161,0.396,0.004,2.9,141692,2024,14169,33.0,6.0,103.0,0.391,33.0,28.0,5.0,0.0,1.0,2.883,1.97,2.21,0.3,0.0,0.0,0.0,0.0,0.0,4.49,19.593,-0.206,4.284,0.41,0.0,0,0,0,1,0,0,0,0,1115018,5200.0,4800.0,5244.5
