,Unnamed: 0,선수,팀,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,pid,연도,기존pid,포지션,연봉(만원),팀연봉순위,전체연봉순위,계약금(만원)분할,연봉 총수령액(만원)
36,36,박정현,한화 이글스,-0.42,33,-0.52,0.1,120,117,107,10,21,4,0,0,25,9,1,0,9,0,0,32,1,3,1,0.196,0.256,0.234,0.49,0.031,25.7,147049,2021,14704,유격수,3400.0,45.0,509.0,0.0,3400.0
37,37,장지승,한화 이글스,-0.44,24,-0.37,-0.07,72,70,61,7,11,1,0,1,15,5,2,0,7,1,0,24,4,2,1,0.18,0.271,0.246,0.517,0.047,39.4,148809,2021,14880,우익수,3000.0,66.0,618.0,0.0,3000.0
38,38,백용환,한화 이글스,-0.44,36,-0.19,-0.25,95,93,81,10,12,1,0,4,25,4,0,0,9,3,0,24,4,2,0,0.148,0.258,0.309,0.567,0.061,51.0,100039,2021,10003,포수,4000.0,38.0,455.0,0.0,4000.0
39,39,허관회,한화 이글스,-0.5,28,-0.25,-0.25,79,79,63,4,12,0,0,0,12,2,0,0,13,1,0,22,1,0,2,0.19,0.329,0.19,0.519,0.067,56.0,142049,2021,14204,포수,3100.0,61.0,573.0,0.0,3100.0
40,40,이동훈,한화 이글스,-0.56,33,-0.43,-0.13,62,58,53,8,10,1,0,0,11,2,2,2,3,2,0,12,2,4,0,0.189,0.259,0.208,0.467,0.027,23.3,125269,2021,12526,중견수,3300.0,49.0,521.0,0.0,3300.0
41,41,노태형,한화 이글스,-0.56,18,-0.47,-0.08,49,49,43,6,5,1,0,0,6,1,0,0,6,0,0,15,0,0,0,0.116,0.224,0.14,0.364,-0.005,-4.4,112699,2021,11269,1루수,3400.0,45.0,509.0,0.0,3400.0
42,42,이도윤,한화 이글스,-0.57,56,-0.51,-0.06,68,67,63,5,11,0,0,0,11,2,1,2,4,0,0,18,1,1,0,0.175,0.224,0.175,0.399,-0.004,-3.2,114149,2021,11414,유격수,3200.0,56.0,544.0,0.0,3200.0
43,43,유로결,한화 이글스,-0.88,34,-0.82,-0.07,112,110,98,11,14,5,0,1,22,7,2,1,8,2,0,39,2,2,2,0.143,0.218,0.224,0.442,0.011,8.9,141269,2021,14126,우익수,3200.0,56.0,544.0,0.0,3200.0
44,44,이원석,한화 이글스,-0.99,43,-0.76,-0.23,130,126,114,12,20,1,1,1,26,9,4,2,8,2,0,43,1,4,2,0.175,0.238,0.228,0.466,0.021,17.0,131389,2021,13138,중견수,3000.0,66.0,618.0,0.0,3000.0
45,45,임종찬,한화 이글스,-1.32,42,-1.1,-0.22,146,144,131,9,20,5,0,1,28,8,0,1,12,1,0,49,2,2,0,0.153,0.229,0.214,0.443,0.014,11.8,147069,2021,14706,우익수,3600.0,42.0,486.0,0.0,3600.0
46,46,홍창기,LG 트윈스,6.92,144,7.02,-0.1,651,647,524,103,172,26,2,4,214,52,23,8,109,16,4,95,6,0,2,0.328,0.456,0.408,0.864,0.19,164.4,125466,2021,12546,우익수,10000.0,29.0,218.0,0.0,10000.0
47,47,김현수,LG 트윈스,3.34,140,3.53,-0.19,595,592,506,70,144,23,1,17,220,96,3,0,77,3,5,42,7,0,9,0.285,0.376,0.435,0.811,0.153,132.2,101876,2021,10187,좌익수,100000.0,3.0,24.0,0.0,100000.0
48,48,오지환,LG 트윈스,3.18,134,2.48,0.7,532,528,464,62,118,19,2,8,165,57,12,6,54,5,0,82,11,4,5,0.254,0.335,0.356,0.691,0.109,94.6,104756,2021,10475,유격수,60000.0,5.0,50.0,0.0,60000.0
49,49,채은성,LG 트윈스,2.33,110,2.54,-0.21,448,446,387,59,107,20,0,16,175,82,4,2,38,16,2,80,9,0,7,0.276,0.359,0.452,0.811,0.148,128.9,112156,2021,11215,1루수,30000.0,8.0,85.0,0.0,30000.0
50,50,유강남,LG 트윈스,2.17,130,2.17,0.0,441,437,397,39,100,16,0,11,149,60,2,0,25,14,1,75,11,3,2,0.252,0.317,0.375,0.692,0.105,90.9,107536,2021,10753,포수,30000.0,8.0,85.0,0.0,30000.0
51,51,김민성,LG 트윈스,1.41,121,0.78,0.63,426,415,360,35,80,22,0,8,126,39,3,3,42,8,2,73,7,11,5,0.222,0.313,0.35,0.663,0.097,83.9,102386,2021,10238,3루수,40000.0,7.0,71.0,0.0,40000.0
52,52,문보경,LG 트윈스,1.28,107,0.84,0.44,329,326,278,37,64,11,1,8,101,39,3,1,46,0,1,64,5,3,2,0.23,0.337,0.363,0.7,0.115,99.6,141376,2021,14137,3루수,3000.0,69.0,618.0,0.0,3000.0
53,53,서건창,LG 트윈스,0.99,68,0.77,0.22,267,263,235,33,58,12,1,2,78,24,6,0,24,3,0,34,5,4,1,0.247,0.323,0.332,0.655,0.096,83.5,108556,2021,10855,2루수,22500.0,14.0,114.0,0.0,22500.0
54,54,이재원,LG 트윈스,0.71,62,0.33,0.38,171,171,154,22,38,6,0,5,59,17,5,1,14,2,0,48,2,0,1,0.247,0.316,0.383,0.699,0.106,92.4,131046,2021,13104,좌익수,3200.0,57.0,544.0,0.0,3200.0
55,55,라모스,LG 트윈스,0.6,51,0.6,0.0,205,205,185,14,45,7,1,8,78,25,0,0,18,2,0,43,2,0,0,0.243,0.317,0.422,0.739,0.119,103.5,145926,2021,14592,1루수,104000.0,2.0,20.0,0.0,104000.0
56,56,정주현,LG 트윈스,0.6,73,0.58,0.01,214,205,181,26,43,7,1,3,61,10,3,3,24,0,0,32,4,9,0,0.238,0.327,0.337,0.664,0.101,87.3,104806,2021,10480,1루수,14000.0,23.0,167.0,0.0,14000.0
57,57,이형종,LG 트윈스,0.51,90,0.96,-0.45,281,280,239,32,52,11,0,10,93,34,3,1,34,7,1,65,10,1,0,0.218,0.332,0.389,0.721,0.121,104.4,125166,2021,12516,좌익수,18000.0,18.0,132.0,0.0,18000.0
58,58,김용의,LG 트윈스,0.35,102,0.12,0.23,41,37,27,19,4,2,0,0,6,2,6,0,9,0,0,5,1,4,1,0.148,0.351,0.222,0.573,0.093,79.9,104666,2021,10466,1루수,10000.0,16.0,119.0,10000.0,20000.0
59,59,문성주,LG 트윈스,0.12,31,-0.15,0.28,89,89,79,11,18,1,0,1,22,10,1,1,7,2,0,15,1,0,1,0.228,0.303,0.278,0.581,0.07,59.7,131126,2021,13112,좌익수,3100.0,60.0,573.0,0.0,3100.0
60,60,한석현,LG 트윈스,0.06,16,0.16,-0.09,26,26,21,5,6,2,1,0,10,1,2,0,3,1,0,7,1,0,1,0.286,0.385,0.476,0.861,0.163,144.8,132506,2021,13250,좌익수,3200.0,57.0,544.0,0.0,3200.0
61,61,이영빈,LG 트윈스,0.02,72,0.17,-0.15,169,167,148,21,36,9,0,2,51,16,6,3,15,3,0,51,1,2,1,0.243,0.323,0.345,0.668,0.1,85.4,147836,2021,14783,1루수,16000.0,22.0,152.0,0.0,16000.0
62,62,최민창,LG 트윈스,0.0,3,-0.05,0.05,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.179,-166.5,113516,2021,11351,좌익수,3100.0,60.0,573.0,0.0,3100.0
63,63,김대유,LG 트윈스,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,107066,2021,10706,,4000.0,51.0,455.0,0.0,4000.0
64,64,진해수,LG 트윈스,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,100756,2021,10075,,25000.0,12.0,105.0,0.0,25000.0
65,65,이정용,LG 트윈스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,141346,2021,14134,,5000.0,45.0,401.0,0.0,5000.0
66,66,최성훈,LG 트윈스,0.0,5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,108516,2021,10851,,7200.0,35.0,303.0,0.0,7200.0
67,67,류원석,LG 트윈스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,132516,2021,13251,,3300.0,56.0,521.0,0.0,3300.0
