Name,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR,pid,연도,수상횟수,연봉,샐러리캡,이후연봉,예측연봉
원종현,4,0,4,0,0,0,0,0,0,0,3.2,2,2,2.0,18,4,1,0,0,3,0,0,4,0,0,2,4.91,4.91,4.91,4.45,4.01,1.91,0.1,11161,2024,0.0,62500.0,567876,62500.0,63751.628
박윤성,17,0,17,7,0,0,0,0,0,1,18.2,12,12,13.4,81,14,5,0,5,9,0,0,14,2,0,2,5.79,5.79,6.46,6.62,7.01,1.23,0.09,15475,2024,0.0,12000.0,567876,3500.0,9399.7
김동규,2,0,2,1,0,0,0,0,0,0,0.1,2,2,1.3,4,1,1,0,0,2,0,0,0,0,0,0,54.0,54.0,35.1,32.69,22.8,9.0,-0.07,15485,2024,0.0,3100.0,567876,3100.0,7539.5
김연주,34,0,34,11,0,0,1,1,0,1,31.1,23,24,24.5,148,34,10,0,5,17,5,1,18,0,0,2,6.61,6.89,7.04,7.43,6.74,1.63,-0.11,16127,2024,0.0,3000.0,567876,3800.0,4815.88
손현기,6,2,4,2,0,0,0,1,0,0,14.1,12,14,13.3,69,17,3,1,2,8,3,0,9,0,0,3,7.53,8.79,8.35,8.66,6.67,1.74,-0.11,16125,2024,0.0,3000.0,567876,3100.0,4239.1
이종민,12,9,3,0,0,0,1,8,0,0,43.2,37,39,36.1,212,56,10,2,9,22,5,2,21,2,1,0,7.63,8.04,7.44,7.72,7.22,1.79,-0.12,14576,2024,0.0,3200.0,567876,3600.0,4917.84
박범준,5,0,5,3,0,0,0,1,0,0,5.1,8,8,7.3,28,7,2,0,1,4,1,0,8,0,0,2,13.5,13.5,12.32,11.88,5.59,2.06,-0.19,16133,2024,0.0,3000.0,567876,3100.0,3343.8
전준표,18,5,13,4,0,0,2,4,0,0,27.2,21,28,27.0,144,35,4,0,4,20,5,0,18,4,0,4,6.83,9.11,8.78,8.93,7.09,1.99,-0.35,16122,2024,0.0,3000.0,567876,3200.0,4329.0
오석주,17,0,17,7,0,0,1,1,0,0,17.0,21,21,20.15,92,28,4,1,0,11,3,1,16,1,0,2,11.12,11.12,10.67,11.22,4.4,2.29,-0.5,12860,2024,0.0,4000.0,567876,3900.0,5529.78
조영건,25,3,22,3,0,0,2,1,0,1,39.1,35,39,35.55,197,51,10,1,7,24,1,0,31,3,0,3,8.01,8.92,8.13,8.83,6.01,1.91,-0.55,14132,2024,0.0,4000.0,567876,3800.0,5458.86
윤석원,11,1,10,3,0,0,0,1,0,0,17.1,22,24,24.2,88,31,11,0,3,7,2,0,1,2,1,3,11.42,12.46,12.57,12.91,7.72,2.19,-0.66,15071,2024,0.0,4300.0,567876,6000.0,5267.9
