Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,pid
2,오지환,23 SS,5.01,126,4.66,0.35,502,498,422,65,113,24,3,8,167,62,16,7,64,8,0,82,4,4,4,0.268,0.371,0.396,0.767,0.144,127.0,104756
3,오스틴,23 1B,4.97,139,4.9,0.07,583,583,520,87,163,29,4,23,269,95,7,3,53,3,2,75,11,0,7,0.313,0.376,0.517,0.893,0.175,153.9,155326
4,박동원,23 C,4.13,130,4.02,0.11,481,471,409,54,102,17,1,20,181,75,0,1,49,7,3,90,7,8,8,0.249,0.334,0.443,0.777,0.134,117.7,103876
5,문보경,23 3B,3.99,131,4.32,-0.33,542,533,469,77,141,29,5,10,210,72,9,8,58,2,2,83,5,9,4,0.301,0.377,0.448,0.825,0.158,138.5,141376
6,문성주,23 LF,3.58,136,2.86,0.72,534,528,449,77,132,21,4,2,167,57,24,14,67,8,0,34,10,6,4,0.294,0.392,0.372,0.764,0.146,129.1,131126
7,박해민,23 CF,3.35,144,2.43,0.92,558,534,485,80,138,14,2,6,174,59,26,12,45,3,0,74,7,24,1,0.285,0.348,0.359,0.707,0.117,103.4,111906
8,김현수,23 DH,1.64,133,1.71,-0.07,556,555,488,53,143,22,2,6,187,88,2,1,58,1,4,53,10,1,8,0.293,0.364,0.383,0.747,0.13,114.4,101876
9,김민성,23 2B,1.62,112,1.14,0.48,316,307,273,34,68,11,0,8,103,41,2,1,25,7,0,58,7,9,2,0.249,0.326,0.377,0.703,0.114,100.7,102386
10,신민재,23 2B,1.21,122,0.98,0.24,331,314,282,47,78,5,2,0,87,28,37,17,29,1,0,34,5,17,2,0.277,0.344,0.309,0.653,0.1,87.7,130566
11,이천웅,23 LF,0.13,4,0.16,-0.03,3,3,3,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.612,520.1,109356
12,안익훈,23 RF,0.05,11,0.04,0.01,23,23,22,1,7,1,0,0,8,2,0,0,0,1,0,2,0,0,0,0.318,0.348,0.364,0.712,0.117,103.7,113476
13,이재원,23 LF,0.05,57,0.17,-0.13,129,128,112,15,24,5,0,4,41,18,4,2,12,2,2,40,1,0,3,0.214,0.295,0.366,0.661,0.091,80.4,131046
14,이정용,23 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,141346
14,김대현,23 P,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,125326
14,채지선,23 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,113876
14,오석주,23 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,128606
14,최동환,23 P,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,105356
14,박명근,23 P,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,154866
14,김동규,23 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,154856
14,고우석,23 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,129076
22,전준호,23 C,-0.02,2,-0.02,0.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.167,-140.9,128646
23,허도환,23 C,-0.03,47,-0.04,0.01,81,74,64,8,9,3,0,2,18,10,0,0,3,6,0,20,3,7,1,0.141,0.243,0.281,0.524,0.053,46.0,106846
24,김주성,23 SS,-0.06,11,0.06,-0.12,7,7,5,1,1,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0.2,0.429,0.2,0.629,0.141,123.9,125456
25,이주형,23 CF,-0.1,18,0.07,-0.17,16,16,15,2,4,2,0,0,6,2,0,0,0,1,0,5,0,0,0,0.267,0.313,0.4,0.713,0.118,104.9,145916
26,송대현,23 SS,-0.16,4,-0.07,-0.09,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-0.167,-150.8,154926
27,최승민,23 CF,-0.19,38,-0.2,0.01,15,15,14,10,1,0,0,0,1,1,8,3,1,0,0,4,1,0,0,0.071,0.133,0.071,0.204,-0.071,-63.7,141876
28,송찬의,23 DH,-0.32,19,-0.22,-0.1,22,22,18,2,1,1,0,0,2,1,1,0,4,0,0,6,0,0,0,0.056,0.227,0.111,0.338,0.006,5.3,131096
29,손호영,23 SS,-0.36,27,-0.23,-0.14,45,45,44,8,9,0,0,1,12,6,2,1,1,0,0,12,5,0,0,0.205,0.222,0.273,0.495,0.025,21.8,145906
30,김범석,23 1B,-0.47,10,-0.26,-0.21,29,29,27,3,3,1,0,1,7,4,0,0,1,0,0,5,1,0,1,0.111,0.138,0.259,0.397,-0.018,-15.9,154846
31,김기연,23 C,-0.67,28,-0.21,-0.46,40,39,34,3,4,0,0,0,4,2,1,0,5,0,0,10,0,1,0,0.118,0.231,0.118,0.349,-0.002,-1.6,125496
32,정주현,23 1B,-0.88,89,-0.02,-0.85,101,98,88,17,24,2,0,1,29,12,1,5,9,0,0,16,1,2,1,0.273,0.337,0.33,0.667,0.099,87.9,104806
33,서건창,23 2B,-0.9,44,-0.44,-0.46,126,123,110,14,22,5,2,0,31,12,3,3,10,0,0,14,5,3,3,0.2,0.26,0.282,0.542,0.053,46.1,108556
1,전준우,23 DH,3.41,138,3.75,-0.34,559,556,493,80,154,21,3,17,232,77,9,2,52,7,4,65,12,0,7,0.312,0.381,0.471,0.852,0.163,134.5,102662
2,유강남,23 C,2.34,121,2.33,0.0,403,401,352,45,92,13,0,10,135,55,1,1,37,8,1,64,13,2,4,0.261,0.342,0.384,0.726,0.122,100.9,107532
3,노진혁,23 SS,2.32,113,2.36,-0.04,390,386,334,43,86,26,1,4,126,51,7,2,45,3,1,84,3,4,4,0.257,0.347,0.377,0.724,0.125,103.2,111652
4,안치홍,23 2B,2.3,121,2.77,-0.46,494,487,425,57,124,20,1,8,170,63,3,3,49,10,3,53,14,5,5,0.292,0.374,0.4,0.774,0.142,117.5,100142
