Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,pid
16,박치국,23 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,128501
16,정철원,23 P,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,130711
16,최승용,23 P,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,147701
16,박신지,23 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,130701
16,박정수,23 P,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,113001
16,김정우,23 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,131241
25,조수행,23 RF,-0.03,126,-0.53,0.5,249,245,219,41,48,2,1,1,55,17,26,6,23,2,0,38,2,4,1,0.219,0.298,0.251,0.549,0.064,56.6,125241
26,권민석,23 SS,-0.08,1,-0.04,-0.04,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.167,-154.8,130791
27,송승환,23 LF,-0.1,30,-0.26,0.16,76,74,70,10,16,3,1,0,21,4,0,1,4,0,0,16,2,2,0,0.229,0.27,0.3,0.57,0.062,54.0,141721
28,서예일,23 2B,-0.11,5,-0.08,-0.03,10,10,9,2,2,0,0,0,2,1,0,0,0,0,0,2,0,0,1,0.222,0.2,0.222,0.422,-0.011,-10.1,125231
29,신성현,23 1B,-0.12,12,-0.14,0.02,15,15,12,1,1,0,0,0,1,1,0,1,3,0,0,4,0,0,0,0.083,0.267,0.083,0.35,0.018,16.0,114921
30,김민혁,23 1B,-0.21,21,-0.28,0.07,36,36,29,2,4,1,0,0,5,3,0,0,4,1,0,9,3,0,2,0.138,0.25,0.172,0.422,0.023,20.7,129701
31,박지훈,23 1B,-0.21,22,-0.14,-0.07,21,21,19,2,4,1,0,0,5,2,1,0,2,0,0,7,0,0,0,0.211,0.286,0.263,0.549,0.062,55.8,147361
32,홍성호,23 RF,-0.23,21,0.16,-0.39,51,51,48,6,14,4,0,0,18,5,0,1,2,1,0,14,0,0,0,0.292,0.333,0.375,0.708,0.116,104.0,126061
33,전민재,23 3B,-0.3,19,-0.15,-0.14,18,17,17,3,4,2,0,0,6,1,0,3,0,0,0,3,2,1,0,0.235,0.235,0.353,0.588,0.059,52.3,130731
34,박계범,23 SS,-0.33,78,-0.06,-0.27,194,189,169,18,37,6,0,2,49,15,2,2,15,2,1,44,4,5,3,0.219,0.286,0.29,0.576,0.066,58.0,111981
35,안승한,23 C,-0.4,22,-0.08,-0.31,27,27,24,1,5,0,0,0,5,1,1,0,2,1,0,10,0,0,0,0.208,0.296,0.208,0.504,0.053,46.9,113281
36,장승현,23 C,-0.59,76,-0.51,-0.08,158,153,139,11,22,1,0,3,32,9,1,0,6,8,0,36,2,5,0,0.158,0.235,0.23,0.465,0.029,26.0,110971
37,김태근,23 RF,-0.77,41,-0.4,-0.37,55,53,52,9,11,3,0,0,14,3,0,3,0,1,0,21,0,2,0,0.212,0.226,0.269,0.495,0.029,25.7,141751
38,김대한,23 RF,-0.87,33,-0.24,-0.63,89,89,81,10,16,3,1,1,24,7,1,3,7,1,0,21,0,0,0,0.198,0.27,0.296,0.566,0.064,56.9,141701
1,김혜성,23 2B,5.9,137,5.87,0.03,621,619,556,104,186,29,6,7,248,57,25,3,57,3,3,77,6,0,5,0.335,0.396,0.446,0.842,0.163,141.0,129057
2,이정후,23 CF,4.22,86,3.48,0.74,387,384,330,50,105,23,2,6,150,45,6,3,49,3,7,23,1,0,5,0.318,0.406,0.455,0.861,0.17,146.6,129067
3,이주형,23 CF,2.15,51,2.15,0.01,227,223,200,30,66,11,4,6,103,34,3,1,19,4,2,48,4,2,2,0.33,0.396,0.515,0.911,0.184,160.1,145917
4,김휘집,23 SS,1.89,110,2.32,-0.43,435,429,369,46,92,22,0,8,138,51,0,0,48,5,0,97,8,6,7,0.249,0.338,0.374,0.712,0.119,102.5,147857
5,도슨,23 CF,1.71,57,2.25,-0.54,261,261,229,37,77,14,2,3,104,29,9,2,18,9,0,41,3,0,5,0.336,0.398,0.454,0.852,0.169,147.0,156527
6,박수종,23 RF,1.02,23,0.7,0.33,50,50,45,7,19,1,2,0,24,3,0,0,3,1,0,6,1,0,1,0.422,0.46,0.533,0.993,0.219,191.1,151327
7,러셀,23 SS,0.99,59,1.18,-0.2,239,239,220,20,63,11,1,4,88,42,1,0,17,1,1,39,5,0,1,0.286,0.339,0.4,0.739,0.123,106.4,147427
8,송성문,23 3B,0.92,104,0.6,0.32,438,431,388,43,102,16,3,5,139,60,1,0,39,0,5,38,9,4,7,0.263,0.325,0.358,0.683,0.098,84.6,113767
9,김동헌,23 C,0.61,102,0.71,-0.11,242,239,211,22,51,5,2,2,66,17,0,0,17,8,0,55,7,3,3,0.242,0.318,0.313,0.631,0.092,79.8,154737
10,이지영,23 C,0.51,81,0.38,0.12,237,230,217,23,54,8,1,0,64,8,1,1,12,1,0,39,2,7,0,0.249,0.291,0.295,0.586,0.074,63.6,103127
11,임병욱,23 RF,0.31,80,0.44,-0.14,223,222,208,30,54,11,1,6,85,36,4,0,10,1,0,75,1,1,3,0.26,0.293,0.409,0.702,0.103,88.1,112267
12,임지열,23 1B,0.23,72,0.71,-0.48,246,244,212,22,55,8,0,5,78,35,1,0,28,3,0,64,3,2,1,0.259,0.352,0.368,0.72,0.121,104.6,112257
13,양현,23 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,107307
13,김동혁,23 P,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,146747
13,김성진,23 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,148497
13,임창민,23 P,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,104527
13,하영민,23 P,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,112227
13,윤정현,23 P,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,141317
13,김준형,23 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,148487
13,문성현,23 P,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,104377
13,후라도,23 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,155317
13,김재웅,23 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,128587
13,이명종,23 P,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,150737
13,원종현,23 P,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,111617
13,김선기,23 P,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,130927
26,이병규,23 1B,-0.07,7,-0.13,0.06,17,17,17,3,4,0,0,0,4,2,0,0,0,0,0,4,0,0,0,0.235,0.235,0.235,0.47,0.016,14.2,128597
27,송재선,23 RF,-0.09,5,0.0,-0.08,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,0.093,82.4,154777
28,김시앙,23 C,-0.12,33,-0.17,0.05,82,82,76,6,17,1,0,0,18,7,0,0,3,3,0,18,4,0,0,0.224,0.28,0.237,0.517,0.049,42.0,148517
29,이형종,23 RF,-0.13,99,0.16,-0.28,374,370,316,35,68,22,1,3,101,37,0,0,39,14,2,78,11,3,2,0.215,0.326,0.32,0.646,0.102,88.4,125167
30,김수환,23 1B,-0.18,50,-0.02,-0.15,114,113,97,8,21,4,0,2,31,15,0,0,11,4,0,36,1,1,1,0.216,0.319,0.32,0.639,0.097,82.8,130967
31,이승원,23 SS,-0.2,4,-0.12,-0.08,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-0.167,-147.9,154767
32,전병우,23 1B,-0.2,41,-0.3,0.1,75,73,62,6,9,3,0,1,15,6,0,0,10,1,0,28,0,2,0,0.145,0.274,0.242,0.516,0.058,50.2,114227
33,김건희,23 1B,-0.23,9,-0.08,-0.15,13,13,11,0,2,0,0,0,2,0,0,0,2,0,0,4,1,0,0,0.182,0.308,0.182,0.49,0.055,47.8,154727
34,김준완,23 LF,-0.27,76,-0.38,0.11,225,219,189,25,42,7,0,0,49,14,0,0,26,1,0,57,2,6,3,0.222,0.315,0.259,0.574,0.077,66.0,111827
35,김병휘,23 2B,-0.27,10,-0.24,-0.04,21,21,21,0,3,1,0,0,4,1,0,0,0,0,0,8,0,0,0,0.143,0.143,0.19,0.333,-0.038,-33.7,145777
36,박준태,23 RF,-0.34,14,-0.16,-0.18,15,15,14,0,2,0,0,0,2,1,0,0,1,0,0,7,0,0,0,0.143,0.2,0.143,0.343,-0.019,-16.6,112607
37,신준우,23 SS,-0.42,24,-0.23,-0.19,19,19,18,4,2,0,0,0,2,0,0,0,0,1,0,5,0,0,0,0.111,0.158,0.111,0.269,-0.08,-69.2,146957
38,김재현,23 C,-0.45,8,-0.27,-0.18,10,9,9,0,1,0,0,0,1,0,0,0,0,0,0,3,1,1,0,0.111,0.111,0.111,0.222,-0.08,-71.3,108707
39,주성원,23 RF,-0.45,25,-0.5,0.05,72,71,69,7,15,2,1,0,19,2,0,0,1,0,0,18,1,1,1,0.217,0.225,0.275,0.5,0.027,23.3,141337
40,이용규,23 LF,-0.46,50,-0.25,-0.21,178,176,154,19,36,0,3,0,42,11,2,1,19,1,0,22,3,2,2,0.234,0.318,0.273,0.591,0.08,70.2,100357
41,예진원,23 LF,-0.51,16,-0.15,-0.36,36,34,34,2,8,1,0,1,12,4,0,0,0,0,0,7,0,2,0,0.235,0.235,0.353,0.588,0.055,47.4,130937
42,김웅빈,23 1B,-0.64,29,-0.47,-0.17,74,74,64,2,12,3,0,0,15,9,0,0,6,2,0,20,1,0,2,0.188,0.27,0.234,0.504,0.047,42.2,125037
43,김주형,23 SS,-0.72,46,-0.4,-0.32,81,78,68,5,10,2,0,0,12,4,0,0,9,1,0,27,2,3,0,0.147,0.256,0.176,0.432,0.027,23.7,142147
44,박주홍,23 1B,-0.73,27,-0.65,-0.08,57,56,49,5,6,0,1,0,8,2,1,0,5,0,0,26,0,1,2,0.122,0.196,0.163,0.359,-0.012,-10.2,145807
45,김태진,23 3B,-0.73,74,-0.34,-0.39,212,209,200,17,55,5,0,0,60,16,0,0,5,1,0,23,1,3,3,0.275,0.292,0.3,0.592,0.066,57.6,112447
46,박찬혁,23 LF,-0.83,48,-0.83,0.0,167,167,154,13,31,7,0,1,41,8,0,0,10,3,0,41,1,0,0,0.201,0.263,0.266,0.529,0.051,45.0,150687
47,이원석,23 1B,-1.9,70,-1.38,-0.53,273,272,247,16,54,6,0,1,63,20,0,0,20,3,1,59,8,1,2,0.219,0.283,0.255,0.538,0.053,46.0,101807
