Rank,Name,Team,Sort▼,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR▼,팀,pid
10,한승혁,24 P,0.94,70,0,70,4,0,0,5,5,0,19,62.2,35,39,37.1,289,63,7,1,2,38,6,2,64,2,0,6,5.03,5.6,5.33,5.27,4.2,1.61,0.94,한화 이글스,10812
11,장민재,24 P,0.74,26,0,26,9,0,0,1,1,0,0,29.0,10,10,12.75,138,46,7,0,2,7,1,0,17,0,0,5,3.1,3.1,3.96,3.88,4.41,1.83,0.74,한화 이글스,10610
12,김서현,24 P,0.71,37,0,37,5,0,0,1,2,0,10,38.1,16,20,20.15,178,31,6,2,0,32,4,0,43,2,0,3,3.76,4.7,4.73,4.93,4.31,1.64,0.71,한화 이글스,15421
13,김민우,24 P,0.62,3,3,0,0,0,0,1,0,0,0,12.1,3,3,3.0,49,7,0,0,2,6,0,0,13,1,0,0,2.19,2.19,2.19,2.44,5.0,1.05,0.62,한화 이글스,11410
14,이상규,24 P,0.48,21,3,18,4,0,0,1,4,0,0,32.0,20,20,18.95,149,39,7,1,5,15,1,1,27,0,0,1,5.63,5.63,5.33,5.29,5.4,1.69,0.48,한화 이글스,13245
15,김기중,24 P,0.33,27,11,16,4,0,0,5,4,0,0,59.0,43,44,42.6,286,83,12,1,8,27,6,0,39,2,0,2,6.56,6.71,6.5,6.56,5.89,1.86,0.33,한화 이글스,14808
16,장시환,24 P,0.28,30,0,30,2,0,0,2,2,0,2,33.1,19,27,22.05,156,34,6,1,3,22,1,0,28,5,0,0,5.13,7.29,5.95,5.96,5.31,1.68,0.28,한화 이글스,10453
17,페냐,24 P,0.26,9,9,0,0,0,0,3,5,0,0,37.1,26,28,27.3,171,41,6,0,6,20,0,0,29,1,0,1,6.27,6.75,6.58,6.62,5.83,1.63,0.26,한화 이글스,15146
18,김승일,24 P,0.12,3,0,3,1,0,0,0,0,0,0,3.0,1,1,0.3,13,4,1,0,0,0,1,0,2,0,0,1,3.0,3.0,0.9,0.9,3.57,1.33,0.12,한화 이글스,14711
19,남지민,24 P,0.12,2,0,2,1,0,0,0,0,0,0,4.0,0,0,1.2,17,2,1,0,0,2,1,0,3,0,0,1,0.0,0.0,2.7,2.7,4.65,1.0,0.12,한화 이글스,14619
20,김범수,24 P,0.08,39,0,39,6,0,0,0,0,0,4,34.0,20,20,25.1,157,33,2,0,11,20,5,1,38,2,0,3,5.29,5.29,6.64,6.53,7.44,1.56,0.08,한화 이글스,11411
21,김규연,24 P,0.01,58,1,57,12,0,0,1,0,0,4,59.0,46,50,46.95,270,66,10,1,6,28,4,1,40,3,0,3,7.02,7.63,7.16,7.05,5.4,1.59,0.01,한화 이글스,14871
22,조동욱,24 P,0.0,21,8,13,6,0,0,1,2,0,0,41.0,29,34,35.9,198,57,10,0,5,14,6,0,32,3,1,1,6.37,7.46,7.88,7.68,5.21,1.73,0.0,한화 이글스,16108
23,배민서,24 P,-0.08,1,0,1,0,0,0,0,0,0,0,1.2,3,3,3.0,11,4,1,0,0,3,0,0,1,0,0,0,16.2,16.2,16.2,16.17,8.28,4.2,-0.08,한화 이글스,14158
24,김도빈,24 P,-0.11,1,1,0,0,0,0,0,1,0,0,0.1,2,2,2.0,5,1,0,0,0,3,0,0,1,0,0,0,54.0,54.0,54.0,54.0,24.6,12.0,-0.11,한화 이글스,16118
25,이충호,24 P,-0.12,3,0,3,0,0,0,0,0,0,0,2.1,1,1,3.05,13,4,1,0,0,3,0,0,3,0,0,0,3.86,3.86,11.76,11.02,4.97,3.0,-0.12,한화 이글스,11116
26,장지수,24 P,-0.14,13,0,13,7,0,0,0,0,0,0,14.0,17,18,14.75,75,23,5,2,0,10,2,2,11,1,0,2,10.93,11.57,9.48,9.15,4.45,2.36,-0.14,한화 이글스,14178
27,윤대경,24 P,-0.26,7,0,7,1,0,0,0,0,0,0,7.2,9,9,10.2,40,10,3,0,1,6,1,1,7,0,0,0,10.57,10.57,11.97,11.77,6.3,2.09,-0.26,한화 이글스,11110
28,이태양,24 P,-0.5,10,1,9,3,0,0,0,2,0,0,9.1,12,13,14.2,48,17,3,0,4,2,0,0,2,1,0,0,11.57,12.54,13.69,13.89,9.43,2.04,-0.5,한화 이글스,10609
29,한승주,24 P,-0.95,18,0,18,6,0,0,0,2,0,0,22.0,28,31,30.15,120,45,6,1,2,10,3,0,14,2,0,1,11.45,12.68,12.33,12.5,5.52,2.5,-0.95,한화 이글스,14621
30,정우람,24 P,,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,4.2,99.99,,한화 이글스,10156
1,임찬규,24 P,4.46,25,24,1,0,0,0,10,6,0,1,134.0,57,58,56.1,577,144,29,1,12,42,5,1,136,0,0,1,3.83,3.9,3.77,3.94,3.79,1.39,4.46,LG 트윈스,10652
2,엔스,24 P,4.33,30,30,0,0,0,0,13,6,0,0,167.2,78,84,83.65,714,169,29,3,16,50,6,0,157,9,0,4,4.19,4.51,4.49,4.64,4.03,1.31,4.33,LG 트윈스,16023
3,손주영,24 P,4.31,28,27,1,0,0,0,9,10,0,1,144.2,61,71,65.3,637,157,16,0,11,54,10,0,112,9,0,6,3.79,4.42,4.06,4.26,4.54,1.46,4.31,LG 트윈스,12908
4,최원태,24 P,3.3,24,23,1,0,0,0,9,7,0,0,126.2,60,66,62.2,554,126,20,1,10,57,5,0,103,6,0,5,4.26,4.69,4.42,4.58,4.62,1.44,3.3,LG 트윈스,11379
5,켈리,24 P,2.2,19,19,0,2,2,1,5,8,0,0,113.2,57,65,65.0,495,131,18,1,13,25,6,0,69,4,0,9,4.51,5.15,5.15,5.28,4.89,1.37,2.2,LG 트윈스,13934
6,에르난데스,24 P,1.59,11,9,2,1,0,0,3,2,1,1,47.0,21,21,19.45,195,41,6,1,5,16,2,0,55,1,0,1,4.02,4.02,3.72,3.92,3.73,1.21,1.59,LG 트윈스,16160
7,김진성,24 P,1.23,71,0,71,6,0,0,3,3,1,27,70.1,31,34,38.35,294,62,11,1,11,23,7,3,61,4,0,2,3.97,4.35,4.91,5.13,5.17,1.21,1.23,LG 트윈스,11166
8,유영찬,24 P,1.06,62,0,62,50,0,0,7,5,26,1,63.2,21,24,35.5,286,61,15,0,2,30,3,3,77,3,2,5,2.97,3.39,5.02,5.22,3.06,1.43,1.06,LG 트윈스,14669
9,김유영,24 P,0.84,53,2,51,6,0,0,1,2,1,6,47.2,20,27,25.7,212,50,7,0,2,16,4,0,42,8,1,3,3.78,5.1,4.85,4.99,3.8,1.38,0.84,LG 트윈스,11229
10,이상영,24 P,0.53,8,3,5,0,0,0,0,1,0,1,16.1,6,6,7.05,75,15,0,0,1,8,4,0,8,0,0,2,3.31,3.31,3.88,4.2,5.98,1.41,0.53,LG 트윈스,14135
11,이종준,24 P,0.52,27,0,27,13,0,0,1,2,0,1,26.0,12,13,12.65,119,26,5,0,4,16,0,0,28,1,0,1,4.15,4.5,4.38,4.5,5.25,1.62,0.52,LG 트윈스,14651
12,함덕주,24 P,0.32,15,0,15,1,0,0,0,1,0,3,11.2,7,7,4.95,54,13,0,1,2,7,1,0,8,0,0,0,5.4,5.4,3.82,4.02,6.65,1.71,0.32,LG 트윈스,11094
13,우강훈,24 P,0.27,13,0,13,5,0,0,1,0,0,0,11.2,3,5,5.2,54,11,1,0,0,6,5,0,10,0,0,2,2.31,3.86,4.01,4.11,4.98,1.46,0.27,LG 트윈스,14816
14,임준형,24 P,0.19,18,1,17,3,0,0,0,0,0,0,13.2,10,10,7.95,62,16,4,0,2,4,3,0,13,0,0,0,6.59,6.59,5.24,5.48,5.15,1.46,0.19,LG 트윈스,14142
15,진우영,24 P,0.12,6,0,6,6,0,0,0,0,0,0,7.2,4,4,4.0,35,8,3,0,1,4,0,0,6,0,0,2,4.7,4.7,4.7,4.89,5.41,1.57,0.12,LG 트윈스,16015
16,김대현,24 P,0.11,37,0,37,8,0,0,2,0,1,1,35.0,21,21,25.0,155,33,6,1,6,18,2,0,30,0,0,5,5.4,5.4,6.43,6.56,5.87,1.46,0.11,LG 트윈스,12532
17,윤호솔,24 P,0.11,7,0,7,2,0,0,0,0,0,0,4.1,2,2,1.65,24,4,0,0,0,8,0,0,5,0,0,0,4.15,4.15,3.43,3.44,7.04,2.77,0.11,LG 트윈스,11170
18,이지강,24 P,0.11,46,2,44,6,0,0,2,3,1,1,53.2,27,35,38.75,250,61,9,0,5,26,2,0,39,5,0,5,4.53,5.87,6.5,6.69,5.11,1.62,0.11,LG 트윈스,14143
19,정우영,24 P,0.09,27,0,27,2,0,0,2,1,0,3,22.2,12,15,15.0,108,31,6,0,0,11,6,0,17,1,0,3,4.76,5.96,5.96,6.38,4.65,1.85,0.09,LG 트윈스,14136
20,김진수,24 P,0.09,7,0,7,3,0,0,0,1,0,0,13.1,10,10,9.15,58,17,2,0,3,4,0,0,6,0,0,0,6.75,6.75,6.18,6.15,6.68,1.58,0.09,LG 트윈스,14781
21,성동현,24 P,0.08,2,0,2,1,0,0,0,0,0,0,2.0,0,0,0.0,8,0,0,0,0,3,0,0,1,0,0,0,0.0,0.0,0.0,0.0,7.6,1.5,0.08,LG 트윈스,13103
22,강효종,24 P,-0.1,1,1,0,0,0,0,0,0,0,0,1.1,3,3,3.0,9,2,0,0,1,3,0,0,2,0,0,0,20.25,20.25,20.25,18.46,16.35,3.75,-0.1,LG 트윈스,14780
23,김윤식,24 P,-0.11,1,1,0,0,0,0,0,0,0,0,3.0,4,4,4.0,17,7,2,0,0,1,0,0,1,1,0,0,12.0,12.0,12.0,12.94,4.4,2.67,-0.11,LG 트윈스,14588
24,최동환,24 P,-0.23,26,0,26,7,0,0,0,1,0,2,22.0,17,18,19.7,105,35,6,0,4,9,0,0,14,1,0,0,6.95,7.36,8.06,8.52,6.04,2.0,-0.23,LG 트윈스,10535
25,이믿음,24 P,-0.27,1,1,0,0,0,0,0,1,0,0,4.0,7,7,7.0,27,11,2,0,0,4,0,0,2,0,0,0,15.75,15.75,15.75,16.98,6.05,3.75,-0.27,LG 트윈스,14847
26,김영준,24 P,-0.33,14,0,14,5,0,0,1,1,0,0,15.1,14,17,16.65,76,21,3,0,2,9,0,1,11,3,0,2,8.22,9.98,9.77,10.23,5.58,1.96,-0.33,LG 트윈스,13102
27,박명근,24 P,-0.34,33,0,33,3,0,0,2,2,1,8,25.1,18,20,20.65,120,29,4,0,6,12,3,0,13,3,0,0,6.39,7.11,7.34,7.79,7.57,1.62,-0.34,LG 트윈스,15486
28,정지헌,24 P,-0.41,17,0,17,4,0,0,0,0,0,1,12.1,16,18,15.65,69,19,2,0,2,11,3,0,11,2,0,3,11.68,13.14,11.42,11.87,7.42,2.43,-0.41,LG 트윈스,16017
29,백승현,24 P,-0.5,36,0,36,7,0,0,2,1,2,1,26.2,27,28,25.6,135,33,7,0,3,22,2,2,14,0,0,1,9.11,9.45,8.64,8.92,6.9,2.06,-0.5,LG 트윈스,13009
30,이우찬,24 P,-0.73,42,1,41,3,0,0,3,2,0,6,33.2,33,35,33.15,172,42,6,1,2,30,1,0,31,4,1,6,8.82,9.36,8.86,8.94,5.46,2.14,-0.73,LG 트윈스,10749
1,윌커슨,24 P,6.81,32,32,0,1,1,1,12,8,0,0,196.2,84,90,88.8,816,210,37,3,18,27,2,0,167,13,0,3,3.84,4.12,4.06,3.91,3.62,1.21,6.81,롯데 자이언츠,12295
2,반즈,24 P,6.43,25,25,0,0,0,0,9,6,0,0,150.2,56,59,55.9,624,140,17,4,18,46,5,0,171,8,0,6,3.35,3.52,3.34,3.18,3.83,1.23,6.43,롯데 자이언츠,15011
3,박세웅,24 P,4.06,30,30,0,0,0,0,6,11,0,0,173.1,92,103,97.65,759,188,33,0,13,56,11,0,124,12,0,10,4.78,5.35,5.07,4.97,4.5,1.41,4.06,롯데 자이언츠,11310
4,김원중,24 P,2.44,56,0,56,42,0,0,3,6,25,0,63.1,25,27,28.5,277,59,8,0,4,31,1,7,68,2,0,5,3.55,3.84,4.05,3.85,3.64,1.42,2.44,롯데 자이언츠,10825
5,김진욱,24 P,2.02,19,18,1,0,0,0,4,3,0,0,84.2,50,54,49.85,388,89,21,3,13,44,3,0,87,6,0,5,5.31,5.74,5.3,5.04,5.18,1.57,2.02,롯데 자이언츠,14792
6,한현희,24 P,1.58,57,5,52,5,0,0,5,3,0,8,76.1,44,45,44.45,342,92,18,1,7,24,10,1,70,3,0,4,5.19,5.31,5.24,4.97,4.38,1.52,1.58,롯데 자이언츠,10863
7,박진,24 P,1.12,38,3,35,11,0,0,2,4,1,0,49.1,24,28,27.65,214,60,9,1,4,11,2,0,35,0,0,4,4.38,5.11,5.04,4.72,4.21,1.44,1.12,롯데 자이언츠,14163
8,김상수,24 P,1.12,74,0,74,10,0,0,8,4,2,17,73.2,34,40,45.4,322,71,11,1,5,26,5,2,56,6,1,6,4.15,4.89,5.55,5.38,4.33,1.32,1.12,롯데 자이언츠,10427
9,정현수,24 P,0.83,18,4,14,0,0,0,1,1,0,1,23.2,12,12,10.75,104,20,7,0,0,12,2,0,25,1,0,0,4.56,4.56,4.09,3.85,3.39,1.35,0.83,롯데 자이언츠,16090
10,김강현,24 P,0.53,26,0,26,10,0,0,0,0,0,0,25.1,10,13,13.7,123,28,4,0,2,18,2,1,24,3,0,3,3.55,4.62,4.87,4.54,5.1,1.82,0.53,롯데 자이언츠,12699
11,전미르,24 P,0.42,36,0,36,6,0,0,1,5,1,5,33.2,22,28,22.5,155,33,10,0,4,21,1,2,34,4,0,3,5.88,7.49,6.01,5.62,5.02,1.6,0.42,롯데 자이언츠,16089
12,박진형,24 P,0.21,7,0,7,0,0,0,0,0,0,0,6.1,3,3,2.65,24,6,1,0,0,1,1,0,4,0,0,1,4.26,4.26,3.77,3.76,3.6,1.11,0.21,롯데 자이언츠,11425
13,구승민,24 P,0.19,66,0,66,7,0,0,5,3,0,13,57.2,31,37,42.7,279,68,10,0,6,35,6,1,62,5,0,7,4.84,5.77,6.66,6.44,4.9,1.79,0.19,롯데 자이언츠,11291
14,최준용,24 P,0.17,27,0,27,4,0,0,1,2,0,3,21.2,13,13,15.55,105,28,2,1,2,14,1,1,12,1,0,1,5.4,5.4,6.46,6.02,5.92,1.94,0.17,롯데 자이언츠,14624
15,이민석,24 P,0.07,18,5,13,5,0,0,0,2,0,1,31.0,25,27,25.6,153,38,5,3,3,25,2,0,20,1,0,1,7.26,7.84,7.43,7.14,6.44,2.03,0.07,롯데 자이언츠,15045
16,임준섭,24 P,0.06,24,0,24,2,0,0,0,0,0,2,11.1,10,11,8.95,56,12,2,1,0,11,3,0,3,0,0,0,7.94,8.74,7.11,6.62,7.37,2.03,0.06,롯데 자이언츠,10795
17,진승현,24 P,0.03,7,0,7,3,0,0,0,1,0,0,6.1,6,6,5.0,32,7,3,0,0,5,0,0,5,2,0,0,8.53,8.53,7.11,6.48,4.67,1.89,0.03,롯데 자이언츠,15047
18,정우준,24 P,0.03,8,0,8,5,0,0,0,0,0,0,8.1,4,4,6.6,40,10,2,0,2,7,0,0,5,0,0,0,4.32,4.32,7.13,6.76,8.16,2.04,0.03,롯데 자이언츠,14795
19,박준우,24 P,-0.01,2,0,2,2,0,0,0,0,0,0,2.0,2,2,2.0,10,3,1,0,0,1,0,0,1,0,0,0,9.0,9.0,9.0,9.03,4.5,2.0,-0.01,롯데 자이언츠,16092
20,우강훈,24 P,-0.01,1,0,1,0,0,0,0,0,0,0,0.0,1,1,0.65,3,0,0,0,0,2,1,0,0,0,0,0,99.99,99.99,23.0,21.79,9304.2,99.99,-0.01,롯데 자이언츠,14816
21,김도규,24 P,-0.03,5,0,5,3,0,0,0,1,0,0,4.0,4,4,3.3,25,5,1,0,0,6,2,1,5,0,1,0,9.0,9.0,7.43,8.06,7.27,2.75,-0.03,롯데 자이언츠,13148
22,홍민기,24 P,-0.06,3,1,2,0,0,0,0,0,0,0,3.2,5,7,5.15,24,8,3,0,0,1,2,0,2,2,0,3,12.27,17.18,12.64,11.95,5.37,2.45,-0.06,롯데 자이언츠,14625
23,진해수,24 P,-0.17,54,0,54,3,0,0,2,1,0,5,27.2,19,21,23.55,128,36,3,0,5,10,3,1,22,0,0,2,6.18,6.83,7.66,7.29,5.82,1.66,-0.17,롯데 자이언츠,10075
24,윤성빈,24 P,-0.21,1,1,0,0,0,0,0,1,0,0,1.0,5,5,4.3,9,4,1,0,1,2,0,0,1,0,0,0,45.0,45.0,38.7,36.04,19.8,6.0,-0.21,롯데 자이언츠,12928
25,현도훈,24 P,-0.3,8,0,8,5,0,0,0,1,0,0,10.0,10,11,12.05,50,15,3,1,2,6,0,0,8,2,0,1,9.0,9.9,10.85,9.99,6.44,2.1,-0.3,롯데 자이언츠,13271
26,이인복,24 P,-0.31,8,6,2,1,0,0,0,3,0,0,33.0,35,35,36.05,159,49,14,0,10,13,3,0,20,1,0,4,9.55,9.55,9.83,9.35,7.79,1.88,-0.31,롯데 자이언츠,11232
27,송재영,24 P,-0.36,19,0,19,4,0,0,0,1,1,3,8.1,10,10,10.4,40,9,3,0,2,5,1,0,9,0,1,1,10.8,10.8,11.23,10.38,6.59,1.68,-0.36,롯데 자이언츠,14794
28,나균안,24 P,-0.64,26,14,12,4,0,0,4,7,0,0,73.0,69,73,73.5,380,114,19,0,15,47,5,0,74,2,0,10,8.51,9.0,9.06,8.73,6.32,2.21,-0.64,롯데 자이언츠,12930
29,최이준,24 P,-0.7,23,0,23,11,0,0,3,0,0,0,24.2,20,22,27.85,126,40,6,1,3,16,1,1,17,1,0,1,7.3,8.03,10.16,9.76,6.06,2.27,-0.7,롯데 자이언츠,13169
1,양현종,24 P,5.01,29,29,0,3,3,0,11,5,0,0,171.1,78,86,83.1,727,174,37,6,21,41,6,0,129,11,0,2,4.1,4.52,4.37,4.37,4.63,1.25,5.01,KIA 타이거즈,10058
2,네일,24 P,4.9,26,26,0,0,0,0,12,5,0,0,149.1,42,69,67.3,642,154,27,1,11,35,9,0,138,17,1,3,2.53,4.16,4.06,4.04,3.68,1.27,4.9,KIA 타이거즈,16088
3,정해영,24 P,2.44,53,0,53,44,0,0,2,3,31,1,50.2,14,14,16.9,210,47,5,1,8,16,1,2,50,1,0,0,2.49,2.49,3.0,2.98,4.59,1.24,2.44,KIA 타이거즈,14608
4,윤영철,24 P,2.18,18,18,0,0,0,0,7,4,0,0,81.2,38,44,42.65,362,82,14,1,8,43,1,0,58,7,0,1,4.19,4.85,4.7,4.61,5.26,1.53,2.18,KIA 타이거즈,15432
5,황동하,24 P,2.13,25,21,4,4,0,0,5,7,0,0,103.1,51,64,59.55,464,109,18,0,13,44,8,0,81,7,0,5,4.44,5.57,5.19,5.19,5.3,1.48,2.13,KIA 타이거즈,15063
6,장현식,24 P,1.94,75,0,75,6,0,0,5,4,0,16,75.1,33,41,37.4,331,75,16,0,8,34,2,2,75,5,0,4,3.94,4.9,4.47,4.43,4.37,1.45,1.94,KIA 타이거즈,11164
7,전상현,24 P,1.64,66,0,66,16,0,0,10,5,7,19,66.0,30,32,33.75,272,55,7,2,5,20,5,1,54,1,0,2,4.09,4.36,4.6,4.7,4.18,1.14,1.64,KIA 타이거즈,12537
8,알드레드,24 P,1.37,9,9,0,1,1,1,3,2,0,0,43.2,22,24,20.35,184,38,4,0,4,17,2,0,52,4,0,1,4.53,4.95,4.19,4.18,3.66,1.26,1.37,KIA 타이거즈,16151
9,곽도규,24 P,1.33,71,0,71,3,0,0,4,2,2,16,55.2,22,24,28.6,248,43,7,0,4,34,4,1,64,5,0,7,3.56,3.88,4.62,4.56,4.24,1.38,1.33,KIA 타이거즈,15435
10,크로우,24 P,1.25,8,8,0,0,0,0,5,1,0,0,40.1,16,19,18.0,172,41,7,0,2,12,1,1,43,1,0,0,3.57,4.24,4.02,4.21,3.05,1.31,1.25,KIA 타이거즈,16087
11,김도현,24 P,1.23,35,10,25,6,0,0,4,6,0,3,75.0,41,45,45.85,345,87,11,1,9,31,9,0,59,2,0,4,4.92,5.4,5.5,5.42,5.31,1.57,1.23,KIA 타이거즈,14128
12,라우어,24 P,0.89,7,7,0,0,0,0,2,2,0,0,34.2,19,19,17.8,150,35,7,1,3,12,3,0,37,0,0,0,4.93,4.93,4.62,4.7,3.9,1.36,0.89,KIA 타이거즈,16161
13,이준영,24 P,0.42,56,0,56,5,0,0,4,0,0,9,35.0,15,21,22.15,160,37,8,0,5,17,2,3,33,4,0,0,3.86,5.4,5.7,5.64,4.96,1.54,0.42,KIA 타이거즈,11303
14,최지민,24 P,0.41,56,0,56,4,0,0,3,3,3,12,46.0,26,28,29.9,225,44,10,1,2,40,4,0,37,4,0,6,5.09,5.48,5.85,5.88,5.67,1.83,0.41,KIA 타이거즈,15057
15,스타우트,24 P,0.33,4,4,0,0,0,0,1,1,0,0,16.0,9,10,9.5,73,17,3,1,2,5,3,0,20,1,0,1,5.06,5.63,5.34,5.22,4.11,1.38,0.33,KIA 타이거즈,16163
16,김승현,24 P,0.2,14,0,14,4,0,0,1,0,0,0,18.0,8,12,11.95,85,23,5,1,3,7,0,0,11,2,0,0,4.0,6.0,5.98,5.85,5.86,1.67,0.2,KIA 타이거즈,12637
17,유승철,24 P,0.13,5,0,5,1,0,0,0,0,0,0,5.0,3,3,1.8,23,3,1,0,0,7,0,0,4,0,0,2,5.4,5.4,3.24,3.54,6.54,2.0,0.13,KIA 타이거즈,12914
18,이의리,24 P,0.07,4,4,0,0,0,0,1,0,0,0,13.1,8,10,10.0,69,17,3,0,3,14,0,0,14,1,0,0,5.4,6.75,6.75,6.9,7.51,2.33,0.07,KIA 타이거즈,14788
19,김기훈,24 P,0.06,17,0,17,4,0,0,1,0,0,0,19.2,11,13,14.6,95,16,4,1,1,15,3,0,17,3,1,1,5.03,5.95,6.68,6.71,5.48,1.58,0.06,KIA 타이거즈,14176
20,장재혁,24 P,0.06,1,0,1,0,0,0,0,0,0,0,1.1,0,0,0.0,7,2,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.52,2.25,0.06,KIA 타이거즈,14657
21,박정우,24 CF,0.04,1,0,1,1,0,0,0,0,0,0,1.0,0,0,0.0,3,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-0.8,0.0,0.04,KIA 타이거즈,12869
22,김사윤,24 P,-0.01,23,2,21,10,0,0,0,1,1,0,37.0,19,29,30.05,173,40,6,2,2,25,5,0,36,1,0,4,4.62,7.05,7.31,7.29,4.92,1.76,-0.01,KIA 타이거즈,11364
23,박준표,24 P,-0.03,8,0,8,2,0,0,0,0,0,1,6.0,4,4,5.2,29,10,2,0,0,3,1,0,4,0,0,0,6.0,6.0,7.8,7.71,4.6,2.17,-0.03,KIA 타이거즈,11070
24,유지성,24 P,-0.04,3,0,3,2,0,0,0,0,0,0,2.1,2,4,2.8,14,5,0,0,1,0,1,0,3,1,0,0,7.71,15.43,10.8,10.82,7.41,2.14,-0.04,KIA 타이거즈,14607
25,김민주,24 P,-0.13,2,0,2,0,0,0,0,0,0,0,1.0,1,2,2.85,8,3,1,0,0,1,0,0,2,1,0,1,9.0,18.0,25.65,25.68,2.3,4.0,-0.13,KIA 타이거즈,16082
26,김민재,24 P,-0.15,4,0,4,4,0,0,0,0,0,0,4.0,7,7,7.0,22,9,0,0,3,1,1,0,3,0,0,0,15.75,15.75,15.75,14.94,12.8,2.5,-0.15,KIA 타이거즈,16083
27,임기영,24 P,-0.16,37,3,34,3,0,0,6,2,0,2,45.2,32,35,37.2,218,61,12,0,8,17,1,1,36,4,1,1,6.31,6.9,7.33,7.37,5.47,1.71,-0.16,KIA 타이거즈,10909
28,김건국,24 P,-0.23,20,3,17,3,0,0,0,1,0,0,34.1,30,33,31.1,165,48,8,0,5,14,2,0,20,3,0,3,7.86,8.65,8.15,8.14,5.92,1.81,-0.23,KIA 타이거즈,12944
29,이형범,24 P,-0.3,16,0,16,5,0,0,0,1,0,2,15.0,13,17,15.8,83,26,4,0,2,7,5,1,9,2,0,0,7.8,10.2,9.48,9.66,6.77,2.2,-0.3,KIA 타이거즈,11159
30,김현수,24 P,-0.31,5,0,5,4,0,0,0,0,0,0,5.0,10,10,10.15,28,7,4,0,0,5,1,0,4,0,0,2,18.0,18.0,18.27,18.33,5.92,2.4,-0.31,KIA 타이거즈,14162
31,김대유,24 P,-0.61,37,0,37,5,0,0,0,0,0,8,25.0,23,23,26.45,122,35,5,0,4,12,2,0,26,0,0,1,8.28,8.28,9.52,9.57,5.24,1.88,-0.61,KIA 타이거즈,10706
32,윤중현,24 P,-0.82,11,0,11,4,0,0,0,0,0,0,10.1,16,17,19.25,62,22,2,1,4,9,3,1,4,1,0,0,13.94,14.81,16.77,16.88,11.14,3.0,-0.82,KIA 타이거즈,13122
1,쿠에바스,24 P,5.06,31,31,0,0,0,0,7,12,0,0,173.1,79,86,86.0,737,158,36,3,17,59,7,4,154,11,1,11,4.1,4.47,4.47,4.34,4.25,1.25,5.06,KT 위즈,13942
2,엄상백,24 P,3.93,29,29,0,0,0,0,13,10,0,0,156.2,85,88,85.4,675,164,26,3,26,42,7,0,159,3,0,2,4.88,5.06,4.91,4.74,4.61,1.31,3.93,KT 위즈,11318
