선수,연도,기존pid,연봉,이후연봉,예측연봉,포지션,연봉순서,개선순서,2024FA,외국인
김민수,2024,11266,4600.0,4600.0,4537.74,포수,312,383,False,False
양도근,2024,15875,3000.0,3500.0,3689.94,2루수,390,437,False,False
김성윤,2024,12936,10000.0,7000.0,7312.8,우익수,247,268,False,False
김태훈,2024,11336,4100.0,4500.0,4391.92,우익수,323,397,False,False
카디네스,2024,16156,32700.0,58500.0,53198.096,우익수,59,53,False,True
김도환,2024,14115,5000.0,4700.0,4681.4,포수,311,374,False,False
공민규,2024,13164,4100.0,4300.0,4439.44,3루수,331,393,False,False
양우현,2024,14116,3700.0,4000.0,4141.2,2루수,348,411,False,False
이창용,2024,14866,3000.0,3300.0,3351.6,1루수,417,470,False,False
김재성,2024,11344,7000.0,5500.0,12554.7,포수,285,187,False,False
김동엽,2024,12548,8000.0,5000.0,5476.9,좌익수,303,335,False,False
김호진,2024,15868,3000.0,3250.0,3452.6,3루수,422,459,False,False
강한울,2024,11255,10000.0,7000.0,7286.7,3루수,241,269,False,False
김재혁,2024,15036,3000.0,3500.0,3490.73,중견수,396,453,False,False
안주형,2024,12988,5200.0,7000.0,7115.25,2루수,243,277,False,False
박성한,2024,12922,30000.0,37000.0,40573.598,유격수,74,67,False,False
정준재,2024,16042,3000.0,7500.0,7834.05,2루수,233,252,False,False
최지훈,2024,14587,25000.0,30000.0,33738.118,중견수,86,84,False,False
이지영,2024,10312,20000.0,15000.0,20862.532,포수,147,119,False,False
오태곤,2024,10249,40000.0,30000.0,34287.194,1루수,83,83,False,False
최준우,2024,13128,4500.0,3200.0,3702.37,2루수,431,434,False,False
최상민,2024,13195,3200.0,3200.0,4516.0,우익수,434,386,False,False
박지환,2024,16038,3000.0,6200.0,6444.05,2루수,264,295,False,False
김창평,2024,14146,3100.0,3100.0,3094.85,좌익수,470,491,False,False
최민창,2024,11351,3000.0,3000.0,3082.0,우익수,482,492,False,False
조형우,2024,14806,6300.0,4000.0,4648.3,포수,353,377,False,False
강진성,2024,11148,8500.0,5500.0,6999.7,1루수,292,279,False,False
한유섬,2024,10815,90000.0,90000.0,78526.174,우익수,40,39,False,False
정현승,2024,16043,3000.0,3000.0,3344.6,우익수,477,471,False,False
김찬형,2024,12622,5000.0,3200.0,4459.5,3루수,439,392,False,False
김민식,2024,10707,15000.0,25000.0,22283.4,포수,95,112,False,False
김성현,2024,10636,20000.0,15000.0,14949.0,2루수,151,159,False,False
하재훈,2024,14147,10000.0,9000.0,11297.09,좌익수,206,200,False,False
고명준,2024,14807,3000.0,8000.0,8300.816,1루수,219,241,False,False
안상현,2024,12613,4000.0,3200.0,3565.2,2루수,429,448,False,False
권희동,2024,11172,15000.0,22500.0,26257.216,좌익수,101,102,False,False
김주원,2024,14765,16000.0,20000.0,22825.65,유격수,109,109,False,False
김휘집,2024,14785,11000.0,17500.0,16508.1,3루수,134,144,False,False
서호철,2024,14220,12000.0,17500.0,18999.36,3루수,133,128,False,False
최정원,2024,14221,6600.0,7000.0,7271.8,중견수,244,270,False,False
김형준,2024,13081,5800.0,11000.0,11106.2,포수,183,202,False,False
천재환,2024,13261,5000.0,7600.0,7807.05,중견수,227,253,False,False
안중열,2024,11329,7100.0,6600.0,7733.8,포수,254,254,False,False
송승환,2024,14172,3500.0,3200.0,3410.96,우익수,440,464,False,False
오영수,2024,13082,7200.0,5100.0,5560.0,1루수,298,331,False,False
도태훈,2024,12560,8000.0,8000.0,8051.35,1루수,221,247,False,False
신용석,2024,15452,13000.0,3000.0,6292.3,포수,474,299,False,False
김한별,2024,14716,3800.0,3800.0,4019.52,유격수,361,416,False,False
한재환,2024,14659,4000.0,3000.0,3392.04,1루수,478,466,False,False
박영빈,2024,14661,3200.0,3100.0,4340.54,중견수,446,398,False,False
김세훈,2024,16058,3000.0,3000.0,3453.95,유격수,475,458,False,False
김범준,2024,14222,3000.0,3000.0,3114.15,좌익수,476,490,False,False
김수윤,2024,12903,3200.0,3200.0,3295.67,3루수,436,477,False,False
박한결,2024,15451,18100.0,3500.0,8106.2,좌익수,385,244,False,False
박시원,2024,14597,3000.0,12000.0,9104.87,중견수,170,232,False,False
김성욱,2024,11153,9500.0,10000.0,13186.932,중견수,194,177,True,False
한석현,2024,13250,3900.0,3700.0,5853.22,우익수,369,317,False,False
강승호,2024,11087,25500.0,37000.0,35159.562,2루수,75,80,False,False
정수빈,2024,10195,86666.0,86666.0,84498.43,중견수,42,37,False,False
양석환,2024,11213,30000.0,30000.0,32245.864,1루수,84,89,False,False
박준영,2024,12522,7000.0,8500.0,8969.3,유격수,211,233,False,False
김기연,2024,12549,4000.0,11000.0,9465.5,포수,180,227,False,False
이유찬,2024,12894,8500.0,10500.0,10809.4,2루수,190,205,False,False
조수행,2024,12524,9500.0,20000.0,18849.24,좌익수,111,130,False,False
전다민,2024,16072,3000.0,3500.0,3742.95,좌익수,384,432,False,False
김민혁,2024,12970,3800.0,3420.0,3780.96,1루수,401,427,False,False
류현준,2024,16076,3000.0,3100.0,4896.86,포수,449,365,False,False
홍성호,2024,12606,3300.0,3300.0,3423.48,우익수,410,461,False,False
오명진,2024,14737,3100.0,3100.0,6771.57,2루수,447,283,False,False
임종성,2024,16069,3000.0,3100.0,3205.1,3루수,448,482,False,False
장규빈,2024,14570,3000.0,3100.0,3153.65,포수,444,487,False,False
여동건,2024,16068,3000.0,3300.0,3561.75,2루수,412,449,False,False
장승현,2024,11097,6000.0,4800.0,5083.3,포수,309,354,False,False
박민준,2024,15515,7000.0,3100.0,4231.8,포수,473,405,False,False
전민재,2024,13073,3400.0,7500.0,7496.7,유격수,230,260,False,False
박계범,2024,11198,8500.0,6800.0,6779.2,유격수,253,282,False,False
김인태,2024,11098,9000.0,7200.0,7488.1,우익수,238,263,False,False
김대한,2024,14170,3700.0,4200.0,4202.5,우익수,334,407,False,False
김태근,2024,14175,3400.0,4500.0,4228.17,좌익수,320,406,False,False
송성문,2024,11376,13000.0,30000.0,34460.694,3루수,93,82,False,False
이주형,2024,14591,6600.0,11000.0,12186.378,우익수,185,190,False,False
이용규,2024,10035,20000.0,20000.0,20212.98,좌익수,122,124,True,False
이형종,2024,12516,68000.0,60000.0,52676.848,우익수,58,54,False,False
김건희,2024,15472,25200.0,5200.0,21958.054,포수,296,115,False,False
박수종,2024,15132,4000.0,4500.0,5031.3,중견수,319,358,False,False
박성빈,2024,15479,8000.0,3000.0,4401.9,포수,481,396,False,False
최주환,2024,10182,65000.0,30000.0,38297.014,1루수,87,73,True,False
김태진,2024,11244,11000.0,9000.0,10305.5,유격수,208,215,False,False
송지후,2024,16130,3000.0,3000.0,3204.35,2루수,484,483,False,False
김재현,2024,10870,5500.0,10000.0,10305.5,포수,192,216,False,False
김동헌,2024,15473,4000.0,3800.0,3857.17,포수,364,421,False,False
주성원,2024,14133,3500.0,3800.0,3841.99,우익수,363,423,False,False
임병욱,2024,11226,7000.0,6000.0,6087.8,우익수,272,305,False,False
김병휘,2024,14577,3300.0,3500.0,3615.62,유격수,392,442,False,False
변상권,2024,13223,4800.0,5500.0,5984.6,좌익수,289,312,False,False
원성준,2024,16136,3000.0,4000.0,5451.42,중견수,341,338,False,False
박주홍,2024,14580,3600.0,3700.0,3743.3,좌익수,372,431,False,False
장재영,2024,14784,4000.0,4600.0,4687.15,우익수,314,373,False,False
김웅빈,2024,12503,5000.0,4000.0,4675.96,3루수,350,375,False,False
고영우,2024,16128,3000.0,4500.0,6789.05,3루수,318,281,False,False
이원석,2024,10180,40000.0,30000.0,27218.83,1루수,88,100,False,False
이승원,2024,15476,10100.0,3200.0,8420.2,유격수,433,237,False,False
임지열,2024,11225,7200.0,5800.0,5796.8,1루수,281,320,False,False
이재상,2024,16124,3000.0,3200.0,3420.82,유격수,432,462,False,False
류현진,2024,10590,250000.0,200000.0,114752.866,투수,9,29,False,False
주현상,2024,11415,11000.0,25000.0,25514.8,투수,96,105,False,False
와이스,2024,16153,4800.0,84000.0,12984.88,투수,43,183,False,True
문동주,2024,15013,10000.0,10000.0,14083.39,투수,198,165,False,False
황준서,2024,16107,3000.0,4500.0,7495.82,투수,317,262,False,False
박상원,2024,12871,19500.0,22000.0,26996.404,투수,103,101,False,False
이민우,2024,13003,5600.0,9400.0,10861.81,투수,205,204,False,False
한승혁,2024,10812,4900.0,9400.0,10628.85,투수,204,209,False,False
장민재,2024,10610,15000.0,15000.0,12162.76,투수,150,191,False,False
김서현,2024,15421,53300.0,5600.0,43887.55,투수,284,62,False,False
김민우,2024,11410,16700.0,13000.0,22902.856,투수,166,108,False,False
이상규,2024,13245,4400.0,4800.0,5349.92,투수,308,344,False,False
김기중,2024,14808,4400.0,6000.0,5837.06,투수,274,319,False,False
장시환,2024,10453,25000.0,20000.0,15593.1,투수,123,150,False,False
김승일,2024,14711,3000.0,3200.0,3608.5,투수,428,443,False,False
김범수,2024,11411,19300.0,14300.0,13993.8,투수,153,168,False,False
김규연,2024,14871,4100.0,5300.0,9191.14,투수,293,230,False,False
조동욱,2024,16108,3000.0,4000.0,5065.38,투수,343,356,False,False
배민서,2024,14158,5100.0,4100.0,4465.2,투수,337,390,False,False
김도빈,2024,16118,3000.0,3100.0,5795.3,투수,450,321,False,False
이충호,2024,11116,3400.0,3400.0,3637.7,투수,406,440,False,False
장지수,2024,14178,3200.0,3400.0,5133.94,투수,402,352,False,False
윤대경,2024,11110,11000.0,7000.0,9475.9,투수,245,226,False,False
이태양,2024,10609,70000.0,47000.0,68030.226,투수,64,44,False,False
임찬규,2024,10652,20000.0,20000.0,31266.96,투수,112,92,False,False
손주영,2024,12908,4300.0,17200.0,15852.22,투수,135,148,False,False
최원태,2024,11379,40000.0,20000.0,43995.932,투수,110,61,True,False
에르난데스,2024,16160,44000.0,112000.0,59272.572,투수,31,50,False,True
김진성,2024,11166,35000.0,33000.0,38822.664,투수,80,71,False,False
유영찬,2024,14669,8500.0,21000.0,15063.93,투수,107,158,False,False
김유영,2024,11229,6700.0,10500.0,10689.16,투수,189,208,False,False
이종준,2024,14651,3000.0,4200.0,7451.56,투수,333,265,False,False
함덕주,2024,11094,20000.0,20000.0,15478.5,투수,114,152,False,False
우강훈,2024,14816,3100.0,3600.0,4735.8,투수,376,371,False,False
임준형,2024,14142,4800.0,5500.0,5366.9,투수,286,342,False,False
진우영,2024,16015,3000.0,3400.0,5127.1,투수,403,353,False,False
김대현,2024,12532,5700.0,7500.0,7719.36,투수,229,255,False,False
이지강,2024,14143,6800.0,8300.0,8286.15,투수,217,243,False,False
정우영,2024,14136,32000.0,18000.0,28756.566,투수,131,96,False,False
김진수,2024,14781,3200.0,3600.0,4024.8,투수,374,415,False,False
성동현,2024,13103,3200.0,3400.0,3594.3,투수,405,446,False,False
최동환,2024,10535,13000.0,11000.0,10349.4,투수,187,213,False,False
김영준,2024,13102,3600.0,4200.0,4766.4,투수,336,368,False,False
박명근,2024,15486,17500.0,6000.0,13468.0,투수,276,175,False,False
정지헌,2024,16017,3000.0,3500.0,4557.8,투수,397,382,False,False
백승현,2024,13009,9200.0,7000.0,9992.6,투수,240,220,False,False
이우찬,2024,10749,12500.0,10000.0,10522.4,투수,202,211,False,False
반즈,2024,15011,85000.0,133000.0,141724.4,투수,23,15,False,True
박세웅,2024,11310,135000.0,135000.0,105333.0,투수,22,32,False,False
김원중,2024,10825,50000.0,110000.0,57013.682,투수,35,51,True,False
김진욱,2024,14792,6000.0,10000.0,10343.47,투수,200,214,False,False
한현희,2024,10863,40000.0,110000.0,37200.062,투수,34,74,False,False
박진,2024,14163,3300.0,6000.0,7848.52,투수,275,251,False,False
김상수,2024,10427,16000.0,24000.0,17970.32,투수,97,136,False,False
정현수,2024,16090,3000.0,4000.0,6701.64,투수,339,285,False,False
김강현,2024,12699,3200.0,4000.0,5019.62,투수,346,360,False,False
박진형,2024,11425,8600.0,5600.0,6677.8,투수,283,286,False,False
구승민,2024,11291,45000.0,30000.0,33668.832,투수,85,85,True,False
최준용,2024,14624,16300.0,11000.0,13014.7,투수,184,182,False,False
이민석,2024,15045,3800.0,4000.0,4605.4,투수,342,379,False,False
진승현,2024,15047,4300.0,4000.0,5458.8,투수,345,337,False,False
정우준,2024,14795,3100.0,3200.0,4155.4,투수,427,409,False,False
박준우,2024,16092,3000.0,3100.0,3411.9,투수,459,463,False,False
우강훈,2024,14816,3100.0,3600.0,6043.0,투수,378,308,False,False
김도규,2024,13148,8000.0,4000.0,6395.3,투수,347,296,False,False
홍민기,2024,14625,3100.0,3100.0,3656.6,투수,458,438,False,False
진해수,2024,10075,15000.0,7000.0,12077.1,투수,242,194,True,False
윤성빈,2024,12928,3100.0,3100.0,7253.2,투수,457,271,False,False
현도훈,2024,13271,3200.0,3300.0,3799.7,투수,421,425,False,False
송재영,2024,14794,3100.0,3200.0,10769.8,투수,424,206,False,False
나균안,2024,12930,17000.0,12000.0,17132.4,투수,178,141,False,False
양현종,2024,10058,125000.0,125000.0,109483.9,투수,27,31,False,False
네일,2024,16088,71500.0,168000.0,119970.464,투수,14,24,False,True
정해영,2024,14608,20000.0,36000.0,26154.752,투수,76,103,False,False
윤영철,2024,15432,41000.0,12000.0,39131.164,투수,177,69,False,False
황동하,2024,15063,3500.0,10000.0,9659.17,투수,195,225,False,False
장현식,2024,11164,16000.0,20000.0,17781.36,투수,125,138,True,False
전상현,2024,12537,17000.0,30000.0,29133.97,투수,82,94,False,False
곽도규,2024,15435,9300.0,12000.0,14021.57,투수,176,167,False,False
김도현,2024,14128,3500.0,9000.0,7354.13,투수,209,267,False,False
이준영,2024,11303,14000.0,17000.0,11923.9,투수,139,195,False,False
최지민,2024,15057,10000.0,12000.0,11784.6,투수,175,196,False,False
김승현,2024,12637,4100.0,4600.0,5155.9,투수,313,351,False,False
유승철,2024,12914,3600.0,3800.0,3852.3,투수,359,422,False,False
이의리,2024,14788,17000.0,17000.0,14841.0,투수,140,160,False,False
김기훈,2024,14176,4000.0,5500.0,5400.08,투수,291,339,False,False
장재혁,2024,14657,3000.0,3100.0,3124.8,투수,452,489,False,False
