Rank,Name,Team,Sort▼,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR▼,팀,pid
Rank,Name,Team,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR▼,,
15,조무근,22 P,0.01,2,0,2,2,0,0,0,0,0,0,2.0,1,1,1.5,9,2,1,0,0,1,0,0,1,0,0,0,4.5,4.5,6.75,6.28,4.08,1.5,0.01,롯데 자이언츠,11322
16,강윤구,22 P,-0.01,29,0,29,6,0,0,0,0,0,0,21.1,13,17,15.3,97,25,6,1,0,6,1,0,27,2,0,0,5.48,7.17,6.45,6.24,1.64,1.45,-0.01,롯데 자이언츠,10423
17,정성종,22 P,-0.03,5,0,5,4,0,0,0,0,0,0,4.1,2,4,4.0,21,4,1,0,0,4,0,0,5,1,0,0,4.15,8.31,8.31,7.73,3.76,1.85,-0.03,롯데 자이언츠,13147
18,김대우,22 P,-0.12,10,0,10,3,0,0,0,0,0,1,10.0,5,5,8.3,43,6,2,1,0,8,0,0,8,0,0,4,4.5,4.5,7.47,7.2,4.26,1.4,-0.12,롯데 자이언츠,10271
19,나원탁,22 P,-0.13,7,0,7,6,0,0,0,0,0,0,6.0,6,7,7.0,34,9,1,0,1,5,2,0,8,0,0,0,9.0,10.5,10.5,10.58,6.05,2.33,-0.13,롯데 자이언츠,12935
20,진명호,22 P,-0.14,16,0,16,4,0,0,0,0,0,0,16.1,11,12,12.9,80,23,4,0,1,9,2,0,11,1,0,1,6.06,6.61,7.11,7.1,4.92,1.96,-0.14,롯데 자이언츠,10301
21,이강준,22 P,-0.15,13,0,13,4,0,0,0,0,0,1,9.2,11,11,9.25,57,9,0,0,1,20,0,0,6,0,0,1,10.24,10.24,8.61,8.01,9.88,3.0,-0.15,롯데 자이언츠,14601
22,문경찬,22 P,-0.17,38,0,38,18,0,0,1,2,0,1,40.1,26,27,33.05,184,51,11,0,7,13,1,1,31,1,1,2,5.8,6.02,7.37,6.9,4.63,1.59,-0.17,롯데 자이언츠,11299
23,진승현,22 P,-0.2,10,0,10,3,0,0,0,0,0,0,9.0,9,9,9.2,48,12,2,0,2,7,1,0,11,1,0,1,9.0,9.0,9.2,8.6,6.13,2.11,-0.2,롯데 자이언츠,15047
24,최영환,22 P,-0.2,1,1,0,0,0,0,0,1,0,0,2.2,6,6,5.5,18,8,2,0,0,1,1,0,1,0,0,0,20.25,20.25,18.56,17.27,5.17,3.38,-0.2,롯데 자이언츠,11276
25,이승헌,22 P,-0.21,1,1,0,0,0,0,0,1,0,0,0.2,4,4,4.0,8,3,2,0,0,3,0,0,1,0,0,1,54.0,54.0,54.0,50.24,13.98,9.0,-0.21,롯데 자이언츠,13146
26,김민기,22 P,-0.24,1,0,1,0,0,0,0,0,0,0,0.2,5,5,5.35,8,6,2,0,1,1,0,0,0,0,0,0,67.5,67.5,72.23,67.2,26.28,10.5,-0.24,롯데 자이언츠,14635
27,최건,22 P,-0.3,5,0,5,1,0,0,0,0,0,0,2.1,6,8,6.45,20,7,3,0,0,6,0,0,3,0,0,0,23.14,30.86,24.88,23.65,8.54,5.57,-0.3,롯데 자이언츠,13169
28,이민석,22 P,-0.34,27,1,26,1,0,0,1,1,0,5,33.2,22,27,27.3,167,43,8,0,4,19,2,1,37,4,0,3,5.88,7.22,7.3,7.0,4.29,1.84,-0.34,롯데 자이언츠,15045
29,김유영,22 P,-0.95,68,0,68,7,0,0,6,2,0,13,51.0,32,34,42.3,254,73,15,1,4,30,3,2,44,1,0,4,5.65,6.0,7.46,7.11,4.44,2.02,-0.95,롯데 자이언츠,11229
1,놀린,22 P,4.61,21,21,0,0,0,0,8,8,0,0,124.0,34,41,40.0,512,115,19,2,7,24,8,1,108,9,1,4,2.47,2.98,2.9,2.96,3.05,1.12,4.61,KIA 타이거즈,14998
2,양현종,22 P,3.46,30,30,0,0,0,0,12,7,0,0,175.1,75,86,85.15,743,170,33,3,14,50,3,1,141,11,0,3,3.85,4.41,4.37,4.44,3.66,1.25,3.46,KIA 타이거즈,10058
3,임기영,22 P,2.85,26,23,3,1,0,0,4,13,1,0,129.1,61,63,60.55,555,137,25,1,18,36,5,1,82,0,0,2,4.24,4.38,4.21,4.26,4.81,1.34,2.85,KIA 타이거즈,10909
4,파노니,22 P,2.75,14,14,0,0,0,0,3,4,0,0,82.2,25,33,29.4,348,78,6,1,5,24,2,0,73,7,0,5,2.72,3.59,3.2,3.28,3.27,1.23,2.75,KIA 타이거즈,15147
5,이의리,22 P,2.66,29,28,1,0,0,0,10,10,0,0,154.0,66,79,78.8,671,128,26,4,18,74,9,0,161,10,0,7,3.86,4.62,4.61,4.68,4.23,1.31,2.66,KIA 타이거즈,14788
6,정해영,22 P,1.71,55,0,55,47,0,0,3,7,32,0,56.0,21,21,22.05,238,54,12,1,3,18,0,1,43,4,0,0,3.38,3.38,3.54,3.62,3.44,1.29,1.71,KIA 타이거즈,14608
7,이준영,22 P,1.41,75,0,75,8,0,0,1,1,1,17,46.1,15,17,16.2,202,41,8,0,3,26,0,3,42,5,0,0,2.91,3.3,3.15,3.19,3.89,1.45,1.41,KIA 타이거즈,11303
8,전상현,22 P,1.23,50,0,50,6,0,0,5,5,2,16,46.1,17,20,18.65,195,42,10,0,2,16,0,2,53,3,0,2,3.3,3.88,3.62,3.65,2.37,1.25,1.23,KIA 타이거즈,12537
9,장현식,22 P,1.09,54,0,54,5,0,0,2,3,1,19,52.0,18,20,23.3,233,54,11,2,4,26,1,3,40,3,0,4,3.12,3.46,4.03,4.07,4.21,1.54,1.09,KIA 타이거즈,11164
10,김기훈,22 P,0.53,5,0,5,0,0,0,0,0,0,0,8.2,1,1,1.0,36,4,0,0,0,7,0,0,9,0,0,0,1.04,1.04,1.04,1.01,3.69,1.27,0.53,KIA 타이거즈,14176
11,고영창,22 P,0.36,27,0,27,10,0,0,0,1,0,0,24.0,5,5,11.65,104,24,3,0,2,10,3,0,9,0,0,0,1.88,1.88,4.37,4.47,5.52,1.42,0.36,KIA 타이거즈,11068
12,윤중현,22 P,0.31,47,0,47,4,0,0,3,1,0,5,53.2,30,32,30.65,240,63,8,0,4,14,5,0,27,5,0,1,5.03,5.37,5.14,5.28,4.51,1.43,0.31,KIA 타이거즈,13122
13,한승혁,22 P,0.25,24,16,8,2,0,0,4,3,0,0,80.1,47,52,52.55,376,100,13,3,4,40,6,0,69,5,0,6,5.27,5.83,5.89,5.97,4.0,1.74,0.25,KIA 타이거즈,10812
14,장지수,22 P,0.13,1,0,1,0,0,0,0,0,0,0,2.0,0,0,0.0,9,2,0,0,0,1,0,0,1,0,0,1,0.0,0.0,0.0,0.0,4.08,1.5,0.13,KIA 타이거즈,14178
15,이승재,22 P,0.07,1,0,1,0,0,0,0,0,0,0,1.0,0,0,0.0,4,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,4.38,0.0,0.07,KIA 타이거즈,14787
16,김현수,22 P,0.03,1,0,1,1,0,0,0,0,0,0,2.0,1,1,1.0,9,3,1,0,0,1,0,0,1,0,0,0,4.5,4.5,4.5,4.19,4.08,2.0,0.03,KIA 타이거즈,14162
17,김도현,22 P,0.02,4,2,2,1,0,0,0,1,0,0,10.2,7,7,6.5,48,14,1,0,2,5,0,0,11,0,0,0,5.91,5.91,5.48,5.08,4.89,1.78,0.02,KIA 타이거즈,14128
18,홍상삼,22 P,0.01,24,0,24,6,0,0,2,1,0,1,21.2,14,16,14.65,100,19,7,0,3,15,1,0,19,2,0,1,5.82,6.65,6.09,6.17,5.53,1.57,0.01,KIA 타이거즈,10230
19,장재혁,22 P,0.01,3,0,3,2,0,0,0,0,0,0,3.0,2,2,2.0,15,3,0,0,0,3,0,0,4,0,0,2,6.0,6.0,6.0,6.16,3.55,2.0,0.01,KIA 타이거즈,14657
