Name_x,포지션,fid_G,fid_GS,fid_IP,PO,Ass,E,RF9,수비 관련 득점 기여도.8,수비 관련 득점 기여도.9,pid,연봉(만원),WAR,WAR당 연봉,bat_G,PA,ePA,AB,R_y,H_y,2B_y,3B_y,HR_y,RBI,SB,CS,BB_y,HP_y,IB_y,SO_y,GDP,SH,SF,팀
김성현,3루수,26,21,185.2,14,32,4,2.23,-2.72,-3.49,10636,15000,1.55,9673,112,354,341,310,35,83,14,0,1,27,4,1,29,0,1,36,6,13,2,SSG 랜더스
에레디아,좌익수,101,97,843.2,201,10,5,2.25,1.23,1.46,15530,90000,4.11,21918,122,523,519,473,76,153,29,0,12,76,12,8,39,9,4,75,13,1,1,SSG 랜더스
김찬형,3루수,25,6,100.0,5,14,3,1.71,-3.0,-12.0,12622,5000,0.0,-3061025,36,53,51,48,6,11,3,0,1,5,0,0,2,1,0,10,1,2,0,SSG 랜더스
전의산,1루수,45,37,296.0,268,20,4,8.76,-0.5,-1.29,14699,9000,-0.22,-41025,56,153,153,134,11,27,6,0,4,21,0,2,15,3,0,40,1,0,1,SSG 랜더스
추신수,우익수,25,24,187.1,42,1,0,2.07,-2.09,-2.69,14888,170000,1.46,116584,112,462,462,382,65,97,17,1,12,41,6,4,65,13,1,79,8,0,2,SSG 랜더스
최주환,1루수,47,34,293.0,265,27,2,8.97,-2.28,-2.45,10182,65000,1.04,62554,134,478,474,426,48,100,24,0,20,63,0,0,44,4,4,94,6,1,3,SSG 랜더스
한유섬,우익수,79,68,593.2,106,5,3,1.68,-6.22,-8.22,10815,50000,0.35,142766,109,388,386,333,29,91,15,2,7,55,2,1,34,12,1,81,3,2,7,SSG 랜더스
문승원,투수,50,12,105.0,6,21,1,2.31,0.0,0.0,10783,70000,0.78,89613,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SSG 랜더스
최준우,3루수,1,0,1.0,0,1,0,9.0,0.1,0.37,13128,4500,0.64,6992,38,69,69,60,5,16,1,0,0,6,0,1,8,0,0,10,3,0,1,SSG 랜더스
서진용,투수,69,0,73.0,1,4,0,0.62,0.0,0.0,10784,26500,2.84,9330,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SSG 랜더스
고효준,투수,70,0,58.0,1,8,2,1.4,0.0,0.0,10124,8500,0.78,10840,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SSG 랜더스
최항,2루수,1,0,1.0,0,0,0,0.0,-0.36,-2.46,10810,3100,-0.19,-16028,21,35,34,28,3,8,1,0,1,6,0,0,5,0,0,12,1,1,1,SSG 랜더스
이건욱,투수,27,1,38.2,1,5,1,1.4,0.0,0.0,11242,3100,0.6,5130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SSG 랜더스
최민준,투수,52,0,60.0,3,6,0,1.35,0.0,0.0,13126,13000,0.28,46713,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SSG 랜더스
백승건,투수,24,2,38.0,0,5,1,1.18,0.0,0.0,14145,3000,0.3,10004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SSG 랜더스
