Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,포지션
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,
39,도태훈,25 SS,-0.085,2,0,8.1,5,2,2,1,80.0,4.32,-0.89,,0.05,-0.07,,,,,-0.91,-3.36,0.08,-0.83,-0.093,-0.085,유격수
40,윤도현,25 SS,-0.085,1,1,9.0,4,1,2,1,75.0,3.0,-0.88,,0.05,-0.1,,,,,-0.94,-7.09,0.1,-0.84,-0.095,-0.085,유격수
41,안상현,25 SS,-0.091,13,7,67.0,18,9,9,0,100.0,2.42,-1.4,,0.37,-0.44,,,,,-1.47,-3.93,0.58,-0.89,-0.15,-0.091,유격수
42,한태양,25 SS,-0.104,5,1,14.0,12,5,6,1,91.7,7.07,-0.85,,0.08,-0.39,,,,,-1.16,-2.79,0.14,-1.02,-0.118,-0.104,유격수
43,이재상,25 SS,-0.128,1,1,2.0,1,0,0,1,0.0,0.0,-1.29,,0.01,,,,,,-1.28,-91.8,0.02,-1.26,-0.13,-0.128,유격수
44,김상수,25 SS,-0.129,21,13,119.1,63,28,33,2,96.8,4.6,-2.17,,0.66,-0.86,,,,,-2.36,-5.16,1.1,-1.26,-0.241,-0.129,유격수
45,이선우,25 SS,-0.136,3,2,12.1,6,3,2,1,83.3,3.65,-1.49,,0.07,,,,,,-1.42,-29.19,0.08,-1.34,-0.145,-0.136,유격수
46,전태현,25 SS,-0.141,6,2,20.0,9,5,4,0,100.0,4.05,-0.87,,0.11,-0.79,,,,,-1.54,-3.77,0.16,-1.38,-0.157,-0.141,유격수
47,김태진,25 SS,-0.164,32,23,210.0,87,26,55,6,93.1,3.47,-4.83,,0.66,0.76,,,,,-3.41,-8.32,1.8,-1.61,-0.347,-0.164,유격수
48,박찬형,25 SS,-0.214,2,1,13.0,7,3,3,1,85.7,4.15,-0.65,,-0.44,-1.16,,,,,-2.24,-17.0,0.14,-2.1,-0.228,-0.214,유격수
49,오선진,25 SS,-0.267,37,15,170.0,64,31,30,3,95.3,3.23,-5.4,,0.94,0.57,,,,,-3.88,-8.73,1.26,-2.62,-0.395,-0.267,유격수
50,어준서,25 SS,-0.348,63,52,412.0,194,80,101,13,93.3,3.95,-5.29,,-1.27,-0.4,,,,,-6.96,-14.52,3.54,-3.42,-0.708,-0.348,유격수
51,심재훈,25 SS,,1,0,1.0,2,1,1,0,100.0,18.0,0.45,,0.01,,,,,,0.46,2.87,,,0.047,,유격수
51,서유신,25 SS,,1,0,1.0,1,0,0,1,0.0,0.0,-0.82,,-0.5,,,,,,-1.32,-31.65,,,-0.134,,유격수
51,홍종표,25 SS,,1,0,1.0,1,0,1,0,100.0,9.0,0.19,,0.01,,,,,,0.19,0.64,,,0.02,,유격수
51,김재호,25 SS,,1,1,0.2,0,0,0,0,0.0,0.0,,,0.0,,,,,,0.0,0.53,,,0.0,,유격수
51,김영웅,25 SS,,1,0,1.1,1,1,0,0,100.0,6.75,0.0,,0.01,,,,,,0.01,0.01,,,0.001,,유격수
51,이승현,25 SS,,2,0,2.0,2,2,0,0,100.0,9.0,0.29,,0.01,,,,,,0.3,10.76,,,0.03,,유격수
51,김태윤,25 SS,,1,0,1.0,0,0,0,0,0.0,0.0,-0.26,,0.01,,,,,,-0.25,-7.23,,,-0.026,,유격수
51,오서진,25 SS,,1,0,1.0,2,1,1,0,100.0,18.0,-0.74,,0.01,0.28,,,,,-0.45,-64.84,,,-0.042,,유격수
