Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼
37,채현우,25 LF,0.22,22,-0.05,0.27,31,31,27,4,5,1,1,0,8,6,1,0,3,0,0,8,1,0,1,0.185,0.258,0.296,0.554,0.061,51.4,0.22
38,김지찬,25 CF,0.21,60,0.71,-0.50,256,251,223,39,60,6,2,0,70,17,14,0,22,4,0,23,5,5,2,0.269,0.343,0.314,0.657,0.103,83.3,0.21
39,나성범,25 RF,0.21,27,0.55,-0.34,114,114,97,13,23,5,0,4,40,16,0,0,16,1,0,21,6,0,0,0.237,0.351,0.412,0.763,0.142,121.9,0.21
40,천재환,25 CF,0.21,76,0.29,-0.09,189,186,168,28,40,4,2,3,57,17,14,4,12,4,0,38,2,3,2,0.238,0.301,0.339,0.640,0.088,75.2,0.21
Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼
41,박승규,25 RF,0.21,33,0.50,-0.29,83,83,75,15,24,3,0,2,33,6,4,2,7,1,0,18,2,0,0,0.320,0.386,0.440,0.826,0.157,127.3,0.21
42,한석현,25 CF,0.18,48,-0.04,0.21,128,124,107,16,20,4,0,3,33,18,1,1,11,5,0,26,1,4,1,0.187,0.290,0.308,0.598,0.080,67.4,0.18
43,이형종,25 LF,0.17,30,0.06,0.10,79,77,68,4,14,3,0,2,23,6,1,0,8,1,0,22,3,2,0,0.206,0.299,0.338,0.637,0.093,84.9,0.17
44,최준우,25 LF,0.12,67,0.39,-0.26,173,170,133,17,28,0,0,3,37,22,2,0,30,3,0,39,1,3,4,0.211,0.359,0.278,0.637,0.115,97.0,0.12
45,함창건,25 LF,0.11,15,-0.20,0.30,36,36,32,2,6,2,0,0,8,2,0,0,3,0,0,9,1,0,1,0.188,0.250,0.250,0.500,0.038,33.7,0.11
46,배정대,25 CF,0.10,87,-0.31,0.41,265,258,230,25,48,11,2,2,69,28,6,3,18,7,0,62,3,7,3,0.209,0.283,0.300,0.583,0.070,58.0,0.10
47,송찬의,25 RF,0.10,65,-0.04,0.14,165,164,146,18,31,9,1,3,51,20,2,2,9,8,0,48,4,1,1,0.212,0.293,0.349,0.642,0.088,77.3,0.10
48,정해원,25 RF,0.09,9,-0.20,0.30,18,18,15,4,1,0,0,0,1,0,0,0,3,0,0,4,3,0,0,0.067,0.222,0.067,0.289,-0.003,-3.1,0.09
49,박영빈,25 CF,0.07,15,0.11,-0.03,5,5,4,8,1,0,0,0,1,1,4,1,1,0,0,2,0,0,0,0.250,0.400,0.250,0.650,0.130,107.3,0.07
50,이창진,25 LF,0.01,26,-0.25,0.27,92,91,73,8,11,2,0,1,16,6,0,2,15,2,0,19,1,1,1,0.151,0.308,0.219,0.527,0.077,67.7,0.01
