Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,팀,pid
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,,
45,노태형,21 1B,-0.04,9,8,61.0,56,55,1,0,100.0,8.26,0.2,,0.05,,,,,,0.25,2.04,-0.66,-0.41,0.025,-0.04,한화 이글스,11269
46,장지승,21 LF,-0.044,3,2,17.0,4,4,0,0,100.0,2.12,-0.14,-0.26,0.02,,,,,,-0.38,-2.26,-0.07,-0.45,-0.037,-0.044,한화 이글스,14880
47,장운호,21 LF,-0.049,34,23,216.0,49,49,0,0,100.0,2.04,0.49,-0.15,0.2,,,,,,0.54,0.75,-1.03,-0.49,0.053,-0.049,한화 이글스,11122
48,김태연,21 LF,-0.05,4,4,25.0,10,10,0,0,100.0,3.6,0.46,-0.86,0.02,,,,,,-0.38,-1.03,-0.12,-0.5,-0.038,-0.05,한화 이글스,12585
49,박정현,21 3B,-0.05,3,3,24.0,8,2,5,1,87.5,2.63,-0.14,,0.02,-0.19,-0.19,,,,-0.51,-2.21,0.0,-0.51,-0.05,-0.05,한화 이글스,14704
50,정은원,21 SS,-0.051,1,1,9.0,1,1,0,0,100.0,1.0,-0.61,,0.01,,,,,,-0.6,-0.62,0.08,-0.52,-0.059,-0.051,한화 이글스,13137
51,김지수,21 CF,-0.052,1,1,9.0,0,0,0,0,0.0,0.0,-0.53,,0.01,,,,,,-0.52,-6.81,0.0,-0.52,-0.052,-0.052,한화 이글스,12662
52,백용환,21 C,-0.063,23,18,157.2,155,143,11,1,99.4,8.79,0.02,,0.01,,-0.04,-2.08,-0.3,,-2.31,-8.54,1.68,-0.63,-0.229,-0.063,한화 이글스,10003
53,이도윤,21 SS,-0.065,21,6,81.0,30,11,16,3,90.0,3.0,-1.09,,-0.37,0.22,,,,,-1.24,-3.18,0.58,-0.66,-0.122,-0.065,한화 이글스,11414
54,강상원,21 CF,-0.068,10,6,60.0,15,15,0,0,100.0,2.25,0.43,-1.18,0.06,,,,,,-0.68,-2.81,0.0,-0.68,-0.068,-0.068,한화 이글스,12564
55,강경학,21 3B,-0.068,5,3,27.0,4,1,2,1,75.0,1.0,-0.71,,0.02,,,,,,-0.69,-3.96,0.0,-0.69,-0.068,-0.068,한화 이글스,10676
56,이원석,21 LF,-0.075,2,0,4.0,1,1,0,0,100.0,2.25,-0.75,,0.0,,,,,,-0.75,-2.5,-0.01,-0.76,-0.074,-0.075,한화 이글스,13138
57,장지승,21 RF,-0.091,18,16,129.0,29,28,0,1,96.6,1.95,0.55,-1.06,0.18,,,,,,-0.34,-2.02,-0.58,-0.92,-0.033,-0.091,한화 이글스,14880
58,페레즈,21 3B,-0.092,7,6,49.0,14,4,8,2,85.7,2.2,-1.21,,0.04,-0.21,0.46,,,,-0.92,-2.26,0.0,-0.92,-0.092,-0.092,한화 이글스,14991
59,박정현,21 1B,-0.092,7,7,52.0,47,42,3,2,95.7,7.79,-1.15,,0.04,,0.74,,,,-0.37,-1.6,-0.56,-0.93,-0.036,-0.092,한화 이글스,14704
60,노태형,21 3B,-0.109,3,2,14.0,6,1,3,2,66.7,2.57,-1.2,,0.01,,0.1,,,,-1.09,-8.76,0.0,-1.09,-0.109,-0.109,한화 이글스,11269
61,이도윤,21 2B,-0.109,16,2,38.0,16,5,11,0,100.0,3.79,-1.27,,0.05,,,,,,-1.22,-3.14,0.12,-1.1,-0.121,-0.109,한화 이글스,11414
62,이성곤,21 1B,-0.115,38,34,283.0,268,251,13,4,98.5,8.4,1.78,,-0.26,,0.06,,,,1.58,3.66,-2.74,-1.16,0.156,-0.115,한화 이글스,11206
63,유로결,21 CF,-0.126,29,25,223.0,71,70,1,0,100.0,2.87,-1.82,0.32,0.23,,,,,,-1.27,-5.36,0.0,-1.27,-0.126,-0.126,한화 이글스,14126
64,정민규,21 3B,-0.139,3,3,19.0,12,2,7,3,75.0,4.26,-1.61,,0.01,-0.19,0.38,,,,-1.41,-33.76,0.0,-1.41,-0.139,-0.139,한화 이글스,14813
65,허관회,21 C,-0.14,17,9,94.0,78,74,3,1,98.7,7.37,-0.12,,-0.2,,,-0.31,-2.67,,-2.49,-12.83,1.08,-1.41,-0.247,-0.14,한화 이글스,14204
66,이원석,21 CF,-0.154,38,31,295.0,73,71,1,1,98.6,2.2,-1.17,-0.69,0.3,,,,,,-1.56,-5.21,0.0,-1.56,-0.154,-0.154,한화 이글스,13138
67,송호정,21 SS,-0.156,4,2,22.0,5,0,4,1,80.0,1.64,-1.77,,0.04,0.0,,,,,-1.73,-24.98,0.16,-1.57,-0.172,-0.156,한화 이글스,14812
68,조한민,21 RF,-0.177,15,13,96.2,21,21,0,0,100.0,1.96,-0.87,-0.66,0.13,,,,,,-1.4,-3.87,-0.39,-1.79,-0.138,-0.177,한화 이글스,14210
69,페레즈,21 1B,-0.187,35,20,199.0,182,159,18,5,97.3,8.01,0.28,,0.16,,-0.51,,,,-0.06,-0.15,-1.82,-1.88,-0.006,-0.187,한화 이글스,14991
70,장운호,21 CF,-0.194,23,22,162.0,58,56,2,0,100.0,3.22,-1.74,-0.38,0.17,,,,,,-1.95,-2.73,0.0,-1.95,-0.194,-0.194,한화 이글스,11122
71,강상원,21 LF,-0.201,16,0,40.0,10,10,0,0,100.0,2.25,-1.74,-0.19,0.04,,,,,,-1.89,-7.79,-0.13,-2.02,-0.188,-0.201,한화 이글스,12564
72,이동훈,21 CF,-0.214,22,15,140.2,52,50,1,1,98.1,3.26,-1.45,-0.36,-0.35,,,,,,-2.16,-9.41,0.0,-2.16,-0.214,-0.214,한화 이글스,12526
