선수,연봉(만원),WAR,WAR당 연봉,팀,pid,연도
나성범,80000.0,3.68,21736,KIA 타이거즈,11162,2023
앤더슨,91000.0,1.34,44722,KIA 타이거즈,15533,2023
양현종,50000.0,3.54,14142,KIA 타이거즈,10058,2023
소크라테스,50000.0,4.60,10872,KIA 타이거즈,14996,2023
김선빈,45000.0,2.69,16746,KIA 타이거즈,10008,2023
파노니,35000.0,1.73,20229,KIA 타이거즈,15147,2023
메디나,43680.0,-0.07,-444450,KIA 타이거즈,15534,2023
산체스,25000.0,0.12,217065,KIA 타이거즈,15648,2023
정해영,23000.0,1.06,21682,KIA 타이거즈,14608,2023
최원준,22000.0,0.82,26903,KIA 타이거즈,12534,2023
김태군,20000.0,0.59,34171,KIA 타이거즈,10459,2023
박찬호,20000.0,4.71,4249,KIA 타이거즈,11261,2023
장현식,19000.0,0.25,76665,KIA 타이거즈,11164,2023
김대유,16000.0,-0.03,-620023,KIA 타이거즈,10706,2023
임기영,15000.0,1.54,9740,KIA 타이거즈,10909,2023
이의리,15000.0,2.78,5399,KIA 타이거즈,14788,2023
이창진,14000.0,1.94,7198,KIA 타이거즈,11233,2023
이준영,14000.0,0.68,20735,KIA 타이거즈,11303,2023
전상현,13500.0,1.44,9370,KIA 타이거즈,12537,2023
황대인,13000.0,-0.22,-59558,KIA 타이거즈,11306,2023
박준표,10500.0,0.01,947158,KIA 타이거즈,11070,2023
한승택,8000.0,-0.45,-17741,KIA 타이거즈,11119,2023
윤중현,7900.0,0.24,32519,KIA 타이거즈,13122,2023
고종욱,7000.0,1.29,5412,KIA 타이거즈,10659,2023
김호령,7000.0,0.90,7787,KIA 타이거즈,11298,2023
김재열,6000.0,-0.37,-16236,KIA 타이거즈,14747,2023
이우성,5500.0,2.66,2068,KIA 타이거즈,11099,2023
고영창,5000.0,-,-,KIA 타이거즈,11068,2023
김기훈,5000.0,-0.34,-14867,KIA 타이거즈,14176,2023
김도영,5000.0,3.88,1289,KIA 타이거즈,15056,2023
주효상,4800.0,-0.40,-11877,KIA 타이거즈,12567,2023
김규성,4500.0,0.86,5214,KIA 타이거즈,12540,2023
김승현,4500.0,0.13,35693,KIA 타이거즈,12637,2023
최정용,4000.0,0.34,11858,KIA 타이거즈,11407,2023
김유신,3900.0,-0.26,-14911,KIA 타이거즈,13114,2023
유승철,3800.0,0.04,96829,KIA 타이거즈,12914,2023
김사윤,3600.0,-,-,KIA 타이거즈,11364,2023
신범수,3600.0,-0.32,-11308,KIA 타이거즈,12541,2023
박정우,3600.0,0.25,14423,KIA 타이거즈,12869,2023
남하준,3500.0,-,-,KIA 타이거즈,12535,2023
김석환,3500.0,-0.40,-8647,KIA 타이거즈,12917,2023
변우혁,3500.0,-0.28,-12698,KIA 타이거즈,14124,2023
홍종표,3300.0,0.12,28438,KIA 타이거즈,14612,2023
임석진,3100.0,-,-,KIA 타이거즈,12612,2023
한준수,3100.0,0.63,4930,KIA 타이거즈,13113,2023
최수빈,3000.0,-,-,KIA 타이거즈,12618,2023
강이준,3000.0,-,-,KIA 타이거즈,12866,2023
송후섭,3000.0,-,-,KIA 타이거즈,12867,2023
김건국,3000.0,0.05,62153,KIA 타이거즈,12944,2023
배현호,3000.0,-,-,KIA 타이거즈,13095,2023
오정환,3000.0,-,-,KIA 타이거즈,13117,2023
홍원빈,3000.0,-,-,KIA 타이거즈,14177,2023
이태규,3000.0,-,-,KIA 타이거즈,14179,2023
오선우,3000.0,-0.22,-13510,KIA 타이거즈,14181,2023
김민수,3000.0,-,-,KIA 타이거즈,14183,2023
나용기,3000.0,-,-,KIA 타이거즈,14186,2023
유지성,3000.0,-,-,KIA 타이거즈,14607,2023
김양수,3000.0,-,-,KIA 타이거즈,14645,2023
김선우,3000.0,0.04,73273,KIA 타이거즈,14822,2023
장시현,3000.0,-,-,KIA 타이거즈,14824,2023
김용완,3000.0,-,-,KIA 타이거즈,15054,2023
최지민,3000.0,0.37,8055,KIA 타이거즈,15057,2023
윤도현,3000.0,-0.07,-44356,KIA 타이거즈,15058,2023
김찬민,3000.0,-,-,KIA 타이거즈,15060,2023
이성주,3000.0,-,-,KIA 타이거즈,15061,2023
황동하,3000.0,-0.14,-20853,KIA 타이거즈,15063,2023
윤영철,3000.0,2.27,1322,KIA 타이거즈,15432,2023
정해원,3000.0,-,-,KIA 타이거즈,15433,2023
곽도규,3000.0,-0.15,-19656,KIA 타이거즈,15435,2023
이송찬,3000.0,-,-,KIA 타이거즈,15436,2023
이도현,3000.0,-,-,KIA 타이거즈,15437,2023
박일훈,3000.0,-,-,KIA 타이거즈,15438,2023
김도월,3000.0,-,-,KIA 타이거즈,15439,2023
김재현,3000.0,-,-,KIA 타이거즈,15440,2023
김주섭,3000.0,-,-,KIA 타이거즈,15620,2023
박승훈,3000.0,-,-,KIA 타이거즈,15641,2023
손호원,3000.0,-,-,KIA 타이거즈,15642,2023
이중석,3000.0,-,-,KIA 타이거즈,15737,2023
황재균,100000.0,3.24,30823,KT 위즈,10407,2023
벤자민,100000.0,2.90,34443,KT 위즈,15143,2023
알포드,100000.0,4.82,20750,KT 위즈,15144,2023
박병호,70000.0,4.15,16852,KT 위즈,10470,2023
슐서,92300.0,0.33,197251,KT 위즈,15542,2023
장성우,50000.0,3.43,14562,KT 위즈,10235,2023
김상수,50000.0,2.53,19726,KT 위즈,10320,2023
쿠에바스,45000.0,4.57,9846,KT 위즈,13942,2023
고영표,43000.0,5.91,7279,KT 위즈,11308,2023
김재윤,36000.0,2.05,17519,KT 위즈,11489,2023
배정대,34000.0,1.82,18650,KT 위즈,11212,2023
조용호,32000.0,0.03,962730,KT 위즈,12943,2023
소형준,32000.0,-0.19,-166189,KT 위즈,14600,2023
주권,29500.0,0.15,197607,KT 위즈,11323,2023
강백호,29000.0,0.98,29489,KT 위즈,13168,2023
김민수,25000.0,-0.18,-138189,KT 위즈,11317,2023
박경수,20000.0,0.38,52744,KT 위즈,10469,2023
엄상백,20000.0,2.91,6878,KT 위즈,11318,2023
배제성,20000.0,1.95,10266,KT 위즈,11394,2023
김민혁,15000.0,3.85,3901,KT 위즈,11339,2023
신본기,13000.0,0.15,86604,KT 위즈,10840,2023
오윤석,12000.0,0.76,15748,KT 위즈,11397,2023
김준태,10000.0,0.72,13842,KT 위즈,10835,2023
박시영,9800.0,-,-,KT 위즈,10737,2023
조현우,7600.0,0.01,993178,KT 위즈,11316,2023
이상호,7000.0,-0.17,-42056,KT 위즈,11147,2023
조이현,6500.0,-0.29,-22442,KT 위즈,11284,2023
송민섭,6500.0,0.42,15366,KT 위즈,11342,2023
박영현,6100.0,1.98,3078,KT 위즈,15089,2023
이채호,6000.0,-0.14,-42155,KT 위즈,13130,2023
김민,6000.0,-0.29,-21040,KT 위즈,13167,2023
이호연,5700.0,1.14,5014,KT 위즈,13151,2023
문상철,5600.0,0.11,50805,KT 위즈,11333,2023
장준원,5000.0,0.16,31895,KT 위즈,11214,2023
손동현,5000.0,1.30,3857,KT 위즈,14108,2023
홍현빈,4800.0,0.18,26737,KT 위즈,12941,2023
김병희,4700.0,-0.07,-63686,KT 위즈,11330,2023
하준호,4500.0,0.00,-2184339,KT 위즈,10304,2023
김태오,3500.0,-0.18,-19991,KT 위즈,12577,2023
이정현,3500.0,-,-,KT 위즈,12937,2023
이시원,3300.0,-0.27,-12187,KT 위즈,12526,2023
박선우,3300.0,-,-,KT 위즈,12569,2023
박세진,3300.0,-0.01,-378608,KT 위즈,12572,2023
조병욱,3300.0,-,-,KT 위즈,12939,2023
문상인,3300.0,0.02,158511,KT 위즈,13227,2023
강민성,3300.0,0.26,12908,KT 위즈,14191,2023
양승혁,3200.0,-,-,KT 위즈,13233,2023
이상동,3200.0,0.55,5868,KT 위즈,14109,2023
김성훈,3200.0,-,-,KT 위즈,14189,2023
이종혁,3100.0,-,-,KT 위즈,12938,2023
고명성,3100.0,-,-,KT 위즈,13171,2023
신병률,3100.0,-,-,KT 위즈,13173,2023
조대현,3100.0,-,-,KT 위즈,13177,2023
문상준,3100.0,-0.22,-14114,KT 위즈,14720,2023
이상우,3100.0,-,-,KT 위즈,15090,2023
안치영,3000.0,0.32,9296,KT 위즈,13006,2023
박시윤,3000.0,-,-,KT 위즈,13170,2023
윤강찬,3000.0,-,-,KT 위즈,13172,2023
백선기,3000.0,-,-,KT 위즈,13174,2023
박준혁,3000.0,-,-,KT 위즈,13232,2023
전용주,3000.0,0.28,10713,KT 위즈,14106,2023
이정훈,3000.0,-,-,KT 위즈,14107,2023
박민석,3000.0,-0.08,-37214,KT 위즈,14110,2023
이선우,3000.0,0.00,-1900623,KT 위즈,14111,2023
지강혁,3000.0,-,-,KT 위즈,14192,2023
강현우,3000.0,-0.07,-46111,KT 위즈,14603,2023
한지용,3000.0,-,-,KT 위즈,14604,2023
서경찬,3000.0,-,-,KT 위즈,14717,2023
김영현,3000.0,0.04,71998,KT 위즈,14869,2023
최성민,3000.0,-,-,KT 위즈,14870,2023
우종휘,3000.0,-,-,KT 위즈,15093,2023
최동희,3000.0,-,-,KT 위즈,15094,2023
정정우,3000.0,-,-,KT 위즈,15095,2023
권성준,3000.0,-,-,KT 위즈,15096,2023
김병준,3000.0,0.00,-10681440,KT 위즈,15097,2023
김정운,3000.0,-0.01,-312870,KT 위즈,15518,2023
정준영,3000.0,0.38,7818,KT 위즈,15519,2023
손민석,3000.0,-0.04,-77748,KT 위즈,15520,2023
김건웅,3000.0,-,-,KT 위즈,15521,2023
