Rank,Name,Team,Sort▼,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR▼
121,김현수,25 P,0.15,10,0,10,8,0,0,0,0,0,0,10.1,3,3,4.9,50,10,0,1,2,9,0,4,10,0,0,0,2.61,2.61,4.27,4.52,5.58,1.84,0.15
122,양재훈,25 P,0.14,7,0,7,4,0,0,0,0,1,0,10.1,5,5,5.0,44,11,3,0,0,3,0,0,7,0,0,0,4.35,4.35,4.35,4.69,3.07,1.35,0.14
123,문용익,25 P,0.14,13,0,13,3,0,0,0,0,0,0,14.2,7,8,8.5,65,11,4,0,3,11,0,0,16,0,0,0,4.3,4.91,5.22,5.16,5.94,1.5,0.14
124,김영규,25 P,0.14,13,0,13,0,0,0,0,1,0,7,11.2,2,5,6.4,49,12,2,0,1,3,0,1,5,2,0,2,1.54,3.86,4.94,4.72,4.33,1.29,0.14
125,배재준,25 P,0.14,11,0,11,4,0,0,0,0,0,1,11.2,7,7,6.35,51,9,4,0,1,6,1,0,13,0,0,1,5.4,5.4,4.9,4.8,3.99,1.29,0.14
126,소이현,25 P,0.13,3,0,3,2,0,0,0,0,0,0,2.2,0,0,0.0,10,1,0,0,0,1,0,0,2,0,0,0,0.0,0.0,0.0,0.0,3.16,0.75,0.13
127,박주성,25 P,0.12,12,3,9,5,0,0,1,1,0,0,39.0,24,25,26.75,171,42,7,2,6,11,3,0,20,1,0,2,5.54,5.77,6.17,6.66,5.53,1.36,0.12
128,김태형,25 P,0.12,3,0,3,1,0,0,0,0,0,0,4.1,1,1,1.35,19,3,0,0,0,3,1,0,1,0,0,1,2.08,2.08,2.8,2.57,6.21,1.38,0.12
129,양창섭,25 P,0.11,17,3,14,3,0,0,1,1,0,1,28.0,16,17,19.6,133,37,6,0,2,9,4,0,20,1,0,2,5.14,5.46,6.3,5.87,4.39,1.64,0.11
130,이태양,25 P,0.11,11,0,11,3,0,0,0,1,0,0,8.1,5,5,4.5,40,12,4,0,0,4,1,1,5,0,0,0,5.4,5.4,4.86,4.68,4.26,1.92,0.11
131,송은범,25 P,0.1,5,0,5,3,0,0,0,0,0,0,6.0,3,3,3.0,28,9,2,0,0,3,0,0,2,0,0,3,4.5,4.5,4.5,4.22,4.6,2.0,0.1
132,주현상,25 P,0.09,30,0,30,7,0,0,3,1,1,3,27.2,14,14,16.75,124,36,8,1,5,7,2,0,26,1,0,0,4.55,4.55,5.45,5.45,4.68,1.55,0.09
133,패트릭,25 P,0.08,1,0,1,0,0,0,0,0,0,0,2.0,0,0,0.0,6,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.09,0.0,0.08
134,김민재,25 P,0.08,1,0,1,1,0,0,0,0,0,0,2.0,0,0,0.0,8,2,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,2.59,1.0,0.08
135,박정수,25 P,0.08,21,0,21,3,0,0,1,0,0,2,19.0,10,11,11.8,89,26,3,1,0,7,3,1,10,1,0,1,4.74,5.21,5.59,5.6,4.04,1.74,0.08
136,김녹원,25 P,0.08,11,7,4,1,0,0,0,2,0,1,31.1,26,27,22.55,152,32,6,1,3,26,0,0,20,2,0,3,7.47,7.76,6.48,6.38,6.03,1.85,0.08
137,우강훈,25 P,0.08,11,0,11,4,0,0,0,0,0,0,9.2,5,5,5.7,46,12,2,0,0,6,2,0,5,0,0,0,4.66,4.66,5.31,5.49,5.19,1.86,0.08
138,이의리,25 P,0.07,1,1,0,0,0,0,0,0,0,0,4.0,2,2,2.0,17,2,0,0,2,2,1,0,2,0,0,0,4.5,4.5,4.5,4.67,10.94,1.0,0.07
139,윤중현,25 P,0.07,13,0,13,6,0,0,1,0,0,0,10.1,5,5,5.9,48,10,4,0,2,7,0,2,7,1,0,1,4.35,4.35,5.14,5.19,5.99,1.65,0.07
140,한현희,25 P,0.07,3,2,1,0,0,0,0,0,0,1,8.2,6,6,6.0,41,13,2,0,2,2,1,0,8,0,0,1,6.23,6.23,6.23,5.71,5.38,1.73,0.07
141,이승민,25 P,0.07,32,0,32,6,0,0,1,0,0,2,34.2,17,23,24.7,153,38,9,0,4,10,2,0,34,2,0,0,4.41,5.97,6.41,5.75,3.86,1.38,0.07
142,정우준,25 P,0.06,2,0,2,1,0,0,0,0,0,0,1.1,0,0,0.0,7,2,1,0,0,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0,2.49,1.5,0.06
143,황동재,25 P,0.05,14,1,13,4,0,0,0,1,0,0,19.1,16,16,14.25,100,27,2,0,1,14,2,0,22,0,0,3,7.45,7.45,6.63,5.95,4.25,2.12,0.05
144,홍건희,25 P,0.05,7,0,7,2,0,0,0,0,0,0,5.1,5,5,3.1,28,6,1,0,1,6,0,0,4,0,0,0,8.44,8.44,5.23,5.28,7.79,2.25,0.05
145,심재민,25 P,0.05,2,0,2,1,0,0,1,0,0,0,1.2,0,0,0.7,7,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,3.78,3.51,3.84,1.2,0.05
146,김선기,25 P,0.04,29,8,21,5,0,0,1,5,0,1,53.1,33,36,33.05,264,66,12,0,4,35,9,1,30,3,0,2,5.57,6.08,5.58,6.18,5.9,1.89,0.04
147,송영진,25 P,0.04,8,6,2,0,0,0,2,4,0,0,31.0,22,24,21.6,143,41,2,0,3,17,0,0,25,1,0,2,6.39,6.97,6.27,6.08,4.73,1.87,0.04
148,홍민규,25 P,0.04,16,2,14,7,0,0,2,1,1,0,28.1,14,16,17.9,126,30,6,0,4,11,1,0,17,1,0,4,4.45,5.08,5.69,6.09,5.37,1.45,0.04
149,김한중,25 P,0.04,1,0,1,1,0,0,0,0,0,0,1.0,0,0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.84,0.0,0.04
150,박시원,25 P,0.04,1,0,1,1,0,0,0,0,0,0,1.0,0,0,0.0,5,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10.24,2.0,0.04
151,이상민,25 P,0.04,1,0,1,1,0,0,0,0,0,0,1.0,0,0,0.0,5,2,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.34,2.0,0.04
152,김기훈,25 P,0.04,4,0,4,0,0,0,0,0,0,0,2.1,1,1,1.15,14,6,2,0,0,2,0,0,0,0,0,1,3.86,3.86,4.44,4.48,6.58,3.43,0.04
153,유승철,25 P,0.03,1,0,1,1,0,0,0,0,0,0,2.0,1,1,1.0,11,3,0,0,0,2,0,0,3,0,0,1,4.5,4.5,4.5,4.67,3.29,2.5,0.03
154,송재영,25 P,0.02,40,0,40,6,0,0,1,0,0,3,22.1,12,12,15.5,102,18,4,0,3,20,0,0,24,2,0,2,4.84,4.84,6.25,6.14,5.61,1.7,0.02
155,조민석,25 P,0.02,1,1,0,0,0,0,0,1,0,0,3.2,4,4,2.45,16,1,0,0,1,4,1,0,1,0,0,0,9.82,9.82,6.01,6.06,10.76,1.36,0.02
156,최현석,25 P,0.02,13,0,13,8,0,0,0,0,0,0,17.1,12,13,12.15,77,21,2,0,5,6,2,0,11,0,0,1,6.23,6.75,6.31,6.43,7.16,1.56,0.02
157,이병헌,25 P,0.01,14,0,14,2,0,0,0,0,0,2,8.1,4,4,5.35,37,9,1,0,0,6,0,1,7,0,0,0,4.32,4.32,5.78,5.72,3.66,1.8,0.01
158,최종인,25 P,0.0,3,0,3,2,0,0,0,0,0,0,1.2,1,1,1.2,9,1,0,0,0,3,0,0,5,0,0,2,5.4,5.4,6.48,6.98,2.1,2.4,0.0
159,장재혁,25 P,0.0,3,0,3,1,0,0,0,0,0,0,3.0,2,2,2.0,13,3,0,0,1,3,0,0,2,0,0,0,6.0,6.0,6.0,6.23,9.34,2.0,0.0
160,김태훈,25 P,-0.01,12,0,12,5,0,0,0,0,0,0,13.2,6,9,9.0,63,9,0,0,2,10,1,0,6,3,0,1,3.95,5.93,5.93,5.96,7.05,1.39,-0.01
161,임준형,25 P,-0.01,9,0,9,3,0,0,0,0,0,0,8.2,4,6,6.15,39,9,1,0,0,6,1,0,6,0,0,1,4.15,6.23,6.39,6.21,4.69,1.73,-0.01
162,이영재,25 P,-0.01,1,0,1,0,0,0,0,0,0,0,0.0,1,1,1.0,1,1,0,0,1,0,0,0,0,0,0,0,99.99,99.99,31.66,29.75,11903.8,99.99,-0.01
163,한두솔,25 P,-0.02,27,0,27,4,0,0,2,0,1,2,19.0,12,14,12.65,97,26,4,0,0,15,1,1,18,1,0,1,5.68,6.63,5.99,5.86,3.99,2.16,-0.02
164,서진용,25 P,-0.02,2,0,2,1,0,0,0,0,0,0,1.1,1,1,1.0,7,1,0,0,0,3,0,0,0,0,0,0,6.75,6.75,6.75,7.82,11.04,3.0,-0.02
165,제환유,25 P,-0.02,1,0,1,0,0,0,0,0,0,0,1.0,1,1,1.0,6,2,1,0,0,1,0,0,1,0,0,0,9.0,9.0,9.0,9.69,4.54,3.0,-0.02
166,김태현,25 P,-0.02,4,0,4,0,0,0,0,0,0,1,2.2,3,3,2.5,15,4,1,0,1,3,2,0,1,0,0,1,10.13,10.13,8.44,7.47,13.36,2.63,-0.02
167,권민규,25 P,-0.03,5,0,5,2,0,0,0,0,0,0,5.1,5,5,5.0,28,5,1,0,1,7,0,0,4,0,0,0,8.44,8.44,8.44,7.3,8.39,2.25,-0.03
168,이채호,25 P,-0.03,8,0,8,2,0,0,0,0,0,0,9.1,5,5,7.4,41,8,2,2,0,4,2,1,5,0,0,0,4.82,4.82,7.14,7.03,4.21,1.29,-0.03
169,박정훈,25 P,-0.04,5,0,5,5,0,0,0,0,0,0,5.0,4,4,4.0,25,7,2,0,1,3,0,0,1,1,0,1,7.2,7.2,7.2,8.34,7.64,2.0,-0.04
170,김주온,25 P,-0.05,1,1,0,0,0,0,0,1,0,0,0.1,1,1,1.0,5,0,0,0,0,2,2,0,1,0,0,0,27.0,27.0,27.0,26.47,34.74,6.0,-0.05
171,박종훈,25 P,-0.05,5,5,0,0,0,0,0,2,0,0,19.0,15,17,14.3,90,15,1,0,4,18,5,0,10,2,0,0,7.11,8.05,6.77,6.93,8.9,1.74,-0.05
172,임상현,25 P,-0.06,1,0,1,0,0,0,0,0,0,0,1.0,2,2,1.65,8,2,1,0,0,3,0,0,0,0,0,0,18.0,18.0,14.85,12.84,13.44,5.0,-0.06
173,코엔 윈,25 P,-0.06,5,5,0,0,0,0,1,1,0,0,23.0,18,19,18.15,107,28,7,0,4,4,5,0,8,2,0,0,7.04,7.43,7.1,6.96,6.29,1.39,-0.06
174,황동하,25 P,-0.06,13,3,10,3,0,0,1,2,0,0,29.1,18,18,19.7,127,30,12,1,3,10,3,0,23,0,0,0,5.52,5.52,6.04,6.08,4.51,1.36,-0.06
