,Name,Team,WAAwithPOS,G_x,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,WAR,G_y,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,연봉(만원)
275,김인태,23 RF,-0.097,30,21,184.0,46,45,0,1,0.978,2.201,-1.15,0.84,-0.15,0.0,0.0,,0.0,0.0,-0.46,-2.208,-0.49,-0.95,-0.047,110981,0.36,47,0.41,-0.05,115,114,98,8,25,5,0,1,33,14,2,1,15,1,0,26,1,1,0,0.255,0.36,0.337,0.697,0.122,109.3,10000
276,송찬의,23 1B,-0.106,6,3,21.0,18,16,1,1,0.944,7.286,-0.97,0.0,0.04,0.0,0.0,,0.0,0.0,-0.94,-22.56,-0.098,-1.038,-0.096,131096,-0.32,19,-0.22,-0.1,22,22,18,2,1,1,0,0,2,1,1,0,4,0,0,6,0,0,0,0.056,0.227,0.111,0.338,0.006,5.3,4000
277,오스틴,23 1B,-0.904,116,114,939.0,919,833,72,14,0.985,8.674,1.92,-0.19,-1.26,0.0,0.0,,0.0,0.0,0.65,0.807,-9.514,-8.864,0.066,155326,4.97,139,4.9,0.07,583,583,520,87,163,29,4,23,269,95,7,3,53,3,2,75,11,0,7,0.313,0.376,0.517,0.893,0.175,153.9,40000
278,김현수,23 LF,-0.175,37,36,273.0,112,98,12,2,0.982,3.626,-0.78,0.09,-0.01,0.0,0.0,,0.0,0.0,-0.69,-2.685,-1.024,-1.714,-0.07,101876,1.64,133,1.71,-0.07,556,555,488,53,143,22,2,6,187,88,2,1,58,1,4,53,10,1,8,0.293,0.364,0.383,0.747,0.13,114.4,100000
279,양찬열,23 RF,0.069,40,22,222.0,55,52,3,0,1.0,2.23,1.17,-0.15,0.43,0.0,0.0,,0.0,0.0,1.45,5.22,-0.77,0.68,0.148,147381,0.12,44,-0.03,0.15,99,99,88,15,21,2,2,0,27,6,3,2,9,1,0,23,1,0,1,0.239,0.313,0.307,0.62,0.087,78.0,4300
280,서예일,23 3B,-0.03,4,2,21.0,9,4,4,1,0.889,3.429,-0.38,0.0,0.06,0.0,0.0,,0.0,0.0,-0.32,-11.52,0.03,-0.29,-0.033,125231,-0.11,5,-0.08,-0.03,10,10,9,2,2,0,0,0,2,1,0,0,0,0,0,2,0,0,1,0.222,0.2,0.222,0.422,-0.011,-10.1,3400
281,김주성,23 SS,-0.111,8,0,20.0,7,2,3,2,0.714,2.25,-0.99,0.0,0.04,-0.24,0.0,,0.0,0.0,-1.18,-21.24,0.088,-1.092,-0.12,125456,-0.06,11,0.06,-0.12,7,7,5,1,1,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0.2,0.429,0.2,0.629,0.141,123.9,3400
282,김혜성,23 2B,0.584,131,129,1104.0,661,258,386,17,0.974,5.25,-0.78,0.0,1.49,-0.41,0.0,,0.0,0.0,0.28,0.308,5.441,5.721,0.029,129057,5.9,137,5.87,0.03,621,619,556,104,186,29,6,7,248,57,25,3,57,3,3,77,6,0,5,0.335,0.396,0.446,0.842,0.163,141.0,42000
283,김인환,23 1B,-0.222,59,48,422.0,392,357,30,5,0.987,8.254,1.32,0.11,0.27,0.0,0.0,,0.0,0.0,1.76,4.296,-3.932,-2.172,0.18,125899,-0.18,112,-0.36,0.18,365,365,325,34,73,16,0,7,110,42,1,0,35,2,2,91,4,0,3,0.225,0.301,0.338,0.639,0.089,75.4,6400
284,장운호,23 RF,-0.137,4,3,28.0,6,6,0,0,1.0,1.929,-1.14,-0.19,0.05,0.0,0.0,,0.0,0.0,-1.28,-46.08,-0.068,-1.348,-0.131,111229,-0.1,4,0.03,-0.13,11,11,9,1,2,0,0,0,2,1,0,0,2,0,0,2,0,0,0,0.222,0.364,0.222,0.586,0.096,82.5,5000
