,Name,Team,WAAwithPOS,G_x,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,WAR,G_y,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,연봉(만원)
48,김호령,23 CF,0.552,68,22,288.1,98,97,0,1,99.0,3.03,5.75,-0.22,-0.13,,,,,,5.41,10.25,0.0,5.41,0.552,112980,0.19,76,-0.36,0.55,107,104,95,16,17,7,0,0,24,6,1,0,8,1,0,38,1,3,0,0.179,0.25,0.253,0.503,0.043,37.8,7000
49,한준수,23 C,0.418,45,22,208.2,166,151,15,0,100.0,7.16,-0.2,,0.54,,-0.23,0.71,1.68,,1.99,5.97,2.11,4.1,0.203,131130,0.52,48,0.32,0.2,94,93,86,9,22,4,0,2,32,12,0,0,7,0,0,26,2,1,0,0.256,0.312,0.372,0.684,0.104,89.2,3100
50,김태군,23 C,0.353,63,52,438.0,374,334,36,4,98.9,7.6,0.19,,-0.85,,0.01,1.16,-2.37,,-1.15,-1.45,4.61,3.46,-0.117,104590,-0.21,65,-0.09,-0.12,203,198,186,17,48,6,0,0,54,24,2,1,5,4,0,19,9,5,3,0.258,0.288,0.29,0.578,0.064,54.9,20000
51,신범수,23 C,0.28,35,26,238.0,201,191,10,0,100.0,7.6,0.68,,0.61,,0.39,-1.02,-0.37,,0.41,1.65,2.33,2.74,0.042,125410,-0.21,36,-0.25,0.04,100,98,88,7,15,3,0,2,24,10,0,0,7,2,0,19,3,2,1,0.17,0.245,0.273,0.518,0.042,37.4,3600
52,한승택,23 C,0.141,48,32,273.1,243,223,18,2,99.2,7.94,-1.0,,0.21,,0.0,-0.83,0.8,,-1.06,-3.12,2.45,1.39,-0.108,111190,-0.58,49,-0.48,-0.11,104,98,85,6,11,2,0,0,13,3,0,0,11,2,0,32,1,6,0,0.129,0.245,0.153,0.398,0.017,15.0,8000
53,김선우,23 C,0.115,5,1,21.0,19,18,1,0,100.0,8.14,0.0,,0.05,,,0.19,1.03,,0.96,27.67,0.17,1.13,0.098,148220,0.02,5,-0.08,0.1,7,7,7,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.143,0.143,0.143,0.286,-0.056,-48.3,3000
54,주효상,23 C,0.082,18,11,90.0,95,88,7,0,100.0,9.5,0.3,,0.23,,0.19,-0.2,-0.76,,-0.02,-0.12,0.82,0.8,-0.002,125670,-0.53,19,-0.53,0.0,36,34,32,2,2,0,0,0,2,1,0,0,2,0,0,10,1,2,0,0.063,0.118,0.063,0.181,-0.082,-72.3,4800
55,윤도현,23 3B,-0.037,1,0,5.0,2,1,0,1,50.0,1.8,0.12,,-0.48,,,,,,-0.36,-51.61,0.0,-0.36,-0.037,150580,-0.06,1,-0.03,-0.04,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.167,-149.7,3000
56,오선우,23 1B,-0.156,29,4,82.2,93,89,3,1,98.9,10.02,-1.22,,0.15,,0.06,,,,-1.0,-4.38,-0.52,-1.52,-0.102,141810,-0.23,33,-0.13,-0.1,31,31,28,2,5,0,0,2,11,5,0,0,3,0,0,15,0,0,0,0.179,0.258,0.393,0.651,0.084,73.2,3000
57,황대인,23 1B,-0.157,54,50,389.1,391,355,33,3,99.2,8.97,2.69,,-0.28,,-0.33,,,,2.08,4.99,-3.62,-1.54,0.212,113060,-0.27,60,-0.48,0.21,199,198,174,19,37,4,0,5,56,26,0,0,18,4,2,50,6,0,3,0.213,0.296,0.322,0.618,0.081,70.5,13000
58,고종욱,23 LF,-0.259,45,35,248.1,59,54,3,2,96.6,2.07,-0.63,-0.52,-0.05,,,,,,-1.2,-1.51,-1.34,-2.54,-0.122,106590,0.56,114,0.68,-0.12,286,286,270,35,80,17,0,3,106,39,2,2,14,0,0,58,3,0,2,0.296,0.329,0.393,0.722,0.115,99.6,7000
59,최형우,23 LF,-0.442,15,14,107.0,19,18,0,1,94.7,1.51,-3.2,-0.26,-0.31,,,,,,-3.76,-4.47,-0.57,-4.33,-0.383,103440,3.73,121,4.11,-0.38,508,508,431,64,130,27,1,17,210,81,0,0,65,8,1,83,5,0,4,0.302,0.4,0.487,0.887,0.183,159.4,90000
60,나성범,23 RF,-0.531,50,49,410.2,93,88,4,1,98.9,2.02,-4.09,0.27,0.79,,,,,,-3.03,-7.53,-2.17,-5.2,-0.309,111620,3.57,58,3.88,-0.31,253,253,222,51,81,12,1,18,149,57,0,0,26,1,0,36,1,0,4,0.365,0.427,0.671,1.098,0.243,209.8,80000
61,정해영,23 P,,52,0,49.1,11,3,7,1,90.9,1.82,,,,,,,,,0.0,0.0,,,0.0,146080,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,23000
62,윤중현,23 P,,30,0,28.0,5,2,3,0,100.0,1.61,,,,,,,,,0.0,0.0,,,0.0,131220,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,7900
63,황동하,23 P,,12,6,31.1,8,3,5,0,100.0,2.3,,,,,,,,,0.0,0.0,,,0.0,150630,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3000
64,박준표,23 P,,33,0,28.0,5,0,5,0,100.0,1.61,,,,,,,,,0.0,0.0,,,0.0,110700,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,10500
65,김기훈,23 P,,27,0,31.1,2,0,2,0,100.0,0.57,,,,,,,,,0.0,0.0,,,0.0,141760,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,5000
66,장성우,23 C,1.178,116,104,886.0,768,719,43,6,99.2,7.74,0.72,,-0.19,,0.01,-0.06,1.28,,1.37,1.51,10.18,11.55,0.14,102358,3.29,131,3.15,0.14,464,460,410,37,118,22,0,11,173,65,1,1,42,2,1,70,12,3,7,0.288,0.351,0.422,0.773,0.136,110.5,50000
67,김상수,23 SS,0.613,129,123,1020.1,441,176,259,6,98.6,3.84,-3.58,,0.92,-1.5,,,,,-4.17,-4.65,10.18,6.01,-0.425,103208,2.28,129,2.7,-0.43,512,504,443,58,120,19,1,3,150,56,5,6,55,3,0,68,9,8,3,0.271,0.353,0.339,0.692,0.116,95.3,50000
68,김병준,23 CF,0.103,1,1,5.0,3,3,0,0,100.0,5.4,0.66,0.34,0.01,,,,,,1.01,48.41,0.0,1.01,0.103,150978,0.02,3,-0.08,0.1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-0.167,-131.7,3000
69,박경수,23 2B,0.087,101,52,503.0,301,118,179,4,98.7,5.31,-2.08,,0.86,0.03,,,,,-1.19,-1.6,2.04,0.85,-0.121,104698,0.2,107,0.32,-0.12,221,216,185,12,37,13,0,1,53,12,0,0,30,1,1,46,2,5,0,0.2,0.315,0.286,0.601,0.087,71.3,20000
70,배정대,23 CF,0.011,97,93,800.0,253,246,6,1,99.6,2.84,-2.66,1.75,1.02,,,,,,0.11,0.16,0.0,0.11,0.011,112128,1.67,97,1.66,0.01,361,356,311,48,86,16,0,2,108,38,13,3,38,3,1,76,2,4,5,0.277,0.356,0.347,0.703,0.118,96.8,34000
71,문상인,23 C,-0.018,1,0,3.0,2,2,0,0,100.0,6.0,0.0,,0.01,,,,-0.3,,-0.2,-29.5,0.02,-0.18,-0.021,132278,0.02,1,0.05,-0.02,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.0,,,0.498,387.9,3300
72,박병호,23 1B,-0.03,92,89,730.1,735,669,61,5,99.3,9.0,6.2,,1.32,,-0.16,,,,7.37,8.03,-7.66,-0.29,0.751,104708,2.66,132,1.91,0.75,493,493,431,53,122,15,0,18,191,87,2,0,46,8,2,114,9,0,8,0.283,0.357,0.443,0.8,0.144,118.2,70000
73,김준태,23 C,-0.082,35,16,162.2,123,108,11,4,96.7,6.58,0.26,,-1.56,,-0.01,0.48,-2.36,,-2.48,-5.18,1.68,-0.8,-0.253,108358,0.01,69,0.26,-0.25,136,135,115,10,24,4,0,3,37,23,1,0,19,1,0,32,3,1,0,0.209,0.326,0.322,0.648,0.102,85.1,10000
74,하준호,23 P,,12,0,13.0,2,0,2,0,100.0,1.38,,,,,,,,,0.0,0.0,,,0.0,103048,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,4500
75,김민,23 P,,16,4,29.0,6,3,3,0,100.0,1.86,,,,,,,,,0.0,0.0,,,0.0,131678,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6000
76,김영현,23 P,,31,0,33.0,9,1,6,2,77.8,1.91,,,,,,,,,0.0,0.0,,,0.0,148698,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3000
77,이채호,23 P,,21,0,24.2,4,3,0,1,75.0,1.09,,,,,,,,,0.0,0.0,,,0.0,131308,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6000
78,이상동,23 P,,36,0,40.2,6,2,4,0,100.0,1.33,,,,,,,,,0.0,0.0,,,0.0,141098,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3200
79,김재윤,23 P,,59,0,65.2,13,5,7,1,92.3,1.64,,,,,,,,,0.0,0.0,,,0.0,114898,0.0,5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,36000
80,이선우,23 P,,22,4,37.1,6,1,5,0,100.0,1.45,,,,,,,,,0.0,0.0,,,0.0,141118,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3000
81,박영현,23 P,,67,0,75.1,12,5,7,0,100.0,1.43,,,,,,,,,0.0,0.0,,,0.0,150898,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,6100
82,이재현,23 SS,1.301,140,135,1156.1,583,222,341,20,96.6,4.38,1.82,,0.74,-0.44,,,,,2.11,2.13,10.64,12.75,0.216,150343,2.65,143,2.43,0.22,538,522,458,61,114,19,2,12,173,60,5,4,52,6,0,89,9,16,6,0.249,0.33,0.378,0.708,0.115,95.9,6000
83,강민호,23 C,0.646,101,94,786.2,631,579,49,3,99.5,7.18,-0.6,,0.55,,-0.56,-1.84,-0.71,,-2.95,-3.4,9.29,6.34,-0.301,102323,3.3,125,3.6,-0.3,495,492,434,60,126,19,0,16,193,77,6,1,49,6,4,65,17,1,5,0.29,0.366,0.445,0.811,0.149,123.5,60000
84,김도환,23 C,0.034,8,3,31.0,25,24,1,0,100.0,7.26,-0.09,,0.08,,,-0.1,0.38,,0.16,2.58,0.17,0.33,0.016,141153,-0.07,9,-0.08,0.02,8,8,7,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.143,0.25,0.143,0.393,0.014,11.8,5000
85,이병헌,23 C,0.012,21,9,85.1,66,63,3,0,100.0,6.96,-0.09,,0.22,,,0.56,-1.84,,-0.61,-3.79,0.72,0.11,-0.062,141173,-0.3,23,-0.24,-0.06,33,32,28,3,4,0,0,0,4,2,0,0,3,0,0,11,0,1,1,0.143,0.219,0.143,0.362,-0.007,-5.9,3400
86,이상민,23 P,0.0,23,0,18.0,3,1,2,0,100.0,1.5,,,,,,,,,0.0,0.0,0.0,0.0,0.0,111693,-0.03,1,-0.03,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.167,-147.9,7500
87,김민수,23 C,-0.012,2,0,3.0,3,3,0,0,100.0,9.0,0.0,,0.01,,,-0.19,0.06,,-0.14,-10.18,0.02,-0.12,-0.014,112663,-0.04,2,-0.02,-0.01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.167,-133.4,5200
88,오재일,23 1B,-0.077,88,80,700.0,717,656,53,8,98.9,9.12,4.85,,0.28,,0.64,,,,5.77,7.84,-6.52,-0.75,0.588,104003,0.3,106,-0.29,0.59,364,364,315,31,64,15,0,11,112,54,1,0,43,3,1,110,1,0,3,0.203,0.302,0.356,0.658,0.098,81.3,50000
89,김지찬,23 2B,-0.16,91,85,696.1,410,170,224,16,96.1,5.09,-3.87,,0.39,-1.53,,,,,-5.0,-7.28,3.43,-1.57,-0.51,146183,2.4,99,2.91,-0.51,355,348,291,59,85,4,2,1,96,18,13,1,48,9,0,36,1,7,0,0.292,0.408,0.33,0.738,0.144,119.3,16000
90,이태훈,23 1B,-0.167,7,3,22.2,18,17,0,1,94.4,6.75,-1.02,,-0.45,,,,,,-1.48,-17.72,-0.16,-1.64,-0.151,131603,-0.21,12,-0.06,-0.15,14,14,13,1,3,1,0,0,4,0,0,0,1,0,0,7,0,0,0,0.231,0.286,0.308,0.594,0.074,59.8,3500
91,김동엽,23 LF,-0.271,8,6,44.0,11,10,0,1,90.9,2.05,-1.48,-0.51,-0.42,,,,,,-2.41,-5.02,-0.25,-2.66,-0.246,125483,-0.22,69,0.02,-0.25,182,182,165,20,42,7,0,5,64,18,1,1,13,2,0,29,8,0,2,0.255,0.313,0.388,0.701,0.108,88.4,9000
92,이승현,23 P,,45,0,43.1,7,2,5,0,100.0,1.45,,,,,,,,,0.0,0.0,,,0.0,147983,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,8000
93,오승환,23 P,,58,1,62.2,16,4,12,0,100.0,2.3,,,,,,,,,0.0,0.0,,,0.0,103673,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,140000
94,이승현,23 P,,60,0,60.0,8,4,4,0,100.0,1.2,,,,,,,,,0.0,0.0,,,0.0,105273,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,12000
95,김대우,23 P,,44,5,64.0,13,3,8,2,84.6,1.55,,,,,,,,,0.0,0.0,,,0.0,106853,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,7000
96,이재익,23 P,,49,0,41.0,9,3,5,1,88.9,1.76,,,,,,,,,0.0,0.0,,,0.0,132443,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,5700
97,김태훈,23 P,,63,0,55.2,17,4,13,0,100.0,2.75,,,,,,,,,0.0,0.0,,,0.0,108713,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,18000
98,김서준,23 P,,8,1,7.2,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,150393,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3300
99,박성한,23 SS,1.447,128,124,1090.1,605,218,368,19,96.9,4.84,5.62,,-0.9,-1.1,,,,,3.62,4.08,10.56,14.18,0.37,129224,3.54,128,3.17,0.37,529,521,459,53,122,19,0,9,168,47,4,1,58,1,1,56,7,7,4,0.266,0.347,0.366,0.713,0.12,99.7,27000
100,김민식,23 C,1.249,121,87,786.2,664,601,62,1,99.8,7.59,0.99,,1.54,,0.11,1.9,0.39,,4.81,5.67,7.44,12.25,0.49,107074,1.33,122,0.84,0.49,318,300,266,28,58,9,1,5,84,34,0,0,31,2,1,57,6,17,2,0.218,0.302,0.316,0.618,0.085,70.5,15000
101,조형우,23 C,0.254,55,38,312.2,293,258,30,5,98.3,8.29,0.19,,-1.17,,-0.01,0.62,-0.14,,-0.47,-1.08,2.95,2.49,-0.047,148064,-0.37,62,-0.33,-0.05,133,129,119,9,22,4,1,2,34,12,0,0,8,1,0,25,2,4,1,0.185,0.24,0.286,0.526,0.044,36.4,3200
102,이재원,23 C,0.059,27,15,134.0,118,105,12,1,99.2,7.86,0.3,,-0.15,,-0.01,-1.54,1.2,,-0.55,-2.94,1.13,0.58,-0.056,100824,-0.77,27,-0.71,-0.06,48,47,44,3,4,1,0,0,5,2,0,0,2,0,0,8,4,1,1,0.091,0.128,0.114,0.242,-0.065,-53.7,10000
103,김건웅,23 1B,0.006,1,1,9.0,6,6,0,0,100.0,6.0,0.1,,0.02,,,,,,0.11,16.46,-0.06,0.05,0.012,154654,-0.07,1,-0.08,0.01,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-0.167,-135.1,3000
104,이흥련,23 C,-0.202,16,4,55.0,48,45,2,1,97.9,7.69,0.0,,-0.35,,-0.01,-0.98,-1.45,,-2.36,-21.25,0.38,-1.98,-0.241,111084,-0.33,16,-0.09,-0.24,17,16,14,1,1,0,0,1,4,2,0,0,2,0,0,6,0,1,0,0.071,0.188,0.286,0.474,0.024,21.0,7000
105,최정,23 3B,-0.256,114,112,934.1,258,70,175,13,95.0,2.36,-4.87,,1.67,0.69,0.01,,,,-2.51,-2.82,0.0,-2.51,-0.256,101064,5.25,128,5.51,-0.26,552,547,471,94,140,31,0,29,258,87,7,3,59,15,6,87,12,1,6,0.297,0.388,0.548,0.936,0.189,157.6,100000
106,전의산,23 1B,-0.322,45,37,296.0,292,268,20,4,98.6,8.76,-1.1,,0.54,,0.06,,,,-0.5,-1.29,-2.66,-3.16,-0.051,146994,-0.3,56,-0.25,-0.05,153,153,134,11,27,6,0,4,45,21,0,2,15,3,0,40,1,0,1,0.201,0.294,0.336,0.63,0.089,74.0,9000
107,추신수,23 RF,-0.324,25,24,187.1,43,42,1,0,100.0,2.07,-2.66,0.21,0.36,,,,,,-2.09,-2.69,-1.08,-3.17,-0.213,148884,1.72,112,1.94,-0.21,462,462,382,65,97,17,1,12,152,41,6,4,65,13,1,79,8,0,2,0.254,0.379,0.398,0.777,0.149,124.2,170000
108,문승원,23 P,,50,12,105.0,28,6,21,1,96.4,2.31,,,,,,,,,0.0,0.0,,,0.0,107834,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,70000
109,서진용,23 P,,69,0,73.0,5,1,4,0,100.0,0.62,,,,,,,,,0.0,0.0,,,0.0,107844,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,26500
110,고효준,23 P,,70,0,58.0,11,1,8,2,81.8,1.4,,,,,,,,,0.0,0.0,,,0.0,101244,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,8500
111,이건욱,23 P,,27,1,38.2,7,1,5,1,85.7,1.4,,,,,,,,,0.0,0.0,,,0.0,112424,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3100
112,최민준,23 P,,52,0,60.0,9,3,6,0,100.0,1.35,,,,,,,,,0.0,0.0,,,0.0,131264,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,13000
113,백승건,23 P,,24,2,38.0,6,0,5,1,83.3,1.18,,,,,,,,,0.0,0.0,,,0.0,141454,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3000
114,노경은,23 P,,74,0,83.0,15,6,8,1,93.3,1.52,,,,,,,,,0.0,0.0,,,0.0,102034,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,17000
115,임준섭,23 P,,39,0,32.2,3,1,2,0,100.0,0.83,,,,,,,,,0.0,0.0,,,0.0,107954,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,4000
116,박민우,23 2B,0.84,114,108,874.2,475,196,264,15,96.8,4.73,5.73,,-1.1,-1.1,,,,,3.53,4.1,4.71,8.24,0.36,111375,4.39,124,4.03,0.36,509,501,452,76,143,20,7,2,183,46,26,7,40,9,3,57,13,5,3,0.316,0.381,0.405,0.786,0.146,123.4,110000
117,박세혁,23 C,0.809,86,72,620.0,566,524,41,1,99.8,8.2,0.38,,1.11,,0.28,-1.17,0.99,,1.29,2.1,6.65,7.93,0.131,108915,1.18,88,1.05,0.13,283,277,242,35,51,9,3,6,84,32,1,1,30,4,0,43,3,6,1,0.211,0.307,0.347,0.654,0.099,83.5,70000
118,김형준,23 C,0.35,24,19,180.0,169,160,7,2,98.8,8.35,0.12,,-0.52,,,0.16,2.62,,1.59,8.8,1.85,3.44,0.162,130815,0.73,26,0.57,0.16,82,81,72,10,17,2,0,6,37,13,0,0,8,1,0,24,3,1,0,0.236,0.321,0.514,0.835,0.15,127.5,5000
119,안중열,23 C,0.036,74,50,411.2,399,373,21,5,98.7,8.61,-0.22,,-1.41,,-0.3,1.06,-3.93,,-3.63,-6.78,3.98,0.36,-0.37,113295,-0.2,77,0.17,-0.37,177,174,154,15,30,6,0,4,48,17,0,0,16,2,0,45,6,3,2,0.195,0.276,0.312,0.588,0.071,60.5,6000
120,박한결,23 LF,0.022,5,1,14.0,5,5,0,0,100.0,3.21,0.91,-0.64,0.02,,,,,,0.3,3.57,-0.08,0.22,0.03,154515,0.27,12,0.24,0.03,18,18,15,3,5,1,0,1,9,5,0,0,3,0,0,7,0,0,0,0.333,0.444,0.6,1.044,0.233,200.3,3000
121,전사민,23 P,0.0,9,0,17.0,7,3,3,1,85.7,3.18,,,,,,,,,0.0,0.0,0.0,0.0,0.0,141565,-0.03,1,-0.03,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.167,-140.9,3100
122,박대온,23 C,-0.004,24,3,69.2,71,64,4,3,95.8,8.78,-0.09,,-0.81,,,-0.04,0.33,,-0.71,-4.1,0.67,-0.04,-0.073,112465,0.22,25,0.29,-0.07,33,33,28,6,8,3,0,0,11,3,0,0,3,1,0,8,0,0,1,0.286,0.364,0.393,0.757,0.137,115.5,4000
123,윤형준,23 1B,-0.15,74,57,476.0,470,431,35,4,99.1,8.81,3.63,,-0.62,,-0.16,,,,2.85,5.01,-4.32,-1.47,0.291,111355,0.07,82,-0.22,0.29,236,234,218,17,55,12,1,5,84,27,1,1,10,3,0,58,6,2,3,0.252,0.291,0.385,0.676,0.096,81.1,4000
124,오영수,23 1B,-0.243,66,61,482.0,450,417,25,8,98.2,8.25,2.37,,-0.12,,-0.06,,,,2.2,4.52,-4.58,-2.38,0.224,130825,-0.18,70,-0.4,0.22,238,232,208,21,49,9,1,4,72,24,3,3,17,5,1,55,5,5,3,0.236,0.305,0.346,0.651,0.093,78.8,6000
125,배민서,23 P,,6,0,6.2,2,2,0,0,100.0,2.7,,,,,,,,,0.0,,,,0.0,141585,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,5100
126,김시훈,23 P,,60,0,52.2,8,1,6,1,87.5,1.2,,,,,,,,,0.0,0.0,,,0.0,130805,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,9000
127,류진욱,23 P,,70,0,67.0,16,2,14,0,100.0,2.15,,,,,,,,,0.0,0.0,,,0.0,113555,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,7500
128,한재승,23 P,,10,0,9.2,1,0,0,1,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,147645,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3200
129,이용찬,23 P,,60,0,61.0,17,7,9,1,94.1,2.36,,,,,,,,,0.0,0.0,,,0.0,102175,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,40000
130,양의지,23 C,1.361,97,94,773.0,686,635,48,3,99.6,7.95,0.14,,1.5,,-0.08,1.63,1.62,,4.32,4.82,9.02,13.34,0.44,101651,5.99,129,5.55,0.44,510,502,439,56,134,23,0,17,208,68,8,0,57,11,8,56,20,0,3,0.305,0.396,0.474,0.87,0.172,151.8,30000
131,허경민,23 3B,0.499,126,116,997.2,250,90,155,5,98.0,2.21,3.33,,1.81,-0.43,0.18,,,,4.9,5.42,0.0,4.9,0.499,101841,2.07,130,1.57,0.5,475,472,429,44,115,23,1,7,161,48,9,3,35,6,3,26,6,0,5,0.268,0.328,0.375,0.703,0.111,98.5,120000
132,정수빈,23 CF,0.469,135,131,1111.0,326,318,8,0,100.0,2.64,2.32,0.86,1.41,,,,,,4.6,4.83,0.0,4.6,0.469,101951,4.26,137,3.8,0.47,583,571,498,75,143,14,11,2,185,33,39,8,64,7,1,63,2,12,2,0.287,0.375,0.371,0.746,0.137,121.2,60000
133,장승현,23 C,0.298,75,37,390.1,343,312,29,2,99.4,7.86,-0.86,,0.51,,-0.01,-0.32,-0.21,,-0.82,-1.55,3.74,2.93,-0.083,110971,-0.59,76,-0.51,-0.08,158,153,139,11,22,1,0,3,32,9,1,0,6,8,0,36,2,5,0,0.158,0.235,0.23,0.465,0.029,26.0,6000
134,김민혁,23 1B,0.024,12,5,56.0,57,52,4,1,98.2,9.0,1.02,,-0.39,,0.06,,,,0.69,4.73,-0.46,0.23,0.07,129701,-0.21,21,-0.28,0.07,36,36,29,2,4,1,0,0,5,3,0,0,4,1,0,9,3,0,2,0.138,0.25,0.172,0.422,0.023,20.7,4500
135,박유연,23 C,-0.028,10,5,41.1,38,36,1,1,97.4,8.06,-0.09,,-0.39,,-0.01,0.32,-0.67,,-0.64,-9.15,0.36,-0.28,-0.065,128921,0.01,10,0.07,-0.06,16,15,15,3,4,2,0,0,6,1,0,0,0,0,0,4,0,1,0,0.267,0.267,0.4,0.667,0.09,79.6,3300
136,안승한,23 C,-0.256,21,8,80.0,57,52,3,2,96.5,6.19,-0.15,,-0.78,,-0.01,-1.63,-0.73,,-3.08,-20.17,0.58,-2.51,-0.314,113281,-0.4,22,-0.08,-0.31,27,27,24,1,5,0,0,0,5,1,1,0,2,1,0,10,0,0,0,0.208,0.296,0.208,0.504,0.053,46.9,4500
137,양석환,23 1B,-0.519,111,111,920.2,859,785,64,10,98.8,8.3,4.03,,0.18,,-0.18,,,,4.03,4.15,-9.12,-5.09,0.411,112131,2.83,140,2.42,0.41,582,579,524,73,147,28,0,21,238,89,4,0,41,6,3,133,9,0,11,0.281,0.333,0.454,0.787,0.135,119.4,40000
138,김재환,23 LF,-0.59,58,55,440.0,118,114,3,1,99.2,2.39,-3.12,-0.7,0.29,,,,,,-3.53,-3.85,-2.26,-5.79,-0.36,106431,0.44,132,0.8,-0.36,484,481,405,40,89,15,0,10,134,46,3,1,72,5,4,100,8,0,2,0.22,0.343,0.331,0.674,0.111,98.8,150000
139,박신지,23 P,,14,1,26.0,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,130701,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3600
