Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid
최정용,22 2B,-0.024,19,3,49.0,21,4,16,1,0.952,3.673,-0.25,0.0,0.06,-0.15,0.0,,0.0,0.0,-0.34,-2.577,0.107,-0.233,-0.035,114070
박민,22 3B,0.026,5,0,8.0,1,0,1,0,1.0,1.125,0.25,0.0,0.0,0.0,0.0,,0.0,0.0,0.25,7.2,0.004,0.254,0.026,146110
박정우,22 CF,0.111,10,0,19.0,5,5,0,0,1.0,2.368,1.04,0.02,0.03,0.0,0.0,,0.0,0.0,1.08,15.552,0.0,1.08,0.111,128690
임석진,22 3B,-0.027,11,4,39.0,16,11,5,0,1.0,3.692,-0.34,0.0,0.03,-0.17,0.0,,0.0,0.0,-0.21,-2.749,-0.055,-0.265,-0.022,126120
이정범,22 RF,-0.057,3,3,18.0,7,5,1,1,0.857,3.0,-0.83,0.78,-0.45,0.0,0.0,,0.0,0.0,-0.51,-24.48,-0.047,-0.557,-0.053,131944
이원석,22 3B,-0.092,61,54,447.0,243,176,61,6,0.975,4.772,-0.9,0.0,-0.12,0.32,0.0,,0.0,0.0,-0.28,-0.661,-0.613,-0.893,-0.029,101803
김지찬,22 2B,0.664,111,94,833.0,513,208,283,22,0.957,5.305,2.5,0.0,-0.43,1.04,0.0,,0.0,0.0,3.11,4.035,3.326,6.436,0.321,146183
김동진,22 2B,-0.015,3,0,7.0,5,0,5,0,1.0,6.429,-0.18,0.0,0.01,0.0,0.0,,0.0,0.0,-0.17,-8.16,0.02,-0.15,-0.018,148633
이성규,22 1B,0.061,6,2,24.0,25,25,0,0,1.0,9.375,0.76,0.01,0.02,0.0,0.0,,0.0,0.0,0.78,18.72,-0.185,0.595,0.08,125623
조민성,22 1B,-0.046,13,4,40.0,36,33,2,1,0.972,7.875,-0.5,0.17,0.03,0.0,0.0,,0.0,0.0,-0.3,-3.323,-0.145,-0.445,-0.031,150403
피렐라,22 LF,-0.959,124,121,1031.0,240,228,7,5,0.979,2.051,-3.12,-0.01,-0.86,0.0,0.0,,0.0,0.0,-4.0,-4.645,-5.299,-9.299,-0.412,147573
공민규,22 3B,0.049,12,4,45.0,38,31,5,2,0.947,7.2,0.54,0.0,0.04,0.0,0.0,,0.0,0.0,0.57,6.84,-0.092,0.478,0.059,131643
김성표,22 CF,-0.119,12,4,49.0,15,15,0,0,1.0,2.755,-1.31,0.08,0.07,0.0,0.0,,0.0,0.0,-1.15,-13.8,-0.002,-1.152,-0.119,111093
김민혁,22 LF,0.112,72,61,459.0,116,113,3,0,1.0,2.275,2.28,0.46,0.69,0.0,0.0,,0.0,0.0,3.44,6.88,-2.353,1.087,0.355,113398
조용호,22 RF,0.337,162,122,986.0,204,196,8,0,1.0,1.862,4.67,-0.3,1.66,0.0,0.0,,0.0,0.0,6.03,5.36,-2.76,3.27,0.622,129438
황재균,22 3B,-0.257,140,134,1154.0,311,90,209,12,0.961,2.332,-2.03,0.0,-0.45,0.33,0.0,,0.0,0.0,-2.49,-2.561,-0.001,-2.491,-0.257,104078
양승혁,22 2B,-0.078,5,2,15.0,7,1,5,1,0.857,3.6,-0.8,0.0,0.02,0.0,0.0,,0.0,0.0,-0.78,-22.464,0.024,-0.756,-0.08,132338
강민국,22 2B,-0.048,2,1,7.0,4,1,2,1,0.75,3.857,-0.5,0.0,0.01,0.0,0.0,,0.0,0.0,-0.49,-35.28,0.025,-0.465,-0.051,112437
이재홍,22 2B,0.068,3,2,11.0,5,2,3,0,1.0,4.091,0.64,0.0,0.01,0.0,0.0,,0.0,0.0,0.65,31.2,0.007,0.657,0.067,148547
유준규,22 2B,0.01,3,0,4.0,1,0,1,0,1.0,2.25,0.39,0.0,0.0,-0.31,0.0,,0.0,0.0,0.08,3.84,0.02,0.1,0.008,147788
김태훈,22 1B,0.072,7,1,20.0,20,18,2,0,1.0,9.0,0.48,0.33,0.01,0.0,0.0,,0.0,0.0,0.82,16.869,-0.12,0.7,0.085,113368
문상준,22 SS,0.036,2,0,8.0,3,2,1,0,1.0,3.375,0.59,0.0,0.01,-0.27,0.0,,0.0,0.0,0.32,23.04,0.025,0.345,0.033,147208
문상철,22 1B,-0.208,9,4,41.0,37,35,2,0,1.0,8.122,-1.84,0.11,0.03,0.0,0.0,,0.0,0.0,-1.7,-27.2,-0.32,-2.02,-0.175,113338
박주홍,22 LF,-0.005,13,9,77.0,18,18,0,0,1.0,2.104,-0.13,0.18,0.12,0.0,0.0,,0.0,0.0,0.17,1.883,-0.214,-0.044,0.018,145807
변우혁,22 1B,-0.068,15,10,91.0,69,57,9,3,0.957,6.527,-0.26,0.0,-0.41,0.0,0.0,,0.0,0.0,-0.41,-3.936,-0.245,-0.655,-0.042,141249
정은원,22 2B,-0.063,118,115,990.0,542,249,276,17,0.969,4.773,-6.03,0.0,0.19,0.3,0.0,,0.0,0.0,-5.54,-6.761,4.927,-0.613,-0.571,131379
임종찬,22 RF,-0.013,20,17,138.0,27,24,2,1,0.963,1.696,-0.44,0.59,0.24,0.0,0.0,,0.0,0.0,0.39,2.808,-0.513,-0.123,0.04,147069
전병우,22 1B,0.024,116,43,548.0,587,533,48,6,0.99,9.542,3.78,0.0,0.42,-0.26,0.0,,0.0,0.0,3.89,4.829,-3.658,0.232,0.401,114227
권광민,22 LF,-0.164,29,20,184.0,47,47,0,0,1.0,2.299,-1.3,-0.13,0.29,0.0,0.0,,0.0,0.0,-1.14,-5.661,-0.45,-1.59,-0.118,136769
노수광,22 LF,-0.029,104,83,719.0,201,192,5,4,0.98,2.466,3.91,-0.72,-0.86,0.0,0.0,,0.0,0.0,2.34,3.24,-2.62,-0.28,0.241,112689
하주석,22 SS,0.275,111,104,900.0,431,136,276,19,0.956,4.12,-4.85,0.0,-0.45,-0.31,0.0,,0.0,0.0,-5.6,-7.265,8.265,2.665,-0.577,109139
