Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,포지션
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,
47,이재원,24 C,-0.29,72,-0.24,-0.05,152,150,134,10,32,4,0,1,39,16,0,0,7,4,1,21,4,2,5,0.239,0.287,0.291,0.578,0.059,44.0,-0.29,포수
48,서동욱,24 C,-0.45,33,-0.35,-0.1,27,27,26,2,3,1,0,0,4,0,0,0,0,1,0,8,1,0,0,0.115,0.148,0.154,0.302,-0.052,-37.8,-0.45,포수
49,정보근,24 C,-0.63,89,-0.61,-0.02,140,136,133,9,30,0,1,2,38,7,0,0,3,0,0,31,5,4,0,0.226,0.243,0.286,0.529,0.03,21.4,-0.63,포수
50,허도환,24 C,-0.64,59,-0.22,-0.42,105,100,80,10,11,2,0,0,13,11,0,1,9,10,0,26,4,5,1,0.138,0.3,0.163,0.463,0.059,44.6,-0.64,포수
1,오스틴,24 1B,5.06,140,4.9,0.17,604,600,527,99,168,32,3,32,302,132,12,8,61,3,6,82,9,0,13,0.319,0.384,0.573,0.957,0.192,147.8,5.06,1루수
2,데이비슨,24 1B,3.98,131,4.26,-0.28,567,565,504,90,154,25,1,46,319,119,0,1,39,17,5,142,12,0,7,0.306,0.37,0.633,1.003,0.203,153.9,3.98,1루수
3,나승엽,24 1B,2.22,121,2.83,-0.61,489,486,407,59,127,35,4,7,191,66,1,0,69,4,1,83,4,2,7,0.312,0.411,0.469,0.88,0.182,129.7,2.22,1루수
4,양석환,24 1B,2.17,142,1.79,0.37,593,592,533,83,131,25,1,34,260,107,5,3,49,7,1,128,15,1,3,0.246,0.316,0.488,0.804,0.136,104.5,2.17,1루수
5,문상철,24 1B,1.64,125,0.96,0.68,403,401,347,50,89,11,0,17,151,58,6,1,45,7,2,86,8,1,3,0.256,0.351,0.435,0.786,0.139,101.7,1.64,1루수
6,서건창,24 1B,1.51,94,1.54,-0.02,248,245,203,40,63,14,1,1,82,26,3,1,36,3,0,31,2,3,3,0.31,0.416,0.404,0.82,0.169,124.5,1.51,1루수
7,오태곤,24 1B,1.29,117,1.19,0.09,288,281,247,43,68,16,0,9,111,36,27,4,31,1,2,73,4,6,3,0.275,0.355,0.449,0.804,0.143,102.4,1.29,1루수
8,채은성,24 1B,1.14,124,1.32,-0.18,498,498,436,61,118,24,0,20,202,83,1,1,49,8,1,83,12,0,5,0.271,0.351,0.463,0.814,0.147,108.9,1.14,1루수
9,정훈,24 1B,0.76,109,0.76,0.0,325,324,285,31,76,20,0,9,123,47,1,1,35,0,0,63,3,1,4,0.267,0.343,0.432,0.775,0.133,94.9,0.76,1루수
10,변우혁,24 1B,0.72,69,0.77,-0.04,187,187,168,22,51,9,2,5,79,21,1,0,16,2,0,48,8,0,1,0.304,0.369,0.47,0.839,0.159,119.0,0.72,1루수
11,디아즈,24 1B,0.53,29,0.21,0.32,118,118,110,14,31,5,0,7,57,19,0,0,6,2,0,25,2,0,0,0.282,0.331,0.518,0.849,0.152,107.9,0.53,1루수
12,맥키넌,24 1B,0.51,72,0.35,0.17,315,313,272,28,80,13,0,4,105,36,1,0,39,1,3,33,6,0,3,0.294,0.381,0.386,0.767,0.135,96.5,0.51,1루수
13,박병호,24 1B,0.36,120,0.06,0.31,406,406,350,52,81,7,0,23,157,70,4,0,47,7,0,121,13,0,2,0.231,0.333,0.449,0.782,0.135,96.6,0.36,1루수
14,이우성,24 1B,0.18,112,0.73,-0.55,449,449,399,56,115,16,1,9,160,54,7,1,44,3,0,89,17,0,3,0.288,0.361,0.401,0.762,0.134,99.8,0.18,1루수
15,오영수,24 1B,0.08,20,-0.04,0.12,34,34,30,4,6,0,0,3,15,5,0,0,2,1,0,6,0,0,1,0.2,0.265,0.5,0.765,0.108,80.8,0.08,1루수
16,홍성호,24 1B,0.07,15,0.03,0.03,15,15,14,0,4,2,0,0,6,1,1,0,1,0,0,7,0,0,0,0.286,0.333,0.429,0.762,0.129,100.8,0.07,1루수
17,도태훈,24 1B,0.06,100,-0.24,0.3,181,177,145,20,31,4,0,0,35,15,1,0,24,6,0,29,5,4,2,0.214,0.345,0.241,0.586,0.092,69.3,0.06,1루수
18,강민성,24 1B,0.01,1,-0.03,0.04,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.19,-127.9,0.01,1루수
19,최주환,24 1B,-0.03,130,-0.32,0.3,544,544,482,49,124,23,1,13,188,84,0,1,47,6,2,92,12,0,9,0.257,0.325,0.39,0.715,0.111,86.1,-0.03,1루수
20,황대인,24 1B,-0.05,3,-0.01,-0.04,7,7,7,1,2,1,0,0,3,3,0,0,0,0,0,1,0,0,0,0.286,0.286,0.429,0.715,0.1,74.4,-0.05,1루수
21,김성진,24 1B,-0.07,14,0.01,-0.07,16,16,15,1,4,0,0,1,7,2,0,0,1,0,0,4,1,0,0,0.267,0.313,0.467,0.78,0.123,94.7,-0.07,1루수
22,김수윤,24 1B,-0.16,9,-0.07,-0.08,10,10,9,0,2,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0.222,0.3,0.222,0.522,0.05,37.3,-0.16,1루수
23,이영빈,24 1B,-0.18,31,-0.13,-0.05,71,69,63,11,14,2,0,2,22,12,0,1,4,0,0,20,0,2,2,0.222,0.261,0.349,0.61,0.059,45.5,-0.18,1루수
24,이창용,24 1B,-0.24,9,-0.23,-0.01,21,21,21,1,4,1,0,0,5,2,0,0,0,0,0,4,0,0,0,0.19,0.19,0.238,0.428,-0.013,-9.2,-0.24,1루수
25,김재혁,24 1B,-0.49,35,-0.53,0.04,54,54,49,6,9,2,1,0,13,6,2,2,3,0,0,19,2,0,2,0.184,0.222,0.265,0.487,0.017,11.6,-0.49,1루수
26,오재일,24 1B,-0.68,105,-0.2,-0.48,343,343,296,33,72,18,1,11,125,45,0,0,36,2,0,88,7,0,9,0.243,0.321,0.422,0.743,0.118,84.9,-0.68,1루수
27,고명준,24 1B,-0.76,106,-0.97,0.21,366,366,340,33,85,13,0,11,131,45,3,4,25,1,0,90,4,0,0,0.25,0.303,0.385,0.688,0.095,68.1,-0.76,1루수
28,전의산,24 1B,-1.35,34,-1.09,-0.26,63,63,57,3,5,0,0,1,8,3,0,1,5,0,0,15,3,0,1,0.088,0.159,0.14,0.299,-0.051,-37.6,-1.35,1루수
1,김혜성,24 2B,5.16,127,4.47,0.69,567,565,509,90,166,26,4,11,233,75,30,6,47,4,2,62,6,0,7,0.326,0.383,0.458,0.841,0.16,124.1,5.16,2루수
2,박민우,24 2B,4.7,121,4.11,0.58,528,520,457,75,150,26,2,8,204,50,32,7,54,9,4,79,5,4,4,0.328,0.406,0.446,0.852,0.172,129.6,4.7,2루수
3,강승호,24 2B,3.71,140,2.9,0.81,566,561,521,81,146,34,7,18,248,81,16,5,32,7,4,158,8,2,4,0.28,0.328,0.476,0.804,0.136,104.3,3.71,2루수
4,고승민,24 2B,3.08,120,2.96,0.12,532,531,481,79,148,27,6,14,229,87,5,4,41,1,0,78,10,1,8,0.308,0.358,0.476,0.834,0.152,107.9,3.08,2루수
5,신민재,24 2B,2.64,128,3.11,-0.47,474,459,387,78,115,11,6,0,138,40,32,11,64,5,1,47,7,15,3,0.297,0.401,0.357,0.758,0.148,114.2,2.64,2루수
6,김선빈,24 2B,2.38,116,2.98,-0.6,466,458,423,48,139,23,0,9,189,57,5,1,30,5,0,39,13,7,0,0.329,0.38,0.447,0.827,0.156,117.4,2.38,2루수
7,정준재,24 2B,1.8,88,1.52,0.28,240,237,215,40,66,8,5,1,87,23,16,5,19,3,0,49,3,3,0,0.307,0.371,0.405,0.776,0.143,103.2,1.8,2루수
8,오윤석,24 2B,1.52,73,1.36,0.16,201,198,174,33,51,12,2,6,85,27,0,1,18,4,0,41,7,3,2,0.293,0.369,0.489,0.858,0.166,120.7,1.52,2루수
9,황영묵,24 2B,1.39,123,1.38,0.01,389,386,349,52,105,8,4,3,130,35,4,7,31,5,0,56,6,3,1,0.301,0.365,0.372,0.737,0.129,95.1,1.39,2루수
10,문현빈,24 2B,0.5,103,0.63,-0.14,289,287,260,29,72,16,2,5,107,47,3,5,24,2,1,53,9,1,2,0.277,0.34,0.412,0.752,0.126,93.2,0.5,2루수
11,윤도현,24 2B,0.5,6,0.33,0.16,27,27,27,5,11,2,0,1,16,8,1,0,0,0,0,9,0,0,0,0.407,0.407,0.593,1.0,0.212,154.7,0.5,2루수
12,천성호,24 2B,0.3,75,0.63,-0.33,255,254,234,41,69,8,3,1,86,17,7,0,18,1,0,43,5,1,1,0.295,0.346,0.368,0.714,0.116,84.6,0.3,2루수
13,최준우,24 2B,0.17,18,0.28,-0.11,34,34,25,2,6,2,0,0,8,5,0,0,9,0,0,8,0,0,0,0.24,0.441,0.32,0.761,0.171,126.9,0.17,2루수
14,홍종표,24 2B,0.16,100,0.48,-0.32,115,112,105,27,31,4,3,0,41,11,5,2,6,1,0,31,0,3,0,0.295,0.339,0.39,0.729,0.12,89.0,0.16,2루수
15,이호준,24 2B,0.11,12,0.1,0.01,7,7,6,5,2,1,1,0,5,3,0,0,1,0,0,1,0,0,0,0.333,0.429,0.833,1.262,0.307,214.0,0.11,2루수
16,박지환,24 2B,0.09,76,0.49,-0.4,249,246,228,33,63,9,2,4,88,21,8,3,12,3,0,61,3,3,3,0.276,0.317,0.386,0.703,0.106,75.2,0.09,2루수
17,류지혁,24 2B,0.09,100,0.42,-0.34,348,343,302,43,78,9,1,3,98,36,11,4,33,6,0,70,7,5,2,0.258,0.341,0.325,0.666,0.106,76.0,0.09,2루수
18,박경수,24 2B,0.05,5,0.11,-0.05,3,3,3,2,2,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0.667,0.667,1.0,1.667,0.487,354.6,0.05,2루수
19,정대선,24 2B,0.04,3,-0.05,0.09,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-0.19,-142.1,0.04,2루수
20,양도근,24 2B,0.04,16,0.01,0.03,29,28,23,5,4,0,1,0,6,2,0,0,5,0,0,8,0,1,0,0.174,0.321,0.261,0.582,0.085,58.1,0.04,2루수
21,오명진,24 2B,-0.01,2,0.01,-0.02,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.0,0.5,0.0,0.5,0.173,130.2,-0.01,2루수
22,여동건,24 2B,-0.03,9,-0.02,-0.01,11,11,10,2,4,0,0,0,4,0,3,0,1,0,0,2,0,0,0,0.4,0.455,0.4,0.855,0.181,140.6,-0.03,2루수
23,김재상,24 2B,-0.03,35,-0.08,0.05,91,90,84,13,20,4,0,2,30,12,4,0,5,0,0,23,0,1,1,0.238,0.278,0.357,0.635,0.073,51.1,-0.03,2루수
24,송지후,24 2B,-0.05,2,-0.03,-0.01,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.19,-151.2,-0.05,2루수
25,권동진,24 2B,-0.09,9,-0.03,-0.07,10,10,9,3,2,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0.222,0.3,0.222,0.522,0.05,37.9,-0.09,2루수
26,김수인,24 2B,-0.13,4,-0.08,-0.06,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-0.19,-136.0,-0.13,2루수
27,양우현,24 2B,-0.17,7,-0.32,0.15,15,14,13,0,0,0,0,0,0,1,0,0,1,0,0,6,1,1,0,0.0,0.071,0.0,0.071,-0.138,-92.5,-0.17,2루수
28,최정용,24 2B,-0.2,6,-0.1,-0.1,12,12,11,0,2,0,0,0,2,1,0,0,1,0,0,4,1,0,0,0.182,0.25,0.182,0.432,0.01,7.5,-0.2,2루수
29,최경모,24 2B,-0.21,50,-0.17,-0.04,50,43,35,12,6,0,0,0,6,0,6,3,8,0,0,7,2,7,0,0.171,0.326,0.171,0.497,0.062,45.2,-0.21,2루수
30,김찬형,24 2B,-0.26,5,-0.23,-0.03,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,-0.19,-139.6,-0.26,2루수
31,김동진,24 2B,-0.31,30,-0.47,0.17,42,40,37,5,4,0,0,1,7,2,0,0,3,0,0,10,1,2,0,0.108,0.175,0.189,0.364,-0.028,-20.5,-0.31,2루수
32,최항,24 2B,-0.31,72,-0.41,0.1,143,143,132,17,33,3,1,0,38,12,0,1,10,1,0,32,3,0,0,0.25,0.308,0.288,0.596,0.073,51.3,-0.31,2루수
33,박민석,24 2B,-0.31,20,-0.14,-0.18,14,14,14,6,3,0,0,0,3,0,0,1,0,0,0,7,0,0,0,0.214,0.214,0.214,0.428,-0.01,-7.4,-0.31,2루수
34,박계범,24 2B,-0.33,24,0.11,-0.44,20,20,15,5,3,1,0,0,4,0,1,0,5,0,0,7,2,0,0,0.2,0.4,0.267,0.667,0.135,102.1,-0.33,2루수
35,김성현,24 2B,-0.49,71,0.03,-0.53,167,162,141,21,32,3,1,1,40,15,2,0,16,4,0,28,7,5,1,0.227,0.321,0.284,0.605,0.085,60.3,-0.49,2루수
36,안상현,24 2B,-0.8,37,-0.58,-0.22,75,74,70,3,12,1,0,0,13,2,1,1,4,0,0,14,0,1,0,0.171,0.216,0.186,0.402,-0.01,-7.2,-0.8,2루수
37,안주형,24 2B,-0.92,82,-0.57,-0.35,166,154,142,24,31,2,0,0,33,8,4,2,11,1,0,39,3,12,0,0.218,0.279,0.232,0.511,0.041,29.2,-0.92,2루수
1,김도영,24 3B,8.32,141,8.51,-0.18,625,619,544,143,189,29,10,38,352,109,40,4,66,7,7,110,10,1,7,0.347,0.42,0.647,1.067,0.232,172.5,8.32,3루수
2,송성문,24 3B,6.13,142,5.83,0.29,602,601,527,88,179,29,4,19,273,104,21,0,64,3,2,82,5,0,8,0.34,0.409,0.518,0.927,0.191,148.9,6.13,3루수
3,최정,24 3B,4.55,129,4.65,-0.09,550,550,468,93,136,27,2,37,278,107,5,1,55,20,1,114,10,0,7,0.291,0.384,0.594,0.978,0.202,145.9,4.55,3루수
4,문보경,24 3B,4.32,144,4.47,-0.15,602,597,519,80,156,35,3,22,263,101,7,6,65,2,3,112,14,3,13,0.301,0.372,0.507,0.879,0.169,130.4,4.32,3루수
5,허경민,24 3B,3.2,115,2.99,0.21,477,477,417,69,129,28,0,7,178,61,5,1,36,18,0,25,8,0,6,0.309,0.384,0.427,0.811,0.16,122.0,3.2,3루수
6,노시환,24 3B,2.41,136,2.5,-0.08,601,597,526,88,143,20,2,24,239,89,6,0,60,11,9,129,10,0,4,0.272,0.356,0.454,0.81,0.145,106.5,2.41,3루수
7,김영웅,24 3B,2.29,126,1.59,0.71,509,508,456,65,115,16,3,28,221,79,9,2,45,3,0,155,2,1,4,0.252,0.321,0.485,0.806,0.137,97.8,2.29,3루수
8,손호영,24 3B,2.21,102,2.89,-0.68,430,427,398,70,126,26,4,18,214,78,7,4,17,9,2,65,6,1,5,0.317,0.354,0.538,0.892,0.169,120.6,2.21,3루수
9,서호철,24 3B,1.39,141,1.28,0.11,567,561,512,68,146,19,3,10,201,61,1,3,30,16,0,101,15,6,3,0.285,0.342,0.393,0.735,0.123,93.3,1.39,3루수
10,이유찬,24 3B,1.01,103,0.67,0.33,262,255,231,39,64,11,0,3,84,23,16,6,22,1,0,51,9,7,1,0.277,0.341,0.364,0.705,0.115,87.9,1.01,3루수
11,전병우,24 3B,0.3,58,-0.07,0.36,128,128,111,17,25,5,0,5,45,14,0,1,14,1,0,42,3,0,2,0.225,0.313,0.405,0.718,0.11,77.9,0.3,3루수
