Name_x,포지션,pit_G,GR,GF,CG,SHO,W,L,S,HD,ER,R_x,rRA,TBF,H_x,2B_x,3B_x,HR_x,BB_x,HP_x,IB_x,SO_x,ROE,BK,WP,ERA,RA9,FIP,WHIP,팀,pid,Sort▼_y,fid_G,fid_GS,fid_IP,PO,Ass,E,F%,RF9,수비 관련 득점 기여도.8,수비 관련 득점 기여도.9,연봉(만원),WAR,WAR당 연봉,팀_y
김민수,투수,14,14,5,0,0,0,1,0,3,10,10,9.8,58,17,5,2,1,5,0,0,4,0,0,0,6.92,6.92,5.19,1.69,KT 위즈,11317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000,-0.18,-138189,KT 위즈
엄상백,투수,20,1,0,0,0,7,6,0,0,45,46,45.15,454,100,16,4,6,29,2,0,89,2,0,1,3.63,3.71,3.36,1.16,KT 위즈,11318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000,2.91,6878,KT 위즈
정성곤,투수,6,6,3,0,0,0,0,0,0,5,9,9.85,29,8,3,0,2,7,0,0,3,1,0,0,10.38,18.69,12.62,3.46,SSG 랜더스,11321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500,-0.11,-49758,SSG 랜더스
주권,투수,42,39,8,0,0,1,2,0,5,23,23,28.05,205,49,7,1,4,19,2,2,17,2,0,0,4.4,4.4,5.28,1.45,KT 위즈,11323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29500,0.15,197607,KT 위즈
구창모,투수,11,2,0,0,0,1,3,0,0,17,19,17.8,205,38,3,0,4,16,0,0,56,5,0,0,2.96,3.31,3.02,1.05,NC 다이노스,11353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000,1.7,35313,NC 다이노스
류진욱,투수,70,70,9,0,0,1,4,0,22,16,19,18.95,268,41,2,2,1,32,1,1,62,5,0,5,2.15,2.55,3.24,1.09,NC 다이노스,11355,0.0,70.0,0.0,67.0,2.0,14.0,0.0,100.0,2.15,0.0,0.0,7500,2.36,3182,NC 다이노스
이우석,투수,1,1,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,8.5,1.5,NC 다이노스,11360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300,0.03,124338,NC 다이노스
최원태,투수,9,0,0,0,0,3,3,0,0,33,35,34.65,210,59,6,1,5,17,2,2,40,2,0,1,6.7,7.11,4.12,1.71,LG 트윈스,11379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35000,3.2,10921,LG 트윈스
최원태,투수,17,0,0,0,0,6,4,0,0,37,38,38.0,422,90,11,0,7,29,5,0,78,4,0,5,3.25,3.34,3.79,1.16,키움 히어로즈,11379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35000,3.2,10921,LG 트윈스
채지선,투수,1,1,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.85,0.0,LG 트윈스,11387,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3800,-0.02,-201036,NC 다이노스
